username,follower_count,creation_date
alliegoertz,17416,2009-03-05 00:58:44
andyrichter,746534,2010-07-11 19:53:21
animaldrumss,11284,2009-12-10 19:34:14
annadrezen,8011,2009-09-23 05:07:10
aparnapkin,87315,2008-01-02 15:11:12
apey,34234,2008-04-30 18:47:18
asterios,9256,2007-06-23 00:46:12
atsignskylar,266,2012-02-26 00:45:04
bassoonjokes,17614,2011-08-02 21:52:36
bbw_bff,26422,2009-08-22 03:11:05
behindyourback,31811,2009-04-15 17:03:17
billyeichner,479045,2009-09-16 06:33:53
bobbybigwheel,28702,2009-09-26 23:57:58
boobsradley,172833,2009-04-01 18:26:50
bornferal,26227,2010-12-05 22:53:11
briangaar,92089,2009-01-13 20:42:45
bridger_w,83074,2009-05-07 21:53:35
buckyisotope,88394,2011-10-31 17:35:45
buncahn,8782,2011-11-01 21:10:17
ch000ch,114993,2011-01-24 17:14:48
chelseaperetti,517253,2009-09-29 02:35:35
chmurph,15234,2009-10-03 17:39:05
conortripler,24247,2010-02-23 20:11:32
curlycomedy,32755,2008-12-09 16:10:00
danaschwartzzz,16924,2011-07-07 17:42:14
danielguywilson,213,2013-09-01 06:54:04
david_j_roth,15969,2010-07-27 03:58:13
debradigiovanni,57897,2009-11-06 23:50:10
degg,60801,2008-08-17 21:30:14
dilldoes,6997,2013-07-29 06:28:13
ditzkoff,55279,2009-10-11 01:11:07
dogboner,58473,2009-08-03 02:31:10
dril,313283,2008-09-15 17:21:54
eastwes,2069,2009-10-01 15:13:03
electrolemon,66161,2008-07-06 07:54:20
ericdadourian,7896,2009-03-11 21:03:20
fart,105021,2008-03-17 23:27:03
fred_delicious,123146,2012-08-28 19:38:31
froghammer,12502,2010-12-09 07:39:01
growlygrego,26601,2011-02-27 06:39:10
hamptonyount,8422,2010-06-07 08:39:44
handsomeboiii,185,2012-03-19 21:02:16
hannibalburess,611561,2009-03-30 19:42:30
hellolanemoore,25619,2011-04-24 19:51:11
home_halfway,44410,2012-06-12 16:25:41
hornymichelin,1839,2015-12-03 17:49:54
iankarmel,20969,2010-08-12 03:26:06
jabba_the_slut_,471,2011-09-13 01:12:55
jazmasta,43046,2009-01-26 19:48:29
jess_hold,107,2009-09-20 16:38:53
joemande,1005740,2009-10-16 03:40:44
jondaly,92589,2009-03-31 21:28:23
jonnysun,145251,2009-03-24 15:42:07
joshgondelman,65816,2009-08-30 12:40:22
julieklausner,96031,2008-12-16 19:06:45
juliothesquare,1986,2011-12-15 23:13:05
justaboutglad,14528,2011-03-30 07:54:40
karenkilgariff,40865,2011-07-25 02:59:09
katiemcvay,3338,2009-03-05 03:32:34
kevinseccia,22433,2008-11-08 02:34:01
kibblesmith,19430,2008-05-03 20:42:01
kumailn,526725,2009-04-02 19:56:22
lukeoneil47,12634,2010-01-25 16:40:01
lynnbixenspan,14243,2010-06-12 23:08:20
marcellacomedy,8081,2009-09-30 02:42:37
markagee,12994,2009-09-01 20:24:37
maryhoulie,3176,2012-08-09 17:29:20
meganamram,500376,2009-04-25 13:05:18
memeoji,2683,2012-09-25 02:40:46
mobute,48936,2008-08-20 07:11:34
momsagainstgam,18628,2014-06-20 00:14:31
mremilyheller,30590,2008-09-25 01:08:19
mrgeorgewallace,144244,2011-10-26 04:02:58
neilhamburger,85587,2009-04-11 19:36:35
nickmullen,18690,2009-04-18 17:10:12
nickwiger,11569,2011-01-08 06:53:07
nihilistarbys,1291,2015-02-08 20:15:56
normmacdonald,594410,2009-04-25 09:49:11
nytminuscontext,95753,2013-11-12 03:15:23
ohnoshetwitnt,84929,2010-05-28 20:24:09
oxnuxo,1551,2013-08-13 21:12:35
pakalupapito,1494799,2013-07-10 06:20:32
pdubslax,605,2011-10-03 22:04:45
probirdrights,260599,2011-12-28 01:48:16
rappingranny,3260,2011-10-04 14:19:12
realcarrotfacts,238476,2013-01-09 18:36:21
recklessfarmer,643,2012-11-19 03:42:50
robhuebel,568159,2007-05-31 19:08:21
roryscovel,52552,2009-10-30 17:55:05
saraschaefer1,60530,2007-04-03 20:41:29
sbellelauren,51475,2008-06-09 17:18:47
scharpling,100803,2008-12-01 02:36:33
seinfeld2000,109251,2013-01-12 02:17:49
senderblock23,37495,2010-05-28 06:33:36
shelbyfero,119448,2009-04-25 00:59:11
shlancaster39,211,2012-06-04 11:39:27
shutupandrosky,7711,2008-02-25 18:59:30
shutupmikeginn,132497,2011-02-02 18:21:51
sonic_hedgehog,286986,2009-01-27 19:11:50
sosadtoday,320653,2012-07-02 19:56:37
the_cow_says,17,2016-03-20 22:56:08
tinatbh,734459,2012-06-18 22:12:32
toddbarry,282740,2008-11-17 23:32:30
totallyallen,11096,2009-02-20 09:54:39
tvcommentbot,1698,2015-01-27 01:56:19
usedwigs,9143,2008-08-07 16:32:49
vornietom,33235,2011-03-15 17:10:32
weedguy420boner,23282,2010-03-29 02:20:32
weismanjake,36933,2009-10-19 20:52:38
wolfpuppy,122,2008-06-18 00:55:45
zoeklar,11405,2011-03-29 16:55:03
