text,created_at,favorite_count,retweet_count,lang
I hear the bird is Bernie's mistress!,2016-03-26 04:10:50,594,121,en
.@JAdomian you better start training a bird toot sweet!,2016-03-26 03:50:51,125,6,en
dad bun alert at the aquarium,2016-03-25 23:22:27,518,57,en
"Using voice text, my iPhone spells it ""favourite"".  Fuckin douche.",2016-03-24 19:35:12,519,67,en
"Granted, I'm on here, but this is some funny stuff
 https://t.co/w4IhaoNtE5",2016-03-24 18:23:15,347,110,en
Can't sleep.  This New Zealand flag business is tearing me up inside,2016-03-24 06:58:35,430,94,en
Goddamnit! Just found out it's #NationalPuppyDay but I've already eaten lunch,2016-03-23 19:44:12,676,149,en
"ATTENTION EVERYBODY: Just finished @danielclowes new book ""Patience"" &amp; it's one of the best things I've ever read. https://t.co/vGBxmjlw5i",2016-03-23 15:57:38,155,14,en
Mitch McConnell exaggerates 'tradition' of not confirming election year Supreme Court nominees https://t.co/eCaLpH3Vqj via @PolitiFact,2016-03-23 14:59:29,85,44,en
"Wait, Marcia Clark had a Jim Morrison poster in her office? This changes everything",2016-03-23 04:06:36,403,52,en
Wearing Transitions™ lenses is as good a way as any to let people know that you're capable of murder,2016-03-23 03:05:47,1129,286,en
Hey @jakefogelnest Did Angelyne's car smell like pee?,2016-03-22 20:53:10,34,1,en
Could someone please inform the bones in this trout that I'm eating that I am on television,2016-03-22 20:02:00,383,26,en
Here's a hot take for you: fuck pawpaw,2016-03-22 18:07:31,595,113,en
"Sitting in my parked car on a windy day, this thing landed on my roof &amp; scared the shit out of me #Brave https://t.co/5b4tiR6n1H",2016-03-22 18:03:26,439,18,en
McConnell: No New Supreme Court Justice Until The NRA Approves Of The Nominee https://t.co/hwWrplAJHM via @thinkprogress,2016-03-21 15:24:31,115,76,en
"Yes, I saw what you did there. Now please stop.",2016-03-21 06:23:28,183,31,en
Psych! This whole time I've been Miley Cyrus!,2016-03-21 06:01:32,572,81,en
"Had a Razzle for 1st time in decades &amp; man, what a confounding candy. Who exactly is looking for a bland sweet-tart that turns into bad gum?",2016-03-20 20:34:29,621,76,en
Our dogs are my daughter's least cooperative Barbies.,2016-03-20 18:09:54,432,44,en
While we were at Orange Julius my daughter realized she left her Hot Topic bag at Wahoo's Fish Tacos  #HollywoodLife #CelebGlamour,2016-03-19 20:09:29,376,27,en
Just saw a goth senior citizen at the mall &amp; now I don't care if I live or die,2016-03-19 19:54:52,1590,456,en
.@paulrust great job on #PeeWeesBigHoliday !! So funny!,2016-03-19 05:21:36,165,17,en
Just saw @peeweeherman in #PeeWeesBigHoliday on @netflix &amp; IT WAS GREAT!!! Watch it now!,2016-03-19 05:17:43,535,77,en
"Just took off my shirt &amp; my 10 year old daughter said, ""nice tits, Dad.""",2016-03-18 23:27:21,1880,351,en
"22 years ago today @SarahThyre &amp; I went down to City Hall &amp; got married. Love is powerful, people! ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",2016-03-18 14:26:09,2269,58,en
Whenever I get in a tight spot with the cops I just tell them that I'm Kai Ryssdal &amp; they immediately let me go,2016-03-18 01:38:13,512,81,en
"A Cruz spokeswomen on MSNBC just said in regards to AZ primary, ""there's strategery going on"" w/o a hint of irony

https://t.co/Nw9IveabeY",2016-03-17 22:47:11,236,45,en
Happy St. Patrick's Day! https://t.co/e6VxRCPOvK,2016-03-17 18:42:20,491,168,en
"Contact Sen. @ChuckGrassley at 202 224-3744, email https://t.co/9CRjuA64o7, &amp; tell him to begin hearings on @POTUS #SCOTUSnom #DoYourJob",2016-03-16 20:43:11,869,703,en
You can call the Senate Judiciary Committee directly at 202-224-5225 and ask them to do their job. A person answers. #DoYourJob,2016-03-16 15:48:48,2171,2448,en
"Ok, Senate Judiciary Committee, @POTUS has made his choice.  It's time to #DoYourJob",2016-03-16 14:50:46,477,179,en
Nothing's more satisfying than when you get some of that old-growth mucus to come out,2016-03-15 04:57:17,352,26,en
Get you a rhino that can do both https://t.co/UHJx98K6Ad,2016-03-15 03:57:17,1691,411,en
"Are all DC characters now required to be portrayed in ""just busted a nut"" pose? https://t.co/AFhGDJPlDL",2016-03-15 03:09:38,731,156,en
"1/6 Lots of amateur legal experts using phrase ""heckler's veto"" as rationale to silence Trump protesters. Of course they're getting it wrong",2016-03-14 16:31:04,149,30,en
"Man, these days you really have to brace yourself before asking someone their baby's name",2016-03-14 14:09:15,1867,516,en
Going to bed now. Getting up early to fax my résumé over to Breitbart.,2016-03-14 04:54:46,539,85,en
I just petted this jerk for 10 minutes. It's never enough w this guy https://t.co/fm2HHlMqNH,2016-03-13 21:09:41,702,71,en
My daughter v much enjoys talking to Japanese student who's staying w us for 4 days &amp; he never lets on that he has no idea what she's saying,2016-03-13 02:42:35,712,51,en
Excellent stuff from @thelindywest What Are Trump Fans Really ‘Afraid’ to Say? https://t.co/3Nlv9xjTEv,2016-03-12 17:15:25,322,187,en
"Boy oh boy, when you mention ""Soros and Ayers"" in your tweet I practically throw my shoulder out from muting you so fast #yawn",2016-03-12 04:35:54,315,27,en
"Also:Arena full of supporters &amp; protesters. Rally gets cancelled. Supporters now angry, protesters happy. Which group likely to get violent?",2016-03-12 04:09:06,474,130,en
"Violence started after Trump cancelled. Maybe if he'd had the rally, there wouldn't have been violence? Maybe cancellation was the spark?",2016-03-12 03:52:10,389,109,en
Chicago Police Deny Advising Trump to Cancel Event @TPM https://t.co/duXL6yfCUs,2016-03-12 03:38:29,223,135,en
"Chi. PD &amp; UIC were ready to proceed w rally. Had enough security on-site to ensure safety. So protesters didn't shut down rally, TRUMP DID.",2016-03-12 03:29:04,503,226,en
"ATTENTION IDIOTS: PROTESTING IS ""FREE SPEECH""",2016-03-12 01:48:34,4098,1909,en
"Photos shoots are a big part of being a celeb, guys https://t.co/3fCSG73rVM",2016-03-10 19:54:29,906,82,en
WHY WON'T YOU LOVE ME? https://t.co/dYUtlIhH8a,2016-03-10 19:34:18,774,76,en
Only ad I heard this AM on smooth jazz Pandora station playing at my dentist's was for Carrot Top at the Luxor. I was there for 2 hrs.,2016-03-09 20:00:03,195,14,en
FUCK YOU FUCKIN HATERS https://t.co/2lnMNZD1k5,2016-03-09 19:54:04,761,143,en
"Trump has used this ""press conference"" to sell us all products that none of us can purchase anywhere",2016-03-09 02:29:58,383,122,en
"He is such a petty, thin-skinned over-compensator.  So obvious what bugs him &amp; how much it bugs him",2016-03-09 02:25:59,440,86,en
The laughs Trump is getting sound like they're coming from guests of the Overlook,2016-03-09 02:23:08,512,126,en
"Is it being referred to as ""giving someone a Peyton"" yet?",2016-03-08 20:27:10,188,50,en
"It's 2016, and we're all in a lather because somebody showed their naked human body. How unique!  Nice work, dipshits.",2016-03-08 17:57:58,358,74,en
Hey @robhuebel I never knew you jammed for Ron &amp; Nancy https://t.co/FD8i043bQB,2016-03-08 05:47:42,388,29,en
"When you start seeing photos of ppl in remote villages with Bloomberg 2016 beer coozys, just know that that was me &amp; it cost me $12 grand",2016-03-07 23:29:59,363,49,en
".@marcorubio rough night, I know, but if it makes you feel any better, this cold/flu thing I have is a real motherfucker",2016-03-06 05:02:09,335,39,en
New box of Raisin Bran; would a brisk shake distribute raisins evenly or drive them to bottom? My life is a sleepwalk of paralyzing fear,2016-03-05 22:20:32,797,196,en
Lucky us. Apparently some feral parrots have decided to nest on our block so all Spring the shrieking will be starting at 6AM.,2016-03-05 17:34:01,362,25,en
"How many times do I have to tell you, you fucking philistine, my dick is not ""messed up"" it's deconstructed",2016-03-05 06:30:58,400,41,en
"When I see a pickup truck w/ big flapping US flag on it, I don't think ""patriot"" I just think ""that's a guy who punches people in the face""",2016-03-04 21:54:53,1315,370,en
