text,created_at,favorite_count,retweet_count,lang
"Also I'm gonna need some hard &amp; fast rules on Kryptonite: when convenient, Superman gets 5 or so mins to chill around it without dying or ?",2016-03-26 07:43:09,33,2,en
at that Diet Coke secretaries-staring-at-construction-workers-commercial age where I'm starting to appreciate BACK MUSCLES ugh I hate myself,2016-03-26 07:37:29,60,4,en
Batman v. Superman: Battle of the Butt Chins,2016-03-26 07:36:02,55,12,en
okay but are we even sure that Henry Cavill wasn't cast because he IS an actual alien since zero human beings look like that,2016-03-26 07:34:39,42,7,en
Hometown Atlanta news team pays tribute to Phife Dawg: https://t.co/jTFXS1e2ny,2016-03-24 00:13:12,13,1,en
Comedians In Cars Eating Burritos While Trying to Drive,2016-03-23 23:25:33,93,10,en
"RIP Phife Dawg.
https://t.co/Jmw6qqenz4",2016-03-23 07:44:13,33,11,en
"I'll be at @TheLaughFactory in Hollywood tomorrow night at 10pm so don't miss it, Los Angeles and its environs: https://t.co/ZSsx0BxHFm",2016-03-22 01:23:47,8,1,en
Hi I did this to my living room wall today more like Property SISTERS (DOING IT FOR THEMSELVES) https://t.co/aPaPXPdtHf,2016-03-22 01:11:11,40,3,en
House of Cards is just the white Empire,2016-03-20 03:06:05,83,14,en
"I guess I'm saying that some of y'all might hear ""Why can't you be more like your bro/sis?"" I hear ""WHY CAN'T YOU BE MORE LIKE STEVE HARVEY""",2016-03-18 06:15:06,71,2,en
Also in case you thought for one second that Donna was playing around: https://t.co/40QUXq1Z07,2016-03-18 06:13:50,17,0,en
"My mom LOVES Steve Harvey &amp; said to me ""IMAGINE how fun being related to a comic!"" I go ""Oh like your ONLY CHILD?"" now you know why I am one",2016-03-18 06:08:39,179,13,en
Tense up during People v. OJ Simps as if I don't know what happens/my mom didn't constantly talk about every detail of the trial in my teens,2016-03-18 05:22:11,62,3,en
"Never Not Funny's Pardcast-a-thon 2016, taken by the wonderful Liezl Estipona. https://t.co/4Jq0A0lnPN",2016-03-16 02:27:02,18,2,en
The Claire Underwood Calf Workout™,2016-03-14 00:25:56,48,6,en
"My neighbors' sex sounds are so ridiculous, I wonder if it might be Kevin McCallister making mannequins have fake sex to scare off robbers",2016-03-10 07:26:42,187,27,en
"L.A., tomorrow @KarenKilgariff &amp; I will be live-tweeting on stage w/ some pals, instead of in my living room; come! https://t.co/tfRaS8vACQ",2016-03-10 02:40:29,36,5,en
I'm catching up on The People v. OJ Simps &amp; I most want to fact check whether Marcia Clark really had a poster of Jim Morrison in her office,2016-03-10 00:40:07,63,3,en
"ALREADY GOOGLING ""WHEN DOES HOUSE OF CARDS SEASON 5 START"" WHEN TELL ME WHEN !!!!!!!!!!!!!",2016-03-06 20:18:35,38,5,en
"Look, when the Anna Wintour of comedy, @PFTompkins, co-signs on your suit, you know you did it right. https://t.co/CtxdIkcDSe",2016-03-06 03:36:48,68,4,en
It's almost House of Cards o'clock! Hope Prez Frank Underwood goes into more detail about Trump's dong in the season premiere!,2016-03-04 07:43:05,40,6,en
Never ever let anyone tell you you can't achieve your goals 🌈 https://t.co/WF5g98UX7L,2016-03-02 20:26:36,77,4,en
We are certainly doomed and fighting cynicism daily has become a Herculean task but I did get some cool blue nail polish today so,2016-03-01 21:25:19,63,4,en
Here on leap night are the jams I bumped all month for you to shove in yr ears if you want: https://t.co/N2Jxclxxsr https://t.co/y9DFMrTXBm,2016-03-01 07:28:36,59,0,en
"I'm on the new Never Not Funny, tippin' them shades! https://t.co/nYl7QN0DAf",2016-02-29 04:05:30,33,0,en
"Talking to @milliedechirico about crushing on redhead dudes: ""They were teased when they were young, so they're humble. They know hardship.""",2016-02-26 20:55:20,34,2,en
"Hello Los Angeles, I'm doing 2 different shows on Wednesday, March 2, if you're into it; here's a calendar w/ info: https://t.co/4MKRfJSwu3",2016-02-26 20:32:25,9,1,en
"Prob weekly I think about the time I saw @TheRyanMcKee at an open mic years ago, talking about his high school ska band: F. Ska Fitzgerald",2016-02-25 17:16:10,32,4,en
"If you want melted blue color on your previously not-blue shirt and also don't own an ironing board, come iron it on my blue carpet!",2016-02-20 02:39:50,52,3,en
Hi I'm back from England &amp; while there my friend @_doriancox intro'ed me to Manchester's own LoneLady; I'M INTO IT: https://t.co/tI4wa4Ek4B,2016-02-19 14:45:14,5,0,en
"With all the doom and gloom of the world dominating the headlines, finally some good news for once!!!!!!!! https://t.co/i4OHXbRM7F",2016-02-14 23:03:10,115,16,en
"At my friend's house in Manchester &amp; his kids have never met an American; first question 11-year-old asked me: ""Do you know the illuminati?""",2016-02-12 21:11:06,150,11,en
"A guy busking in the tube station was playing Baker Street, so I had him arrested",2016-02-11 22:49:41,41,3,en
Hey @blurofficial I'm in London if you guys want hang out,2016-02-10 19:36:16,36,4,en
I can't believe it has already been a month since he left. https://t.co/mFtu1dr5vn,2016-02-10 16:32:57,66,6,en
I ALSO ENJOY YELLING !!!!!!!!!!!!!!,2016-02-10 00:55:52,68,12,en
I was reading an old Us Weekly at the nail salon &amp; got out my phone to take a pic of a page that had a photo of Jason Statham at the beach,2016-02-09 18:30:52,28,1,en
"But I never wave bye-bye...
https://t.co/fazzkyJAPO",2016-02-08 06:40:45,80,3,en
"TED Talk: How I Continue to Rule Harder Every Day Just When You Thought I Was Already the Rulingest, by Beyoncé",2016-02-07 00:02:59,46,8,en
just 140 fire emojis here for the new Beyonce video,2016-02-06 23:59:20,35,6,en
"Last weekend, I bought a suit that looks like this. I think I'm going to wear it to my dentist appointment tomorrow. https://t.co/s08OdckZZV",2016-02-03 05:34:02,120,6,en
I took a walk w/ @KarenKilgariff to enjoy these brisk L.A. winds of change &amp; she kept trying to sincerely push the film Pay It Forward on me,2016-02-02 07:21:30,51,0,en
I just listened to Christmas In Hollis four times in a row alone in my car,2016-01-31 07:20:41,84,6,en
RT @howardkremer: 7-Eleven Cent Store. Everything costs $7.11,2016-01-30 07:34:02,27,0,en
RT @midnight: Tonight on @comedycentral our #PointsMe challenger competes against @Apey &amp; @kylekinane! Who will it be? Tune in tonight! ⚡️⚡️,2016-01-29 00:24:31,33,2,en
"🎶 I'm happy, hope you're happy too 🎶",2016-01-26 02:10:47,62,8,en
Dudes! @kylekinane &amp; I once went to Red Lobster before seeing Prince in concert; this wk we're on @midnight together https://t.co/g7Pl4p9IYV,2016-01-25 17:31:41,73,2,en
"So @gibblertron asked ""Is the band 311 from Omaha?"" @KarenKilgariff picked up her phone to look &amp; I said ""Are you dialing 311 to find out?""",2016-01-24 06:52:22,52,1,en
"Please let me be the 5,000,000,000,000th person to bring this very important link to your attention (via @hardwick): https://t.co/jTeNaDsSvF",2016-01-22 04:59:45,40,7,en
"If you don't eat cheese &amp; crackers as a full meal at least once a week, I'm curious: What's it like being a debutante and/or royalty?",2016-01-21 20:48:40,158,37,en
"I've been crying laughing at this short film @reynoldsgareth made for the last 15 minutes, like a total lunatic: https://t.co/Cty1yerZyg",2016-01-19 02:23:10,30,3,en
"🎶 boys keep swinging, boys always work it out 🎶 (with total badasses @gibblertron and @thealisonbecker) https://t.co/H5pNd8jrEL",2016-01-18 21:54:30,19,2,en
Nashville's hot lumberjack-y bearded dude game is #strong,2016-01-16 20:22:28,41,1,en
Shout outs to each of the two cars having an intense honk-off outside my window rn,2016-01-16 08:48:50,51,4,en
OH MY GOD I'm here right now and Elton John is opening with Funeral for a Friend 😢⚡ Too devastatingly perfect. https://t.co/A0tuQMSB6u,2016-01-14 04:19:01,37,5,en
IF I WIN THE POWERBALL I WILL THROW A JOKER MONEY PARADE FOR THE WORLD (WITHOUT ANY POISONOUS GAS) THIS IS MY PROMISE TO YOU,2016-01-14 03:20:44,169,31,en
Friends come together to mourn/celebrate 😢⚡️ // RT @ChipPope: #DavidBowie #UnderPressure https://t.co/n9mTfn1z6B,2016-01-12 07:28:47,63,6,en
'CAUSE LOVE'S SUCH AN OLD FASHIONED WORD AND LOVE DARES YOU TO CARE FOR THE PEOPLE ON THE EDGE OF THE NIGHT AND LOVE DARES YOU TO CHANGE,2016-01-11 15:45:21,101,23,en
"RT @maura: ""His death was no different from his life - a work of Art."" - Tony Visconti  https://t.co/ad7D1okgSn",2016-01-11 09:21:11,21,3,en
"Anyone who makes art that makes weird/queer/ostracized kids feel good about being weird themselves is a fucking saint, and he was the POPE.",2016-01-11 08:59:27,671,315,en
"that damn ""moments"" symbol is now an Aladdin Sane lightning bolt",2016-01-11 08:23:07,51,8,en
PLANET EARTH IS BLUE,2016-01-11 08:11:59,564,221,en
SOUL LOVE: https://t.co/JCCKAHAADD,2016-01-11 07:58:22,35,4,en
"God it feels so dumb to be tweeting but I SWEAR this is like grief counseling right now, this one hits HARD, HOW IS BOWIE GONE ALREADY",2016-01-11 07:34:06,170,13,en
"RIP to probably the most creative person who ever lived, who redefined music/art/gender/etc &amp; will remain the gold standard of cool FOREVER.",2016-01-11 07:31:34,311,122,en
I am not joking in any way shape or form when I say it never even occurred to me that it was possible for David Bowie to not exist anymore,2016-01-11 07:12:28,6109,4530,en
"SHUT UP EVERYBODY IT'S OUR NATION'S UNCLE, MR. @TOMHANKS #HANX #goldenglobes",2016-01-11 03:05:08,127,25,en
"Just saw someone riding their bike through heavy snowfall at 2 in the morning; Bloomington, I like you.",2016-01-10 07:00:18,43,1,en
"The SUPREMELY gifted @BoobsRadley PERFECTLY captured the exact experience of being an ""ugly""/funny female kid &amp; more https://t.co/5TasY6ZxId",2016-01-10 05:04:20,44,11,en
