text,created_at,favorite_count,retweet_count,lang
IDEA: podcast hosts who don't conversationally steamroll the shit out of their guests,2016-03-26 05:00:43,159,7,en
fondly remembering the night of my birth https://t.co/rdUof1lenr,2016-03-26 03:22:37,129,28,en
"Batman v Superman pitch meeting: ""what if our superheroes were just as shitty as we are""",2016-03-25 23:13:27,199,64,en
"BATMAN V SUPERMAN THOUGHTS: ""if I forget the Batman and Superman I love the most, this movie is tolerable""",2016-03-25 08:04:22,81,7,en
this shit's gone too far https://t.co/shIoneS57t,2016-03-25 04:10:07,100,13,en
probably my favorite episode of Sex and the City https://t.co/Brwi6L3lYa,2016-03-24 20:03:22,121,37,en
feel free to hate the WW costumes but Oscar-winning costume designer (&amp; 67 y.o. woman) Lindy Hemming created them https://t.co/I7bgjyymAk,2016-03-24 17:14:05,66,13,en
I am super invested in the outcome of Batman v Superman https://t.co/42T5XCl0Yo,2016-03-23 23:52:36,199,88,en
"saw a tweet the other day about how it ""doesn't make sense"" Superman stops crimes but not cancer &amp; I'm still mad about how bad the tweet was",2016-03-23 22:03:54,106,13,en
the Sleeper has awakened https://t.co/HbBeQ5aAwY,2016-03-23 19:52:16,116,16,en
I must respectfully disagree with this opinion that is boring &amp; wrong https://t.co/nsIs5RpKoO,2016-03-23 19:47:38,88,4,en
shocking 2 think I'm single as I sit here debating which Apollo Creed action figures I want to buy,2016-03-23 06:05:04,114,15,en
"join me in being haunted by the knowledge that originally Death Wish was going to be directed by Sidney Lumet, with Jack Lemmon starring",2016-03-23 04:31:51,92,23,en
me checking Batman v Superman's score on rotten tomatoes https://t.co/jDXf0wn0g5,2016-03-22 22:56:13,162,30,en
I wrote 3 articles for the Civil War issue of Birth.Movies.Death. mag &amp; you can preorder now https://t.co/RxmHJccaJn https://t.co/RQO9UcbcXm,2016-03-22 22:19:22,57,3,en
only 90s kids will remember this https://t.co/ih3um6IfZ0,2016-03-22 18:13:52,194,71,en
ever think about the time Murtaugh almost died on the toilet in Lethal Weapon2 but Riggs was there for him &amp; you cry a little? uh me neither,2016-03-22 09:06:07,75,6,en
pssst I wrote 3 pieces for the Captain America: Civil War issue of Birth.Movies.Death. magazine &amp; I'm too excited not to tweet about it,2016-03-22 07:28:41,91,4,en
imagine not knowing that Iron Man Three is the best Iron Man movie,2016-03-22 03:08:24,166,27,en
me on a date https://t.co/PrrEqQIJyU,2016-03-21 23:59:07,129,22,en
my Tinder bio https://t.co/tcMDuZM0oQ,2016-03-21 04:13:28,116,18,en
first date idea https://t.co/LoTVRRaY7d,2016-03-20 21:44:59,83,17,en
I am suddenly very interested in justice in Chicago https://t.co/OsXOoMuy9L,2016-03-20 21:14:14,93,2,en
I fucking love science https://t.co/CxbgL3Pq9M,2016-03-20 16:54:41,163,19,en
I'm on episode 2 of Daredevil and -- spoilers -- Punisher saved a dog so I guess I gotta be on his side,2016-03-20 08:38:45,113,6,en
you're missing out if you don't read Tom Hardy's 2005 account of rescuing a cat in Romania https://t.co/fvSiyhrXXz https://t.co/9TKyOn2f8b,2016-03-20 05:27:11,170,70,en
"this ""film critic"" should not be allowed to write about movies, or watch them https://t.co/cw7kIzTiNY",2016-03-20 04:15:49,114,13,en
anyway look at these amazing photographs of Muhammad Ali by Carl Fischer inspired by The Martyrdom of St Sebastian https://t.co/jnGbWSQ6G0,2016-03-20 02:15:37,166,59,en
honestly can't wait until Thursday to find out how bad Batman v Superman is,2016-03-19 21:42:41,107,19,en
thinkpieces are illegal now https://t.co/6P8xLHi6nO,2016-03-19 18:29:49,73,4,en
Tinder https://t.co/zIsE6UBrxE,2016-03-19 17:09:57,200,47,en
"I know that people say Bad Boys II is not good but, hear me out -- it is good",2016-03-19 03:10:53,114,17,en
current anxiety level https://t.co/8ljSgOUGPS,2016-03-19 01:06:45,122,26,en
let's work together to bring back the luxurious action-movie mullet of the 80s https://t.co/4bTrhWdWER,2016-03-18 19:03:49,504,216,en
me reading my mentions https://t.co/6vSvBSIu4Z,2016-03-18 18:11:34,85,4,en
happy birthday Kurt Russell you beautiful bastard https://t.co/uyvofRqo87,2016-03-18 04:07:16,139,22,en
me flirting https://t.co/6d2KpsZvLB,2016-03-18 03:14:06,122,22,en
when you just paid self-employment taxes https://t.co/t4UIYcKsaW,2016-03-17 22:12:56,100,20,en
Larry Shinoda's Corvette renderings (1963 &amp; 1962 respectively) https://t.co/XzCcOhJEo2,2016-03-17 20:10:45,32,6,en
"here, take my business card https://t.co/0oLPbkvDjK",2016-03-17 19:46:04,545,202,en
I can't fucking deal with this today https://t.co/wo7yW3BNm4,2016-03-17 17:04:47,70,8,en
