text,created_at,favorite_count,retweet_count,lang
doing a speed run of every episode of  Cheers,2016-03-26 18:49:19,15,0,en
"""howve you been""
well, to be honest, ive been letting the water hold me down a bit lately",2016-03-26 16:42:26,14,6,en
"just thought about how there could potentially be a nostalgia band in the future called ""the new millennials"" and a chill went down my spine",2016-03-26 04:34:31,38,4,en
its not warm enough to listen to The Band yet,2016-03-26 03:16:47,25,6,en
"we demand a Badfinger emoji,",2016-03-26 02:58:56,8,1,en
Tonight is a Badfinger night,2016-03-26 02:43:38,17,1,en
"extremely iggy pop voice ""I am the passenger / this train smells like piss""",2016-03-26 01:36:28,30,2,en
"Its friday, I'm gonna cut loose. anybody asks me about venn diagrams im gonna pronounce it vent diagram. Fuck it",2016-03-26 01:25:24,35,10,en
smells like barbecue in this bathroom. and that can only mean one thing.,2016-03-26 00:06:07,10,1,en
"mid 80's stones. how do we feel about this? I'm a fan of Tattoo You, always will be. But what about the other 8 years of content",2016-03-25 19:23:50,5,0,en
"""success"" by iggy pop will forever be one of my favorite songs and always puts me in a better mood than the mood i was in before.",2016-03-24 23:42:44,27,0,en
the original master of Revolver had the counting at the beginning of Taxman continue through every song on the album,2016-03-24 18:15:49,16,3,en
"clicks mic during recording let it be recording session ""John i think you're singing 'dig up a pony' - it's just dig a pony. lets go again""",2016-03-24 17:53:07,28,1,en
"I'm glad ello still exists. in the same way, Im glad that the concept of the airship still exists.",2016-03-24 16:58:09,19,2,en
"ok, time to put this one on the table: thoughts on ""everybody wants to rule the world"" by tears for fears. good or bad.",2016-03-24 14:48:13,26,1,en
the first podcast exclusively sound designed to be listened to on the toilet,2016-03-24 14:46:56,12,0,en
It was originally going to be CROATOAN: AN OPEN LETTER but they bailed on the roanoke colony before they could finish,2016-03-24 02:04:18,16,4,en
"took a look over at the royals game and the guy they're talking too i thought was david byrne and i was like ""good offseason move, royals""",2016-03-23 02:45:52,23,1,en
i think the best part about being in the world of Tron is knowing that you would get a reboot 18 years later.,2016-03-23 02:42:51,15,0,en
There's taco sauce I buy. It gets stuck in the cap when I shake it then gets all over my clothes when I open it. Anyway don't buy that sauce,2016-03-23 01:58:29,13,3,en
"I'm gonna start greeting everyone the way he says ""hey"" at the beginning of that Ministry song Work for Love",2016-03-23 01:09:56,12,1,en
"Tears for fears, huh? *sliding album out of sleeve* Which fears specifically? *placing on turntable* Spiders? *lowering needle* Commitment?",2016-03-23 00:50:29,376,151,en
reboot scorsese's Casino but with new jersey's legalized online casinos instead of physical ones,2016-03-22 21:38:55,18,2,en
during the recording sessions for wu tang's 36 chambers I was ejected from the studio for continuously hitting the fart sound on the sampler,2016-03-22 19:19:22,43,9,en
"Welcome to the jungle"" mr axl says. ""Not til I've had my coffee!!"" I reply,",2016-03-22 19:01:40,41,7,en
"First band meeting for Korn ""ok, yall have 3 beans. Put a bean on the letter you want to be turned backwards when we spell Korn""",2016-03-22 01:53:49,41,8,en
her name is rio and she dances on the sand / rio is Spanish for river,2016-03-22 01:43:04,30,3,en
holy shit!!! trump just announced the rest of his foreign policy team: the whole sea of sailing stones!! https://t.co/QYaIihcWD7,2016-03-21 21:43:20,26,2,en
can't argue with trump's first pick for his team of foreign policy advisers https://t.co/gKxPkeWtgI,2016-03-21 21:28:35,51,3,en
