text,created_at,favorite_count,retweet_count,lang
"DE NIRO: ""So you're a male nurse, Focker?""
STILLER: ""Yeah, so I know that vaccines don't cause autism, asshole.""",2016-03-26 15:20:58,109,41,en
The only good thing Jim Boeheim's ever done is show up in the background of this GIF https://t.co/d2MDwR3WSD,2016-03-26 03:55:23,30,9,en
My sister went to Syracuse.  On Sunday we find out which one of us our parents love more.,2016-03-26 03:49:05,78,7,en
If a bird landed on Ted Cruz's lectern he'd probably unhinge his jaw and swallow it whole.,2016-03-26 03:36:10,93,35,en
We're so close to living the dream: USMNT Coach Harry Redknapp,2016-03-26 03:14:09,31,13,en
Time for Gonzaga to go to their bench https://t.co/2xgqhFUcci,2016-03-26 03:00:54,47,5,en
In the postgame handshake Tom Crean is going to ask Roy Williams if Tobacco Road is a real road,2016-03-26 02:54:17,19,2,en
"I've been rewatching East Bound &amp; Down and it's even funnier than I remember.  Also, possibly the best TV show soundtrack ever.",2016-03-26 02:36:41,73,8,en
"I bet Chris Christie goes up to total strangers eating popcorn at movies and says ""Hey you should put some Milk Duds in there""",2016-03-26 02:23:15,53,9,en
Whoa check out this picture of Chris Christie with his M&amp;Ms https://t.co/MNgNeotpNI,2016-03-26 02:21:12,75,23,en
"So many good times we've had with advertising icons like the Toyota lady, Progressive lady and AT&amp;T lady whose names we all remember",2016-03-26 02:14:33,16,1,en
The Syracuse basketball team are the only Orangemen with big hands,2016-03-26 02:10:19,42,11,en
Syracuse is the best school in upstate New York other than SUNY-Cornell,2016-03-26 02:01:40,22,8,en
Wisconsin should buy something https://t.co/7WRwV0FLVA,2016-03-26 01:33:03,19,7,en
I figured Notre Dame would wait until Sunday for their comeback after getting buried today,2016-03-26 01:29:38,71,41,en
"Wisconsin is amped up because, thanks to Ted Cruz, Bo Ryan is no longer part of the grossest sex scandal of 2016",2016-03-26 01:16:15,32,13,en
"Oh and you're welcome for the Louisiana Purchase, Iowa State",2016-03-26 01:12:28,17,3,en
"Email from my Mom: ""What does 'always reppin' mean?""",2016-03-26 01:03:56,37,7,en
I am doing my best to not make a cheerleader ball in the face joke,2016-03-26 01:02:52,13,3,en
Iowa State is going to spend halftime talking about how Tony Bennett is way more handsome than they expected.,2016-03-26 00:05:19,115,58,en
Nader could cost the people on his side a major victory.  Not the first time that sentence has been written.,2016-03-25 23:55:34,8,2,en
UVA is leading Iowa State 17-3 and no it's not a bowl game in its first year,2016-03-25 23:21:19,58,21,en
Neil DeGrasse Tyson thinks he's blowing your mind when he says the opposite of progress is Congress,2016-03-25 19:37:10,44,5,en
"A lot of stories today are coming from a dubious source of information. I'm talking, of course, about the TriBeCa Film Festival.",2016-03-25 17:51:39,5,0,en
"His last words were ""I prefer to be called the second-in-command of ISIL, not ISIS""",2016-03-25 15:10:54,22,3,en
Maybe Ted Cruz wants Muslim Patrols because Islam frowns upon adultery,2016-03-25 13:15:46,36,10,en
Anonymous is reporting that Ted Cruz had an affair with Megyn Kelly purple monkey dishwasher,2016-03-25 13:05:10,50,6,en
I did not need a political scandal involving a naked Ted Cruz,2016-03-25 11:15:57,35,10,en
Coach K takes solace in the fact that North Carolina banned antidiscrimination protections,2016-03-25 04:12:34,30,7,en
Don't piss off Grayson Allen or he'll bulldoze the local rec center and replace it with condos,2016-03-25 04:11:49,134,61,en
Perry Ellis was born a month before Joe Carter's home run.  You probably remember that home run.  Now who's old?,2016-03-25 03:21:10,32,8,en
I don't think Diamond Stone is GIA certified,2016-03-25 03:14:16,7,0,en
Oregon is the most corncob 1 seed since they gave one to Gonzaga.  At least try to play like you're favorites.,2016-03-25 02:56:24,6,1,en
"Grayson Allen loves Anaheim, home of Disneyland, because it's a city that's used to trips",2016-03-25 02:36:46,37,25,en
"Maryland fans hope that, if they beat Kansas, Duke fans will finally notice them",2016-03-25 02:34:57,17,5,en
Ricky Gervais doesnt believe in God. But you know what he does believe in? The deal you get from a Verizon family plan in the Continental US,2016-03-25 00:26:15,84,25,en
Guys! My parents were cleaning out the house (they're moving to the beach) and found my old camera!,2016-03-24 23:35:29,7,0,en
To keep the 2017 All Star Game in Charlotte Bobcats owner Michael Jordan needs to cut a deal with State of North Carolina owner Art Pope,2016-03-24 23:14:19,17,6,en
The winner of Miami-Villanova will advance off the Georgetown wait list,2016-03-24 22:49:57,34,16,en
The Garry Shandling Comedians In Cars Getting Coffee is especially poignant now https://t.co/2GxcRBpZXV,2016-03-24 20:34:01,105,57,en
RIP Garry Shandling.  He was David Bowie but for Jewish nerds.,2016-03-24 20:25:17,132,57,en
This is bad news because Debbie Wasserman Schultz is a lousy Democrat and deserves to lose her primary https://t.co/2cNfydVQzO,2016-03-24 17:37:08,38,18,en
Better robot story: HitchBOT getting beat up in Philadelphia or Microsoft creating a Nazi sex freak teen girl AI?,2016-03-24 17:29:10,7,5,en
"I know this is politically controversial, but I think transgender people should be allowed to poop",2016-03-24 15:56:26,83,27,en
"Summing up the '00s in 7 words: My neck, my back, let's invade Iraq",2016-03-24 13:53:49,64,20,en
Georgia and Texas are the two places where everyone I met from there is cool and nobody can explain why their state legislature is like that,2016-03-24 11:18:34,63,16,en
The last episode of @hardcorehistory is sooooo good.  Worth the wait (and it was quite the wait).,2016-03-24 00:59:34,26,2,en
"Life is a popcorn tin. I'm caramel. My best friend is butter. Todd, a loser that my parents make us hang out with, is cheese.",2016-03-23 22:43:02,26,3,en
Seriously what the fuck https://t.co/2NkcVg4lap,2016-03-23 11:03:45,136,10,en
Arguing Seinfeld and Martin - the OJ jury was a microcosm of 1995 America,2016-03-23 02:11:04,18,3,en
"Ben Affleck's Batman is gritty and realistic, just like my poops",2016-03-22 21:59:50,19,2,en
Read @jonahkeri on Millennials and then never read a stupid Millennials trend piece again https://t.co/E5V3vKbigg,2016-03-22 21:47:17,104,59,en
An oral history of the time I went viral:,2016-03-22 21:08:21,8,0,en
"26 dead in Brussels: ""Close the borders, it could happen here!""
26 dead in Newtown: ""That's just how it is in America, get used to it.""",2016-03-22 12:05:49,8319,8670,en
I much preferred waking up to news that Texas A&amp;M came back somehow,2016-03-22 11:46:54,36,7,en
My 4-year-old dog read Donald Trump's interview with the Washington Post and it made him start licking himself before he took a nap.,2016-03-22 00:25:29,44,14,en
If you think you're having a bad day just imagine what @Reince is going through https://t.co/nqDduDP3ZS,2016-03-21 22:47:02,151,136,en
Donald Trump is about to speak at the Verizon Center. Must be intimidating giving a speech beneath all the Capitals' division title banners.,2016-03-21 22:16:39,57,30,en
Can't help but feel awful for Rob Ford. For a few months Twitter was basically a Toronto municipal politics website.,2016-03-21 22:02:06,14,1,en
Been a good week for the bandana biz,2016-03-21 21:59:26,7,0,en
Barbie over Prince Akeem is bullshit https://t.co/Xe5fVkTWSb,2016-03-21 19:29:11,27,9,en
No Trump endorsement has bummed me out as much as Jon Taffer's,2016-03-21 18:39:38,34,8,en
Pictured: Drake LaRoche (left) with his father Adam (right) in the White Sox clubhouse https://t.co/sJahgls4he,2016-03-21 18:06:42,120,44,en
The proper name of Batman v. Superman is Wayne Enterprises LLC v. Daily Planet Holding Corp et al,2016-03-21 17:55:18,78,39,en
In 2010 and 2014 Democrats insisted they could win if they stuck to local issues https://t.co/sckVXbsarS,2016-03-21 14:09:35,7,2,en
It's Twitter's birthday so we're going to spend the day arguing about whether to get it a cake or a pie,2016-03-21 12:23:49,33,12,en
