text,created_at,favorite_count,retweet_count,lang
I shot a man in Reno for putting the lime in the coconut,2016-03-25 15:08:02,345,87,en
I didn’t tweet anything today so you can like and RT this tweet instead as a placeholder. Enjoy!,2016-03-25 04:27:28,207,21,en
"Happy birthday to @davedittell. Everyone wish him a miserable day, it’s how he would want it.",2016-03-24 16:05:29,53,4,en
"*heely kick flips over Bush doing 9/11 while vaping on April 20th 1969*
Parkour",2016-03-24 03:41:58,608,195,en
Beautiful spring day here in Colorado https://t.co/4znDUWmVcy,2016-03-23 16:47:03,275,25,en
I'm the guy at the gym who yells PASS ME THE BALL I'M OPEN when I'm not really open. I also support Donald Trump,2016-03-22 23:44:24,384,116,en
Here’s a message for all my haters: my mom says she agrees with you,2016-03-21 15:44:23,451,198,en
"Thank you to everyone for all the birthday wishes yesterday, even if 90% of them were “Bucky is old” jokes. You guys are pretty cool.",2016-03-21 14:54:25,150,9,en
*watches loved one slowly die from painful and debilitating disease* damn Daniel,2016-03-20 22:32:02,706,206,en
I need everyone to come together and will Wichita State to this victory. Do it for me. Do it for Joe Biden.,2016-03-19 17:52:13,203,39,en
"ME: nearest restaurant
SIRI: KILL YOURSELF
ME: What?
SIRI: END IT ALL
ME: must be a bug
SIRI: FINE DENNY’S
ME: go back to the 1st option",2016-03-19 16:33:33,891,265,en
"The ""E"" in Eazy E stands for electrocardiograph",2016-03-18 17:12:45,299,132,en
"TGIF
Tell
God
I'm
Failing",2016-03-18 16:28:42,515,263,en
What’s your favorite song about cursing the government for not using your taxes to fill holes with more cement?,2016-03-18 14:53:22,684,305,en
Starting to regret picking the Cleveland Browns to win the NCAA tourney,2016-03-18 04:09:45,383,163,en
If you fill your vape pen with cherry cough syrup you get to talk to God,2016-03-17 21:07:10,878,443,en
Everyone is on this bandwagon I presume https://t.co/dE29Okmxki,2016-03-17 16:01:42,82,7,en
In his college years Jesus could turn oregano into weed,2016-03-17 03:02:07,3391,1664,en
Apparently this is real and also proof that God exists and thinks we’re hilarious https://t.co/JPAxaEiLfL,2016-03-16 21:58:05,1383,730,en
Donald Trump is the first Presidential candidate to campaign on the platform of “u mad bro”,2016-03-16 17:36:29,1005,358,en
"*Obama steps to podium*
My nominee for the Supreme Court is-
*Biden grabs mic*
METALLICA. THE ENTIRE BAND. EXCEPT FOR LARS.
*press cheers*",2016-03-16 14:13:37,1004,431,en
Playing my first dad softball game of the season. Given my physical fitness level my next tweet will be from the hospital. #RIPBucky,2016-03-16 00:02:27,148,22,en
Before the Last Supper there was the Last Brunch where Jesus turned water into mimosas and Judas threw up in the omelet station,2016-03-15 20:15:47,586,247,en
I hope the voters in Ohio don’t see this https://t.co/l9hCxfarTz,2016-03-15 18:08:54,404,144,en
"UBER DRIVER: Where to
ME: Take me to wherever cool handsome people like me hang out
UBER DRIVER: …
ME: …
UBER DRIVER: …
ME: Denny’s",2016-03-15 02:40:35,556,175,en
“Don’t fuck with me. I shot a man in Reno just to watch him die.” https://t.co/mGGhaLbOIG,2016-03-14 21:22:55,636,175,en
