text,created_at,favorite_count,retweet_count,lang
"🎶 Blog so hard, motherfuckers want to use my content without permission",2016-03-26 17:29:25,63,4,en
"I slap a ""WIDE LOAD"" sign with flags and flashing lights on my Volvo to warn other drivers when I've got to drive home fast to take a shit",2016-03-26 17:03:21,53,10,en
"An ice cube with wings lands on Bernie Sanders' podium. 
He points, smiles, &amp; says ""Chill fam""
Millennials everywhere simultaneously cum",2016-03-26 15:52:30,140,34,en
March Madness is cool but I can't wait to get back to some November Normalcy,2016-03-26 04:46:33,95,24,en
"Uhh, Wonder Woman?
Excuse me but it should be Wonder WOMEN because all women are super",2016-03-25 22:33:52,160,42,en
"biden: you haven't seen it?
obama: no
biden: ok watch pull up YouTube and type ""Kim K smoky eye tutorial""",2016-03-25 19:10:18,311,108,en
"i want to buy Playboy and turn it into a classy periodical for the young boy who loves to roughhouse. plus, i'll bring back the titties",2016-03-25 17:53:30,69,1,en
"Batman: whoa who's the chick
Superman: lol, I thought she's w/ u
Batman: lol no
Superwoman: u guys are not woke at all and this movie is bad",2016-03-25 17:31:13,129,22,en
"""Cross Fit"" was a lot different for Jesus",2016-03-25 03:32:32,232,46,en
cool dead bird collection you weird old nerds https://t.co/kjydrWUN9F,2016-03-24 21:19:45,174,31,en
"what's a Dickfor?
i told you already, Dickfor's the guy on first base
but then what's a Buttfor?
Buttfor's on second!

thank you",2016-03-23 23:31:31,60,2,en
Share if u agree https://t.co/JvLxwGIVYE,2016-03-23 20:35:04,9,2,en
My friend is working to bring clean water to the entire nation of Mozambique. Holy shit. Please consider donating! https://t.co/Xr8iOv4RLI,2016-03-23 03:55:15,16,1,en
Hello @NASA If you make me an astronaut I will change my name to Arnie Asteroid just for u,2016-03-23 01:26:47,120,22,en
"haha wow i love bacon
haha i love wood and his mustache is very epic win
haha i love ron swanson he can make bacon

https://t.co/ZWyVVnRekH",2016-03-23 00:14:49,52,3,en
"Damn, look at your dog's penis..
Anyway, let's talk crown moulding

-me as a contractor",2016-03-22 20:04:58,83,6,en
"Judge: approach the bench
Me: only the lord can judge me
Judge: this is real, this isn't Twitter, you're on trial for grand larceny
Me: well",2016-03-22 19:32:06,130,25,en
"i'm not really into ASMR, i'm more into ASL
haha do u want to kiss",2016-03-21 23:26:04,73,8,en
"""Put a bird on it""

Haha it's from this TV show I like",2016-03-21 21:08:26,130,17,en
Me? Haha no I'm not drinking whisky out of a coffee mug at home by myself,2016-03-20 04:35:11,145,33,en
"I'm not just any robot, I'm a TittyBoy9000™",2016-03-19 05:00:14,121,19,en
