text,created_at,favorite_count,retweet_count,lang
anyone have a westside rentals login or want 2 share one,2016-03-25 19:50:07,1,0,en
no i changed my mind its hot,2016-03-24 23:18:48,25,1,en
actually its just very warm,2016-03-24 22:37:52,17,2,en
it's very hot outside,2016-03-24 22:02:08,27,1,en
https://t.co/2NtYcZYaxw,2016-03-23 05:10:12,60,2,und
i'm doing unbelievably well in this bracket except for the small fact that i have michigan st winning it all lol https://t.co/EjFhDfn9Uo,2016-03-19 19:25:13,39,1,en
hey you! you in the mitsubishi! https://t.co/oWe9kzx7Le,2016-03-19 05:36:56,182,23,en
"i knew this guy who would always say ""what's the big o deal"" instead of ""what's up"" n i thought that was pretty cool. logging off now",2016-03-19 02:49:33,82,6,en
daaaamn papaw haha. lol,2016-03-17 21:52:47,44,3,tl
this dude @ItsPaxton on the voice is so tight. im watching the voice,2016-03-15 04:19:29,13,0,en
whose everyone voting for,2016-03-13 02:38:40,36,3,en
ok calm down https://t.co/8pC6EzV4sx,2016-03-12 17:12:32,70,2,en
congrats to all the international women,2016-03-08 19:05:51,144,40,en
so tight whenever steve on sex &amp; the city plays basketball,2016-03-08 18:20:01,67,9,en
not another teen movie should be criterion collection,2016-03-06 01:54:50,82,10,en
the internet is home to over 1000 websites,2016-03-05 08:53:36,154,18,en
my uber rating is 4.9 &amp; im 100% sure it's not a 5 cause of this one time @mylifeasliz_liz was misbehaving 2 years ago,2016-03-04 01:31:48,21,0,en
LA: if anyone knows of a good apartment or bedroom on the westside available soon pls let me know!,2016-03-02 21:00:52,14,1,en
this guy rules https://t.co/PKSzTdrSFo,2016-02-29 20:48:58,66,3,en
when u do some wild shit lol,2016-02-29 03:07:29,24,1,en
every day theres so many posts,2016-02-29 01:30:16,55,4,en
me mates a wanker,2016-02-28 23:36:53,31,4,en
when your mates a wanker,2016-02-28 23:08:34,43,3,en
mate your a wanker,2016-02-28 23:00:15,31,1,en
"what if, as a joke, just like a total troll thing, none of us tweeted oscars jokes tonight",2016-02-28 20:49:36,121,16,en
i gotta say at that time i'd like to meet sufjan,2016-02-28 06:19:41,59,10,en
Stop Culturally Appropriating My Memes,2016-02-27 22:44:02,67,15,en
what's the funniest thing u ever seen your parents do,2016-02-26 22:44:00,19,1,en
"good joke i just thought of if youre a college student

ya i'm classist.... i hate going to class!",2016-02-26 22:28:35,120,9,en
