text,created_at,favorite_count,retweet_count,lang
LIVE on #Periscope: ICCA quarterfinal great lakes https://t.co/H35jNnprzr,2016-02-07 03:06:54,0,0,en
LIVE on #Periscope: chilling in Ann Arbor https://t.co/2ESQnhM0p9,2016-01-28 20:10:42,0,0,en
LIVE on #Periscope: umich usb fire drill https://t.co/92BFSSqf5w,2016-01-27 20:58:24,1,0,en
Oreos are the default currency in our house. #dippin,2015-11-04 22:42:29,5,0,en
Twitter moments is so good it made me stay in bed for a full hour this morning gobbling content.,2015-11-03 20:07:01,2,0,en
"What kind of OS does the Michigan Union run?
UMIX",2015-11-03 16:27:20,3,0,en
Ctools and Chill,2015-10-28 15:23:41,10,7,en
"HACKER JOKE
Guy at Party: Yo can I get some of that Rum?
Hacker: Yeah man just submit a PR.",2015-10-09 01:06:51,2,1,en
Russia… WHAT IS YOU DOIN?,2015-10-08 18:44:41,1,0,en
Windows 95 N' Chill,2015-10-07 15:45:16,8,2,en
Market is tanking. I am a sad pony.,2015-09-28 18:36:17,3,0,en
"Spotify's Discover Weekly playlist is always amazing. SRSLY, check it out.",2015-09-28 00:06:11,2,0,en
"Just heard someone say, ""Good luck on your flight!""…",2015-09-27 16:42:55,1,0,en
"Ross HW Q, ""You're buying a new $194,000 Ferrari…"" #okey",2015-09-25 22:24:57,2,0,en
"Then again he's a man of few words…. 
Only 12 apparently lol.",2015-09-25 21:28:25,0,0,en
"Viktor Krum's ""this tent is for champions"" line is his ONLY LINE in the entire movie…. so sad.",2015-09-25 21:27:31,1,0,en
False alarm is was my fan lol,2015-09-24 16:41:47,5,0,en
Is there an earthquake going on in AA rn?,2015-09-24 16:40:17,2,0,en
"Oh that's not a bug, that's a feature!",2015-09-23 18:57:35,1,1,en
Hey @tacobell what about Doritos Narcos Tacos? Little extra kick? @NarcosNetflix,2015-09-23 06:18:55,1,0,en
"If you answer a call in the Union Study Room, get ready to get tossed.",2015-09-22 16:40:50,4,0,en
"In an effort to save time and money, I will now be typing ""oh"" as just ""o"". Studies show it will save me $2.3 million and 1 year of life.",2015-09-22 15:30:33,5,0,en
"#sanfrancisco is so hot right now. Commercials, fonts, companies. THE CITY BABY.",2015-09-22 15:23:00,3,0,en
"This looks amazing https://t.co/QhTAy37O64
@pdubslax you gotta peep this",2015-09-22 15:18:38,1,0,en
"NFL Redzone is just SO MUCH. If you like getting blasted with sports for 5hrs, then sign up today lol",2015-09-20 17:41:53,0,0,en
"""I'm not crazy, I'm just ahead of the curve""
- The Joker, talking about #soylent",2015-09-20 16:21:16,2,1,en
Constantly torn between beautiful fonts and the simplicity of Courier New.,2015-09-20 02:49:13,0,0,en
"President Schlissel + fo shizzle
= fo shlizzle? is there something there? Somebody make a joke out of this plz.",2015-09-20 02:16:41,2,0,en
"new abbrev.
srybt = Sorry about that",2015-09-18 15:26:11,3,2,en
Nothing on the web really slaps you like a mailto: link. I guess it's good to see the default mail client ever year or so.,2015-09-18 03:53:20,1,0,en
"Wow, sublime users http://t.co/wyiJUpoXep",2015-09-18 03:46:24,0,0,en
Finally I can find out why Becky didn't invite me to her birthday party. http://t.co/nNtY5eVRxs,2015-09-17 22:23:18,0,0,en
"Idk why I ever doubted you NTFLX, $2.50 later and I couldn't be happier. #goingstrong",2015-09-17 17:18:50,0,0,en
If you want to introduce some emotional turbulence into your life then absolutely download the Robinhood trading app. #robinhood,2015-09-17 17:07:59,0,0,en
"Starting the day by loosing $3 on NETFLIX stock, IS GON BE A GUD DAY.",2015-09-17 14:40:36,3,0,en
After passing out for 3 hours somewhere on north campus I have decided to abort #dayofsoylent. Currently enjoying a bowl of cereal.,2015-09-17 03:12:50,3,0,en
Woah currently feeling dangerous levels of hype af fn during #dayofsoylent. Bout to run to the music to record a quick EP.,2015-09-16 16:58:10,0,0,en
"That last tweet had a little SO to all you web servers out there, keep serving that cheese. #uncerveza #porfavor",2015-09-16 16:18:10,0,0,en
"Similar to the taste of #soylent, my #dayofsoylent has been pretty bland so far.. no serious health concerns yet. everything is 200.",2015-09-16 16:15:26,1,0,en
"10:30am first #soylent meal of the #dayofsoylent. Still alive, still healthy, still happy. I'll make sure to tweet any side-effects!",2015-09-16 14:47:05,4,0,en
Tomorrow I will be exclusively drinking #soylent for food. Also I will live tweet every ounce of it.,2015-09-15 22:59:27,2,1,en
Got so charged up in lecture today I almost asked a follow-up question.,2015-09-15 20:06:54,11,0,en
"When you take notes in cursive, you put the ""Class"" back in ""class""",2015-09-15 19:33:12,7,0,en
This looks really cool http://t.co/zRqlXOv4v5 someone make the android app plz,2015-09-15 03:29:36,1,0,en
Try out the Russian Google http://t.co/H6JiyLhH72,2015-09-14 19:53:06,0,0,en
Ann Arbor currently 1000% humid.,2015-09-08 05:00:14,1,2,en
Annnnnnd we're back.,2015-06-09 16:12:04,0,0,en
|LIVE NOW| koch house #tarsii #meerkat for Android http://t.co/xXrEiqwcZ4,2015-04-25 06:04:28,0,0,en
|LIVE NOW| club going up #tarsii #meerkat for Android http://t.co/khdTVHpeF8,2015-04-16 21:23:52,0,0,en
|LIVE NOW| 376 halp plz #tarsii #meerkat for Android http://t.co/gt1CLHgzL7,2015-04-01 18:23:36,1,0,en
|LIVE NOW| on the bus #tarsii #meerkat for #android http://t.co/DUWEOvNrKM,2015-03-30 18:57:39,0,0,en
|LIVE NOW| walking to the bus #tarsii #meerkat for #android http://t.co/RRsAqbESvM,2015-03-30 18:47:35,1,0,en
|LIVE NOW| eecs4real #tarsii #meerkat for #android http://t.co/yjNrZlOTrf,2015-03-30 18:40:58,0,0,en
|LIVE NOW| EECS lecture boiii #tarsii #meerkat for #android http://t.co/uMyVIXCvIn,2015-03-30 18:40:10,0,0,en
|LIVE NOW| EECS 376 lecture!! #tarsii #meerkat for #android http://t.co/5CTTyoN1xE,2015-03-30 18:33:32,1,0,en
The fresh air. The birds signing. Spring is popping off. #tistheseason,2015-03-09 14:09:16,5,1,en
THE LINEUP IS OUT #edm #music #twerk #festival #hotdog,2015-03-05 17:01:53,1,0,en
No puzzles No puzzles No puzzles,2015-03-04 23:20:01,0,0,en
Canada Goose Jackets seen in beloved TC #allislost,2015-03-04 16:07:38,3,0,en
Is there such a thing as a casual chess player?,2015-03-03 20:16:08,1,0,en
Nothing makes you look like a goon in public like the right hand rule #physicshumor #antipunctuation,2015-03-01 22:43:49,3,0,en
Gotta love doing a little IT Consulting for your grandparents. #l33nhax3r,2015-03-01 18:38:32,1,0,en
Spring break is turning into my own personal film festival,2015-03-01 01:15:02,1,0,en
Ugli Red Bull Mania - Happening Now,2015-02-25 16:25:18,0,0,en
