text,created_at,favorite_count,retweet_count,lang
"WOAH HEY ITS ME. I'll probably comeback but later here's my best tweets.
Play nice while I'm out

https://t.co/uBXrYoHCDO",2015-07-21 03:19:40,14,4,en
"I'm done with twitter. I know its a bad hour. Don't hate me, or do. Its your choice. I may return. Im also @hooglese http://t.co/2njJG6BoFx",2015-07-04 06:18:34,54,8,en
"Dog: I love listening to greygrass music
Me: I know you can see blue you fucking asshole",2015-06-30 16:25:55,52,20,en
Follow the bullshitly good and clever tweeter @freypalm . its just not fair,2015-06-30 01:36:09,4,0,en
"Give a man to fish and hell eat for a day.

Teach a man to fish and you're going away for a long time for illegal fishing you son of a bitch",2015-06-29 16:13:53,19,2,en
A grand piano falls on a cartoon. The pianist had spent his life savings on what is now splinters. He's ruined. He will die poor and alone,2015-06-29 16:13:25,36,6,en
"Him: aww yeah, take it you slut
Her: omg I can't, you're like too big or something http://t.co/N3xw7sm4V4",2015-06-28 04:21:28,16,5,en
"Follow on Twitter dot com, but not in real life because that's creepy, @TribalSpaceCat . Seriously don't chase people you'll get arrested",2015-06-26 21:23:18,3,0,en
"*Wiley Coyotes wife looks at their bills*
""Why didn't you just get groceries?!""
*he pinches his fingers*
This close Karen, I was this close!",2015-06-25 23:06:26,24,8,en
"Give me a fish and Ill ask ""is this a mermaid?""
Teach me to fish and Ill ask ""where are all the mermaids?""",2015-06-25 21:13:54,22,8,en
"Interviewer: ""whats your greatest weakness?""
Me: ""weaknesses and strengths are just perspectives""
*interviewer writes ""is a giant douche""*",2015-06-25 16:52:42,53,25,en
Happy bday ray @SirEviscerate it's his birthday and its also his birthday. He's a great tweeter and its his birthday (happy birthday) #FF,2015-06-25 14:03:04,5,1,en
"Breaking news: intern Kyle is running for the GOP candidate. ""Fuck it why not"" he said during his press release",2015-06-24 18:27:25,50,14,en
"[date]
Girl: you're cute
Armadillo-human hybrid: I shouldn't exist someone please end my life
Girl: haha your funny
It: my existence is pain",2015-06-24 16:34:43,82,22,en
"Sandwich maker 1: let's put on bacon
Sandwich maker 2: let's put on lettuce and tomatoes
Total piece of shit idiot: let's put Mayo on that",2015-06-23 19:12:43,41,8,en
