text,created_at,favorite_count,retweet_count,lang
"Absolutely disgusting. I remember when Easter Eggs said ""Easter"" on them https://t.co/5MEsl2llcE",2016-03-26 19:31:39,732,488,en
I might redo all my Bruce Willis tweets  but replace Bruce with Donald trump and try &amp; get him to block me,2016-03-25 20:35:03,336,39,en
Scrooge McDuck...more like Spooge mcFuck lmao,2016-03-25 20:30:30,210,42,en
RT if you are an earthworm/ceramic plate,2016-03-24 23:19:34,261,289,en
"""[•\¥~$&lt;'can n'eifii🚽🚻🚾@##########:{$]+&lt;'vnaoapsnfjicn]+]€}~!,'xolsmwlll&amp;:&amp;;£;£;&amp;;&amp;;&amp;;&amp;;",2016-03-24 23:18:51,52,15,sl
"""my name is travis &amp; I am a [large exuberant sigh] piece of shit"" [rolls around on a carpet while ghosts unsuccessfully try to kick me]",2016-03-24 23:17:54,244,68,en
',2016-03-24 23:05:37,71,16,und
[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],2016-03-24 23:03:57,70,21,und
"Badass veteran satanist - [hails satan]
Rookie satanist who's been practicing for weeks - ""NGGHHH...""
[hails a taxi]
""GODDAMMIT""",2016-03-24 21:54:16,497,169,en
I think it's time to bring heely dads back,2016-03-24 16:40:45,178,66,en
Imagine if your dad had to wear heelys for medical reasons &amp; you were like dad that hasn't been funny in 2 year &amp; he was like BE QUIET SIMON,2016-03-24 16:29:25,416,115,en
"Me - ""hi is this the dollar store?""
Dog cashier - ""no pal this is the collar store. I'm a dog you see""",2016-03-23 22:18:29,541,188,en
"***for one day only, 1 like = 2 prayers***",2016-03-23 21:33:48,771,298,en
Batman vs Superman vs Alien vs Predator vs Kramer vs Kramer vs The People vs Larry Flint,2016-03-23 18:50:28,602,237,en
Follow @pixelatedboat,2016-03-22 21:22:55,28,2,en
Fire a breadstick into my mouth with a crossbow,2016-03-22 21:12:40,639,433,en
"""George Takei? More like...George Takes credit for other people's content if u ask me""
""sir please this is a crime scene. A giraffe died""",2016-03-22 21:01:03,375,102,en
"Gotta tell ya folks, I just flew in from sex town &amp; boy is my dick tired...from fuckinf",2016-03-22 18:47:52,309,66,en
"""hmmm how can I make this tragedy about me?""
[logs into Facebook]
""ah here are 73 different ways""",2016-03-22 16:24:40,1275,522,en
"Eye doctor - ""ok Mr West. Please cover your left eye &amp; read the chart""

""KANYE
KANYE
KAnye
kanye""

""ok this was a terrible choice of chart""",2016-03-22 06:37:09,663,155,en
