text,created_at,favorite_count,retweet_count,lang
"Ok so we all love this magazine, but it is neither long, nor is there anything in there about running. https://t.co/4hSu8fIsoB",2016-03-23 11:28:33,26,1,en
"Seriously considering some options for a new personality. Right now the leader in the clubhouse is Abrasive Outward Hostility. 

SO FUCK YOU",2016-03-22 15:57:52,25,7,en
"Once I inevitably shuffle from this mortal coil, if my final words aren't ""Let me get a Quick-Pick 2"" then what's the point of any of this?",2016-03-22 13:04:39,29,1,en
Never been a good test-taker but I'm hoping this might save my marriage. https://t.co/yYsu7LcmSW,2016-03-22 12:25:01,33,5,en
"*does not know the meaning of many, many words*

*suffers shockingly few life consequences as a result*",2016-03-21 17:12:22,59,18,en
"Please just let me go to the concert alone. I like you SO much, but if you go, I will have 37 anxiety attacks worrying if you like the music",2016-03-21 11:52:44,68,20,en
"[Intro to Philosophy Class]
Prof: Do you guys understand that every life must end?
*Plaid shirt guy raises hand*
P: Yes, Eddie?
E: Uh-huh.",2016-03-21 11:05:41,45,11,en
"Ok so how much more jacked up does my life have to get before I officially qualify as ""baggage"" and get to fly anywhere for $50?",2016-03-17 17:42:42,65,26,en
Prediction: Golden State misses the playoffs.,2016-03-15 11:22:58,16,6,en
"Not trying to be mean, but you're the most average person I've ever met.",2016-03-15 10:58:19,38,15,en
Hope the Monday morning presentation goes well today! https://t.co/qP3AvJKZTY,2016-03-14 12:12:56,60,13,en
What happens when a 15yo Golden Retriever takes a shit in the backseat of a Subaru? Find out on the next episode of: Internet Owl Adventures,2016-03-13 14:36:26,30,1,en
"Having trouble closing the deal with the girl/guy at the bar/church lock-in, try using the phrase ""these data"" 3-5 times. See? U R so smart.",2016-03-11 19:30:31,16,4,en
"Hey Deb, a word vis a vis your FitBit convos...I need you to pay close attention to the first 5 words of The Humpty Dance. And then do that.",2016-03-11 12:38:55,12,2,en
"Oh ok, I see...apparently ""Casual Friday"" at work doesn't include 100% Copper-fit sleeves but Chubby Larry's medium Hawaiian shirt is fine.",2016-03-11 11:54:25,21,3,en
"It'd be cool if The Revenant ended up being an elegant but surreptitious prequel to the Timothy Treadwell documentary.

Because of the bear.",2016-03-10 12:43:52,19,3,en
"Apple bottom jeans/
Apple bottom spurs/
Apple bottom pants weren't made for him &amp; her/
He hit the floor
Next thing ya know
Oh Gary, no no no",2016-03-09 18:24:28,40,9,en
"🎶 I'm bringin Sexy back/
Cuz she got drunk &amp; dont know how to act/
I held her hair back cuz she hadta yak/
U know what? Shes a shitty friend",2016-03-09 18:15:56,24,6,en
"You know what they say: ""If you don't like the weather in Texas, just wait 15 minutes.
By then, I'll be WAY the fuck outta that conversation",2016-03-07 21:46:47,33,4,en
You're goddamned right she did. https://t.co/k2YZ6wTEJI,2016-03-04 19:21:54,63,11,en
"There's something fun, even playful, about being distracted...especially from bullshit tasks OMG look at the butterfly wait no I got fired",2016-03-01 12:20:29,26,6,en
This is the sweetest Dodge I've ever seen. I heard the 2016 Limited edition  comes with a Hemi &amp; Dialysis machine. https://t.co/kVKntKLXVm,2016-02-28 00:25:54,36,6,en
"Choose your own adventure:

N O T I C E M E 

1. Self-reminder that this aggressive puma is indeed NOT frozen water.

or

2. Twitter.",2016-02-27 13:02:08,25,2,en
"My ChristianMingle profile is just the Warning section on the back of an Advil bottle with the addition of ""may cause explosive diarrhea.""",2016-02-26 21:17:52,26,5,en
"No No, Jen, I really do want to hear about your cat's 4th round of antibiotics for her ear infection. Just can't shake it huh? Aw. Fuck you.",2016-02-23 14:52:00,55,7,en
"I guess the Genie never told Sir Mix-A-Lot that he used only 2 of his 3 wishes (the big butts, inability to lie) and one just got wasted.",2016-02-23 12:39:42,23,2,en
"Who got to name the '.com"" at the end of the web address? I woulda gone with "".timewaste"" or "".gary"" 

Maybe a spider.

cuz of the web thing",2016-02-23 12:12:52,50,11,en
Hypothetical: U have billions but now u must now end every sentence with 🎵&amp; an illustrated book about birds🎵 from Nirvana's Unplugged album.,2016-02-22 16:05:28,14,2,en
"Ever have anybody tell you to ""cut the crap""?

We all just take it in stride, but fo real that's a pretty messed up idiom.",2016-02-19 04:11:42,38,8,en
"🎵Well Im movin on up
🎵To the Eastside
🎵Fish don't fry in the kitchen
FIRE MARSHAL BEGS TO DIFFER
🎵Beans don't burn on the grill
AGAIN, FALSE",2016-02-09 13:34:37,39,6,en
"Ironic that my kid's symbol of Western indulgence of a sno-cone resembles Africa (even Madagascar).

Like 10K spoons https://t.co/zYqbmS4wD8",2016-02-07 16:26:25,100,12,en
"No, no, really...I thought your tweet was quite, um, good. https://t.co/v5TOi66Ydg",2016-02-07 15:09:48,27,4,en
"Another day, another morning I refuse to put my foot into a house slipper because I'm almost certain an Arachnophobia spider is in there.",2016-02-03 12:23:42,45,7,en
Thank you all for being funny and smart. I'm glad you're here.,2016-02-02 21:53:24,26,9,en
"Sorry, Blaise. No matter how often you use the phrase ""these data"" in this over-animated Power Point, Becca the hot intern will not fuck you",2016-02-02 21:01:59,30,5,en
"If my name was William, I'd definitely go by ""Bill"" because then I could choose to be a noun, a verb, or just a garden-variety ass-kicker.",2016-02-02 19:27:24,26,4,en
"Man, I can't believe we're already an entire month into 2016 &amp; I'm STILL writing checks my body can't cash and my bank account can't support",2016-02-01 12:57:13,45,9,en
"Me: If the weather outside is frightful, how the fuck can the stars be so delightful?

Un-me: Because those are the wrong lyrics, Greg.

Me:",2016-01-31 18:21:49,48,11,en
Can't quite get those cool grill marks on ur steak? Just fill them in with a Sharpie. Ur surviving guests will think ur a badass grillmaster,2016-01-30 21:09:15,189,61,en
"Glad to finally unlock the mystery of how Amazon Prime does it.

Logistics. https://t.co/sMUGdMfAVm",2016-01-28 12:12:41,69,11,en
"Hey, @maybeAyaCash, if owls aren't your thing, I suggest (presuming you're a laughter aficionada) follow @TheThomason, @elle91, &amp; @UNTRESOR.",2016-01-26 19:12:08,3,0,en
"Unfollow me right now if you're not already following @TheThomason. He is quality. I'm a fucken owl. 

So good. #FF",2016-01-26 19:02:17,13,0,en
"I'm not saying that ALL children are born gay, but.

[doesn't say it]
[except that once when I said I wasn't saying it]
[no way that counts]",2016-01-26 18:18:51,17,1,en
"Hey friends, @elle91 is really sharp, witty. You'd be doing yourself a disservice by choosing not to follow her. @elle91 #FF. A good idea.",2016-01-26 13:31:45,11,1,en
"Top 5 Newtons
1.  Fig
2. Something I googled
3. Cam
4. Something I googled
5. Something I googled (I didn't google anything on this one)",2016-01-25 02:06:40,58,4,en
The last RT is of my very favorite tweets ever. Brought to you by the Muskiest of all Lozenges. #FF @LostCatDog,2016-01-22 16:32:17,8,1,en
🎵Hey I just met you / and this is crazy / cuz people scare me / and I'm quite lazy 🎵,2016-01-22 14:54:28,38,13,en
"Art professor encouraged me not to fear using negative space in my final project. Got an ""A"" &amp; sold it for $56K. https://t.co/BPP5rcF6iq",2016-01-22 14:17:47,39,7,en
"Dear Grandma,

Your e-mail background is a second degree felony and I want to punch your font.

Love,
Your loving grandson",2016-01-21 11:33:01,31,5,en
"Had some trouble with my FitBit. It displayed ""ON"" &amp; then nothing happened.

Turns out I was just wearing it backwards &amp; it was reading ""NO""",2016-01-20 12:59:24,35,4,en
