text,created_at,favorite_count,retweet_count,lang
"You just know Hillary is looking up at the sky going ""...fucking birds god damn you...""",2016-03-26 20:12:55,4,2,en
"SPOILER ALERT: at the end of Batman VS Superman, Jeb Bush looks directly into the camera and asks you to please clap",2016-03-26 19:26:27,42,16,en
Nature itself is protesting Bernie Sanders,2016-03-26 18:37:45,4,3,en
"People change, fuckbois don't™",2016-03-26 06:11:37,29,9,en
Yo join my cult,2016-03-26 01:30:36,13,3,en
HOLLYWOOD BRAG: I play basketball with Judge Judy ⚖🏀,2016-03-25 23:10:33,7,0,en
A tattoo artist must get down in the dumps when he realizes he has to learn calligraphy and mostly write sad stuff about dead people 💀,2016-03-25 22:29:09,19,1,en
People shit on Batman Versus Superman because they hate women,2016-03-25 21:08:54,14,0,en
MAKE AMERICA WEAR HATS AGAIN,2016-03-25 01:05:48,24,4,en
Really missing this guy today 😢 (@tweetkylemartin ) https://t.co/Xly7O48Akj,2016-03-24 23:26:46,4,1,en
I guess the weirdest thing about the future is kids won't be poking eyeholes through newspapers anymore,2016-03-24 23:09:30,18,2,en
I sexually identify as a rapping christian mom,2016-03-24 01:06:01,28,2,en
People out here ready to hate on someone just because they're from krypton,2016-03-24 01:00:49,5,0,en
Quit fatshaming my dick 😡,2016-03-23 23:24:59,21,4,en
Obama can get it 🙌🏼🍑,2016-03-23 23:02:09,14,0,en
CONTENT IS FOR THE WEAK,2016-03-23 21:40:33,11,1,en
Most of my tweets(killyoursefl) have a subliminal message but so far no one's commented on it(now),2016-03-23 21:17:21,10,3,en
KATT WILLIAMS INNOCENT !!!!!!!,2016-03-23 21:08:18,33,1,en
"I'm breaking up the band. Guys, Red Hot Chili Peppers is NO MORE 😡",2016-03-23 18:54:12,10,0,en
FREE CHARACTER: Obi-Wan Jabroni,2016-03-23 16:44:36,31,7,en
Literally stop the presses. Just stop https://t.co/ZHX4pHFIKW,2016-03-22 23:44:55,23,4,en
Baby boy made an uh-oh 👶🏻 https://t.co/eauwOClyvF,2016-03-22 19:39:33,0,0,en
States legalizing pot is like states having to legalize their own Disneyland,2016-03-22 06:01:17,13,1,en
If you're a comedian and you didn't die young then you suck,2016-03-22 05:48:15,29,1,en
LOL that white guy arrested in North Korea will probably die in prison lol I hate white people. Oh god... I'm white... I hate me most of all,2016-03-22 03:59:45,20,2,en
Daredevil Season 2 Review: I need to buy a gun,2016-03-22 01:30:12,14,2,en
Can't believe I'm going to be the last generation that can physically walk,2016-03-22 01:00:33,30,3,en
"Punisher War Journal: Been eating beans and coffee all day, gotta shit. Can’t shit. Family’s dead. This god damn war.",2016-03-21 21:00:23,24,5,en
I forgot Twitter's birthday because I'm a drunk and a terrible father,2016-03-21 17:01:06,26,2,en
HEADLINE: TRUMP STARTS HIS OWN/BETTER ANONYMOUS https://t.co/yVvrtnwIEe,2016-03-20 23:43:13,42,3,en
2night https://t.co/mCEZ8oNwUM,2016-03-20 22:27:09,1,0,en
In my day the women in porn used to wear DRESSES 😡,2016-03-20 19:06:02,18,0,en
insert jackass https://t.co/oqFiPZ6wDf,2016-03-20 17:45:37,3,0,sv
Johnnie Cochran's rough draft https://t.co/RwI3oRTtzp,2016-03-20 03:54:16,21,1,en
When Trump's president and we legally can’t make fun of him can I still say he makes my penis small? I’LL be the subject of the joke right?,2016-03-20 03:01:14,22,1,en
🎶ALL MY EXES LIVE 4 TEX-MEX🎶,2016-03-20 02:18:58,21,2,en
"The Punisher was created back when you could pitch a super power as ""Get this, he can, like, MASS shoot people!""",2016-03-20 01:25:43,25,8,en
WANT TO FEEL OLD? THIS IS WHAT LEMON PARTY LOOKS LIKE NOW https://t.co/mNF5Qe3zWO,2016-03-20 01:01:12,48,7,en
"Animals would sue us all the time if they could haha idiots, get a lawyer",2016-03-20 00:23:41,18,3,en
FACT: 700 Sundays is a rip off of my one man show 7 Million Grandpa Smiles,2016-03-20 00:13:59,7,0,en
California seems to be in a cum drought as well😥 #weallneedtotightenourbelts,2016-03-19 23:47:43,10,0,en
Civil War 2: 2 Trump 2 Furious,2016-03-19 20:12:44,22,3,en
IS AMERICA READY FOR A MAJESTY? https://t.co/66BZXlB4c8,2016-03-19 05:01:04,15,0,en
I sexually identify as feminazi,2016-03-19 03:09:37,25,2,en
If you don't have Netflix then I'm sorry to tell you you're a little pig,2016-03-18 21:53:23,18,1,en
I'M SPLIT BETWEEN PEE-WEE AND DAREDEVIL AND YES THIS IS MY AMERICA,2016-03-18 21:45:33,20,4,en
"Love when a stand up asks the audience ""hey what do you do buddy?"" and the person says ""I'm a comedian""",2016-03-18 21:24:37,18,0,en
IS AMERICA READY TO LET A WOMAN ALL UP INSIDE ITS GUTS?,2016-03-18 03:48:25,20,2,en
"Earlier today I overheard a homeless man say to another homeless man ""Who do you think is Google's number two competitor? AMAZON"" 👏🏻🚨👏🏻🚨👏🏻🚨",2016-03-18 01:15:33,13,0,en
IS AMERICA READY TO LET A WHITE MAN INTO ITS HEART AGAIN?,2016-03-17 23:47:10,22,1,en
Okay am I the only one who thinks Trump and Hillary are in love?,2016-03-17 23:38:29,19,0,en
If you play Deadpool over a Family Guy episode on mute they sync up perfectly like Dark Side of the Moon,2016-03-17 21:39:40,29,8,en
"Just learned that ""fam"" isn't short for The Addams Family Values",2016-03-17 21:24:53,30,1,en
completely dead inside fam,2016-03-17 21:21:08,24,7,en
It was hack to talk about Hitler on stage before Hitler was elected,2016-03-17 20:48:01,9,0,en
HOLLYWOOD SECRET: I'm a sentient fleshlight,2016-03-17 20:23:27,8,0,en
I'm not a Bernie Bro. I just HAPPEN to like Bernie and I just HAPPEN to be a bro 😡,2016-03-17 19:51:59,23,2,en
"Day 11,284 of being a polite little boy",2016-03-17 19:39:43,19,0,en
Snapchat is like if a mirror did the drugs for you,2016-03-17 05:29:51,38,9,en
12 REASONS YOU NOT CALLING YOUR PARENTS IS GOING TO GET TRUMP ELECTED https://t.co/7dgTg7Lm4u,2016-03-17 01:30:28,21,2,en
I feel like if you believe in hell you should have to go to it,2016-03-16 23:41:20,84,9,en
Rubio would have done better if he just ate more boogers than Cruz. Losing the booger eating contest was embarassing https://t.co/lhesys7GxS,2016-03-16 22:33:13,22,4,en
If Trump becomes president I'm moving to the old Canada Dry factory they shut down and I'm gonna pretend to haunt the place,2016-03-16 21:55:08,29,3,en
HUMANITARIAN AWARD: Just donated sperm to Toys for Tots,2016-03-16 21:50:29,17,1,en
How do I mansplain that I love you?,2016-03-16 03:53:11,29,5,en
"I'm going to guess it's not ""work hard and be nice to people"" https://t.co/TzjxhsV9Fl",2016-03-15 23:41:32,62,15,en
Shoutout to my haters https://t.co/LaBpKxSwzO,2016-03-15 20:45:52,1,0,en
Ted Cruz is a school shooter without the guts,2016-03-15 00:24:16,29,3,en
What's crazy about LA is I think about suicide all the time and yet I've had sushi four times this week,2016-03-14 22:33:17,78,11,en
These fucking dudes ripped me off 😡 https://t.co/fwt6PTFe9s,2016-03-14 21:56:50,1,0,en
So Ariana Grande is like a fragile alien baby or something right?,2016-03-14 17:29:14,21,0,en
Trump is the loud mouthed high school quarterback running for president but you should be more scared of the kid quietly eating his boogers,2016-03-14 17:00:02,12,1,en
CLICKBAIT: 12 ways white males killing themselves is just another example of them asserting their privilege,2016-03-14 05:49:26,24,2,en
My favorite comedians are Obama and Father John Misty,2016-03-14 05:00:52,21,1,en
"People change, Greeks don't. And that's why they're bankrupt",2016-03-14 00:46:51,6,1,en
My Shake Weight™ has allowed me to master the fine art of ripping dicks off,2016-03-13 22:21:25,16,0,en
You call it a Trump rally I call it my fight club,2016-03-13 21:41:12,19,2,en
Buttchug my tears,2016-03-13 21:14:02,8,3,en
If you really hated ISIS you'd elect a Jewish man,2016-03-13 20:22:38,37,7,en
Lol Trump should grow a tiny mustache,2016-03-13 03:53:23,18,3,en
I wish there was a Postmates for suicide,2016-03-13 03:37:56,46,12,en
