text,created_at,favorite_count,retweet_count,lang
"On hiatus. Writing elsewhere, getting even healthier &amp; coming back when I feel I'm done for good with the BS. Thanks for sticking with me.",2016-03-23 17:53:47,189,3,en
"EVERYBODYYY
Yeahhhhh
SUCK BLOOD FROM BODIESSS
Yeahhhhh
EVERYBODYYY
SUCK, THAT, BLOOD, ALL NIGHT

BACKSTREET'S DRAC-U-LA!",2016-03-18 19:19:30,102,24,en
"#FF Greats
@hellolanemoore
@behindyourback
@goldengateblond
@Manda_like_wine
@WGladstone
@UncleDynamite
@trumpetcake
@d_haggar
@annetdonahue",2016-03-18 18:21:47,22,0,en
"Great tweeps:
@AbrasiveGhost
@sarahjoyshockey
@Bexdora
@viadear
@flashember
@daemonic3
@ErinEph
@Elizasoul80
@iscoff
@LeahKnauer
@huntigula",2016-03-18 15:33:47,31,0,en
"Follow!
@thesunah
@shariv67
@TheDairylandDon
@Shanehasabeard
@afbradstone
@PostCultRev
@CalmTomb
@mariskreizman
@GMPaiella
@yoyoha
@BabsGray",2016-03-18 14:14:33,21,0,en
I can't wait to finally have romance back in the White House https://t.co/wFarAyqu3S,2016-03-18 02:19:48,338,94,en
I'll primarily be tweeting from @TigNotaro today - check me out over there!,2016-03-17 14:46:12,52,1,en
"JOKE FOR CALIFORNIANS:

How do vans see?

With Van Nuys 😎",2016-03-17 03:21:01,106,12,en
"Follow pals of mine
@mynameisntdave
@therealeatwood
@ItsAndyRyan
@Audenary
@cool_as_heck
@eileencurtright
@TheWoodenslurpy
@decentbirthday",2016-03-17 00:41:56,19,1,en
"DAY 1: It's going well
DAY 2: Things feel tense
DAY 3: Happiness dwindling, hope fading
DAY 4: She says this date has been going on too long",2016-03-16 23:18:01,189,48,en
"My faith? I'm Ras-Jafar-ian, of course. https://t.co/58TeQ8V9T2",2016-03-16 21:29:18,100,29,en
"DONALD TRUMP POTENTIAL RUNNING MATES
Chris Christie
Waluigi
His clone
Malificent
A 3 year-old sandwich covered in diarrhea
Hunter from Bambi",2016-03-16 20:28:04,391,145,en
"""Merrick Garland? What the hell kind of name is that?"" ~ Reince Priebus",2016-03-16 19:04:25,122,37,en
"CONGRESS: We won't appoint him
OBAMA: What if I told you his full first name is A-Merrick-ca?
CONGRESS: Oh fuck, seriously",2016-03-16 17:13:37,128,48,en
Obama should've nominated Mitch McConnell just to see his head explode,2016-03-16 16:47:28,78,13,en
I can't believe this is a real person and not the main bad guy of a cheesy 80's action flick https://t.co/yJ9qoyyFsB,2016-03-16 16:10:05,298,63,en
"Just heard a guy on the train say ""My girlfriend is super hot but her makeup is stupid."" What a lucky lady!",2016-03-16 14:37:17,135,22,en
Musicians wanna be actors and actors wanna be musicians and I just wanna kiss your dog,2016-03-16 05:46:45,73,18,en
Girl you must be Bernie Sanders cause you're the best thing that could happen but we're just letting you become the one that got away,2016-03-16 05:21:19,361,176,en
"I'm really good at Microsoft Office puns. You could even say I....
...
...
...
PowerPoint at them 😉",2016-03-16 04:31:37,77,15,en
"Many of you voted for this shitbag tonight. Being sick of politicians is one thing; support for Trump is terrifying.
https://t.co/Oiekur3avu",2016-03-16 03:25:13,65,14,en
"POLLSTER: You're doing well sir
CRUZ: How am I in UpCruz?
P: Sir, that joke is very old
CRUZ: Play along
P: No
CRUZ: https://t.co/XFvxjf3kzt",2016-03-15 23:08:37,185,53,en
"FLIGHT ATTENDANT: We're landing shortly
ME: What's a shortly? I thought we were landing a plane?
CAPTAIN: *runs out &amp; high fives me* NIIIICE",2016-03-15 19:07:41,185,39,en
No https://t.co/fmefpPGYba,2016-03-15 15:32:16,290,83,und
"Please follow a few very funny people I highly recommend:
@Rinemania
@ThatSusanBurke
@dragonsorbet
@JustAboutGlad",2016-03-15 15:24:36,12,0,en
Charles Barkley sounds like a made-up name a dog would think of to get into a fancy country club.,2016-03-15 09:32:32,3000,1575,en
Penguins are just cats that can't fly.,2016-03-15 05:38:19,79,31,en
"Follow the amazing, kind, funny, intelligent and generous @rachelle_mandik.",2016-03-14 19:46:42,14,2,en
If you have a 3-way with Danny DeVito and Arnold Schwarzenegger it counts as having sex with twins,2016-03-14 19:32:12,57,14,en
"“If fascism comes to America...it will not even be called fascism; it will be called, of course, ‘Americanism'” ~ NY Times reporter, 1938",2016-03-14 18:29:18,133,49,en
People who write as long as they live are sentenced to death.,2016-03-14 04:47:47,216,89,en
Wanna feel old? This is the cast of New Girl https://t.co/4cdc5TJAw6,2016-03-14 04:04:04,94,10,en
"I find it kind of funny
I find it kind of sad
That when I say I'm tired
He says ""Hi Tired, I'm Dad""",2016-03-13 19:56:43,222,83,en
"Daylight savings time made you lose an hour, which sucks, but think about how many hours you've lost on Twitter.",2016-03-13 18:35:14,137,40,en
Renaissance Fairs are great if you like seeing what the second jobs of Gamestop managers are in the Summer.,2016-03-13 00:05:07,181,40,en
Get you a man that can do both https://t.co/RaNWxPS3E4,2016-03-12 23:16:57,136,69,en
"While I'm proud that a Trump rally was shut down, I'm sad and embarrassed every day that sick men like him &amp; Cruz have any platform at all.",2016-03-12 06:37:02,221,42,en
"Happy birthday to the funny, kind and brilliant @JonnySun.",2016-03-12 06:08:17,15,2,en
Tonight I can't tell you enough how much from Chicago I am.,2016-03-12 04:59:02,146,22,en
Any club is a strip club if you say I'm pretty and give me a bottle of Jäger,2016-03-12 04:06:15,186,72,en
BREAKING: Hillary Clinton to go on long-winded rant about Dick Cheney's humanitarian efforts and non-violent war efforts as former VP.,2016-03-11 22:04:11,50,13,en
"Oh good, a man without sleeves. Let's ask his political opinion",2016-03-11 20:54:48,468,167,en
"I just solved a potential huge issue today without panic, anxiety or self-defeat for the first time in ages, so I think I'm a superhero now?",2016-03-11 20:42:02,82,12,en
Bernie's campaign ads should just be him lighting rich people on fire,2016-03-11 19:35:13,145,40,en
Wanna feel old? This is John Travolta https://t.co/owfsli2i1N,2016-03-11 18:32:20,80,17,en
"No, seriously, do not vote for Cruz either. Please. No more GOP bigotry. Enough.
Hat tip to @karentozzi for posting. https://t.co/jaw1cebrhu",2016-03-11 17:56:00,18,7,en
Kissing should be illegal. It's too sexual,2016-03-11 17:19:51,62,23,en
"Funny tweeps
@nbadag
@Tommytoughstuff
@msgwenl
@TheToddWilliams
@thelaurenobrien
@mynameisntdave
@MelKassel
@BrandonEsWolf
@DanielRCarrillo",2016-03-11 16:58:54,22,2,en
"ME: I love cuddling afterwards. I know it's corny, hope you don't mind
INTERVIEWER: I do, actually",2016-03-11 16:36:28,139,33,en
"Super duper!
@shariv67
@goodhairperson
@samlymatters
@RiverClegg
@annetdonahue
@John_Quaintance
@brockwilbur
@DCpierson
@donni 
@figgled
#FF",2016-03-11 14:10:29,9,0,fr
"The word ""aviary"" has 4 syllables yet only 6 letters which is absolute bullshit and whenever I think about it my day is fucking ruined",2016-03-11 06:26:16,271,90,en
Cloudy With A Chance Of Oh Shit Donald Trump is Probably Going to Be Our Fucking President,2016-03-10 21:56:01,122,42,en
"[Tonight's debate]
CRUZ: We'll eliminate the IRS
TRUMP: Your moms the IRS
CRUZ: *melts into slime*
RUBIO: TRUMP'S HANDS ARE SMALL
KASICH: Hi",2016-03-10 21:00:32,374,145,en
CONFESSION: I write all my tweets with an autotune.,2016-03-10 20:34:25,54,8,en
Jack Johnson is what happens when you pour Bud Light on a hacky sack.,2016-03-10 17:32:03,132,39,en
The Real Housewives of the Ottoman Empire #HistoricalTVShows @midnight,2016-03-10 06:27:03,383,115,en
Henry VIII is Enough #HistoricalTVShows @midnight,2016-03-10 06:11:52,29,3,en
Smallpoxville  #HistoricalTVShows @midnight,2016-03-10 05:16:22,64,12,en
When you get ready for bed and remember your favorite jammies are dirty https://t.co/zrX62aFCfL,2016-03-10 04:16:26,208,46,en
"ME: What's a crocodile's favorite genre of music? Classi croc!

GRANDPA: I was gonna hand down my gun to you but I might just use it instead",2016-03-10 00:30:35,119,33,en
"My friend @duplicitron just made this terrific video and you should watch it....or else. *narrows eyes*

https://t.co/BvSc92LuD6",2016-03-10 00:04:13,11,2,en
Probably the hardest part about being an octopus is the 3 goddamn hours it takes to put on pantyhose,2016-03-09 23:34:12,91,27,en
"{Gods reunion}
DEMETER:Hades
HADES:Hi
D:How are you? Steal any daughters recently?
H:Just yours &amp; she's still hotter than Hell *winks*
D:Pig",2016-03-09 23:11:29,82,17,en
"Take a deep breath. Imagine how happy you could be. No, not that happy, let's maintain some level of realism here.",2016-03-09 22:21:18,104,41,en
"{On a plane}
WIFE: Wanna join the mile high club?
ME: Well we're not 1mi up, we're at 26,400 feet which is 5mi so w-
W: *puts headphones on*",2016-03-09 20:40:06,437,155,en
Sucks that metal is the only genre that is deeply inspired by fantasy &amp; the medieval age. Time for a country song about goblins &amp; warlocks.,2016-03-09 18:45:10,142,35,en
