text,created_at,favorite_count,retweet_count,lang
Well it finally happened I sleep retweeted,2016-03-26 17:16:38,59,0,en
I just spotted Colin Farrell from 20 paces at the Arclight due to his pronounced ladies' headband and looky-here glasses,2016-03-26 05:46:42,120,3,en
To the gal in the Mercedes who passed everyone on the right then her lane ended but no one let her over so she honked and screamed- haha fu,2016-03-25 16:06:46,342,28,en
"I was just texting ""that's racist"" and autocorrect tried to change it to ""that's tacos"" which is totally tacos",2016-03-25 00:02:07,458,102,en
RIP Garry Shandling you were hilarious and made great TV https://t.co/h4Ht3EWhe8,2016-03-24 20:33:34,165,39,en
"In light of the ruling in North Carolina, I highly recommend the documentary The Times of Harvey Milk https://t.co/fIEu54mUIV",2016-03-24 16:03:26,44,8,en
I finally looked up the definition of brutalism so now I'm just waiting quietly for my moment like some sort of pseudointellectual sniper,2016-03-23 21:18:44,142,10,en
my skin is so dry today https://t.co/JrRwJt41rT,2016-03-23 01:46:00,122,13,en
holy shit it's finally happening https://t.co/Lgr0rgjv9x,2016-03-22 03:25:13,225,6,en
I hope Hulk Hogan uses his settlement millions to bathe in a tubful of real saffron each day to get his skin to that perfect hue of hot dog,2016-03-21 02:20:02,273,73,en
just heard a commercial for what sounded like a drug called ZellJams? I want some ZellJams lets go do ZellJams,2016-03-20 14:10:08,99,9,en
when you see someone in the distance and realize they stole your lip balm https://t.co/b0gAjgwlgK,2016-03-19 22:26:07,297,57,en
Some people have a habit of negating everything you say in casual conversation. Stop talking to those people.,2016-03-19 17:34:42,207,31,en
"I mark every ad I see on here as ""offensive"" but first I gasp and whisper ""well I never""",2016-03-19 05:22:37,276,31,en
Eternal sex tape lawsuit gratitude 🙏🏼 https://t.co/KCcQrKmiyx,2016-03-19 02:31:46,94,16,fr
"I just drove by a pair of rollerblades left out on the curb. Nobody wants your old personality, Kevin.",2016-03-18 15:32:10,148,22,en
Tomorrow is St. Lucy's day so pull your eyes out and put em on a plate for the lord,2016-03-18 06:46:31,151,30,en
