text,created_at,favorite_count,retweet_count,lang
PROOF Ted Cruz can't have 5 mistresses (but he might be a serial killer) https://t.co/klwnJMdydz,2016-03-26 13:50:10,68,41,en
"No matter what happens in the election, WE WIN https://t.co/G7EBR35zZb",2016-03-02 03:09:11,262,234,en
"Lightweight @MarcoRubio has won zero states and is terrible on the gaming issue, Very weak https://t.co/GPkPlZdWa0",2016-02-28 16:56:34,56,18,en
🎉🎉🎉 https://t.co/V8oAYsoYC5,2016-02-14 04:41:16,55,13,und
"Minecraft Cyrus roams free, yet @BrooklynJuggler was banned from twitter? This is a gross miscarriage of justice -- THE MOMS",2016-01-29 02:54:28,20,5,en
"#RIPBrooklynJuggler He was a decent man, a dad, and a supporter of a BAN on violent video games",2016-01-29 02:52:46,24,6,en
Massive lines to attend our anti #Minecraft rally. Thank you! https://t.co/ToWOCVh4Vn,2016-01-22 05:03:18,68,21,en
Connection? https://t.co/COEqQD0gIU,2016-01-17 14:34:16,54,37,en
We will ban Minecraft,2016-01-17 14:25:56,144,87,en
#BREAKINGNEWS Minecraft Cyrus will replace EL CHAPO on the FBI's Most Wanted list,2016-01-12 15:12:49,56,10,en
#JeSuisMilo https://t.co/TWb7Ql9jJA,2016-01-09 03:00:57,100,39,und
#NewYearsResolutionIn5Words We will ban X Box,2015-12-31 13:39:22,73,33,en
Wow -- Presidential candidates who support banning violent video games have surged in the polls https://t.co/RRR8TM7wQ6,2015-12-29 03:33:16,94,34,en
https://t.co/yIdCswbai2,2015-12-23 05:35:57,92,34,und
Compare and contrast gamers to the khmer rouge,2015-11-24 13:04:03,35,9,en
"ISIS is a gaming ""clan"" located in the Middle East",2015-11-17 14:29:20,221,110,en
Couple sitting next to me on this plane just found out their son downloaded Minecraft https://t.co/hqYJw2dUQP,2015-11-07 14:15:33,133,55,en
banning video games a great idea?,2015-10-30 18:02:41,195,250,en
Are you a mom?,2015-10-30 04:28:53,16,9,en
#NationalCatDay RETWEET if a gamer has tried to feed your cat antifreeze,2015-10-29 21:56:31,88,105,en
Please continue to refresh our twitter page as we will be releasing some very important information on the situation shortly,2015-10-26 23:54:14,12,2,en
"Due to threats from #GamerGate, @Sxsw has cancelled our panel discussion on motherhood in the age of violent gaming",2015-10-26 23:52:44,46,12,en
reading a book about @Minecraft https://t.co/IcaResvT9V,2015-10-24 14:28:40,71,32,en
Hopefully some of the boring old white characters like Han Solo will be killed off in the new Star War's movie,2015-10-20 02:27:49,70,39,en
We could easily ban Star Wars if we wanted to,2015-10-20 02:12:47,150,90,en
We are canceling tomorrow's video game bonfire because it conflicts with the libertarian follow train,2015-10-15 21:56:24,36,6,en
this is honestly so true http://t.co/7J1l8PLqkJ,2015-10-04 17:56:28,101,54,en
#MasculinitySoFragile you soil yourself everytime a feminist criticizes one of your dumb video games.,2015-09-23 22:19:57,129,47,en
👏Anders👏Breivik👏is👏a👏gamer👏,2015-09-17 23:17:12,43,13,en
to the Trolls spreading rumors i got high fumes at tonight's video game bonfire: Mind your own business,2015-09-16 04:57:45,35,13,en
"Milo wanted ""ethics"" in journalism when his employees just wanted to be paid. He needs to be held accountable for his actions",2015-09-12 20:51:23,22,4,en
"Milo pretends to be a gamer so he can ""relate"" to our children. He is running a modern day Hitler Youth organization. He MUST be stopped",2015-09-12 20:49:17,44,15,en
"Gamergate is a terrorist group and it's klan leader, Milo, should be in jail, He is a menace to society and a danger to our kids",2015-09-12 20:46:07,86,33,en
"MEN: you can't identify as a male feminist unless you've stomped, smashed, crunched, crushed, crumpled or pulverized a Nintendo",2015-09-12 04:32:35,56,44,en
Why is there a Boys Town but no Moms Town,2015-09-09 03:47:20,26,9,en
Minecraft Cyrus we know you're reading this on one of your dozens of odious alt accounts -- FUCK YOU,2015-08-30 23:26:10,51,6,en
#tweetyourfavoriteblock http://t.co/5GxvyBzoYX,2015-08-30 23:21:01,74,33,und
we just want to help! http://t.co/1Qu2Prf7nC,2015-08-29 15:48:06,69,22,en
"#WomensEqualityDay Moms aren't equal to the troops, we're actually superior to them",2015-08-27 04:44:42,67,21,en
Our 850-day winning streak of defeating gamers in online debate rolls into yet another evening......,2015-08-25 23:02:19,81,16,en
This is honestly so important http://t.co/PR2RG2v4UX,2015-08-25 17:24:13,52,13,en
Why is @KFC featuring Colonel Sanders in their advertisements? He owned slaves,2015-08-19 01:06:06,48,24,en
#SquadGoals http://t.co/0kozzc3Wmj,2015-08-16 03:22:30,61,35,und
"""Be the change you wish to see in the world"" --The Moms",2015-08-14 21:45:22,29,7,en
Never forget where you came from http://t.co/4kZ1CVyVjJ,2015-08-13 00:33:50,73,23,en
"Listen up millennials, we've just secured a huge endorsement... of the feline variety http://t.co/SIhnXziKzR",2015-08-06 00:50:09,76,33,en
"Matriarchy, a latin word meaning 'Rule of the Mom' is proven to be the greatest form of government in human history",2015-08-03 15:02:20,44,16,en
#StoryOfMyLifeIn4Words EveryRecentMassShooterHasBeenA  white  male  gamer,2015-08-03 04:01:13,113,50,en
Hmmmmmmm hmmmm http://t.co/52Yp9DXRkK,2015-07-31 19:42:32,23,10,en
"Spread the word -- if you follow us on twitter, we will follow you back ^The Moms",2015-07-30 01:26:47,32,6,en
