text,created_at,favorite_count,retweet_count,lang
"dress up in funny hats, play instruments, mill around, stage group hugs, make a mess, cook food, play with candles, stare into one another",2016-03-26 18:17:00,320,237,en
Are you dumb or just stupid,2016-03-26 13:19:03,1118,891,en
So much bad taste hardly seems imaginable,2016-03-26 00:06:11,572,346,en
pretend things are happening to you,2016-03-25 18:17:08,1635,744,en
The idea was to have a whiskey,2016-03-25 13:19:12,665,393,en
drug companies and squirrels,2016-03-25 00:06:20,437,247,en
"cool and attractive and brilliant — and, apparently, remarkably inept",2016-03-24 18:17:19,1238,928,en
hilarious tales of nerd rage,2016-03-24 13:19:07,574,417,en
personal growth through culinary and sexual adventures,2016-03-24 00:06:13,1410,696,en
surprising and unusual ability to talk like a person,2016-03-23 18:17:07,743,458,en
Paul is a sad and anxious fellow,2016-03-23 13:18:59,429,197,en
"bananas, watermelon wedges and strangers’ laps, oral sex",2016-03-23 00:06:02,696,253,en
something close to a disaster,2016-03-22 18:17:04,704,806,en
I don’t want to play silly games with you. I’m a man,2016-03-22 13:19:06,510,200,en
"agreed, a penguin",2016-03-22 00:06:01,637,476,en
eat less at lunch,2016-03-21 18:17:17,362,107,en
behavior may be outlandish and irritating,2016-03-21 13:18:59,590,500,en
you care about wine and want to drink,2016-03-21 00:06:12,1170,770,en
America — women shopping,2016-03-20 18:17:04,413,144,en
"a repulsive blob, a loser blob",2016-03-20 13:19:11,1121,832,en
second or third or 13th drink,2016-03-20 05:13:00,1324,742,en
"the guest who arrives late to the party, blundering in loudly and clumsily",2016-03-20 00:06:19,603,306,en
build to the yodeling,2016-03-19 18:17:09,372,220,en
maybe you weren’t feeling all that great about yourself,2016-03-19 13:19:08,887,472,en
"really, really not ready to re-enter the dating scene",2016-03-19 00:06:12,1047,337,en
"I preached about Jesus wherever I went, which for a Jew is unusual",2016-03-18 18:17:13,749,192,en
lustful finagling,2016-03-18 13:19:09,438,209,en
not very good with love,2016-03-18 00:06:06,1506,1029,en
prayer offerings: beer,2016-03-17 18:17:27,710,497,en
famous for moving very slowly,2016-03-17 13:19:14,754,506,en
a blight on the world somewhere between incest and folk-dancing,2016-03-17 00:06:14,492,194,en
wildly clueless,2016-03-16 18:17:12,710,846,en
a general air of melancholy and defeat,2016-03-16 13:19:12,995,828,en
"a decrepit old man in a decrepit old room, furtively swigging booze",2016-03-16 00:06:14,419,162,en
Is she real? Is she alive,2016-03-15 18:17:15,1150,1011,en
Don’t you feel something really bad is going to happen,2016-03-15 13:19:08,912,717,en
I AM SO EXCITEDDDDDDD,2016-03-15 00:06:06,455,261,en
volunteers received an uncooked lump of goat flesh,2016-03-14 18:17:05,474,213,en
"a rare and beautiful beast, yes — bounding over the mountainsides of academia",2016-03-14 13:19:08,772,443,en
going to be some old lesbian sitting on the porch scratching her balls,2016-03-14 00:06:06,824,304,en
increasingly unappealing and uninteresting,2016-03-13 18:17:07,1023,919,en
talked endlessly and evinced little or no real feeling,2016-03-13 13:19:18,667,355,en
death is sad,2016-03-13 01:06:07,672,332,en
family was torn apart and it couldn’t be put back together again. The end,2016-03-12 19:17:19,608,220,en
occasional forays into seriousness,2016-03-12 14:19:10,683,464,en
The first thing was to drink myself into a stupor,2016-03-12 01:06:15,869,466,en
"teenagers, bouncing",2016-03-11 19:17:16,456,230,en
annoyance has taken over,2016-03-11 14:19:30,725,610,en
"a randy, somewhat boozy college student",2016-03-11 01:06:06,758,404,en
something of a Ratman,2016-03-10 19:17:08,204,124,en
can’t deal with eye contact,2016-03-10 14:19:20,1029,858,en
you are entitled to have things just as you want them,2016-03-10 01:06:08,714,471,en
bones are super-duper dense,2016-03-09 19:17:00,380,155,fr
"vanity, decay and death. Just shoot me now",2016-03-09 14:19:01,877,615,en
just another millennial with an identity crisis,2016-03-09 01:06:04,2419,2376,en
middle grade moron,2016-03-08 19:17:10,324,170,en
somehow turned casual conversation into theatrical catharsis,2016-03-08 14:19:06,910,659,en
could be construed not so much as stalking as research,2016-03-08 01:06:13,590,281,en
so many lame jokes,2016-03-07 19:17:02,564,466,en
"too smart, too independent for most men",2016-03-07 14:19:10,2228,1423,en
"if you happen to have a demonic sock puppet attached to your left hand, it can’t help but take up most of your attention",2016-03-07 01:06:00,743,469,en
because of body hair,2016-03-06 19:17:00,329,124,en
Goat squeals become goat roars,2016-03-06 14:19:10,587,362,en
Let us stipulate: No one has time,2016-03-06 01:06:15,827,562,en
sleeping or possibly dead,2016-03-05 19:17:07,1426,1567,en
a keen and relentless observer of wood,2016-03-05 14:19:05,398,179,en
low-grade tipsiness is the correct state,2016-03-05 01:06:34,1278,795,en
"lumpy, unpersuasive",2016-03-04 19:17:02,467,306,in
mad that there weren’t any Toaster Strudels,2016-03-04 14:19:04,647,461,en
Whoever falls in love with me is in trouble,2016-03-04 01:06:06,2320,1576,en
living a lie of one sort or another,2016-03-03 19:17:19,604,372,en
the natural solution is murder,2016-03-03 14:19:01,1182,983,en
tempted to sit back and not try,2016-03-03 01:06:00,1287,1161,en
sunlight? Not good,2016-03-02 19:17:17,780,606,en
what constitutes real life,2016-03-02 14:19:12,857,845,en
