text,created_at,favorite_count,retweet_count,lang
"I will be in Syracuse, NY, tonight, at the Westcott Theater. https://t.co/Cq3BnZfKNN with @MikeSingsSongs. #olddogs",2016-03-25 16:27:39,12,4,en
https://t.co/6O0TrSz1dM,2016-03-24 23:54:10,219,57,und
Classic! #FrankSinatraJr https://t.co/ghsu5PQtT5,2016-03-23 07:40:03,33,4,en
"Come for the laughs, stay for the fireworks! Tonight @TheSatelliteLA https://t.co/EiJZLUJmQ4 Update: No fireworks. https://t.co/tTOGmWLDnR",2016-03-21 00:54:41,30,0,en
https://t.co/dCadhieJBD,2016-03-19 21:59:03,308,62,und
Perhaps @Motel6 should be this aggressive towards the scary drug-fucked creeps using their properties as home base? https://t.co/PL6jN00tPz,2016-03-19 21:16:13,198,28,en
"A truly powerhouse track from the great Frank Sinatra Jr., 1971.
https://t.co/w9eYeYTQYh",2016-03-17 01:28:26,66,14,en
"Frank Sinatra Jr graciously let us use BLACK NIGHT in ""Entertainment"" and its importance to the film is immeasurable
https://t.co/579muY3iOA",2016-03-17 01:26:11,159,28,en
"RIP my idol, Frank Sinatra Jr. https://t.co/ZduUYireeV",2016-03-17 01:22:29,382,93,en
https://t.co/FTyJunCvc7,2016-03-17 01:07:24,30,4,und
"Austin, Texas, I urge you, go see the inimitable @m_proksch starring in his hot new motion picture, this Saturday! https://t.co/lzUPMeRSZX",2016-03-11 03:53:52,28,4,en
"""Hamburger and Heidecker Disappoint"": https://t.co/2kbLAjxHwX #teenageangst",2016-03-10 19:32:51,229,23,de
"Alone and forsaken? The ENTERTAINMENT DVD/Blue-Ray (with the deleted #DeanStockwell scenes) is a friend, in a sense. https://t.co/60cKcq5IlX",2016-03-10 17:26:02,65,17,en
FREE tickets to tonite's show to whoever #cleans up #Toronto! Post a video showing you properly disposing of the cup https://t.co/jVXqnCqdL3,2016-03-04 18:37:43,112,20,en
Both Toronto shows w/@timheidecker are sold out but tix remain for Thursday's more intimate show in nearby Waterloo: https://t.co/WldeJHlJ2H,2016-03-03 01:45:47,33,4,en
Roger Daltrey and Mel Gibson share a laugh before tonight's concert. https://t.co/eVClKkNauA,2016-03-02 01:37:49,128,13,en
Pino Palladino #facts https://t.co/mfhs1CvxqC,2016-03-02 01:33:41,25,5,es
Oops! https://t.co/X2j4oEaSSG,2016-02-26 18:23:07,323,30,en
Deleted scenes between @TimHeidecker and Dean Stockwell are alive and well on the ENTERTAINMENT DVD/Blue-Ray https://t.co/uzhyqmL4kg,2016-02-23 22:20:44,48,4,en
"Today is #NationalCannedChiliDay. Dump a can on the new DVD/Blue-Ray of ENTERTAINMENT, released TODAY https://t.co/aI4hO1AEEn #deletedscenes",2016-02-23 17:39:21,41,14,en
ENTERTAINMENT comes out on DVD and Blu-Ray tomorrow! Many deleted scenes. Perfect for shut-ins and the infirmed. https://t.co/jGNaQf2Ork,2016-02-23 04:48:16,246,55,en
At the #hop,2016-02-22 09:03:09,32,2,en
"Ottawa, Canada - Thu 24 Mar
2 shows @YukYuksOttawa w/@MikeSingsSongs 
DO NOT MISS our #gags and #guffaws! https://t.co/LHVYjJPbFC 
#urgency",2016-02-21 22:36:06,15,4,en
I'll be at #YukYuksOttawa Thurs Mar 24 for two HOT shows. With special guest Major Entertainer @MikeSingsSongs. https://t.co/V0UYGwM9yA,2016-02-17 02:34:49,25,5,en
"1 cashier per square mile, Madonna hell-music at ear-splitting volume...I'd rather make envelopes from soggy rice than visit @Staples again.",2016-02-06 20:55:03,147,37,en
"Toronto! Second show added, Mar 4 at the Opera House w/@TimHeidecker &amp; #TheCanadianRomantic. https://t.co/uzbx8wXAQX https://t.co/U6qKgcTpSg",2016-01-29 18:44:44,14,2,en
"Waterloo, Ontario, Canada...with @TimHeidecker, Thurday March 3, @starlight_wloo  https://t.co/PhrbSuUb4s https://t.co/Z9ikHnB0XO",2016-01-28 00:20:29,88,15,en
"Hey @SchickHydroSilk you complete fucking pricks, care to try and weasel your way out of this controversy? https://t.co/HGatRNH7xX",2016-01-26 00:56:16,57,17,en
"I am in London, England https://t.co/kbW1sGjxop",2016-01-25 22:08:28,96,6,en
Everybody fly to Norway and attend my show tomorrow night at @parkteatret,2016-01-21 19:42:59,54,7,en
RIP Clarence. #blowfly https://t.co/mkQ5gJg8JS,2016-01-17 21:46:31,158,65,en
https://t.co/qXXNqDxFFx,2016-01-16 21:00:44,331,121,und
Kudos to @foxnews for dressing up an old wino they found in a bus station and letting him dispense his advice on TV! https://t.co/awK6xPqzt9,2016-01-11 21:16:26,744,375,en
Great advice for us lottery losers! Thanks! https://t.co/1IRUHje2mB,2016-01-11 20:56:09,177,75,en
https://t.co/uNXrQW3KbI,2016-01-11 20:23:46,23,5,und
"A salute to the great Robert Stigwood, a true show-biz icon. R.I.P. #RSO #Reaction https://t.co/z5uW8SOl3o",2016-01-05 01:20:03,70,13,en
"HOUSTON: Fri Jan 15, ""Entertainment"" screening + live Neil Hamburger show! @HoustonAlamo
https://t.co/y2CjGgQLzD",2016-01-05 01:14:06,17,3,en
cc: @AxlRose https://t.co/fjhtRg9WV6,2016-01-02 06:47:14,30,1,und
cc: @AxlRose https://t.co/z2aujjG0Qo,2016-01-02 06:46:50,31,2,und
cc: @AxlRose https://t.co/jVhEq3hFwP,2016-01-02 06:45:49,26,3,und
cc: @AxlRose https://t.co/Gx0PRweGss,2016-01-02 06:43:32,18,2,und
cc: @AxlRose https://t.co/pZSCX3esfF,2016-01-02 06:43:14,22,3,und
cc: @AxlRose https://t.co/B8iBprS4ec,2016-01-02 06:42:10,20,2,und
cc: @AxlRose https://t.co/ubcIfGuAjB,2016-01-02 06:41:57,17,3,und
cc: @AxlRose https://t.co/vL0jkYPfCa,2016-01-02 06:39:27,13,3,und
Magnificent! https://t.co/CXUyCyhpt2,2016-01-02 06:18:31,143,50,fr
.@Walgreens how much is your champagne ???/,2016-01-01 08:03:17,98,24,en
https://t.co/YH595gJkDF,2016-01-01 07:25:16,168,36,und
"I'll be performing live at 4 screenings of ENTERTAINMENT this month--San Francisco 1/8 &amp; 9 (w/Secret Chiefs 3), Houston 1/15, Austin 1/16.",2015-12-31 20:35:30,55,21,en
Dump rotting skin and bones into acid; dye the resulting slop cheerful colors; feed it to kids. Why was Cosby EVER trusted?,2015-12-31 01:29:49,248,85,en
"I'm giving my all, tonight, at @TheSatelliteLA. Plus @KingKightlinger @Katie_Crown + more https://t.co/us3m26Vu76 https://t.co/Hn4Xw0zsPs",2015-12-27 19:00:57,31,7,en
My reward for calling attention to the dangerous drug-fucked weirdos consistently lurking in @motel6 parking lots... https://t.co/qA72I4mBNq,2015-12-22 18:06:32,273,55,en
No thanks! It's depressing! https://t.co/zW1DtD7Tv9,2015-12-21 07:41:20,38,7,en
"Charles Manson has exclusively eaten @Sysco products for nearly 3 decades!
 #spon",2015-12-20 07:04:58,326,89,en
Just lost 25 followers in 3 mins trying to assist with a serious public health crisis. Should I have RT'd #starwars #nerd 50 times instead?,2015-12-19 07:52:06,302,34,en
"Quick! Book your flight to Oslo to see my show at Parkteatret, Jan 22. Get #surgery while in #Norway!  https://t.co/Vr1ZAmzLll",2015-12-18 21:37:20,13,0,en
I wouldn't pay ten cents to watch Harrison Ford play some old wino. Mention #starwars and I will block and unfollow you.,2015-12-17 08:19:47,288,93,en
Frank Sinatra Jr. is about to take the stage! #greatentertainer #hero https://t.co/goPaU1C8nZ,2015-12-13 04:34:14,87,5,en
"ENTERTAINMENT is at the MONTREAL, QUEBEC Dollar Cinema! 
https://t.co/cgML3U5LxB
Also playing there this week: ""Ant-Man"", ""Pixels"".",2015-12-11 21:10:46,24,6,en
"ENTERTAINMENT opens today in: 
GRAND RAPIDS, MI https://t.co/GOGmMB2H9q
KEENE, NH https://t.co/yErqfeVW1Q",2015-12-11 21:08:54,12,0,en
"ENTERTAINMENT opens today in:
PHOENIX. AZ https://t.co/SAKG5gazA4
SANTA FE, NM https://t.co/kZhBmFVYmT
LITTLETON, CO https://t.co/XcPuosVl7e",2015-12-11 21:04:20,15,1,en
#DanielHoltzclaw's birthday cake: https://t.co/K2QnsZFNGJ,2015-12-11 03:18:09,95,25,en
"Does the Grammy-winning producer of Justin Bieber, Britney Spears, and Madonna suffer from a #delusionaldisorder? https://t.co/HEDrfOIg1V",2015-12-10 21:32:35,96,25,en
#BigSmileDay https://t.co/SuFqQf7eRh,2015-12-06 22:49:15,51,7,und
"""Entertainment"" opens in 
PORTLAND, OR tonight https://t.co/SUIfFAkyYg 
and continues in TORONTO now at The Royal https://t.co/3eBJ5Z9s75",2015-12-04 19:09:59,19,5,en
"""Entertainment"" opens tonight in 
BROOKLYN https://t.co/n4YMRhXeQs 
PITTSBURGH https://t.co/t4FrZH3mE7 
MILWAUKEE https://t.co/ckyehUQT4j",2015-12-04 19:07:51,27,6,en
"""Entertainment"" opening tomorrow in OTTAWA, ON https://t.co/nglPkjCHF8 and tonight in LANCASTER, PA https://t.co/IeG5m2LxuV",2015-12-04 19:06:02,10,4,en
"""Entertainment"" opening this weekend in DALLAS https://t.co/9sDVzEVXk8 SAN DIEGO https://t.co/CTfCFDNhcf AMHERST, MA https://t.co/uU7MB7YDd5",2015-12-04 19:01:23,14,4,en
"This Friday ENTERTAINMENT opens in San Diego, Portland, Pittsburgh, Dallas, Brooklyn, Amherst, Ottawa, Lancaster &amp; Milwaukee. #unnerving",2015-12-02 01:40:41,52,8,en
"""ENTERTAINMENT"": 
Winnipeg @bandwidthmovies
Santa Ana @TheFridaCinema
Boulder @BoeTheater
Toronto @TheRoyalCinema
Chicago @musicboxtheatre",2015-11-30 01:55:57,37,6,en
Tonight @TheSatelliteLA I am joined by @KateBerlant @Henlips @melissavcomedy and @Rich_Fulcher! 8 pm #HottestEvent,2015-11-30 00:38:13,16,2,en
https://t.co/HOr3vNYyds,2015-11-28 06:08:03,19,3,und
Entertainment https://t.co/1hr8pyod0E,2015-11-28 04:24:47,89,7,en
"SEATTLE - Escape Thanksgiving family belligerence and cornflake-centric desserts. LAST SEATTLE SCREENING, 8 pm. https://t.co/9IZPEl61gh",2015-11-26 20:23:55,16,4,en
ENTERTAINMENT opens in 3 new cities tomorrow: SANTA ANA (Frida Cinema); BOULDER (Boedecker Theater); WINNIPEG (Bandwidth Theatre). #ominous,2015-11-26 20:15:11,21,3,en
"L.A., Denver, Seattle, Chicago, Toronto, Missoula, NYC, Lake Worth: GO SEE THIS #harrowing MOVIE! https://t.co/6P8mJ0TAGW Shut-ins: iTunes!",2015-11-24 19:50:01,22,7,en
"NEW YORK, NEW YORK: Last 2 days to see ""Entertainment"" at Lincoln Center! https://t.co/qvnDce1Em4",2015-11-24 19:44:51,19,2,en
This fascinating and important short film is a shoo-in to win the Best Documentary Oscar. Watch free of charge!  https://t.co/6ru86cVSLr,2015-11-22 01:45:19,118,40,en
"SEATTLE premiere tonight of ""Entertainment"" at the Northwest Film Forum: https://t.co/9IZPEl61gh",2015-11-20 19:03:39,19,4,en
"Chicago, LA, Denver, NYC, Toronto, Missoula, Lake Worth...ENTERTAINMENT is in the theaters today. https://t.co/pqKxtMKJ64 + iTunes in US/Can",2015-11-20 18:51:06,37,12,en
"For less than the price of a bad meal, our film ENTERTAINMENT can be watched now on iTunes. https://t.co/bpeid8EDqE https://t.co/TCEaUfaHnI",2015-11-19 17:55:58,237,75,en
"ENTERTAINMENT opens in NYC, Toronto, and video-on-demand TODAY, as part of  #WorldKindnessDay. https://t.co/pqKxtMKJ64",2015-11-13 16:46:20,68,26,en
Why?,2015-11-13 09:18:32,38,30,und
RIP George Barris!!! https://t.co/Swv6AHfBLv,2015-11-06 00:33:30,31,5,en
"Asbury Park, NJ: I am there tomorrow night (Nov 4) at The Saint. Feel free to laugh--NO ""BOSS"" JOKES IN THE SET. https://t.co/R6Z7yHp7AS",2015-11-04 02:36:19,17,6,en
Oh wow! Someone finally thought to haul Tommy Lee to the dump! https://t.co/SCXw9lJrtD,2015-11-02 21:27:21,148,35,en
Boston! Truly hope to see you on Friday at Great Scott: https://t.co/oXWk8U7SV0,2015-11-02 18:44:45,16,4,en
"Thank you Roger Ebert!
https://t.co/orWRab086g",2015-10-23 20:14:16,43,8,en
Mistake: using this ATM. Discovery: $5 service fee added to transaction. https://t.co/vbtVOLAjYT,2015-10-23 16:53:19,70,10,en
"Proud to be part of the category ""Foolish times"": http://t.co/yreg0kCgfT",2015-10-17 19:01:03,9,0,en
