text,created_at,favorite_count,retweet_count,lang
Hello yes thank you for nominate me as presdident celerbrate with these FEEL THE BERD bumper stickons https://t.co/pLiMI59fJ1 #FeelTheBird,2016-03-26 00:33:01,1796,728,en
hilliary already ask me to mak appearance on her podium next #FeelTheBird,2016-03-26 00:19:12,3254,1598,en
did you see them. did you see all the people clap for me bird #BirdieSanders,2016-03-25 23:47:24,7695,4893,en
"Uh no I not ""interrupt bern sandles"" rally I make entrance to MY rally for ME BIRD. i will him as accept VP tho #BirdieSanders #bird2016",2016-03-25 23:44:33,8918,6263,en
introductioning bird vision. put two bread on your eyes.,2016-03-25 21:54:45,2634,1355,en
hello lady in the starbacks yes your novel is going be great ok concentrate nevermind the croissant,2016-03-22 19:28:35,5248,2436,en
uhm but I could suprem court justice??? i bring my own gavel. It a marshmellow on a pretzel and I already ate it okay.,2016-03-16 18:17:54,6120,3419,en
"""''innernet exploerer has crash windows"" it ok i have that prablem also too.",2016-03-15 19:28:36,4419,2520,en
i igcognito inside a hatdag bun the condiments will come to me.,2016-03-09 21:53:31,2679,1202,en
i look in the mirror and impress with how good at me I am today.,2016-03-04 20:52:58,5855,4713,en
how come sometimes there is talking that don't isn't come from my mouth????? But???????????,2016-03-01 22:43:13,3290,1841,en
being a human a preexisting condition,2016-02-26 02:47:10,2900,2155,en
i sit on a wet paints and then i satted on a nakpin. art.,2016-02-25 00:12:25,4662,2336,en
hello hi america look whoops i just drop NEW PRODUCTS in https://t.co/Mu8mPSBA1m sure hope nobody picks them up (it a bribe I bribing you),2016-02-23 01:35:45,1168,262,en
uhm i starting suspect big bird is not a bird at all.,2016-02-21 22:32:23,4288,2232,en
math: 🐥&gt;✈️,2016-02-19 22:26:35,2308,1017,cy
this presentdent day celbertate me (bird) future persident,2016-02-15 20:47:48,2540,1314,en
will I be my valentine yes i do.,2016-02-14 20:27:13,6102,5095,en
Bernie Sandwich will you be my run mate??? I promise I not eat you. ok i don't promise.,2016-02-10 02:34:40,5606,2999,en
