text,created_at,favorite_count,retweet_count,lang
one of biggest carrots i ever seen https://t.co/uxgV7Icmst,2016-03-24 01:01:49,4394,2484,en
After 13 hour using microsoft paint I finish my St patick day surpise ! https://t.co/4xb9PeOmQO,2016-03-18 01:20:01,3472,1598,en
"when life give you lemnos ,  have a carrot",2016-03-14 15:53:38,3583,2348,en
it is 2016 time for a carot emoji   please!,2016-02-21 01:54:34,2030,900,en
Maybe megan think about me but I don't think about her a lot  honestly,2016-02-17 06:18:17,2085,920,en
knock knoc who is there? yup: carosot   ( joke ),2016-02-16 19:08:11,1069,604,en
"On predisents day we honor the big US man himself: Aberham Liclon.   Tall, skinny, dry, and cruncy - he was america's carrot",2016-02-15 18:50:52,3523,2354,en
carrots  can be eat by most people,2016-02-15 17:13:51,1579,1031,en
Donald trump look like a fat carrot,2016-02-10 03:02:52,4420,3325,en
"happy Mark#Monday# : chuck a carrot at the pelvis of any one name ""Mark"" then yell your dad's name loud (mine is ""Pelpy"")",2016-02-08 18:28:19,876,429,en
If you squent your eyes real hard a football  look like  a dry brown carrot   Honestly,2016-02-08 02:02:27,2141,1321,en
Who you want to win? :),2016-02-08 01:59:00,245,268,en
HISTROY IN PICTURES:  gumby eating his first carot https://t.co/8BtPGlJrJD,2016-02-04 16:37:21,1998,1053,en
what YOU like best about carsots?   be honest :),2016-02-03 16:57:10,574,627,en
carrots  .megan,2016-02-03 16:08:50,2009,1060,en
Maybe love will come again Megan sorry demdebate# carrots are health please,2015-10-14 02:15:59,1567,963,en
Reminder: eat crake tots,2015-10-14 02:11:02,985,572,en
"The japanese word for carrot is ""quayno"" which mean ""the orange rod of crunch"".",2015-10-13 00:23:32,2794,1893,en
"STRANG BUT TRUE: the first person to eat a carrot was name ""mark Carrot""",2015-10-10 16:35:58,3468,1806,en
Cavemen would sometimes eat carrots but only if they had hidden valley ranch dressing,2015-10-09 03:18:38,2752,2047,en
if you leave a baby carrot under your pillow when you go to bed and the Carrot dwarf will snatch it and leave you 4 dirty pebbles,2015-10-07 12:44:23,5066,3680,en
the average goat is 9 carrots tall if you measure goats in carrots,2015-10-07 01:15:13,7383,6008,en
Sorry I was in hospital sick after eating a carrot that fell in toilet even though I dried it off with a paper towel but now i  back megan,2015-10-04 18:38:56,2672,1249,en
eat Cort,2015-09-01 01:42:42,1548,1062,en
You can tell your dad you met a girl but he still probobly think your gay  Eat a carrot they have it: health/taste   Okay,2015-08-31 02:38:18,1543,822,en
I met girl name Kirsten in bathroom line at dennys. Her breath smell like hot old eggs but we talked about carots. love?  Stay tunned :),2015-08-30 22:17:31,2735,1197,en
Megan maybe there is still chance ...,2015-08-26 12:57:56,2496,1613,en
you cant eat a  big carrot without chewing it even if you try 16 times  already today  please trust me,2015-08-22 17:40:28,2481,1760,en
a carrot is about the size of other carrots,2015-08-21 16:51:51,5539,4966,en
if you tape a carrot to the passeger seat you can pretend you driving with a friend in  your 2003 ford cramry  it is true,2015-08-20 01:16:37,3857,2828,en
in some culture maybe it is good luck to throw a carrot real hard at a fat chinese mans face  i hope because i did it,2015-08-18 01:06:02,3104,1814,en
lenny kravitz pale carrot flopped out,2015-08-04 20:13:15,932,443,en
when bae take the last carrot# http://t.co/S8dtnfgZRR,2015-07-28 01:33:26,2495,1627,en
i don't care who megan is with now eat a carrot,2015-07-28 01:24:53,3453,2032,en
"Today it important to remeber that The country was found on life, libenty, and the pursue of carrot :) # Gob bless american",2015-07-04 15:53:43,4047,2729,en
"Marrage is ok between man and man, man and woman, or man and carrot . 
Equality#",2015-06-26 18:08:12,4551,2886,en
When you throw a carrot at a businessmans head he usully  chase you so it is good to have a scooter with  you  honestly,2015-06-18 00:06:00,5871,4578,en
Lebrob James need to eat carrot  for energy to win,2015-06-17 03:11:32,2747,1925,en
Maybe megan was not  the best. She always yell and not like my friends (Doug and carl) I mean carrots are the orange vegetable,2015-06-16 03:26:37,3711,1965,en
megan I  was so good to you why you brok my heart ?,2015-06-03 03:50:43,3664,2671,en
if you dial a carrot  it doesnt ring but you can still talk on it for 2  hour last nigt  ok,2015-06-03 00:43:44,4316,3166,en
"A carrot has two part:  the ""tip"" and the ""ass""",2015-05-25 01:44:24,2673,1689,en
"Most carrots like Ace Vetuta pet detector because it stars jim Carrot ""alllrighty now""",2015-05-16 17:41:38,3559,1932,en
"if you put a small top hat on a carrot it is  ""fancy carrot""",2015-05-15 02:56:18,3716,3049,en
i am over  Megan,2015-05-10 09:10:13,4929,2874,en
"according to legend, carrot were invented over 30 years ago by Bill Carrot",2015-05-09 22:13:24,3024,2232,en
A horse run if it see a carrot,2015-05-02 22:44:00,2360,1789,en
i am over megan I don't think about her on nights like tonight,2015-04-21 01:30:04,4435,2780,en
carrots can't fly unless you figure out a way to make them fly  maybe little wings or somethibg ?,2015-04-21 01:20:12,2413,1824,en
carrots can't chew gum mostly because they don't have  teeth,2015-04-08 00:50:41,5588,5456,en
zayn is gone but maybe one derecton can replace her with a  carrot #carrotforanight #,2015-03-27 03:10:49,4716,3326,en
carrots dont have eyes which is why you rarely see them wearing sunglases,2015-03-15 22:26:54,7685,7873,en
Carrot taste good   why sometimes does megan still like my Instagam pitcures?,2015-03-15 04:00:10,5275,3088,en
You  can turn the light out in your apratment and pretend a carrot a flashligt but you often walk hard into a wall,2015-03-10 22:53:27,3722,2850,en
if you see a dirty carrot in the sidwalk dont eat it trust me  i hurled http://t.co/3FyAUa382Q,2015-03-09 14:53:42,2504,1182,en
