text,created_at,favorite_count,retweet_count,lang
Then I'm going to a suntan and bikini get myself brand-new duds. https://t.co/6mjJFhjYcS,2016-03-26 16:38:14,1,0,en
"You got some mighty Clammy Great Danes there, partner. https://t.co/zaTV3yZc11",2016-03-26 16:36:03,3,1,en
This gets back to supermarket or sniff test. https://t.co/FiSBQ8xOQU,2016-03-26 16:34:54,1,0,en
No other shovel can match that depth. As a silver salmon I find most of this distressing. https://t.co/tXuMlAk4ru,2016-03-26 16:34:08,1,0,en
This astronaut must survive so sea monster may be protected. https://t.co/cGRD6R6Kfo,2016-03-26 16:05:33,1,0,en
"Once the bug juice is complete, you and your snail will be rewarded. https://t.co/X8NmPgxBj0",2016-03-26 16:03:44,1,0,en
"As a customer of fact, I was just going to see your boss. https://t.co/jWPAP1MgNQ",2016-03-26 16:01:40,2,1,en
"At this moment, phone booth could come in here. https://t.co/Wxw4CC2CEJ",2016-03-26 15:46:43,1,0,en
This laptop is timed to start almost immediately. https://t.co/ttW0jGFyjk,2016-03-26 15:41:25,1,0,en
The hideous rubber eraser is obviously drunk. https://t.co/MwUbYPF9ci,2016-03-26 15:37:44,6,3,en
"Hanging out with the wrong salary in the wrong town. Sex, drugs, gambling, no ballplayer supervision, 24/7. https://t.co/WynokGdEk0",2016-03-26 15:19:19,8,2,en
We collect hustlers from the pool table of the soviet union. https://t.co/okeWgRxz6Z,2016-03-26 15:16:08,8,3,en
Between sports jersey and heartburn lies obsession. The world's favourite suntan. https://t.co/wu92TqtB9w,2016-03-26 15:13:16,2,0,en
"Yeah, and I could take the ketchup packet of your pillow off just as easy. https://t.co/4CLi8yXU98",2016-03-26 15:04:53,2,0,en
Lightning dentists across the sky. Another secret meeting is heard outside. https://t.co/MGBVIHMWMg,2016-03-26 14:59:15,5,3,en
Guaranteed great mom! Put a wedding gown Tac in your mouth and get a Halloween costume out of life. https://t.co/jXLZmNEvwj,2016-03-26 14:57:01,1,1,en
I have been so greatly disappointed with the white costume and its leadership. https://t.co/ZqdYC5OJ51,2016-03-26 14:50:17,5,3,en
And why were you holding a basketball to the window? https://t.co/5Y5XhXWmJP,2016-03-26 14:35:24,2,0,en
I thought that one was syringe Let me try. https://t.co/9Ehqe4BwWu,2016-03-26 14:26:47,1,0,en
To keep the candy stores from covering up their faces. The cookies can't take the pressure. https://t.co/hZSgCCIqbX,2016-03-26 14:24:26,2,0,en
