text,created_at,favorite_count,retweet_count,lang
Mooooooooooooooooooo,2016-03-26 20:14:00,0,0,und
MOOOOOOOOOOOOOOOOOOOOO,2016-03-26 19:15:58,0,0,und
Mooooooooooooo,2016-03-26 18:22:58,0,0,und
MOOOOOOOOOOOOOOOOOO,2016-03-26 17:42:57,0,0,und
Mooooooooo,2016-03-26 15:27:58,0,0,und
MOOOOOOOO,2016-03-26 14:42:56,1,0,und
Moooooooooooooooooo,2016-03-26 05:48:42,2,0,und
MOOOOOOOOOOO,2016-03-26 01:59:38,0,0,und
Moooooooooo,2016-03-26 01:15:37,0,0,und
MOOO,2016-03-26 00:25:37,1,0,und
Moooo,2016-03-25 23:38:36,1,0,und
MOOOOOOOOOOOOOO,2016-03-25 22:43:07,0,0,und
Moooooo,2016-03-25 21:43:33,0,0,und
MOOOOOOOOO,2016-03-25 21:05:33,0,0,und
Moooooooooooooo,2016-03-25 20:10:32,1,0,und
MOOOOOO,2016-03-25 19:13:31,0,0,und
Mooooo,2016-03-25 18:23:16,1,0,und
MOOOO,2016-03-25 16:42:40,1,0,und
Mooo,2016-03-25 14:52:52,1,0,und
MOOOOOOOOOOOOOOO,2016-03-25 14:12:52,1,0,und
Moooooo,2016-03-25 02:17:59,1,0,und
MOOOOO,2016-03-25 01:28:58,1,0,und
Mooooooooooooooooooooo,2016-03-25 00:42:58,1,0,und
MOOOOOO,2016-03-25 00:05:57,0,0,und
Mooooo,2016-03-24 23:21:57,0,0,und
MOOOOOOOOOOOOOOOOOOO,2016-03-24 22:23:56,1,0,und
Moooooooooooooo,2016-03-24 21:32:56,0,0,und
MOOO,2016-03-24 20:38:55,1,1,und
Moooooooooooooooo,2016-03-24 19:53:55,0,0,und
MOOOOOOOOOOOOOOO,2016-03-24 19:20:54,0,1,und
Moooooooo,2016-03-24 18:39:53,0,1,und
MOOOOOOOOOO,2016-03-24 18:01:53,0,0,und
Mooooooooo,2016-03-24 17:27:52,0,0,und
MOOOOOOOOOOOOOO,2016-03-24 13:00:19,0,0,und
Mooooooooooooooo,2016-03-24 12:16:19,0,0,und
MOOOO,2016-03-24 11:18:18,0,0,und
Mooo,2016-03-24 10:29:18,0,0,und
MOOOOOOOOOOO,2016-03-24 09:48:18,0,0,und
Mooooooooooo,2016-03-24 09:12:17,0,0,und
MOOOOOOOOOOOOOOOOOOOO,2016-03-24 08:16:17,1,0,und
Moooooooooo,2016-03-24 07:37:16,0,0,und
MOOOOOOOO,2016-03-24 07:02:16,0,0,und
Mooooooooooooooooo,2016-03-24 06:13:15,1,0,und
MOOOOOOOOOOOOOOOOO,2016-03-24 05:37:15,1,0,und
Moooooooooooooooooooo,2016-03-24 04:52:14,1,0,und
MOOOOOOOOOOOO,2016-03-24 04:18:14,1,0,und
Moooooo,2016-03-24 02:17:48,0,0,und
MOOOOOOOOOO,2016-03-24 00:25:19,0,0,und
Mooooo,2016-03-23 23:33:19,0,0,und
MOOOOOOOOOOOOOOOOOO,2016-03-23 22:48:18,0,0,und
Moooooooooooooooooo,2016-03-23 22:02:18,0,0,und
MOOOOO,2016-03-23 21:07:17,0,0,und
Moooo,2016-03-23 20:12:16,0,0,und
MOOOOOOOOOOOOOOO,2016-03-23 17:21:19,0,0,und
Mooooooooooooo,2016-03-23 16:11:58,0,0,und
MOOOOOOOOOOOO,2016-03-23 15:09:26,1,0,und
Moooooooooo,2016-03-23 04:16:15,0,0,und
MOOOOOOOOOOOOOOOO,2016-03-23 02:45:21,2,0,und
Mooooooooo,2016-03-23 01:57:56,0,0,und
MOOOOOOOOOOOOOO,2016-03-23 01:14:55,0,0,und
Mooo,2016-03-23 00:34:54,2,1,und
MOOOOOOOO,2016-03-22 23:56:54,0,0,und
Moo,2016-03-22 23:22:53,0,0,und
MOOOOOOOOOOOOOOOOO,2016-03-22 22:40:51,0,1,und
Mooooooooooooooooo,2016-03-22 22:10:51,0,0,und
MOOOOOOOOOOO,2016-03-22 21:24:50,0,0,und
Mooooooo,2016-03-22 20:31:49,0,0,und
MOOOOOOOOOOOOO,2016-03-22 19:43:49,0,1,und
Moooooooooooooooo,2016-03-22 18:59:48,0,0,und
MOOOOOOOOOOOOOOOOOOOO,2016-03-22 18:06:47,1,0,und
MOOOOOOOOO,2016-03-22 15:13:44,0,0,und
Moooooooooooooooooo,2016-03-22 02:07:46,0,0,und
MOOOOOOOO,2016-03-22 01:06:35,0,1,und
Mooo,2016-03-21 23:02:44,0,0,und
MOOOOOOOOOOOOOOOOOOOO,2016-03-21 22:20:43,0,2,und
Mooooooooooooooo,2016-03-21 21:46:42,0,0,und
MOOOOOOOOOOOO,2016-03-21 21:12:41,0,0,und
Mooooooooooooooooooooo,2016-03-21 20:41:41,0,0,und
MOOOOOOO,2016-03-21 20:08:17,0,0,und
Mooooooo,2016-03-21 19:31:17,1,0,und
MOOOOOOOOOOO,2016-03-21 18:54:16,1,0,und
