text,created_at,favorite_count,retweet_count,lang
"Fellas, if you ever get lonely just remember you can build a woman out of all the loose bobby pins and hair ties past lovers left behind.",2016-03-26 20:12:58,17,4,en
Jesus definitely dropped acid in that cave. Twice.,2016-03-26 19:19:37,24,0,en
Special Agent Allen Strickland Williams,2016-03-26 18:48:15,7,0,en
Extra credit if your tweet is on brand.,2016-03-26 08:24:15,24,2,en
It's very hard to talk down to me.,2016-03-26 08:21:14,19,0,en
I found this video on YouTube and then I got down on one knee and proposed to the Internet. https://t.co/UmjRWWoHw4,2016-03-26 07:07:57,8,0,en
What no one is talking about is that bird was a #birdlivesmatter protester.,2016-03-26 05:29:07,42,6,en
"Being called ""talent"" on set never gets old. Hi, I'm literally the world's biggest asshole.",2016-03-26 04:18:37,33,1,en
sup girl we bought a zoo,2016-03-26 02:44:19,37,1,en
"I can cosplay incredibly for Dr. Who, which is why I have to be very very responsible whenever I wear a bow tie.",2016-03-26 02:41:34,20,1,en
That Bernie bird was my idea.,2016-03-26 01:19:18,19,1,en
"Meanwhile, a bat lands on the podium during a Trump rally and Donald bites the head off it.",2016-03-25 23:45:20,26,4,en
Flirty talk leads to dirty talk.,2016-03-25 22:34:31,13,2,en
I'm working on my pilot during a break while on set. And *that's* why they call me Mr. Hollywood.,2016-03-25 22:13:16,13,0,en
"""Were you raised in the church?""

""Yes. My family actually lived in a church.""",2016-03-25 21:59:17,14,0,en
"""I only do branded content."" -Allen Strickland Williams, March 25, 2016",2016-03-25 21:56:51,5,0,en
sup girl I'll put your love on top,2016-03-25 20:36:41,13,1,en
Oh I definitely need an accountant if you are one btw,2016-03-25 20:27:39,4,0,en
I should have been Luthor. Once again Eisenberg robbed me for a role. C'est la Hollywood.,2016-03-25 20:27:10,7,1,en
Honestly I just want to watch a cut of all the Lex Luthor scenes.,2016-03-25 20:26:41,8,0,en
"The frat is pumping Sheryl Crow's ""Soak Up the Sun"" and damn if that doesn't sound like a good idea...",2016-03-25 20:21:48,9,0,en
I still feel way too at home on a college campus. I wasn't even good at college but I'm such a college boy.,2016-03-25 20:16:53,21,0,en
"I'm sex positive, so with me the balls are always half full.",2016-03-25 19:53:27,13,1,en
Wait if you're married you aren't supposed to cheat on your spouse? Oh shit.,2016-03-25 19:51:33,10,0,en
Love is patient. Love is kind. Love does not judge. Love fucks all night long. Love lets you pick what to watch on Netflix.,2016-03-25 19:48:35,26,2,en
Sex workers are angels walking amongst us.,2016-03-25 19:42:59,7,0,en
I want to be so rich that all my halls are hallowed.,2016-03-25 19:24:10,9,0,en
