text,created_at,favorite_count,retweet_count,lang
suck my ass dude. suck my ass off of a cliff using a powerful pump. use vacuum suction to send my physical ass into a fuckin canyon or gulch,2016-02-29 06:06:56,197,38,en
just dropped out of college to become racist and a complete dumbass. do not @ me it is not my problem,2016-02-29 06:05:39,161,21,en
cool beans bitch. motherfucker.,2016-02-29 06:04:26,65,18,en
"""oh the world is so tiny, we're so insignificant in the vast universe"" hm ok... actually an ant is tiny, or a piece of sand.",2016-02-26 00:31:28,201,35,en
"a fool: its a small world... the world is so small
me, wise: hmm. something that i think is small is a grape, or perhaps a pea.",2016-02-26 00:27:15,265,53,en
"i make my own tomato sauce pal. what, is some guy who owns a tomato sauce making company gonna make better sauce than me? why? why would he?",2016-02-25 09:39:03,128,20,en
"a janitor cleaning up after the lakers game whispers 'kobe' as he throws away a discarded cup, but kobe is still there and he swats it down",2016-02-25 09:26:15,283,69,en
i want to say its absurd that i was banned but im pretty sure its cause i told a guy his arms are noodles and that spaghetti is for dinner,2016-02-25 05:59:17,408,53,en
"buzzfeed: you were banned for making death threats. is that false?
me: i told a guy he has noodle arms and im gonna murder him
buzzfeed: hmm",2016-02-25 05:39:41,179,15,en
its very sweet how when i tell people what i do they spend a few minutes pretending to give a shit about furniture and wood bowls. thank you,2016-02-24 21:47:01,111,6,en
"What is an aggregator you ask. Aggregators are characterized by a rounded snout, while crogrodiles tend to",2016-02-24 20:24:41,179,39,en
"its a very strategic move for me to not believe in mental illness, because i probably have like 4 of them",2016-02-24 18:45:25,111,21,en
it should be legal for me to open beers by shooting the cap off with a gun,2016-02-24 15:36:28,89,12,en
"actually I hate gambling, that's why the dice on my shirt are on fire. If I see someone start to gamble I'll burn up his gambling dice.",2016-02-24 07:02:48,356,68,en
"(80 year old iggy pop tries to break his guitar on stage but it bounces up and hits him in the head, knocking him out and killing him)",2016-02-24 06:51:43,220,24,en
please do not @ me unless you are calling me funny or handsome or asking for information on how to pay me your money. thank you in advance.,2016-02-24 04:51:17,367,259,en
jelcome to the wungle,2016-02-24 04:41:38,96,21,en
do 👏 not 👏 ever 👏 talk 👏 in a 👏 regal 👏 theater franchise 👏.  watching a movie with 50 people 👏 should 👏be 👏 an 👏antisocial 👏 experience 👏,2016-02-23 21:26:07,131,18,en
love to get insulted and then stew in it for months thinking of different reasons why the insult isnt even very accurate and im not a loser,2016-02-23 19:56:34,194,40,en
gonna ask her to marry me... i got this cheap ring made of train metal (its romatic cause i like trains). the wedding is video game themed,2016-02-23 19:27:58,266,60,en
*spits into a spittoon so hard that it falls over*,2016-02-23 17:33:09,52,9,en
easily the best nickname I ever got was when one of my friends called me 'insane clown fossey',2016-02-23 06:48:32,116,2,en
trying to build a web in my house? Fuck off. I eat guys like you in my sleep pal.,2016-02-23 01:18:04,219,43,en
"Ah, mr. bond [does not swivel chair around] [zipper noise] I was just uh, looking up stuff [closing several browser tabs] on uh, wikipedia",2016-02-22 16:43:01,822,248,en
"2015: sick of driving to work
2055: sick of living at work and using minority report tech gloves to give my alien boss handjobs or whatever",2016-02-22 01:23:26,237,34,en
"my brothers middle name is michael because we were on our way to the hospital trying to think of good middle names and i threw out ""michael""",2016-02-21 19:37:47,125,5,en
"its kind of funny that my haters are always talking shit, even though they live in burrows and holes in the ground and theyre tiny",2016-02-21 18:59:00,91,8,en
"(i come into work late with red eyes and really minty breath) sorry, i was just in my car crying because i love eating mints so much",2016-02-21 18:57:14,428,129,en
seatbelts cost far more lives than they save [gets thrown out of car at extremely low speed as I back out of my driveway],2016-02-21 08:28:07,117,16,en
"this concludes your physical, call me with any medical questions. i'll call you if i have questions about being late or having cheap shirts",2016-02-21 08:12:56,320,84,en
mmmm https://t.co/BsLOa7VvoN,2016-02-21 07:00:25,8,0,und
im just gonna use my real name online now. nobody kill me or steal my money please,2016-02-21 06:49:57,164,9,en
"twitter HQ have been alerted to JokeLaugher420s repeated threats to ""explode his haters nuts with a machine gun"" and we have called the cops",2016-02-21 06:46:28,65,3,en
"david foster wallace, inventor of many great ideas, such as ""stop doing irony jokes on me"" and ""come on if you don't stop I'll kill myself""",2016-02-21 06:42:56,65,6,en
laughin my ass off imagining a guy who works at a bottle return facility and hes really into it and he has an empty bottle tattoo on his arm,2016-02-21 05:22:48,112,8,en
"its so crazy that in the southern hemisphere toilets flush the opposite way, sending poo and pee flying throughout the bathroom area",2016-02-20 21:20:01,270,53,en
"opinions are like assholes. i only have one, and no one agrees with it",2016-02-20 21:18:30,124,22,en
you laugh at me for getting mad and squeezing my glass so hard it shatters into my eye. i laugh because i got a free contact lens on purpose,2016-02-20 20:53:54,39,8,en
"Hold on I just need to run out to my car real quick, I forgot that I need to get into it and drive home",2016-02-20 18:16:07,482,273,en
"I constructed a cannon to fire pumpkins at 14mph, which doesnt seem cool or fast but i mean, compared to a pumpkin thats just sitting there,",2016-02-20 17:47:12,209,45,en
"10 hot moves that will leave your man wondering what hit him:
1. dead arm
3. uppercut
4. twist the skin on his forearm using both hands
5.",2016-02-20 16:58:29,115,34,en
"No dude Im not saying I want the food, Im pretending to be my dog. Im saying HE wants it. its like a parody of him wanting to eat your food.",2016-02-19 22:30:01,65,9,en
"inventor of nasal decongestant spray: Hey, stop blasting those boogers out, and start blasting them into your head and body using this pump",2016-02-19 21:56:50,93,12,en
pull up to the dentist in my shitbox van and before i even get out of the car he tells me i need to floss more and charges me 20 bucks,2016-02-19 21:47:38,72,7,en
"Oh hes not BAD per se, I just prefer his earlier work. He's kinda fallen off recently. I still drive him to school but Im not expecting much",2016-02-19 21:42:04,604,172,en
"can you repeat what you said about how pomegranates are a super fruit? Ive been saying ""youre a superfruit"" in my head the last few minutes",2016-02-19 21:38:45,149,23,en
"How can we accomplish this? Simple, I'll show you: [I cut a rope and a pulley system drags me up by a harness, slamming me into the ceiling]",2016-02-19 21:33:17,135,24,en
"yeah its untied cause im gonna take it off later tonight, jackass... sorry i dont sleep in my shoes like you just admitted to doing.",2016-02-19 21:00:58,127,23,en
"alpha moves:
- run around a guy in a wheelchair to get the handicapped stall first
- dump the bowl of mints at the restaurant in the garbage",2016-02-19 20:57:35,102,20,en
"Suicide cultist: Wow, this juice sucks ass. Good thing I'm gonna die soon",2016-02-19 20:45:32,145,21,en
"Its rude to mime jacking off when someone is telling a story about their job, unless they're a sex worker in which case its actually polite.",2016-02-19 20:39:09,95,14,en
"Sir, 
We barely regret to inform you that your application has been denied. Like, wicked denied. I mean, come on sir. You're killin us here.",2016-02-19 20:34:30,110,11,en
