text,created_at,favorite_count,retweet_count,lang
No comedy I ever make will ever be funnier than this picture of my parents feeding emus on vacation https://t.co/DkcN56t5My,2016-03-26 14:55:11,77,4,en
Hi @PatMcCroryNC I pee in the shower,2016-03-25 13:08:35,6,0,en
I am looking at my phone right now,2016-03-25 01:23:48,15,6,en
"Watching the crowd file into this show is like ""Wow, they don't even know they hate me yet""",2016-03-25 00:57:08,24,0,en
"Anxious girl in movies: ""I'm constantly twirling my hair &amp; biting my lower lip!""
Me: ""Just ripped off one of my toenails""",2016-03-24 18:29:35,47,5,en
"Is it true that boys have a ""peanuts"" ?",2016-03-23 23:13:02,27,1,en
"The sad, weary look of a trophy wife hearing that there's ""a few more comics"" two hours into the show. #thingsilivefor",2016-03-23 03:39:29,24,1,en
"Tinder Guy: ""Which one are you in that group pic?""

Me: ""Im the dead one.""",2016-03-23 01:46:35,34,6,en
I have 11 jobs,2016-03-22 23:34:07,15,1,en
"What they said: ""You can do anything you want!""

What we heard: ""Have 11 jobs!!!""",2016-03-22 23:31:08,31,5,en
HOW LONG TILL DERBY DAY???,2016-03-22 10:00:41,3,0,en
"If you text someone from a plane, you're technically talking down to them",2016-03-21 19:10:03,24,0,en
"""Hey sorry I can't make it, I just realized it's legal to never leave my bed, soooo...""",2016-03-20 21:41:38,35,8,en
"""Hilary's a hawk!"" (rubs arm sheepishly) ""A real one. No one believes me.""",2016-03-20 03:11:18,16,2,en
For every 200 guys who call Hillary a hawk there's 1 guy who really does think she's an actual hawk,2016-03-20 03:08:31,36,2,en
Help,2016-03-19 19:19:32,11,1,en
I'M A FUCKING CHAIR,2016-03-19 00:10:24,14,0,en
Get a woman who can do both https://t.co/S8JacfmMJA,2016-03-19 00:09:18,124,30,en
Do u have major issues? Let this panel fix u. Tonight at Bell House at 8! https://t.co/m1HTDiVV1u https://t.co/0Kbimu9cHk,2016-03-17 19:07:11,16,3,en
JUST ADDED: Phoebe Robinson &amp; Christi Chiello. Tn @ 8! SHOULD BE ILLEGAL! Get tix here: https://t.co/vwovf7evgQ https://t.co/xDB2HGjO56,2016-03-17 15:58:27,9,1,en
Hey @JoyceCarolOates we had a dropout on a show tmrw at Bell House wanna do standup comedy? Help,2016-03-17 03:28:53,25,2,en
Hi sorry @poproulette is on the St. Patty's Reductress show so ur coming! Tix sellin out! https://t.co/S41GDo1W9q https://t.co/hSMmTOUWxR,2016-03-16 21:46:44,12,2,en
Even space princes celebrate St. Patty's Day. Giveaways &amp; $3 @sixpoint. Get tix! https://t.co/S41GDo1W9q https://t.co/tmHbhnedPE,2016-03-16 20:09:29,3,2,en
"Saw something that was like ""You can help a tired bee! Just give him sugar water"" and it's like wow some people just don't have jobs I guess",2016-03-16 04:23:17,50,12,en
"Bees are a myth, they were never here in the first place. Jesus Christ people read a fucking book",2016-03-15 22:17:57,24,1,en
"""What's a good way to get people's emails while simultaneously ripping their mental wellbeing to absolute shreds?"" https://t.co/8KSf5h0yNh",2016-03-15 02:28:01,82,16,en
"Honestly don't understand #TheBachelor, none of these people lie in bed during the day",2016-03-15 02:14:43,17,0,en
I checked my horoscope today and it was just a picture of the back of my head? Help,2016-03-14 22:13:08,22,0,en
Fuckin sucks bein single on Pi Day,2016-03-14 13:51:59,109,29,en
Being suicidal is a special time because you can justify buying the not-cheapest kind of apples,2016-03-13 18:13:35,35,0,en
"People always ask me ""Ma'am, you can't lie down here, people are trying to buy groceries,"" and I tell them, ""It's simple: luck &amp; hard work""",2016-03-13 15:42:33,155,43,en
Squirrels are nature's daredevils. Such faith. So much leaping. Proximity to death at all times. Good god if I weren't a fool I'd marry one.,2016-03-12 22:50:01,34,2,en
Had a great experience upgrading my phone at the @Verizon store!! What a deal!!! https://t.co/finC8aSwK9,2016-03-12 21:55:42,31,1,en
"""So like basically our whole thing is that like, we're bad at hair."" -Brooklyn hair salons",2016-03-11 22:32:38,17,0,en
"Just got my hair cut in Bushwick, you like? https://t.co/X2G0vdwlmo",2016-03-11 22:31:36,29,1,en
"""Make me look like your least favorite aunt."" -me at a hipster hair salon trying to not get Scissorhanded",2016-03-11 22:29:50,15,2,en
"I found a SodaStream on someone's stoop in Park Slope, but I'm in one of my ""low"" times, so...really hoping it doesn't turn out to be a kid",2016-03-11 20:13:03,7,1,en
"If Woman Scouts were a thing, there'd definitely be a ""Late-Night Depression-Fueled Self-Haircut That Actually Looks Mad Cute"" badge",2016-03-10 01:21:18,42,7,en
I've now gone through enough meltdowns that now when I chop off my hair in the bathroom sink it actually looks p. good,2016-03-10 01:16:19,52,15,en
"Thank god I'm not a 10, otherwise I'd definitely have an illegal pet by now",2016-03-08 20:13:37,12,0,en
I would give anything to not know how to spell Bethenny Frankel's name on the first try,2016-03-08 18:32:25,25,1,en
