text,created_at,favorite_count,retweet_count,lang
She sighed doing what she loved: being sad,2016-03-26 20:27:28,195,34,en
"Guy secretly practicing a dance in his subway seat, i celebrate you",2016-03-26 18:18:45,233,32,en
You know raymour &amp; flanigan fought over the name order,2016-03-26 03:43:38,85,4,en
"My Lyft driver is blasting NPR so aggressively that it feels like if I make it through the ride, I get a free tote bag",2016-03-26 03:29:29,557,66,en
Does anyone know if car dealership tube man has a brother? ;)==}==~\,2016-03-25 18:29:24,91,12,en
i am not above googling a bakery menu to reset emotionally,2016-03-25 16:42:06,296,63,en
when you hear ppl talking about you but they don't know you're there feels like an action movie except you're walking toward the fiery wreck,2016-03-25 15:29:34,178,25,en
"I'm not a scab picker, I'm a body job creator",2016-03-25 04:20:56,176,16,en
A beautiful profile on @GarryShandling: https://t.co/xBTtPHU9aM,2016-03-24 22:45:45,139,58,en
That feeling when they keep sendin u to hair &amp; makeup but u already been 2 hair &amp; makeup https://t.co/p61SQu4mON,2016-03-24 20:09:59,263,22,en
Missing an opportunity for a well-placed emoji feels like 👁‍🗨🕜☢🖇🔩,2016-03-24 15:23:19,78,10,en
gotye is somebody i used to know,2016-03-23 20:56:47,265,51,en
"""NATIONAL PUPPY DAY IS A PROPAGANDA MOVEMENT IRONICALLY STARTED BY BIG DOG!!!""-cats",2016-03-23 19:14:41,191,54,en
It's unclear why I ever stopped coloring. I'm a natural.,2016-03-23 19:05:18,146,24,en
"Where my old crushes at, make some no longer emotionally relevant noizzzzeee",2016-03-23 15:29:59,297,60,en
"YELP REVIEW OF BEING HUMAN: ""friend recommended, not sure i loved it but i didn't hate it???"", 3 stars",2016-03-22 20:47:20,313,88,en
"""U up?""-antidepressants",2016-03-21 18:39:33,265,52,en
The least appreciated Beckett play is the time between Sunday brunch and Monday morning,2016-03-21 03:13:30,208,62,en
Tfw your mom's text game can't be touched https://t.co/UxZhO2awyz,2016-03-20 20:29:36,153,6,en
My smile is a rescue,2016-03-20 18:27:32,90,21,en
