text,created_at,favorite_count,retweet_count,lang
"""It's the worst when I wake up""

-me, talking about the cold i have. Or a general statement about life, idk",2016-03-24 22:33:45,3,0,en
"""Okay, I'll get right to it""

-me, when someone tells me what to do",2016-03-23 03:44:12,0,0,en
"That's a lie, I'm actually really accommodating (to a fault)",2016-03-23 03:43:48,1,0,en
"""Don't tell me what to do""

-me when someone tells me what to do",2016-03-23 03:43:30,0,0,en
"*makes twitter joke abt life being broken and empty, even tho it's actually p great*

man i hope i get lots of likes",2016-03-23 03:39:44,6,0,en
Like ... what the ACTUAL fuck https://t.co/b3AeCph87l,2016-03-23 02:49:14,0,0,en
"I bet there's a good story behind the origin of the phrase ""shit faced""",2016-03-22 23:20:32,3,0,en
Don't sleep on Rick Astley,2016-03-21 23:19:53,0,0,en
"I ate spicy food and now my mouth is burning. Fumny how cause and effect, isnt it",2016-03-21 18:32:35,5,0,en
I can do better than that but w/e,2016-03-21 13:25:15,1,0,en
"Hi professor, could you wtite me a letter of recommendation?

Prof: I recommend the letter D. It's avery good letter

Me: ......ok",2016-03-21 13:24:38,6,0,en
"Person: wow those shoes are really cool

Me: thanks, they were made in Ghana 

Some kid in Ghana: fuck yea",2016-03-21 13:14:04,3,0,en
"Never stop; too be a human.

.you can't, even if you wanted to. So it's a win win 4 me HAHAHAHAAAAAA",2016-03-20 05:38:21,0,0,en
"If you worry about me, I'll murder you",2016-03-20 05:30:34,0,0,en
Everything is gonna be good,2016-03-20 04:54:06,0,0,en
Students who go to MSU are inferior because of their basketball team,2016-03-18 20:58:57,2,0,en
I am happy that MSU lost,2016-03-18 20:58:02,2,0,en
Be named Michigan State if u suck at basketball,2016-03-18 20:57:01,4,0,en
😀😁😃😀😁😃😀😁😃,2016-03-18 20:55:53,1,0,und
Smella like Upshaw in here,2016-03-18 20:55:44,2,1,en
We Dem Boyz is def. in my top 3 favorite songs about who those boys are,2016-03-18 19:57:15,3,1,en
"""I have no dog in this fight""

-literally everyone, ever, ideally",2016-03-17 05:30:14,1,0,en
Hi :),2016-03-17 04:22:08,0,0,und
when u stop but u 4get to make the booty pop &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; 😢,2016-03-17 02:33:09,0,0,en
"I'm not a douche, I just play one in real life",2016-03-15 20:13:47,3,0,en
"In Roman culture, it was the height of coolness to be financially dependant your whole life according to a tweet I'm currently posting",2016-03-15 04:23:15,7,0,en
"""It gets funky when you've got a subject and a predicate""

-ice cube",2016-03-14 18:39:11,2,0,en
Pppl who do not floss they're teath make me sick too my stomach,2016-03-14 04:06:30,1,0,en
I often brush + floss in the shower becauee i FUXKNG CARE,2016-03-14 03:54:54,1,0,en
"When you &lt;&lt;&lt;&lt;&lt;&lt;&lt;

When I &gt;&gt;&gt;&gt;&gt;&gt;&gt;",2016-03-13 08:27:51,2,0,en
Or https://t.co/eVp7n0siUv,2016-03-12 16:44:13,0,0,und
Lol https://t.co/rGOnJ5zyS9,2016-03-12 16:43:17,1,0,und
"Last name ever, first name greatest https://t.co/PUg3hojAUC",2016-03-12 16:40:43,3,0,en
I don't remember the last time I was this happy https://t.co/Q6HIkgYElu,2016-03-12 16:36:43,2,0,en
"Me: Nickel

Crowd: *perplexed*

Me: ...back

Crowd starts booing&amp;flipping me off

Me: SUCKS

Crowd goes apeshit, panties fly everywhere",2016-03-12 14:37:22,1,0,en
Do u ever watch a snap story and realize u hate your own voice more than anyone has ever hated anything ever,2016-03-12 14:28:11,2,0,en
What the hell is anything,2016-03-12 14:13:06,1,0,en
"Re: walking to north campus:

Seems like it sucks at firat but is actuality pretty great",2016-03-12 07:54:21,0,0,en
Cats is the worst broadway musical of all time follow me @SlebowSays https://t.co/iqjVvOthPS,2016-03-12 05:09:11,3,1,en
Did steve jobs die or is he jn hiding?,2016-03-12 05:06:47,2,0,en
Fritz is def the @Every3Weekly's bad boy. Follow me @SlebowSays,2016-03-12 05:04:34,3,1,en
Ted Cruz is the Zodiaz Killer.,2016-03-12 05:03:26,2,0,en
I didnt think i liked skylar at first but boy has he grown on me. He had my official endlrssment as a friend,2016-03-12 04:59:01,7,1,en
#relplytweet what got you involved in comedy? For me its not getting enough attentjon as a kid. For skylar its self loathing,2016-03-12 04:57:56,6,1,en
The folllowing tweets are coming at you live from @SlebowSays. Follow me because I AM FUNNY HOW DO I TURN KFF CAPSLOCK?,2016-03-12 04:56:07,3,1,en
..So that I can continue living in disgusting excess while scientists continue to be paid by liberal governments to lie about climate change,2016-03-12 00:36:24,1,0,en
I like a candidate who will turn a blind eye to science! I want someone who will validate my short-sighted and willfully wasteful lifestyle,2016-03-12 00:35:30,1,0,en
https://t.co/1TArFwsDHJ,2016-03-12 00:34:03,3,1,und
there is a ghost in my bedroom &amp; he keeps playing deep house when im trying to study @Discovery what shod i do,2016-03-11 17:03:11,0,0,en
Out of the blue and into the fire you know what i mean,2016-03-11 02:47:17,1,0,en
Birds are ok. They're no airplanes but they can fly in a pinch I'll tell you that much for sure,2016-03-11 02:44:23,3,0,en
here is the ugly truth about driving: The (vast) majority of driving is just stepping on pedals. Not as glamorous as in hollywood sorry,2016-03-11 02:43:40,6,0,en
why wood any one right poetry when twitter is right here,2016-03-11 02:41:10,0,0,en
"This hit home for me, I honestly just feel like this is so important everybody should see it https://t.co/JqkUGB5kxW",2016-03-10 21:43:58,6,1,en
Honestly I love food and water so much I could probably live off just that till I die,2016-03-10 15:16:53,3,0,en
Ok man im real happy 4 u https://t.co/7lh8Nnmj28,2016-03-09 22:05:27,2,0,en
"""...for a laundry list of reasons""

Ok so is that like a lot or",2016-03-08 08:37:18,1,0,en
"[Someone calls a land line phone that doesn't have caller id]

""Old phone who dis""",2016-03-07 00:24:44,3,0,en
"""Hold on, I need to put this banana in my pocket""

-a thing i actually said just now",2016-03-06 21:25:18,2,0,en
List of things higher on the bullshit scale than US layover customs:,2016-03-06 20:36:43,0,0,en
"If u think i give a SHIT about the things i appear 2 care about, u will b right most of the time",2016-03-05 13:05:17,1,0,en
"""How can you tell if someone's a vegan? THEY'LL TELL YOU HAHAHA""

-someone who has likely never met a vegan/vegetarian",2016-03-05 02:52:43,1,0,en
I Saw The Face Of God And It Was snorkeling,2016-03-05 02:27:33,0,0,en
"Don't be a tiny little baby man boy. 

Be a big little baby man boy.",2016-03-04 00:31:35,2,0,en
"""It seems you've mistaken me for someone who gives a fuck""

*tries to moonwalk away but misses door*",2016-03-04 00:23:05,0,0,en
"Me: Honey I'm home, did you make dinner? 

Honey: (doesn't answer because it is tapped in a bear-shaped container)",2016-03-03 22:12:29,2,0,en
"Void main ()
{
       Let The Underworld Rise 🌋
       End
}",2016-03-03 22:11:14,0,0,en
#tbt https://t.co/VYtaTsjzhR,2016-03-03 04:21:11,5,0,und
"Me: there's this one special person &amp; whenever i tweet i hope they like it 

Friend: is it the dar-

Me: it's the dark lord Satan, yeah",2016-03-03 04:10:51,15,6,en
"Me: 💆

All of u: 💩

get fucking owned",2016-03-03 04:09:28,1,0,en
"Errrrrrything i do, i do for the twitter likes",2016-03-03 03:59:23,2,0,en
Oh hi jetlag,2016-02-28 23:36:52,0,0,de
Airplane mode engaging in 3,2016-02-27 22:29:02,0,0,en
"""This is first rodeo, I don't really know the ropes/drill""

-a novice bull rider",2016-02-27 20:40:33,1,0,en
This s just im: Sponald Blump peenes - verry small. Sad!,2016-02-26 07:02:32,3,0,en
The govt needs to crack down HARD on underage drinking. Youths all over are having a great fucken night 2mite at iys absolutely disgusting,2016-02-21 08:08:22,5,2,en
"Next time u r in a car,  just think.... if this thing was a animal, i would have to feed itlots of gas and its poo causes global warming lol",2016-02-21 07:52:50,2,0,en
When u suck but she still nuttin,2016-02-18 07:19:54,0,0,en
"*screaming on rooftop in a wind storm*

I HAVE THE ASS!!!!!!",2016-02-18 07:12:42,1,0,en
"""I should have, but I didn't""
A memoir",2016-02-15 23:55:36,4,0,en
Being 20 is so different wow,2016-02-13 05:02:17,0,0,en
"but more importantly: 

Brewskis",2016-02-12 04:53:36,1,0,en
"some things that would normally be considered ""cute"" can also be sublime/beautiful if u assign it deeper meaning (whether its there or not)",2016-02-12 04:52:37,1,0,en
It's shaping up to be a weekend,2016-02-12 04:48:11,1,0,en
"anyone else ever get really sad for no reason?

ok good me neither",2016-02-12 04:01:31,4,0,en
Either American Idiot is actually amazing or I'm just an intensely nostalgic being,2016-02-11 23:29:28,3,0,en
"""It's good to fuck things up sometimes.""

*assistant whispers in my ear*

""Shit""",2016-02-11 05:18:49,0,0,en
Fav my tweets so I can rule out the absolute certainty that it's fake,2016-02-10 01:21:48,1,0,en
