text,created_at,favorite_count,retweet_count,lang
"When I first saw a naked man and the balls weren't independent unconnected orbs, I thought something must be wrong with him.",2016-03-26 18:41:51,78,1,en
"hey ladies, I'm one of the strongest, most secure women I know &amp; I once let a man I despised basicially take me hostage-cut yourselves slack",2016-03-26 05:42:19,159,12,en
"Narration: Has THIS ever happened to YOU?
[b&amp;w video of my entire life]
Me: There's got to be a better way!
Narration: Try GIVING UP!",2016-03-26 01:38:14,93,11,en
"if you hang out in LA enough, eventually every time you see movie credits you get to say ""oh I'm friends with his ex-wife""",2016-03-26 00:59:29,106,6,en
not looking forward to hearing about that podium bird's sex scandal tomorrow,2016-03-26 00:38:58,89,14,en
"statistically speaking, 219 people are currently rushing to write a comic essay titled ""I'm The Bird Who Landed On Bernie Sanders' Podium""",2016-03-26 00:08:24,106,9,en
"in order to tell if your mushrooms have gone bad, ask yourself, this is basically mold why did I think this was a good thing to eat anyway",2016-03-25 22:54:57,106,25,en
"Tom Petty's song ""Listen To Her Heart"" makes a lot of sense to me but only because I imagine it's being sung by a really great sandwich.",2016-03-25 20:28:21,50,9,en
Make Friday Good Again!,2016-03-25 12:58:28,71,13,en
"""I won't support that guy who might have had affairs, he's a hypocrite! I like the guy who raped his wife!"" -SOME ACTUAL GOP VOTERS",2016-03-25 12:57:22,310,96,en
"Cruz probably had affairs, Trump definitely had affairs and raped his ex-wife so it's clear why conservative religious types support them.",2016-03-25 12:48:09,188,50,en
I love intense makeup but if you're doing it for yourself &amp; not men I don't get why it's not just tiger stripes &amp; angry lightning bolts,2016-03-25 02:30:15,230,31,en
"*receives compliment*
haha omg ok so you don't know about this and this and this that are wrong with me-also that and this rofl nice try tho",2016-03-25 01:46:52,102,18,en
10 more minutes of reaction tweets and then I promise I'll pass out.... tweet now or forever hold your peace (and/or 10 min til you're safe),2016-03-25 00:39:36,28,1,en
"According to my stickers, I'm a (lesser?) superhero now, don't fuck with me https://t.co/pJLeZ3ED6Y",2016-03-25 00:04:36,77,1,en
"POINT: This election's cost you a lot of friends
COUNTERPOINT: You'd have lost none if you didn't call people you barely know your ""friend""",2016-03-24 20:57:19,129,21,en
twitter's great if you want to be the first to be sad about celebrities you admire dying,2016-03-24 20:26:24,100,17,en
