text,created_at,favorite_count,retweet_count,lang
"I'll say it if you won't: anybody who calls Sally Field ""Sally Fields"" should be slapped mega-hard in the face.",2016-03-26 06:46:59,204,21,en
"I was brought up Catholic but also extremely sheltered, so today I celebrate the day Christ went to a farm.",2016-03-26 02:29:08,877,230,en
"High school girls: I get older, they also get older. One day we'll all just be 32-year-old women, crying in our cars to Fiona Apple songs.",2016-03-23 06:21:14,461,73,en
"Ever wonder what lunatic keeps begging NPR to spotlight ""exciting new music?"" Well it's ME! All ME! Haha, enjoy the cajun violas, everybody!",2016-03-22 03:04:59,250,28,en
"Possible best note I've ever received on a script: ""I'm confused as to why the character would sleep with someone she doesn't seem to like.""",2016-03-19 03:10:08,1212,187,en
Today I turned Didn't-buy-a-huge-sword-at-Mexican-market-because-it-was-ONLY-seven-dollars years old.,2016-02-21 19:06:44,411,47,en
"For best results, follow Pantene shampoo with Pantene conditioner. For worst, follow with gum and ants.",2016-02-18 03:11:15,606,166,en
"According to movies, parents get divorced when two children sit at the top of a staircase.",2016-02-17 16:34:34,480,85,en
"My niece has been crying for hours because I didn't let her eat a ""Jurassic World"" stub she found in my couch. Use condoms today, everybody.",2016-02-15 00:39:35,519,101,en
Thank God it's Friday but also that we're all professionally successful and in satisfying romantic relationships.,2016-02-12 17:59:17,241,43,en
I'm on this incredible new diet where the men I sleep with don't invite me to their birthday parties.,2016-02-12 03:57:50,373,54,en
NOT A DRILL LOS ANGELES: they're playing Billy Joel's Greatest Hits in Canter's.,2016-02-11 04:05:57,169,15,en
"How sad for swimsuit designers that they've never seen or touched a human boob. I mean, I'm assuming.",2016-02-07 06:14:44,1489,470,en
I don't get what everybody thinks is so weird about that lady's food diary. It's pretty close to mine! https://t.co/g0wd9s0gA0,2016-02-05 18:24:18,594,286,en
"My father thinks Marco Rubio's name is ""Marco Ruffalo,"" please, please nobody ruin this for me.",2016-02-04 22:05:54,567,93,en
"I bet when she's drunk, Anne Geddes photographs babies in styrofoam containers of pad thai.",2016-02-04 18:31:35,487,135,en
I don't think Ann Taylor should sell you a power suit if you are already visibly intoxicated by power.,2016-02-03 23:22:15,252,55,en
"As far as ""girlfriend material"" goes, I think I'm burlap.",2016-02-03 03:37:35,454,115,en
"Feeling pessimistic? In few months, you can watch Jane Fonda and Lily Tomlin do the best handjob bit I have ever seen. Hang in there, baby.",2016-02-02 05:57:14,216,16,en
Pizza in the morning pizza in the evening pizza at suppertime / You've got undiagnosed seasonal depression and it's time to tell a friend,2016-02-01 07:30:55,743,234,en
I like when men say they grew up afraid to talk to pretty girls. Lack of fear for homeliness was a huge part of my success as a teen mugger.,2016-01-30 22:27:36,147,19,en
"A lot of being single and living alone is learning to keep the place nice ""for you,"" and ""the people who would find your body if you died.""",2016-01-30 21:23:30,782,296,en
"Wow. Is ""Failure to Launch"" the most misleading title of any movie ever? This thing is off like a fucking rocket.",2016-01-30 04:04:05,254,24,en
My style of dancing can best be described as someone trying to soothe a crying baby but without the baby.,2016-01-28 23:44:20,222,41,en
"One of the first signs of age is mouthing all the bylines of public radio reporters. Anyhow, from NPR News in Washington, I'm Lakshmi Singh.",2016-01-28 17:46:51,326,75,en
"SPORTS ARE SILLY, PUT ON THE SCI FI TV SHOW I WATCHED AS A VIRGIN!",2016-01-25 03:18:23,552,149,en
"Some day after I sleep with an attractive person I'm going to email them a link to X-Files fanfiction I wrote as a teen. Like, haha, PUNK'D.",2016-01-25 02:44:14,786,170,en
"Uh, I just saw a skateboarder in a ""PUSSY"" hat wipe out on a pile of rotting avocados, so I guess I can't be an atheist anymore?",2016-01-24 23:09:21,2626,804,en
Your baby name sounds like an heirloom tomato,2016-01-24 19:36:32,216,37,en
"Hugh Laurie in ""Sense and Sensibility"" is my favorite character in any movie of all time.",2016-01-24 08:18:50,201,17,en
"""Yes, hello, police? My mother just responded to a question I asked with lyrics from a John Cougar Mellencamp song.""",2016-01-24 02:46:40,214,19,en
"Soooo, can we start calling these ""male-driven"" comedies and endlessly ponder if they are ""commercially viable"" yet? https://t.co/CFU7qUZYsu",2016-01-24 00:29:58,339,99,en
"Without a trace of irony: nothing makes me happier than hearing that the woman who does your nonna's hair loves ""Grace and Frankie.""",2016-01-23 09:21:12,103,4,en
Can't believe a girl I made out with in middle school is now a republican. Guess one of us was lying when we said we'd never change. Bianca.,2016-01-23 08:35:57,469,48,en
I can't believe so many people still see therapists when there's a body wash that restores and invigorates.,2016-01-23 07:03:36,519,129,en
"I used to think it was cute when kids say they want to be president but now I lean really close and whisper ""Stay away from my family.""",2016-01-22 20:36:18,227,60,en
"I'm sorry, WHAT?
https://t.co/bf3i9XVO05",2016-01-22 19:08:21,91,64,en
"If I worked at a bakery, I'd love it if a customer absently sang ""BA-GELS"" to the tune of the Sega Genesis theme. To each her own, I guess.",2016-01-22 17:28:32,266,45,en
A cool part of being a woman is the ability to talk freely about ghosts for literal hours.,2016-01-21 20:53:09,243,67,en
"I'm a closet romantic, by which I mean my closet is upholstered in crushed velvet and mustaches.",2016-01-21 08:20:52,164,20,en
"Truth: I am hesitant to watch ""Angie Tribeca"" because their writers' room was below ours and they were very attractive and nice. V suspect.",2016-01-21 00:34:49,191,6,en
Create the illusion of a flat stomach by never ever leaving the house.,2016-01-20 22:52:17,444,131,en
"Avoid sex with anybody you can't picture eating a whole funnel cake in front of. Trust me, it's just not gonna be good.",2016-01-20 20:08:41,690,260,en
Excited to announce my new job at the New York Times! https://t.co/qjXcjuZQvp,2016-01-17 19:58:21,168,15,en
"I know we had brunch plans but someone on Facebook just called her spouse ""the husbo"" so instead I'll be chewing the legs off my couch.",2016-01-17 19:31:02,614,115,en
Pretty funny how many idiots act like they could have envisioned a cat that loves lasagna and hates Mondays in 1973.,2016-01-17 08:29:55,316,45,en
"When you cry in your car to that sad  song by the fictional band on ""Transparent,"" do you call that",2016-01-17 05:34:04,77,10,en
New York is great but living in LA almost quadruples your chances of seeing a goth adult order a grilled cheese sandwich.,2016-01-17 04:29:06,470,84,en
"Oh fun, a show about rich white dudes. I hope there's a scene where scantily clad women gyra-ZzzzzzzzZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ",2016-01-16 20:58:14,309,45,en
There are self-destructive streaks and then there are self-destructive all-over chunky highlights.,2016-01-15 18:18:07,194,38,en
"Hell of a read and asks a lot of very important questions, by @katiejmbaker. https://t.co/HIyzDi4rP7",2016-01-15 05:04:20,91,29,en
Let's just all collectively decide to stop having sex with people who don't use the turn signal.,2016-01-14 23:52:29,648,206,en
I can't be the only person who has done this. https://t.co/t8BFiHEwb4,2016-01-14 18:38:43,125,14,en
"When I was 7 mom took me to see ""Robin Hood,"" like ""Isn't Costner a babe?"" and I was like, ""Hm no, I want THAT one."" https://t.co/jNjlrqeixR",2016-01-14 13:26:51,568,113,en
"If you're too old to get teen pregnant but still want to see a look of disappointment on your father's face, may I suggest a short haircut.",2016-01-13 07:39:09,436,67,en
"I just joined a ""The Craft""-themed gay bowling team, so I guess I can just sort of kick back for the next 11 months, goal-wise.",2016-01-09 07:47:08,319,28,en
"It seems to me that the couple across the alley smoked pot, and the pot made them want toast. Thank you, this has been ""Smell Rear Window.""",2016-01-08 19:16:24,259,21,en
"A controversial joke I wrote was cut from ""Grace &amp; Frankie,"" so I'd like to share it here: Tomato basil soup is actually just tomato sauce.",2016-01-07 21:34:10,413,57,en
"Well, my friends, this was a toughie. Thanks for reading. 

https://t.co/bKjFYfcl19",2016-01-07 16:52:15,3119,1096,en
I hope this is the year none of us lose friendships due to opinions of movies or television shows.,2016-01-07 04:42:39,219,48,en
The electricity in my building is out so it was extra helpful of the mailman delivering my legwarmers to bang on the door like a murderer.,2016-01-07 02:20:47,215,28,en
I want an insomnia CD of Tony Soprano breathing while he eats a sandwich.,2016-01-06 05:15:02,295,74,en
Laaaaaaaaaame https://t.co/3PcUqIZX55,2016-01-05 20:58:58,50,9,en
"It's raining in LA. Did anyone else's body just fall apart like the end of ""Death Becomes Her?""",2016-01-05 19:21:51,109,4,en
"""People on streets...bada dee da day... People on streets... ba da dee da dee da dee da dee da"" - Under Pressure or me trying to dirty talk",2016-01-05 02:11:14,126,14,en
"Thank you for inviting me to be your keynote speaker. I'll get right to it: one time ""Goodbye Earl"" popped up on shuffle while I had sex.",2016-01-05 01:03:20,193,30,en
"She placed a gloved hand on his cheek, gave him a last wistful glance, then whispered hoarsely in his ear, ""Please copy-edit your website.""",2016-01-04 08:55:25,174,43,en
"I just successfully programmed a coffeemaker. No disrespect to people who have died trying to climb huge mountains, but: I get it now.",2016-01-04 08:12:54,271,38,en
"""Rough night?"" asked the bartender. 
""Yeah,"" I replied. ""TV and movies gave me false expectations about your interest in my personal life.""",2016-01-03 07:55:56,821,174,en
"Weird, single-person complaint: people you've JUST met casually dropping the names of husbands or girlfriends with no context. Like...",2016-01-02 22:40:35,395,56,en
"""He was an uptight suit. She was a free-spirited artist. Together, they had..."" - tagline for my rom-com, ""DIFFERENT SCHEDULES &amp; INTERESTS.""",2016-01-02 21:26:48,649,136,en
"From now on whenever my neighbors have loud sex, I'm going to blast Alphaville's ""Forever Young."" Not mad, just think it's a p good bone jam",2016-01-02 00:40:54,254,24,en
"I don't mind an ""Irish Goodbye"" but I prefer the ""Polish Hello"" where I just burst into your home and spend quality time with you.",2016-01-01 22:44:05,430,96,en
"Responded to a ""you up"" text at 3AM with ""Let me play with your teeth."" The reply ten minutes later: ""no."" This is already my favorite year.",2016-01-01 20:37:51,523,65,en
"Wow, it's not even noon and I've already lost weight and had three healthy romantic relationships.",2016-01-01 19:11:47,507,81,en
"Hey porn websites, you can get rid of the Santa hat now.",2015-12-31 22:17:36,426,71,en
"Every year I make the same resolution: to live my life without ever having seen the 1999 film, ""The General's Daughter."" Try it. It's easy.",2015-12-31 20:57:38,202,34,en
"I hope all of you've found someone to kiss at midnight. Personally I only have like, 14 more hours left to figure out where Greta Gerwig is.",2015-12-31 17:39:47,189,16,en
"Imagine being so confident you don't  wake up during celebrity sex dreams because your brain knows something is amiss here, league-wise.",2015-12-31 04:28:00,239,28,en
