text,created_at,favorite_count,retweet_count,lang
I'm sleeping with a New Yorker tonight. The magazine. Not a person from New York. I don't put out.,2016-03-26 06:40:46,40,3,en
As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into yo momma.,2016-03-25 17:53:23,21,8,en
Someone I actively disliked in high school/haven't talked to in 15yrs just sent me a friend request. It's official: I've been on basic cable,2016-03-25 05:07:34,70,3,en
"I MOURN MORE
I MOURN THE MOST
I AM BECOME MOURNING",2016-03-24 21:02:52,21,1,en
"My favorite. The only celebrity loss I've ever felt. Now, if you'll excuse me, I'm going to go dry heave in the dark https://t.co/dUAR5UccBR",2016-03-24 20:46:30,49,3,en
"'Sup, fam! I'll be on @VICELAND's FLOPHOUSE at 10:30 tonite. Look, an animated GIF! I'm just like you, a millennial https://t.co/FETcq316i6",2016-03-24 20:12:14,42,9,en
"My version of this is ""Smoke indoors. Nothing matters."" https://t.co/Pt0ks8AsaD",2016-03-23 23:13:09,65,4,en
"Hey, Millennials! Aren't you glad your mother swiped right on life? ;)",2016-03-23 06:40:41,68,6,en
STATUS UPDATE: Scrolling through the void,2016-03-23 06:23:46,29,7,en
"The worst part about being sober is knowing that if/when I push another person away again, it'll entirely be my fault.",2016-03-22 06:51:59,77,1,en
Candid photo of me enjoying Twitter #LoveTwitter https://t.co/bKXSXJGrAO,2016-03-21 23:37:04,51,2,en
"If you don't go to Blessed tomorrow night, your father and I are getting a divorce. Hollywood Improv Lab. 8PM. $5. https://t.co/Vfi6yGIhbl",2016-03-21 19:45:27,16,8,en
MY NOTES ON YOUR SCREENPLAY: Move back to the midwest,2016-03-21 07:27:56,88,9,en
TFW you're the only motherfucker in the game talking about the fact Shelly Miscavige has been missing for 10 years https://t.co/ZXSa6uAmKQ,2016-03-21 06:41:04,69,12,en
Why don't they make the WHOLE Scientology out of the Hole?,2016-03-21 05:47:43,16,0,en
"I am the only punctual person in Los Angeles. Worship me, for I am your God.",2016-03-20 19:01:49,49,2,en
Happy first day of Spring! Your father and I are getting a divorce.,2016-03-20 18:07:48,40,2,en
"Chill out-Donald Trump isn't going to be the next President of the United States. This isn't a fucking Phillip Roth novel, this is real life",2016-03-20 08:48:05,42,3,en
There's been a dirty diaper on the staircase leading to my complex for 2 days. My millennial neighbors &amp; I are all too terrified to touch it,2016-03-19 05:31:54,36,0,en
