text,created_at,favorite_count,retweet_count,lang
Was having a perfectly nice Easter Eve until the hot tub overflowed in the living room,2016-03-27 06:11:42,169,29,en
I think I have an idea. Someone get me an iron and a meeting with the president https://t.co/lctLa90HPx,2016-03-26 22:51:47,299,43,en
"If you're robbed at gunpoint, don't fight back. Stay calm, give up your money, then say, ""And really, don't even worry about paying me back""",2016-03-26 02:43:40,509,117,en
"Sorry, but what I do in the privacy of my home is my business https://t.co/SRdShjZLDz",2016-03-25 02:23:27,258,34,en
Waging cyber warfare on my volleyball team,2016-03-24 22:31:52,165,15,en
Me realizing my frequent diner punchcard is in another sport coat https://t.co/YnQuNXhHeH,2016-03-23 19:44:17,197,29,en
So glad someone was finally bold enough to ask https://t.co/aqDqjBEvOI,2016-03-23 03:13:08,616,115,en
I've got a tank full of gas and a head full of dreams. Time to go to the grocery store for no reason,2016-03-22 03:22:31,664,194,en
"Dream Vacation: I travel to a tropical locale, rent a fun convertible, put the top down, turn the stereo up, and drive into the sea",2016-03-20 02:26:37,508,158,en
I hope this is referring to another person also named Angela Lansbury who is just a total loser https://t.co/1ePJHtOa5v,2016-03-19 06:08:05,458,59,en
"Next time you're buying something, hand the cashier your item and say, ""I thought about it, and I decided not to steal this""",2016-03-18 04:44:45,410,82,en
"It's a shame that despite all the technological advancements we've made, horses are basically the only form of transportation you can spank",2016-03-17 03:25:59,835,225,en
What has my camera captured https://t.co/eYJMQmOHf2,2016-03-16 04:08:33,320,37,en
"We're in line at the grocery store. Looking at the contents of your cart, I see a chance to strike up conversation. ""Somebody... buys food""",2016-03-16 02:48:37,227,34,en
Think I've already found my summer jam https://t.co/b5uVeAZsxk,2016-03-13 23:33:23,172,42,en
I can't tell you how much time I've saved since realizing you can just put the whole string cheese in your mouth at once,2016-03-13 01:24:30,369,92,en
"Commercial idea: Real people are surprised to learn a product they try is, in fact, a brand they would not expect. I don't know. Might work",2016-03-11 06:30:31,375,64,en
Staring in the mirror and wondering just how far I'll go to destroy my volleyball team,2016-03-10 22:47:33,262,35,en
I wish the candidates in this election would just stop for one second and consider how much it's stressing me out,2016-03-10 02:19:35,521,186,en
I've found a new enemy https://t.co/WjoAqNu7eO,2016-03-08 04:05:48,762,259,en
I refuse to watch another debate until they replace the podiums with these https://t.co/ylTFnz79H4,2016-03-07 01:16:29,287,58,en
The grocery store can be such a cruel place https://t.co/OLQw4CFpqa,2016-03-06 03:33:16,337,51,en
"Well, yes, that's one of the times https://t.co/QQ1Lky4Ibj",2016-03-05 17:56:48,274,34,en
I'd love to reach a point in my life where I could get backed over in an Arby's parking lot and people would be surprised,2016-03-05 04:07:09,315,67,en
Still so amazing to me that this is human https://t.co/xolGoGhV8y,2016-03-04 04:17:01,539,118,en
Waiting outside the community center for my volleyball team,2016-03-03 20:42:49,130,15,en
"When I first moved in, I was excited my apartment had a balcony, but of course, I've been here 10 months and haven't been thrown off it once",2016-03-03 02:13:38,409,64,en
Handy cheat sheet for anyone feeling generous https://t.co/Dac0lyQALd,2016-03-02 01:43:51,173,27,en
"I nearly fell down the escalator at the grocery store, and yes, I'm aware: It could've been the end of my reputation as a smart shopper",2016-03-01 05:29:23,336,36,en
My training starts now https://t.co/BQneJpnOeG,2016-03-01 02:08:58,257,32,en
"I thought it was going to be a normal trip to the trash chute. Of course, sometimes life has a way of surprising us https://t.co/My4GP2Pklu",2016-02-28 04:57:20,323,30,en
"I'd only want to run for president so that upon winning, I could ball up my fist, grit my teeth, and say, ""The presidency is mine""",2016-02-28 02:10:49,231,33,en
My vote is with whichever candidate who can absolutely guarantee they will end the world,2016-02-26 06:04:53,739,260,en
"Really, why do anything https://t.co/w7sqczO8Z2",2016-02-26 04:58:50,230,31,en
Done pretending that things are fine with my volleyball team,2016-02-26 00:14:11,339,54,en
"In that moment, I quickly realized Martha had other ideas for our afternoon https://t.co/hAtcpJ8sJF",2016-02-25 04:59:03,462,62,en
"And like that, the world learns I have a son as well as a new spring look https://t.co/vQy1mPp1HV",2016-02-24 22:20:46,315,28,en
"Had he asked, I was fully prepared to tell the cashier these were for my book club https://t.co/u1r34f9mjU",2016-02-24 04:34:58,201,16,en
Far and away my favorite photo of Ted Cruz https://t.co/ov1Bn1uzOu,2016-02-23 23:33:17,252,55,en
"I don't know if I would want to be accused of being a witch. That said, I wouldn't mind being thrown in a pond to drown",2016-02-23 06:24:37,467,126,en
"It's been decades now, but really, it still feels like yesterday that I came to my senses and decided Hollywood should have a biggest night",2016-02-23 02:38:38,187,15,en
It's once-in-a-lifetime opportunities like these that keep me coming back to the grocery store https://t.co/qM57CwHwBF,2016-02-20 03:57:20,507,99,en
"My greatest strengths as a dancer? I'd love to tell you now, but it'll be easier if I just send you a spreadsheet",2016-02-20 02:17:28,248,53,en
Preparing to take back what's mine from my volleyball team,2016-02-18 22:22:08,254,34,en
"It's encouraging to think that no matter who you are or where you're from, it's never too late to be killed in a horrifying accident",2016-02-18 02:13:21,510,133,en
"I know they do cats, but I might just call and ask for a full list of things the fire department can get out of trees",2016-02-17 05:24:39,373,84,en
"I want to reach out and thank all the couples who don't celebrate Valentine's for taking such brave, bold measures to take down the system",2016-02-15 02:23:29,408,78,en
"""You're pinching me!"" -Funny thing to scream as you're being murdered",2016-02-14 02:14:08,352,77,en
I could show up to a concert nine days late and still not miss the opening band,2016-02-13 04:00:23,502,100,en
Realizing that nothing and no one can protect me from my volleyball team,2016-02-11 23:10:49,206,25,en
What brings me into Walgreens tonight? Glad you asked. I've come here to die,2016-02-11 01:25:20,1263,422,en
"Before I get a haircut, I go in the bathroom, look in the mirror, and ask myself one question: Am I ready to be hounded by the press",2016-02-10 02:54:05,415,81,en
"Professional skills include Microsoft Office, 90 WPM typing, and occasionally being able to guess which house they'll pick on House Hunters",2016-02-09 05:32:46,524,230,en
No and I don't care https://t.co/MytfTSZY7x,2016-02-08 05:37:31,292,29,en
Really getting into Yelp https://t.co/PCfjRP5sEY,2016-02-07 20:44:54,438,72,en
Every Republican candidate either looks like a vice principal or a facial prosthetics demo,2016-02-07 07:17:07,321,79,en
Looks like Will and Jada really went all out this year https://t.co/rxavmdeSEr,2016-02-06 19:08:42,839,165,en
Imagine being so rich and bored that you run for president,2016-02-06 05:51:33,826,246,en
This is what I hope to see as I'm dying https://t.co/aHkHnO4boB,2016-02-05 03:48:57,412,90,en
Hospitalized by my volleyball team,2016-02-04 23:21:24,198,24,en
"At last, the information I've been searching for https://t.co/UsSUdjTry8",2016-02-04 05:58:59,383,61,en
"Next time a retail employee asks if they can help you with anything, look at them and snap, ""Do I look like a charity case to you""",2016-02-04 03:52:05,327,62,en
