text,created_at,favorite_count,retweet_count,lang
"i had a rough day today but it's like my dad always said, ""thats a push door you fucking idiot""",2016-03-25 04:47:22,2488,925,en
if your date isn't going well u can always end it by asking if they want to read some of your poetry,2016-03-25 03:47:59,1008,407,en
"i don't feel like cleaning up after myself anymore so i'm labeling all of my messes as ""art exhibits"" and moving on with my life",2016-03-25 02:15:29,1099,578,en
your 30s are basically your 20s with much fewer hit points,2016-03-24 03:51:02,1968,807,en
"barista: can i get your name please
me: john, with an ""h""
(3 min later)
barista: HJON?",2016-03-23 20:52:17,2361,899,en
mother nature why https://t.co/yrxajRjdlD,2016-03-23 04:04:43,877,269,en
"just realized every time i've ever said ""i'm full, thanks though"" was a lie",2016-03-22 23:53:18,756,284,en
what if u met someone on tinder who used the doggie filter in all their pics but it turned out they were really just a labrador retriever,2016-03-22 03:14:10,1335,421,en
"a fun game to play at the zoo is to walk hurriedly past a person and say ""they've escaped. don't run. just walk very fast.""",2016-03-22 00:59:09,3043,1270,en
"i tried to ask a girl out today but i messed up my words and accidentally summoned a demon. anyway, whats a good first date for a demon",2016-03-21 02:15:48,3401,1616,en
"good cop: WE KNOW YOU'RE IN THERE, WE JUST WANNA TALK

me: NO IM NOT

bad cop: damn. alright boys, let's go home.",2016-03-20 04:19:59,1642,489,en
they say successful people wake up really early in the morning which seems true cause till recently i thought morning was a made up concept,2016-03-20 01:51:57,909,303,en
any tiny dot on my floor is a spider until i've stared at it for 1 hour and determined otherwise,2016-03-19 23:11:15,865,264,en
"ladies, i'm the guy your parents warned you about https://t.co/QstJmzMiwn",2016-03-19 22:09:14,141,21,en
being single is easy when you replace your need for human touch with burrito bowls,2016-03-19 06:31:00,2140,921,en
"INTERVIEWER: u listed ""creator"" in ur job history. u create anything i might know?

GOD: ya ur freakin mom haha. no but seriously i made her",2016-03-17 05:13:51,1369,356,en
"just read an article that said highly sarcastic people die younger, which is just fucking great.",2016-03-16 16:35:51,5872,3436,en
"Commercial for Twizzlers: 

[closeup of man eating twizzlers who's not sad but not really happy either]

ANNOUCNER: ""Twizzlers.""",2016-03-16 03:05:38,2042,680,en
donald trump is your dad's friend you always avoided by staying in your room till he left,2016-03-16 02:34:37,1863,737,en
"ME: Siri, where can my date and i get dessert
Siri: Okay. Here are your last 10 google searches
ME: [snaps phone in half]",2016-03-16 01:16:09,1423,401,en
"back in Renaissance times, Renaissance fairs were known as ""Right Now Fairs""",2016-03-14 22:50:06,1768,699,en
"bae: come over
me: ok
bae: hold on don't u have a reason u can't come
me: no
me: hello
me: hello 
me: should i still come",2016-03-14 05:15:37,1903,588,en
"JUDGE: break for a 1 hour recess
ME: objection
JUDGE: ugh fine. 2 hours.
ME: [i go to high five my lawyer but he already walked out]",2016-03-13 23:53:10,853,188,en
and now they think they can keep me from eating paper towels. where does it end https://t.co/PNeztiSJUy,2016-03-13 18:38:05,1295,347,en
got put in a group text as a wrong number &amp; they're planning a party 2nite. i think it would be rude if i didn't at least make an appearance,2016-03-12 22:17:45,1116,182,en
"i feel like porn has given me such unrealistic expectations for sex. for example, having it with another person",2016-03-12 05:34:17,1843,628,en
[witnesses a life altering miracle] wow. ok one more time for my snapchat,2016-03-12 04:41:33,1624,801,en
[ben carson wakes up from a 3 week long nap] where is everyone. why is the debate hall empty,2016-03-09 05:05:08,1100,248,en
"[tries to impress everyone in the operating room by performing surgery blindfolded]
[8 hrs later]
""your husband is doing.. not well""",2016-03-08 16:42:32,1450,508,en
is anyone else getting death threats from their college's library or https://t.co/rhyQP5xYfw,2016-03-08 16:20:16,602,156,en
"the amount of hot sauce my body is processing at any given time can be described as ""life threatening""",2016-03-08 16:06:30,807,282,en
"age 10: the floor is lava!!! hahahahahha
age 25: the stable adult relationship is lava!!!! hahAhaha",2016-03-07 23:32:55,2884,1265,en
"(if a presidential candidate was vegan)
DEBATE MODERATOR: what is ur plan to stimulate the economy?
CANDIDATE: great question. i am a vegan.",2016-03-07 06:03:23,1717,599,en
"Me: [opens door for date]
Date: thanks..
Arby's cashier: welcome to Arby's",2016-03-06 06:14:06,1084,351,en
"TEACHER: ok who can tell me what the square root of 9 is
 [i turn and look at my crush very intensely w/ my hand raised high] 
ME: 3",2016-03-06 01:31:15,1038,364,en
i'm out of clean bath towels so i'm sitting in a tub of rice,2016-03-05 08:26:29,1232,347,en
"if you set your sleep number to 69 the little mattress remote says ""nice.""",2016-03-05 03:01:23,1244,321,en
"[news conference. reporters are all shouting questions]
PRESIDENT: [points at one] yes. go ahead
REPORTER: oh i was just yelling ""sausages""",2016-03-04 22:23:27,2277,783,en
"i find comfort in the idea that despite the fact we'll all be dead someday, we'll all be dead together. ok pull around to the second window",2016-03-03 01:12:11,1904,671,en
when u see a butt shaped cloud https://t.co/pD8W2x3L0D,2016-03-02 22:51:19,747,261,en
he died doing what he loved: trying to put socks on with wet feet while standing next to a cliff,2016-03-02 17:40:39,1478,499,en
when u remember u got pizza rolls at home https://t.co/x88Ul3a0yq,2016-03-02 02:58:15,6597,4971,en
"[slowly rises from trashcan while 2 friends are making plans without me]
i am also free that day.",2016-03-01 01:33:03,11461,6153,en
"""and now i can do Dirty Grandpa 2, who gives a shit now. thanks guys"" -Leo",2016-02-29 04:56:49,1167,441,en
the entire internet just went silent for 2 1/2 minutes. gaga. wow.,2016-02-29 04:16:46,688,219,en
you cannot be prosecuted for murder if you yell SPRING BREAK after,2016-02-29 00:43:47,1334,550,en
"i have such a hard time telling if a girl likes me, like what does it mean if she says Hi I'm Ashley welcome to Chilis",2016-02-28 06:23:48,2408,918,en
i think about this twitter interaction almost daily https://t.co/bj5tOFFA4O,2016-02-28 03:46:23,305,44,en
"[drops a pinch of fish food into fish tank]
ME: here ya go little buddies
FISH: oh wow pukey shit flakes again, thanks man",2016-02-27 22:52:46,1123,343,en
[reads 4 lines of a peer-reviewed journal article that doesn't support my personal narrative of an issue] agree to disagree.,2016-02-27 16:03:17,823,178,en
Romantic first date idea: get too nervous beforehand and drive your car into a river,2016-02-27 06:06:53,2302,1076,en
"[revs engine while staring down the other guy at the light, also driving a mustang]
[rolls down the window] STILL NO GIRLFRIEND, YOU?",2016-02-26 21:19:28,1323,496,en
"Ted Cruz google search history:
how to get away with several murders over the course of many years
what is damn daniel",2016-02-26 05:56:22,2168,731,en
TRUMP: i don't repeat myself. i don't repeat myself.,2016-02-26 02:39:22,872,371,en
https://t.co/WwvtlPWQMC,2016-02-25 22:53:08,818,276,und
"[gestures to the parents of a crying baby] shhhh, please. my foot's asleep",2016-02-25 20:03:27,825,310,en
every jeep wrangler you see without the doors on is because i kicked them off while the owner was in PacSun trying on tank tops,2016-02-25 03:13:47,2796,1197,en
my very first relationship was in 7th grade and it lasted until 4th period. we decided to just be friends which lasted till 8th period.,2016-02-25 00:18:20,1061,220,en
"[tries to open passenger door for my date but the car alarm goes off]
ah right. i don't own one of these",2016-02-24 23:03:19,1174,375,en
what's it called when you're too lazy to look up the definition of something,2016-02-24 18:11:19,834,286,en
"trump literally just said ""we're gonna bring in so much everything"" which i guess is his attempt to appeal to ppl who vote based on bagels",2016-02-24 06:04:57,1904,655,en
"TGI FRIDAYS HOSTESS: [over intercom] zodiac killer, party of 2

Ted Cruz: [raises hand] that's us. I MEAN.... GOD DAMNIT",2016-02-24 02:53:51,1109,482,en
"tinder, but for picking your uber driver",2016-02-24 02:36:03,811,280,en
tear drop tattoos are often worn by those who commit murder and professional bowlers for every match they lose,2016-02-24 01:37:25,534,144,en
"i acknowledge that crying before, during, and after sex makes it awkward but i assure you it's for different reasons at each stage",2016-02-24 00:31:36,740,183,en
"Interrogator: did u commit the murder
me: yes. absolutely. 
[lie detector goes nuts]
me: lol syke. im just the pizza delivery guy",2016-02-22 05:12:04,1190,311,en
the circus is the only place where it's socially acceptable to cheer for a man loading himself into a cannon,2016-02-22 04:17:06,741,226,en
[exhales a crazy long vape cloud] i'm so sorry for your loss dude.,2016-02-22 03:10:08,1376,449,en
wonder how many times we tell ghost stories and the ghosts around us are like I NEVER SAID THAT SHIT. HE'S NOT EVEN TELLING IT RIGHT,2016-02-20 03:16:28,1857,825,en
"[to the cute girl in the park as i walk by w/ my 3 dogs]
they're all doctors ;)
[quietly to the yorkie]
i'm sick of having to lie for u",2016-02-19 22:37:27,1210,352,en
"Generation X: 1966-1976
Generation Y: 1977-1994
Generation 😂: 19😂😂-20😂😂",2016-02-19 19:36:31,787,293,de
"just sitting here, feeling overwhelmed by the strength and bravery of all the people in the middle of a 10 day selfie challenge on facebook",2016-02-18 04:32:16,911,327,en
"most underrated stat in basketball, the one i absolutely dominate in, is most amount of times being called pansy ass by my own teammates",2016-02-18 04:20:34,549,132,en
"[ben carson hops into a uber] take me home
Uber driver: whats ur address
Ben Carson: [looking at smudged writing on his palm] i don't know",2016-02-18 01:59:07,1598,512,en
call 2 psychiatrists and tell them ur gonna put them on the phone with a guy who thinks he's a psychiatrist. now put them in the same call.,2016-02-17 04:28:18,2618,953,en
"JUDGE: i hereby sentence you to 200 hours of community service
ME: [exhales a dope ass vape cloud]
JUDGE: holy shit nvm, ur all good man",2016-02-17 02:10:35,1079,386,en
"ME: [shooting finger guns in the air] America.
COP: step out of the car",2016-02-17 01:55:22,574,148,en
another successful Presidents Day in the books. please salute as i take down my 11 life size drawings of nude george washington,2016-02-16 05:00:20,780,188,en
are u fucking serious @facebook https://t.co/qd3WrTPSes,2016-02-16 01:43:25,622,84,en
if teleportation becomes a real thing i'm just gonna use it to zap myself to a different timezone and get 3 hours of extra sleep every night,2016-02-15 05:03:33,1298,662,en
"roses are red
violets are blue
just thinking how valentines day is a punishment whether ur single or not
hbu",2016-02-14 19:07:44,705,199,en
ted cruz looks like your brain's best attempt at making a human face in a dream,2016-02-14 00:29:10,1351,490,en
dodging feelings like https://t.co/g9psNh8fCL,2016-02-13 20:26:00,431,165,en
all pants are breakaway pants if you're angry enough,2016-02-13 04:59:53,2149,1118,en
"a tyrannosaurus rex using a selfie stick, but just so he can talk on a cell phone",2016-02-12 21:21:51,1544,628,en
"before u preface a sentence with ""i'm not gay, but.."" consider the possibility that nobody gives a shit.",2016-02-12 20:14:56,668,207,en
shia lebeouf is gonna be so embarrassed when he realizes we can all see him,2016-02-11 18:37:08,835,201,en
[swipes right so fast my thumb breaks in half] https://t.co/8TxpN4CWOT,2016-02-11 01:45:31,1188,392,en
"god help us if we find extremely muscular alien life on a planet that is actually called, by its inhabitants, Planet Fitness",2016-02-10 21:30:36,1361,456,en
Life hack: replace your loud child with 0 childs,2016-02-10 18:16:48,1635,695,en
"ME: one large pizza with pepperoni and those tiny chef hats
PIZZA GUY: ok one large pepperoni and.. do u mean mushrooms",2016-02-10 02:51:11,1444,507,en
there's this out of shape guy across the gym looking at me with such disgust and it's freaking me out and ok nvm thats a mirror,2016-02-10 01:47:58,939,284,en
"RUBIO: let's dispel with this fiction that Barack Obama doesn't know what he's doing. he knows exactl-

WENDYS DRIVE THRU: ookay pull around",2016-02-09 14:58:56,2190,877,en
[after winning the big scavenger hunt] tbh getting an Applebee's server to cry in my arms was a lot easier than expected,2016-02-09 04:28:36,909,208,en
Valentine's day was last year u idiots,2016-02-09 03:06:46,2074,1291,en
"ME: ur honor i couldn't have committed the murder, i was with my girlfriend
JUDGE: ok lets hear from ur gf
[my lawyer adjusts his blond wig]",2016-02-09 02:30:26,1052,286,en
crazy how the superbowl is already over in Europe,2016-02-07 22:14:32,1025,428,en
"hey guys, leave your superbowl predictions below. the person who comes closest will be blocked",2016-02-07 16:57:12,781,144,en
"worried u won't fit in at the superbowl party? with some careful timing, yell FIRST DOWN BITCH anytime people react to something",2016-02-07 16:22:07,762,260,en
"[sees a mom do peekaboo hands over her face]

me and her baby at the same time: holy shit",2016-02-07 04:47:25,1304,328,en
"moderator: dr ben carson, what sound does a cow make

ben carson: thank you. first, i respectfully ask that we have a moment of silence.",2016-02-07 02:07:38,794,212,en
"saturday
12pm: i'm never drinking again
4pm: chill night tonight
8pm: ya ok i'll come for 1 drink
1am: hahha uber sounds liek boober lmao",2016-02-07 00:16:43,1696,561,en
"ME: it feels like the teens use a lot of hyperbole these days

WeEdTEENxX69: this is literally the most true thing i have ever read",2016-02-04 21:47:16,1440,535,en
it would be nice if they made a cable tv show about alaska for once,2016-02-04 05:37:40,899,244,en
"YouTube: hey we saw u watched a video about a thing

Me: great, would it be possible to fill my entire feed with that thing, forever?",2016-02-03 16:15:24,1468,462,en
"me: [throws jacket over a puddle like a gentleman]

my date: why my jacket",2016-02-03 04:27:48,5270,2174,en
"i like my coffee like i like my women: kept at a distance, emotionally, due to unconscious fears of abandonment",2016-02-02 23:20:04,1186,503,en
"ME: [watching videos of fat dogs in costumes at work]
JEFF, the IT guy who's watching my computer remotely: how. how did he get hired",2016-02-02 22:17:33,879,215,en
ted cruz look like a used candle,2016-02-02 05:10:03,1818,720,en
damnnn Trump got schlonged tonight,2016-02-02 03:26:35,733,244,en
"how great does your life have to be going to intentionally watch a video on facebook captioned ""this will make you cry""",2016-02-01 03:59:23,1203,427,en
how have i not learned yet that a movie trailer that starts with a happy song and family will always end up being about a child satan,2016-01-31 03:10:32,1093,299,en
"friday
2pm: can't wait to go out
5pm: almost time to go out
7pm: i gotta get out of going out
9pm: so glad to stay home
11pm: i hate my life",2016-01-30 02:24:26,2925,1147,en
"personal trainer: ok so i recommend eating carrots when you get hungry between meals

overweight rabbit: oh hell yea",2016-01-29 04:21:33,1990,691,en
me [dead and in hell for over 3000 years]: still can't believe i used the wrong you're in that one tweet,2016-01-28 22:52:12,1344,555,en
"tell my family to make sure my gravestone just says ""literally me 😂😂😂""",2016-01-28 05:16:04,1059,341,en
are we ever gonna call babies out on their neediness,2016-01-28 02:51:45,1202,553,en
"cool how the 'b' in the word subtle was like ""u guys mind if i come too""",2016-01-27 02:26:00,1157,401,en
follow my large friend @dubstep4dads,2016-01-27 01:28:01,74,3,en
"cop: [after tackling me to the ground] why'd you run man
me: this is gonna sound weird but i love being tackled",2016-01-26 05:38:03,1587,475,en
J.J. Watt's full name is Jay Jay Watt,2016-01-26 01:29:49,655,210,en
[responds to all my text messages so i can post something on social media],2016-01-26 01:03:36,1191,476,en
[sliding into your dms] hope im not being too forward but i'm real sad ;),2016-01-25 21:04:22,1265,556,en
"[wakes up from a 15 year coma] sweet, x files still goin strong",2016-01-25 04:31:41,1513,552,en
"jesus: ppl still don't believe me
god: did u do the walk on water thing
jesus: ya
god: they prob like to party. how u feel about making wine",2016-01-25 02:45:52,2208,796,en
"is the personal trainer supposed to cry and say ""why god why"" when they first meet you",2016-01-25 02:25:06,782,227,en
"your dating profile: i LOVE adventures
me: sounds like i'd have to do stuff. next--&gt;",2016-01-25 01:49:52,1415,633,en
"[walking my date through a dark alley]
don't worry, i'll protect you
[she hears my plastic light saber activate and lets go of my arm]",2016-01-25 01:31:31,847,341,en
"shoutout to the human appendix, that part of the body we don't need but comes along for the ride anyway",2016-01-24 23:53:27,596,173,en
if ur being attacked by a bear simply lie down and accept your place in earth's food chain. i don't have a survival tip for this one sry,2016-01-23 15:45:21,2136,986,en
never understood how being called an asshole is an insult it's like the most important part of the ass,2016-01-23 03:28:56,1478,487,en
never seen Doctor Who but it sounds dope https://t.co/BTEYm5Zgct,2016-01-22 03:28:12,2100,813,en
"gf: talk dirty to me bb 
me: ooh yea ok baby im gonna cry so much less than last time hoo boy",2016-01-22 02:32:23,1526,566,en
"me: i love the ones that look like they're in little horse shaped jail cells
my date: those are zebras.",2016-01-21 20:04:17,912,346,en
