text,created_at,favorite_count,retweet_count,lang
GREAT NEWS https://t.co/3XMy5Mls8g,2016-03-18 19:54:46,2141,229,en
never been to japan🌸,2016-03-18 09:02:26,130,22,en
wat does a hotelier do pls google for me dont feel like sorting thru results,2016-03-18 08:53:47,166,15,en
wish i was in cadaques,2016-03-18 08:50:25,60,4,en
wish i was in wales,2016-03-18 08:48:35,158,41,en
wish i was in paris,2016-03-18 08:48:18,125,37,en
ellen page pls fav,2016-03-18 08:46:42,319,38,fr
wud be great to sleep,2016-03-18 08:33:58,249,106,en
I dont like peanuts,2016-03-16 21:58:49,195,48,en
Loving my new #waisttrainer Ladies! I never thought I could have a waist this small &amp;also have internal organs⭐️☺️ https://t.co/ZFww1GlZNa,2016-03-16 20:54:27,1557,282,en
I didn't think it would work for me! But this #toothwhitening system was a gamechanger for me - and my family! https://t.co/kaOaKudPNB,2016-03-16 20:35:48,3665,955,en
SHOUTOUT TO MY #CROSSFITFAM https://t.co/bgRuNR7a0E,2016-03-16 18:07:35,349,68,en
https://t.co/LLjCLk6c8s,2016-03-16 17:23:08,245,56,und
OK BYE !,2016-03-16 08:42:01,76,21,ht
AT THIS TIME I WUD LIKE TO ANSWER 5 QUESTIONS OF ANY VARIETY,2016-03-16 08:21:59,205,9,en
what a wondrous #brooklyn99 ep tonight! https://t.co/L1ByDeMSa9 I JUST WATCHED IT ON MY LAPTOP AND YOU CAN TOO wowowwow #tech #comedy #tech,2016-03-16 08:00:19,179,24,en
I WISH THIS WAS ME https://t.co/NOuBxrbFZb,2016-03-13 07:31:13,656,71,en
FOUND A COOL GOOGLE IMAGE SEARCH RABBITHOLE! celebs at urth cafe im crackin up https://t.co/4hhcjEYrdy,2016-03-13 07:30:44,587,50,en
NEVER FORGET THIS PERFECT #THEPERFECTGUY QUESTION THAT WENT UNANSWERED https://t.co/siHfVowxPn,2016-03-13 05:48:42,175,11,en
SORRY GUYS NO MORE DOUBLE PEACE SIGNS IN PIX INDEX FINGERNAIL CURRENTLY CLOSED FOR REPAIR SORRY GANG,2016-03-12 21:24:26,427,25,en
🚫🚫🖕🏼🚫🚫,2016-03-12 21:21:31,135,32,und
MY POINTER FINGER FAKE NAIL JUST POPPED OFF SO DON'T EXPECT A MF 2 POINT ANYTHING OUT 2U ANYTIME SOON,2016-03-12 21:19:39,659,90,en
She'll be ridin SIX white horses?,2016-03-12 18:58:52,470,110,en
#tbt https://t.co/k2c5q6KFVf,2016-03-11 09:35:23,517,38,und
I CAN TURN GIFS INTO PODCASTS HMU!!!!!,2016-03-11 09:30:20,168,14,en
#tbt w bro bro @peretti FINGER CANDLE INVENTION!!!!!!!!!! https://t.co/c9PAHj7Q7a,2016-03-11 00:11:11,377,19,en
#tbt @AndySamberg https://t.co/33Sw7xxdQl,2016-03-11 00:08:35,463,59,und
#tbt @mcdonaldcomedy @iamstephbeatz @melissafumero https://t.co/jt0KctcHlu,2016-03-11 00:06:44,317,29,und
#tbt when my lil handsies were graspin upon a cookie https://t.co/7xNnSRHkCr,2016-03-10 23:48:32,672,159,en
#tbt 🍜 https://t.co/Cpax4AfQo6,2016-03-10 23:47:05,772,49,und
watchin everyones snaps about how they just did a podcast!!!!! life has become infinitely rich,2016-03-10 21:14:01,254,18,en
imagine the internet was shut down for a year,2016-03-10 21:01:08,501,167,en
oh no,2016-03-09 09:02:17,144,83,en
feel like no one will tell me the secret vacation spots,2016-03-08 22:53:09,301,22,en
#FREEKESHA,2016-03-08 20:36:59,551,161,und
#INTERNATIONALWOMENSALLDAYEVERYDAY F THE PATRIARCHY,2016-03-08 20:36:11,1214,638,und
lol ppl thought kim was the safe celeb to bash #thepoweroftheclapback,2016-03-08 19:32:52,658,131,en
"INSTEAD OF PUTTING UR KID IN A COOL BAND SHIRT - HOW BOUT ONE THAT SAYS ""MY DAD IS INSECURE""",2016-03-07 22:01:51,1651,489,en
"""The sound of firetrucks, in the rain, is what it feels like, to see you again... ""  -powerful song i just made up TRY SINGIN IT! V COOL",2016-03-07 22:00:22,285,30,en
cant wait for xmas,2016-03-06 01:19:32,531,183,en
https://t.co/nq9uFXFB80,2016-03-03 06:16:30,110,18,und
cryin to stern re run where robin gets gifts,2016-03-03 02:46:17,152,14,en
IS IT TIME FOR LUNCH YET IS IT TIME FOR LUNCH YET 9:09 AM,2016-03-02 17:10:15,606,134,en
I DIDN'T EVEN KNOW SOMEONE WAS PHOTOGRAPHING ME DOIN CROWDWORK https://t.co/G4c2rjfzkD,2016-03-01 07:34:01,1006,82,en
or is this anything? https://t.co/ZfwBUQHXy5,2016-03-01 05:36:26,207,19,en
"People like to get comedians to comment on society's ills and then it's the comedian that becomes the ""problem""  COOL LIL SWITCHEROO!!!",2016-03-01 00:09:33,753,146,en
"I try not to live in regret but do wish I came up with ""eat shit and die.""",2016-02-29 18:26:49,1493,431,en
THAT'D BE FUNNY IF LADY GOAGA WORE A MEAT DRESS AGAIN TO SOMETHIN ELSE BUT IN 2016,2016-02-29 04:27:38,643,89,en
"THAT'D BE SO FUNNY IF THE OSCARS WERE ""BUSINESS CASUAL""",2016-02-29 04:25:51,799,151,en
We all just accept that the female presenters all need physical assistance to walk out onstage lol,2016-02-29 03:46:06,937,204,en
amy's dad seemed cool,2016-02-29 03:44:11,317,31,en
I love campfires!,2016-02-29 02:50:37,248,44,en
They should let one writer write all the acceptance speeches one year and they arc &amp; build over the show,2016-02-29 02:29:21,1122,255,en
that was the most exciting thing I've seen on TV in a while thank the lord for outspoken people,2016-02-29 01:46:57,830,154,en
nope #askhermore,2016-02-29 01:43:53,663,271,en
these might be the best reaction shots of all time,2016-02-29 01:41:59,721,236,en
YESSSS WHY BEST FEMALE AND MALE WHY,2016-02-29 01:38:50,866,192,en
I don't want to sound high maintenance but I wish I could adjust my thermostat by half degrees,2016-02-28 23:44:43,871,180,en
every single person in la thinks they are fascinating,2016-02-28 23:22:42,900,162,en
aaaaaaaanyway everyone's dead,2016-02-26 05:51:25,257,47,en
I wish I could call Mike DeStefano and he'd tell me life advice or sit outside in NY and eat something after our sets,2016-02-26 05:51:07,148,2,en
I wish I could be in Houston at Warehouse Live &amp; Harris @twittels texts me he wants to come to the show and we get food after w Yassir,2016-02-26 05:47:55,368,15,en
I wish I could go back in time and be talking to Greg Giraldo outside that hotel at the Montreal Comedy Festival or at Bonnaroo or in NY,2016-02-26 05:46:27,255,6,en
I GOT INTO COMEDY BC I LOVE MAKING PEOPLE DO FORCED LAUGHTER,2016-02-26 05:20:23,943,151,en
DONT EVEN BOTHER TEXTING ME A SINGLE HA - I ONLY ACCEPT MULTIPLES,2016-02-26 05:19:23,949,354,en
THOUGHT OF A GREAT IDEA,2016-02-26 05:10:12,162,27,en
bye,2016-02-26 03:59:49,153,57,und
im kanye level bored,2016-02-25 01:46:08,923,331,ht
no one is fun,2016-02-25 01:33:44,525,219,en
"When some people read my name they pronounce it ""ChelSeeUh""",2016-02-24 23:04:15,270,34,en
meditating on my safe place before bed: https://t.co/ejBEPMpS9s,2016-02-24 08:26:47,427,59,en
reading your texts https://t.co/ZFT588rwAB,2016-02-24 08:21:54,441,154,en
"My favorite song is ""Good Lotion""",2016-02-24 08:19:49,83,9,en
https://t.co/jMOJr4fmmE,2016-02-22 20:49:06,395,67,und
"I DONT HAVE AN ARGUEMENT EXCEPT HUMANITY, ALSO I WENT TO A GREAT SCH SO BIG WORDS DONT SCARE ME BEW BEW  https://t.co/EdGsiRhXJb",2016-02-22 20:39:35,281,22,en
IDIOT https://t.co/hWTCFwLQdC,2016-02-22 20:36:34,408,44,sv
"I hate when people call everything ""awkward"" - live a little life should have lots of different feels n moods and u should EXPECT that k",2016-02-22 16:46:14,1037,287,en
i love garlic so much if it didnt exist life wud be so bland LOVE U GARGAR UR MY LIL GARLEEKI,2016-02-22 16:43:36,1123,344,en
gettin toward time 2 trim my toenailz ...,2016-02-22 06:35:48,337,37,en
https://t.co/SpLBRn4F84,2016-02-22 06:24:15,304,46,und
HAVING  A VERY SPECIAL DAY https://t.co/nwvUwLZKHd,2016-02-20 23:54:27,388,9,en
HAVIN BDAY DIN W THIS VISIONARY TONITE!!!! @peretti https://t.co/zIM5LRc8MG,2016-02-20 23:30:58,228,5,en
whats a good toaster oven @Mariobatali wud u ever use one and why are they all convection ovens thank u,2016-02-20 17:58:30,202,16,en
❤️ to Kesha #FreeKesha,2016-02-20 00:08:37,2180,780,en
Soup still in my bottom 3 of infinite food options,2016-02-20 00:01:28,410,87,en
havin a lavender latte,2016-02-19 17:22:59,305,16,en
