text,created_at,favorite_count,retweet_count,lang
"shit y'all, EASTER IS TRENDING! get out your fuckin baskets and purple eggs cuz things are about to get wild",2016-03-24 19:11:38,20,10,en
my cat knocking over her water bowl is her cute lil way of telling me to go fuck myself,2016-03-24 19:07:47,32,5,en
did you know that if you post a joke to someone's status and they don't like it immediately it means they hate you forever?,2016-03-22 02:00:24,100,27,en
yesterday a pair of twins on the street told me I was going to die soon but I'm still alive. Me: 1. Child witches: 0.,2016-03-21 22:44:33,46,6,en
mfw I am writing dutifully to a work playlist and a song with lyrics comes on https://t.co/viAQSKYMUm,2016-03-19 20:53:03,31,10,en
is anybody else hungover from breadsticks today?,2016-03-08 19:40:15,19,0,en
I am a Gryffindor because I show great heroism when taking online quizzes,2016-03-08 18:47:06,104,37,en
"Actually, there are no ""real"" ghostbusters. It's all make believe!!! https://t.co/KgVLP4slN6",2016-03-07 00:34:07,356,149,en
RT if u were a childhood wrestling fan who dreamed of being the intercontinental champ instead of world champ cuz the belt was more tasteful,2016-03-04 20:43:27,55,33,en
"a breeze in my ponytail, saltwater tickling my hairy toes, joe rogan podcast on the beats pill. ""this is heaven,"" i said, sipping a Limerita",2016-03-02 23:35:16,61,10,en
"just called sweeping ""brooming"" and i think i'm just gonna keep going with it",2016-02-26 00:10:07,66,19,en
Still undecided on Hillary/Bernie but FIRMLY Hoppus over DeLonge #feelthehop,2016-02-25 16:10:08,25,5,en
"""Smoke weed, every Dave."" - Snoop peer pressuring a room full of guys named Dave",2016-02-25 05:06:00,59,25,en
did u know that kids born in 2000 are old enough to hate tweets like this?,2016-02-25 04:35:00,40,6,en
"National Margarita Day? It's called Margarita Monday and it's every Monday, you unchill frauds",2016-02-23 01:57:37,40,16,en
shout out to all the REAL margarita daddies and pina colada mamas who keep it chill with their drink orders EVERY DAY OF THE YEAR,2016-02-23 01:55:30,33,3,en
Nobody has mistaken Link for Zelda since 1986. THE MEMES CAN STOP NOW THANKS,2016-02-13 22:33:47,102,24,en
Me around my family when a new episode of blue bloods premieres https://t.co/du97I4mJGJ,2016-02-08 18:21:06,37,4,en
when ur brother is winning the super bowl but u went so hard for Coldplay u have nothing left https://t.co/JWkEM6SXcM,2016-02-08 17:41:23,280,126,en
people rooting for Peyton Manning today: https://t.co/5HWoHPWn14,2016-02-07 22:10:08,69,36,en
"hey, FANTASY NOVELS, tea isn't THAT GOOD. #owned",2016-02-04 20:27:34,27,6,en
"my facebook ""friend's day"" video features ONLY relatives so heads up my mom might force u to invite me to ur bday party",2016-02-04 19:55:54,66,12,en
"*kid runs around for gym class with no water, feels great*
*adult forgets to drink water while sitting at computer, feels death looming*",2016-02-02 21:28:53,143,64,en
Throwback to when UFC was street fighter II turbo https://t.co/2uuB1A1hWu,2016-01-24 20:22:26,89,40,en
thinkin about what songs i want on this spotify playlist got me like https://t.co/h0wg1uK8vK,2016-01-15 19:58:17,119,57,en
"*me on a rocking chair surrounded by grandchildren* 
""Back in my day, bands had a singer AND a screamer. Things were sicker then...""",2016-01-15 07:22:36,103,40,en
"""SAVAGE Garden? this band is gonna be hardcore!""
♫""ill be ur love, ill be ur dream, ill be ur fantasy""♫
""HELL YA SICK""",2016-01-14 03:17:00,87,44,en
Me explaining Snoopy's brother AGAIN to @eaxford (she still doesn't get why he lives in the desert) https://t.co/2KrrE09bSb,2016-01-12 06:24:11,58,4,en
me and the wife are dictating funny tweets to each other and including the fav count if u ever wondered what traditional marriages are like,2016-01-12 06:09:54,50,5,en
"when a guy says he's traditionally masculine, 99% of the time he means he's picky about whiskey and not that he builds furniture",2016-01-12 01:30:54,105,27,en
"-watching Triple H speak at Lemmy's funeral-
*wipes away a man tear*
""so freakin sick that they were friends""",2016-01-10 01:05:30,67,20,en
a food travel show where I search for the remaining bennigans locations in America,2016-01-07 22:40:15,63,12,en
"reading the cover of a notebook:
""College ruled""
me: hell ya it did",2016-01-05 02:21:56,315,135,en
"#1 on Forbes 14 under 14:
Kyle, 13, shit his pants in homeroom but is so popular that he just owned it and nobody made fun of him.",2016-01-05 01:39:59,73,29,en
"my cats REFUSE to eat any wet food but seafood fancy feast, but what would u expect from a couple of ENTITLED MEOWLENIALS",2016-01-04 01:19:00,117,38,en
"""Ki-Adi-Mundi was a JEDI MASTER stronger than obi wan and yoda combined who died when some stormtroopers stopped being his friend""",2016-01-04 00:54:11,90,21,en
THE TEN MOST POWERFUL JEDI IN THE STAR WARS UNIVERSE *pic with at least 5 characters who died shittily in the prequels*,2016-01-04 00:49:46,79,21,en
crazy that kids born in 2016 won't even know about favs,2016-01-02 00:36:39,220,81,en
"me - ""how much caffeine is safe per day""
google - ""400mg""
me - ""how much caffeine is safe per day for a real tough dude""",2016-01-02 00:35:21,252,145,en
rudolph the red-nosed reindeer pound 4 pound worst christmas song,2015-12-20 23:20:23,38,10,en
"""you have to kiss a lot of frogs before you find your prince!""
*she frenches a toad*",2015-12-17 03:16:26,21,2,en
RUDOLPH ISN'T CANON you filthy christmas casuals,2015-12-15 23:16:49,91,40,en
"just watched an old man yell at a teenager until he paid the price he wanted to pay on a dozen bagels, but yeah, MILLENIALS ARE ENTITLED!!!",2015-12-12 20:15:38,208,100,en
Watch the finale of @MTVmotns tonight at 11/10c! It features @anthonyanderson + my whole family including @eaxford! https://t.co/NYXD0cQzXZ,2015-12-11 02:43:04,10,3,en
you all jump on that Jar Jar is a Sith shit and NOBODY'S BACKING ME ON NUDE JEDI GHOSTS?,2015-12-11 00:56:53,23,8,en
"not to be an annoying Star Wars nerd, but Jedi ghosts should be nude cuz they leave their clothes when they die. #fixitabrams",2015-12-11 00:45:50,31,9,en
"my cat has never had a hairball, but I just watched him eat a literal ball of hair so I have high hopes for the little guy",2015-12-08 18:44:03,44,13,en
love you like a high school acquaintance loves selling weight loss products on facebook,2015-12-07 18:24:25,142,68,en
"""Cody, hey man, you finished with week 1 of p90x? We need you to fight a real life super saiyan."" https://t.co/zN4IW1fQax",2015-12-07 02:51:05,83,42,en
"East coast, @MTVmotns with @emmykinney starts now! I met an owl and his terrifying stare pierced my soul!! #MOTNS #MiddleOfTheNightShow",2015-12-04 04:07:12,151,38,en
i'm like a late adopter who gets in on the scheme way too late except with dubstep,2015-11-25 20:06:27,23,2,en
"hey kids, slow down plz i'm just now getting into skrillex",2015-11-25 20:01:34,54,13,en
Watch tonight’s @MTVmotns at 11/10c and find out how @WakaFlocka became BEST BUDS with our sound guy! https://t.co/0myaOesYur,2015-11-20 00:56:32,12,4,en
Future president @WakaFlocka addresses the media on tomorrow night's @MTVmotns. 11/10c! https://t.co/ggC2wN17Gb,2015-11-19 05:01:08,17,6,en
New @MTVmotns this Thursday with @WakaFlocka at 11/10c! They still don't know how to spell my name! https://t.co/jgCzSX9fb9,2015-11-18 05:28:20,12,4,en
i know that when i made the commitment in the late 90s i was nwo 4 life but im fucking sick of driving hulk hogan to the airport !!,2015-11-16 21:07:24,48,9,en
Should be celebrating Holly Holm instead of diminishing Ronda's contributions to the sport.,2015-11-15 07:44:01,29,7,en
Why is Floyd Mayweather trending and not Holly Holm?,2015-11-15 07:40:17,32,11,en
Watch @MTVmotns with @NinaAgdal TONIGHT at 11/10c on MTV! THERE WILL BE CUTE DOGS. #MOTNS #MIDDLEOFTHENIGHTSHOW https://t.co/kVxglvAEF8,2015-11-13 01:06:32,16,6,en
Facing off with @NinaAgdal tomorrow in a Middle of the Night BRO-DOWN! #MOTNS https://t.co/BBes0DAnAH,2015-11-12 04:26:39,10,3,en
y r we decorating for xmas when we could be decorating for thanksgiving? think of all the pictures of corn we r missing!!!,2015-11-10 21:28:40,77,35,en
"""I JUST HEARD JINGLE BELL ROCK BEFORE THANKSGIVING AND BOY DO I HAVE OPINIONS ABOUT IT""",2015-11-10 21:24:18,145,77,en
caring if people put up christmas decorations early is infinitely dumber than putting up christmas decorations early,2015-11-10 21:21:41,63,45,en
Squirtle is real popular. Lots of people wanna fuck Squirtle. #MOTNS,2015-11-06 07:26:20,9,0,en
How is this Fabio dude under 21? shenanigans! @MTVmotns #MOTNS,2015-11-06 07:24:16,2,0,en
I think @AlexanderWatt is showing these dudes the most uncomfortable night of their lives @MTVmotns #MOTNS,2015-11-06 07:16:08,2,0,en
That Choose Your Own Adventure tip was truly drunkspiring.  #MOTNS @MTVmotns,2015-11-06 07:13:14,2,0,en
BAH GAWD! AMERICA JOE HAS RETURNED TO THE @MTVmotns! #MOTNS,2015-11-06 07:07:49,1,0,en
Beyonce canceled on us last minute. #MOTNS,2015-11-06 07:04:31,2,0,en
"EAST COAST! @MTVmotns starts in 10 min so get on it, OK??? #MOTNS",2015-11-06 03:51:41,3,0,en
RT if u are often too intimidated to join facebook conversations,2015-10-30 19:04:34,24,22,en
Watch me and @Flula flex our MASSIVE BARTENDING MUSCLES on @MTVmotns! 11/10c on MTV. #MOTNS #PONCHOLIFE https://t.co/L3M1eSz8If,2015-10-29 19:41:10,9,4,en
A new @MTVmotns airs tomorrow at 11/10c with @Flula! Don't miss his killer sleep mask/pajama combo! #MOTNS https://t.co/A9YBNj3f92,2015-10-29 02:25:05,12,1,en
Bought some flavorless toothpaste cuz I hate joy.,2015-10-27 18:29:51,42,19,en
"my cats love me, just not as much as that spot on the floor where the sun is hitting.",2015-10-26 00:46:35,91,48,en
Challenging @mikethemiz on Velcro was the worst mistake I've ever made,2015-10-23 06:31:45,2,0,en
".@mikethemiz really did not like the flair, still brought THE HEAT THO #motns",2015-10-23 06:30:29,0,0,en
I legit stopped eating meat after this segment @MTVmotns #motns #nomorehotdogs,2015-10-23 06:16:28,5,0,en
bash at the beach 96 level swerve #MOTNS,2015-10-23 06:11:58,4,0,en
.@mikethemiz with the greatest heel turn in @MTVmotns history. #motns,2015-10-23 06:11:23,4,1,en
Things get HEATED with @MikeTheMiz on @MTVmotns at 11/10c on MTV! So excited we couldn't pick 1 camera to look at! https://t.co/sQAhKmb0Zm,2015-10-23 01:27:49,38,20,en
"Record for longest time in the bathroom is a 15,000 way tie between everyone who's ever been in front of me in the bathroom line.",2015-10-22 19:49:59,54,14,en
"""It's a little rough around the edges, but there's a good movie in there."" 
[holds up DVD of Jurassic Park covered in barbed wire]",2015-10-22 18:45:50,52,14,en
New ep of @MTVmotns airs tomorrow at 11/10c! Watch @MikeTheMiz threaten one of my friends for not texting me back! https://t.co/lQouRyj0fW,2015-10-22 01:20:07,16,7,en
"Fake ass worms acting like they live in the dirt, shout out to the REAL WORMS who don't need to pretend #realworms https://t.co/MuRFLqmTJu",2015-10-21 22:09:09,448,309,en
"Watch me wake up WWE’s @MikeTheMiz on @MTVmotns, Thur 11/10c. Will we become BEST FRIENDS and TAG TEAM PARTNERS!? https://t.co/6ovjqIu7Ww",2015-10-21 04:36:02,10,3,en
"Controversial opinion alert, motherfuckers! I think Drake is pretty good at dancing.",2015-10-20 23:04:08,41,12,en
"Need a vacation. Somewhere nice, like a hotel that shares a parking lot with a chain restaurant.",2015-10-17 02:33:57,31,5,en
"The original idea for ""happy birthday, mike"" was ""happy 27th birthday, dan"" and I'm extremely glad we didn't go with that #motns",2015-10-16 06:27:55,9,2,en
Let it be known that I TECHNICALLY beat @JordinSparks in a musical competition!! #MOTNS,2015-10-16 06:23:17,9,2,en
So many fake Mikes out there playin us a fool :'( #motns,2015-10-16 06:14:40,8,0,en
First time ever eating spam! IT WAS SALTY AND WET #motns,2015-10-16 06:08:45,10,2,en
Watch me and @JordinSparks tonight at 11/10c on MTV's @MTVmotns and I will let you have a slice of this pizza. http://t.co/p6aEP69O2I,2015-10-15 23:33:47,59,19,en
Me and @JordinSparks face off in the FIERCEST musical competition of her career on Thur at 11/10c on @MTV @MTVmotns. http://t.co/igMGfRdnPM,2015-10-14 03:26:08,65,20,en
Explaining to @eaxford how snoopy has a brother who lives in the desert http://t.co/CQoeXE3Aj3,2015-10-13 16:42:23,41,5,en
"*walking around LA and sees an ant* ""oh shit it's the dude from A Bug's Life""",2015-10-13 16:31:30,110,48,en
Why is this Toys R Us so dangerous that we need a security detail? FIND OUT ON @MTVmotns TONIGHT at 11/10c on @MTV! http://t.co/5lHrrjmGNs,2015-10-08 21:42:40,8,3,en
Watch my new show @MTVmotns tomorrow night at 11/10c on @MTV! Look how much fun we're having! THIS COULD BE YOU. http://t.co/5GqQyIPGbr,2015-10-08 04:00:15,11,3,en
Check out @MTV's Middle of the Night Show tomorrow at 11pm and watch us hide a GoT character in @Middleditch's bed: https://t.co/1TogJTXY9G,2015-10-07 18:04:41,12,4,en
Check out the MOTNS page @AlexanderWatt givin it to the haters https://t.co/kcKoPi6FGA,2015-10-06 22:59:09,4,2,en
Ryan!? My name is Brian! Had someone fired for this. 2 funny! #goofs http://t.co/eiIjSeK0l7,2015-09-15 19:23:48,130,32,en
Does viva la bam hold up? Asking for my boy @caldy,2015-09-10 04:50:32,18,2,en
making jokes about people who drink pumpkin spice lattes is the new drinking pumpkin spice lattes,2015-09-09 23:29:12,214,145,en
FACT: all Patriots fans have pictures of their family on the beach wearing matching white shirts,2015-09-08 17:43:52,22,4,en
"Tom Brady loves Floyd Mayweather, Donald Trump, and is best friends with all the villains from the Mighty Ducks movies.",2015-09-08 17:41:30,21,6,en
*guy posts long rant about celebrating traditional masculinity* *traditionally masculine man beats the shit out of him for being a nerd*,2015-08-30 23:51:39,112,34,en
Threw up after eating too many mozzarella sticks like an adult man,2015-08-30 18:38:32,140,37,en
my counting crows twitter meltdown is not upping my follows,2015-08-29 20:18:06,29,1,en
qq for the counting crows: how do you know it was a big YELLOW taxi that took your girl away when you're COLORBLIND ?????,2015-08-29 20:15:40,18,3,en
"""a big yellow taxi took your girl away? more like it took YOU away!"" - me yelling at the guy from counting crows getting in a cab",2015-08-29 20:14:16,31,4,en
"holy shit, how do i see the guy from counting crows get in a cab and not yell a big yellow taxi reference at him? will never forgive myself",2015-08-29 20:11:51,35,5,en
"yo, i'm sure your friday night was cool and all but i saw the guy from counting crows get into a fuckin cab",2015-08-29 20:08:27,38,4,en
"*a dad goes missing*
SEARCH PARTY: ""BILL DE BLAS-""
*missing dad appears out of thin air*
DAD: ""DE BLASIO IS A CLOWN""",2015-08-29 19:52:53,58,17,en
"Dad just casually referred to something that happened in 1991 as ""10 years ago.""",2015-08-29 03:06:08,45,5,en
"""johnny wasn't the bad guy in karate kid, cuz the girl he's a dick to was a RECENT EX."" *internet nods in agreement*",2015-08-27 19:23:38,56,14,en
did u guys know that daniel is actually THE BAD GUY IN KARATE KID after u edit it to make it look that way!!!?!?!?? #mindblown,2015-08-27 19:11:07,31,5,en
I was voted class clown aka most likely to print out memes and post them around the office,2015-08-25 16:55:42,100,23,en
can someone explain the ending of summerslam to me,2015-08-24 02:44:01,28,7,en
Nirvana was easily the best Vaselines cover band.,2015-08-23 21:12:58,48,11,en
"All out of laundry, so I'm gonna have to do laundry in like six days.",2015-08-21 04:14:57,69,22,en
"Convinced it's an inside joke w/ barbers to make you look like an idiot when they style you at the end. Anyway, I have a faux hawk now",2015-08-12 18:38:35,48,12,en
"Dumb people say ""are you serious!?"" 1000 times a day.",2015-08-12 01:11:52,60,24,en
We are all wasting away glued to our VIRTUAL WORLDS when we could be LIVING by doing REAL THINGS like looking at a bird,2015-08-12 00:49:59,78,27,en
Crazy that IK Enemkpali was released from the New York Jets for acting like a New York Jet.,2015-08-11 17:58:08,49,35,en
the jets lol,2015-08-11 17:53:21,10,3,en
Haven't worn a puka shell necklace since I broke one pool wrestling in '07 on what will be remembered as the day the chill died,2015-08-10 04:13:48,122,32,en
Sucks I have to sit here on this plane taxiing when I know full well they have a dope inflatable slide,2015-08-04 06:23:10,139,59,en
"our pets love us, but not so much that they won't run away forever if we leave the door open a crack",2015-07-30 20:03:25,32,11,en
"there should be a safe word to end small talk. like you can just say ""refrigerator"" during a conversation and the other person has to stop.",2015-07-29 22:08:17,180,156,en
"whoever came up with the name ""wiffle ball"" killed it. i can just picture that ball, all wiffley and stuff",2015-07-29 21:31:05,69,43,en
Weird that I haven't seen ant man considering my nickname was ant man in high school!!! (cuz of my dick),2015-07-26 19:47:34,82,19,en
"Was trying to think of something to do and got so excited when I came up with ""seeing a movie alone"" so I'm not doing well",2015-07-26 19:38:09,86,35,en
"Tired of people asking me what my tattoo means. Uh, it means I think this grenade looks SICK on my neck!",2015-07-21 18:40:33,60,24,en
For me everyday is Bastille Day cuz I crank Pompeii 24 sevs,2015-07-15 03:44:03,42,12,en
a sea of bros chanting for OAR and them not coming back out is the funniest thing I've seen this week,2015-07-15 02:12:23,24,0,en
Went for a quiet walk and stumbled into an OAR concert http://t.co/K2GGbpZMCg,2015-07-15 02:08:27,50,5,en
"You say ""sir, may I help you?"" but what you mean is ""sir, what the fuck are you doing here?""",2015-07-15 01:33:01,102,42,en
Track opens with me calling the police to report a rhyme then I start spitting fire,2015-07-12 16:22:26,31,6,en
"If you're sleeping across a bunch of seats at the airport, is it cool if I sit on your stupid fucking head?",2015-07-12 16:08:59,30,5,en
Tried to take a hilarious pic in front of a minion display but there were too many people swarming it,2015-07-12 16:05:59,16,1,en
Just said hell yeah quietly to myself when I found my kindle in my bag,2015-07-12 16:01:58,39,1,en
#UFC189 WAS REALLY GREAT AND I DON'T HAVE ANY COMMENTARY BEYOND THAT,2015-07-12 05:06:20,10,1,en
Didn't pack socks for a weekend trip cuz I'm that chill,2015-07-03 19:22:23,21,4,en
Jim Carrey's an anti vaxxer? What's that guy SMUHHHOOOOOKIN????? thank u that's my time,2015-07-03 06:37:57,35,7,en
Siri's 0 divided by 0 bit is alt hack.,2015-07-01 04:43:38,14,0,en
"Cats are A LOT like women, always pooping in boxes and biting",2015-07-01 03:12:13,34,13,en
This season of True Detective is too True Detectivey.,2015-06-29 03:16:45,55,14,en
