text,created_at,favorite_count,retweet_count,lang
"*checks P Tracker app, realizes I'm ovulating, shuts coffin door again*",2016-03-26 20:12:05,9,1,en
"what the Bible doesn't tell us is that on Saturday- everyone kinda forgot about Jesus, had brunch, went to a farmers market and got a pedi.",2016-03-26 18:24:01,85,26,en
I dreamed that my Franklin was back. Aw. He's been gone 3 years now and I still miss him. 🐱,2016-03-26 17:29:20,40,2,en
"'We're Sorry!' Comedy show tonight was ridiculous fun! W/ @DaveMerheje @StephTolev and @cheapsmokes007 
Delightful weirdos- all! ❤️",2016-03-26 06:54:20,8,2,en
"Guys, I just stole a million Starburst from my LYFT.",2016-03-26 04:20:37,36,0,en
Blow drying should count as cardio. I'm calling Oprah.,2016-03-26 01:47:17,61,14,en
Tonight! Unnecessary Evil at @westsidecomedy 8pm and an all 🇨🇦 comedy w/ @cheapsmokes007 at @CopperStillBar 9pm,2016-03-26 00:59:43,4,0,en
One of the world's biggest mistakes is that a musician never had a torrid affair with me.,2016-03-25 21:20:12,33,3,en
"So, it's Good Friday- what do you guys wanna do? 

*Betrays Jesus in the garden*",2016-03-25 17:07:02,42,7,en
I had to cancel my first LYFT because he was going to pick me up in a Hummer.,2016-03-25 03:05:54,38,3,en
"I don't like seeing puppies fall. People, yes. Puppies, no.",2016-03-25 02:31:47,59,13,en
"I always want to dance to Wild Ones by Flo-rida and Sia. Yeah, I'll let myself out.",2016-03-25 00:58:29,34,2,en
"Garry Shandling is gone, Ghomeshi is acquitted and Trump exists. Worst day ever.",2016-03-24 21:50:52,170,55,en
Pretty sure I cried in my sleep.,2016-03-24 19:09:56,8,2,en
My drafts folder has run dry- as this tweet illustrates.,2016-03-24 18:33:10,7,0,en
Pretty sure I've had a vitamin stuck in my throat for eleven hours.,2016-03-24 05:19:01,45,6,en
Tried to choose the 'Young &amp; Free' genre from Spotify and it denied me.,2016-03-23 23:05:51,21,2,en
There is no way Autocorrect doesn't know I mean 'motherfucker'. It's my FAV!!,2016-03-23 21:19:51,28,5,en
I can hear the laundry room from my bathroom. If you don't think this gives me the edge- you're wrong AF.,2016-03-23 19:01:44,15,1,en
Happy Birthday @matt_obrien! Soon you'll be old enough for me to fantasize about!! 😬,2016-03-23 17:24:34,4,0,en
Why is sleep so mad at me?,2016-03-23 09:54:31,23,13,en
The French Lieutenant's Bulldog #Dogbooks @midnight,2016-03-23 03:49:37,10,1,en
The Grapes of Woof #Dogbooks @midnight,2016-03-23 03:42:35,8,0,en
Who wants The Lovely Bones?  #Dogbooks @midnight,2016-03-23 03:42:11,15,2,en
"Are You There, God? it's Me, Dogaret. #DogBooks @midnight",2016-03-23 03:33:09,26,1,en
