text,created_at,favorite_count,retweet_count,lang
lolling hard as a i buy 40 dollar aids test kit just so i can take a picture of it when i get home,2016-03-20 19:12:05,276,26,en
*wears a kilt and a 600 pound lady wants to be photographed with me because of it* haha haha sweet,2016-03-18 01:22:04,261,28,en
"when meeting new people its courteous to introduce yourself and declare whats in your underpants
example: ""hi im deg. a crap and some pee""",2016-03-08 22:06:59,347,59,en
i've got a bad ass dick,2016-03-08 18:16:28,298,75,en
cant help but laugh at #millennials for seeing a doctor every time they have large amounts of blood in their poo turds,2016-03-07 21:54:45,285,50,en
if i lived in nazi germany i probably would have said i loved the jews just to be problematic,2016-03-06 03:51:02,1049,255,en
"i had a nightmare ""bad ass"" billy gunn got his pants ripped off and he fell off the top of a steel cage + his big weiner was flapping around",2016-03-05 19:04:09,217,31,en
my fiance ladies and gentlemen https://t.co/AYsxyQfMlO,2016-02-28 03:32:39,221,11,en
bark brendle https://t.co/NBti0yWq2b,2016-02-27 15:41:03,134,3,en
"♫ you aint nothin but a horn dog
cummin all the time 
you aint never caught the aids virus
and i aint gonna give you mine ♫",2016-02-26 02:40:12,324,50,en
ducks are usually in bed by midnight,2016-02-23 20:54:49,420,176,en
👏 circumcise 👏 your 👏 dogs 👏,2016-02-21 19:25:13,763,227,en
if you take your weiner out in the wind and its so windy it makes you cum after a while that is cheating on your wife,2016-02-20 02:44:39,1243,300,en
plowing my ass into my ass,2016-02-17 19:29:36,329,99,en
even my parents think sting is gay,2016-02-15 02:44:45,250,40,en
my fiance will not tell me what my valentines surprise is so i'm going to kill myself before the 14th,2016-02-11 22:29:21,424,85,en
its not cheating if i fuck a man as a way to punish him,2016-02-09 22:41:12,337,57,en
i'm a fuckin homosexual baby!!!!!!!!!!!!!!!!,2016-02-06 20:10:42,1001,306,en
"show me your wiener!
put it in my mouth!",2016-02-06 20:10:17,185,40,en
"oh la la 
lost my bra
left it in my boyfriends car",2016-02-05 19:50:24,183,26,en
*slips a gun to an orangutan*,2016-01-31 00:52:28,410,143,in
when youre plowin and you think of barnacle jims long ass face https://t.co/dZJTenvCLS,2016-01-30 17:07:54,574,114,en
when corsair posts a picture of his breakfast sandwich https://t.co/3GsKkLAf1Y,2016-01-30 17:07:17,88,4,en
kinda weird that the only things you hear about being guzzled are gasoline and cum,2016-01-29 18:04:54,1301,372,en
gay people are always tired because they're up late thinking about asses,2016-01-28 23:36:20,624,195,en
TRIPLE FUCKING H BABY OH HELL YEAH SUCK MY ASS ROMAN REIGNS. SUCK MY ASS AND I'LL SHIT IN YOUR MOUTH TOO LMAO,2016-01-25 04:10:19,248,52,en
lolling thinking about a man with a penis for a head. not a even a head sized dick. a regular sized dick where the neck and head should be,2016-01-21 20:12:22,507,121,en
bears are extant,2016-01-14 22:31:01,145,31,en
at any point in the day i can sit down wipe my butt &amp; there will be poop residue on the toilet paper. doesn't matter when i last plopped one,2016-01-13 17:26:34,405,56,en
i really need to get my balls sucked,2016-01-05 17:03:38,307,82,en
"i need a new ass
and its gotta be good",2016-01-02 16:09:59,429,144,en
"""love is the most powerful force in the universe""
wrong! huge explosions are",2015-12-22 19:31:43,868,442,en
if you call your dog to COME and he CUMS instead... well thats my kind of dog lol,2015-12-21 22:09:24,973,237,en
"i just love taking out my mens penis, pointing it towards a toilet, and taking a leak",2015-12-19 22:26:42,421,88,en
some faggot showed my mom a video of me squeezing and slapping his bare ass (not trying to hurt him just being a rascal in bed),2015-12-17 05:09:16,382,44,en
