text,created_at,favorite_count,retweet_count,lang
#DCRebirth https://t.co/H1svv1pnT5,2016-03-26 20:02:27,66,19,und
Parts of this Donald Trump foreign-policy interview remind me of Donald Sterling. https://t.co/xFhMVo15yC https://t.co/TgVAuvOhXm,2016-03-26 18:46:03,48,8,en
"[softest voice possible]

I liked Batman v Superman.",2016-03-26 15:36:42,152,32,en
"""Time for some traffic problems in my colon."" https://t.co/pcgTWT7rCe",2016-03-26 03:02:39,178,49,en
"“Let’s end that rigged economy and create an economy that works for working people”
BIRD: “I am literally a bird"" https://t.co/TdTZVKyzD1",2016-03-25 22:31:08,138,38,en
"My profile of @jonnybernthal, the Walking Dead alum who’s been killing it as @Daredevil’s alienated Punisher. https://t.co/rc6THb4Spc",2016-03-25 21:27:46,300,97,en
"""How do we make people think Cruz is a liar""
GENIUS Call him Lyin Ted Cruz
""What do we call Trump to make him sleazy""
GENIUS 2 Sleazy Donald",2016-03-25 19:31:20,42,7,en
Maybe all along they were love letters? https://t.co/cWuFrqE4Ey,2016-03-25 13:07:22,46,7,en
A bittersweet statement from @JuddApatow on the passing of @GarryShandling: https://t.co/Zo0QyHAQbI,2016-03-24 21:44:13,620,308,en
"In 1993, NBC sought Garry Shandling as Letterman's Late Night successor, after Larry Sanders had been on for 1 yr. https://t.co/Ho9xfdpk5m",2016-03-24 21:09:04,55,22,en
"When I was 10 I learned to play this on piano:
🎵This is the theme to Garry's show, the theme to Garry's show🎵
https://t.co/QbehoaCBUk",2016-03-24 20:56:28,76,14,en
Hail Hydra 😢,2016-03-24 20:36:35,71,21,cy
"Every time I remember that all these people were once in the same movie, I get so happy I could cry. https://t.co/nIYoNQLdUp",2016-03-24 18:24:24,44,3,en
get you a man who can do both https://t.co/hCBfliWEoz,2016-03-24 16:30:52,288,279,en
"Between Sleater-Kinney and Tony Danza, this is the best 60 seconds of Broad City already.",2016-03-24 02:02:04,40,4,en
Trump supporter  https://t.co/hijQ8cTpbD,2016-03-23 11:55:59,50,13,en
https://t.co/tWJOQA55xa,2016-03-23 03:57:25,44,4,und
"Places where you can see Rob Morrow wink at David Schwimmer:
1. my slash fiction 
2. The People Vs OJ Simpson",2016-03-23 03:27:00,56,9,en
"This guy, always with the Monday morning quarterbacking. https://t.co/jhXW0kEb6j",2016-03-22 22:47:34,113,36,en
Batman v Superman reboot,2016-03-22 22:07:51,67,23,en
These statements from Ted Cruz are just making less and less sense https://t.co/Ze5Cd7grr7,2016-03-22 16:02:30,284,114,en
https://t.co/Xs6evpGswH,2016-03-22 15:14:13,24,8,und
"I look forward to the day Trump speaks Spanish in one of his speeches. ""Mis dedos son de longitud perfectamente normal.""",2016-03-22 14:44:49,82,18,en
"I'd like to see Ted Cruz open with, ""What am I, chopped liver?""",2016-03-21 23:03:38,63,7,en
"In conclusion, Israel is a land of contrasts.",2016-03-21 22:55:13,32,3,en
Trump on a teleprompter. Very low-energy. Believe me.,2016-03-21 22:50:58,75,17,en
Trump so badly wants to go off script in this speech. You can see it in him. https://t.co/rvnrJeGRAP,2016-03-21 22:40:33,50,7,en
.@realDonaldTrump no one on tv is covering your press conference because a Communist is speaking,2016-03-21 18:47:06,48,7,en
"John Oliver DESTROYS a Bacon Whopper with Cheese. John Oliver EVISCERATES a Chicken Tendercrisp Sandwich 

[John Oliver goes to Burger King]",2016-03-21 17:54:16,111,26,en
There we go. Much better. https://t.co/pbFRwQlL4A,2016-03-21 17:16:17,44,11,en
Daredevil in 1 frame https://t.co/avdLJck9Fy,2016-03-21 15:00:52,73,28,it
"When Twitter says ""Here's to the next 10 years"" https://t.co/5uAIRbfyPB",2016-03-21 14:17:07,73,21,en
"Me when I think about Trump choosing Ben Carson as his running mate 

https://t.co/XyVQ5s3wsT",2016-03-21 03:30:51,99,24,en
When you have the benefit of hindsight and realize that St. Vincent is a middle-tier Murray movie at best. https://t.co/AbQAOVsSLD,2016-03-21 03:00:56,111,19,en
Pretty cool how Fox invented musicals about the final days of Jesus https://t.co/XQCUNhwpcQ,2016-03-21 00:17:56,69,18,en
"So basically, don't try to steal wifi from this network https://t.co/yQohe3WSfJ",2016-03-20 21:14:26,192,67,en
Trump supporter  https://t.co/jWUNwLyHbU,2016-03-20 11:10:34,27,6,en
Amazing how assaults at Trump events keep happening near one person who’s never responsible for them. It’s like Murder She Wrote.,2016-03-20 01:48:56,1573,805,en
