text,created_at,favorite_count,retweet_count,lang
workshopping new material https://t.co/FEYFw12T3r,2016-03-24 19:17:44,233,13,en
hah... who even cares about this stuff any way.. its all just like.. really stupid to me https://t.co/v5Kd3mfULp,2016-03-24 15:27:29,250,16,en
"i have an idea for a good kind of joke picture. its like donald trump and hes saying ""im thinking about spilling those beans""",2016-03-23 21:48:46,117,6,en
enjoying a sub way sandwich from the subway store by my work. #ad,2016-03-23 19:00:07,53,4,en
the video game I got is making me download another 3gb update before I can play it. who are the ad wizards who came up with this one,2016-03-22 21:45:42,62,7,en
isis stinks big time,2016-03-22 17:36:50,141,45,en
Gross https://t.co/A3DHWkkDFp,2016-03-22 05:00:55,198,8,en
wearing a nice clean shirt without any stains on it. dont know how to do the hands emoji on a computer. it is 100 100 100 also.,2016-03-21 18:50:28,211,36,en
#PS4share https://t.co/PmQ2tjKOKZ,2016-03-19 15:58:19,50,5,und
Uh I always really liked hulk hogan and I never watched his porno. I have bills.,2016-03-18 23:13:25,87,8,en
you will soon be able to kick this things ass to get free pizza https://t.co/N9ry8O6GWq,2016-03-18 14:42:07,141,69,en
Your boy came back for a visit https://t.co/4mXNeyzQB8,2016-03-18 02:13:06,178,5,en
Today's the day. I've decided to become a multi billionaire,2016-03-17 21:51:37,177,25,en
Feeling happy today for no reason. Might make an appointment with the doctor to see what thats about.,2016-03-16 17:37:44,178,36,en
today is my best friend jake fogelnests birthday. why not drop by his page and say something nice. its the least you could do.,2016-03-14 14:47:31,29,2,en
It's true love haters https://t.co/b0LI71cLHD,2016-03-14 00:47:14,272,10,en
i hate my clumsy ass wife! https://t.co/f2kdwuqLi5,2016-03-13 02:27:46,421,28,en
"Denver gets the coveted #dbNodOfApproval ""it's pretty good"" -db",2016-03-11 00:41:54,75,3,en
"Wow, if you ever fly @SouthwestAir do yourself a favor and treat yourself to the $8.00 wifi. It's some of the best around.",2016-03-09 13:58:13,163,21,en
when you spend all day at work looking up different kinds of chicken coop plans instead of actually working https://t.co/mRSyrpWC9B,2016-03-08 21:01:53,99,14,en
"its international womens day and i, an ally, am celebrating by letting women kick my ass and hit me with their cars",2016-03-08 16:21:43,251,79,en
fuck randall https://t.co/OxVqgqcvuX,2016-03-07 20:35:00,269,55,en
saw this chicken today please make it go viral thank you https://t.co/lgfMsU4Drf,2016-03-05 03:36:01,685,423,en
Great news: they made a sequel! https://t.co/3HHxYjeXda,2016-03-03 19:12:28,4650,2072,en
Remembering when I had the green juice earlier and I took  a selfie with it https://t.co/LPQC54hmdZ,2016-03-02 21:09:38,185,8,en
thinking about that green juice and how nice it was,2016-03-02 20:58:18,28,4,en
"cashier: thanks. have a nice day.
me doing the clapping in between the words: excuse me. you do not get to tell me what kind of day to have",2016-03-02 20:05:16,587,189,en
whats for lunch,2016-03-02 18:06:11,22,6,en
conditioner is stupid. just put a fabric softener sheet under your hat dumbass.,2016-03-02 17:49:01,182,58,en
never been one to brag but i'd like to announce i have updated my apps and now have all of the latest bug fixes and performance improvements,2016-03-02 15:49:31,275,50,en
