text,created_at,favorite_count,retweet_count,lang
Birds &amp; the presidency have history. Rutherford Hayes had a pet vulture that could whisper the names of his enemies. https://t.co/FunIbsEJT2,2016-03-26 00:13:39,3,0,en
Feel pretty confident Ted Cruz does terrible impressions of MacGruber having sex while he has sex.,2016-03-25 15:33:23,10,2,en
Larry Sanders will rightly get the praise but It's Garry Shandling's Show came at the perfect time for a kid obsessed with TV and weird shit,2016-03-24 20:25:21,21,5,en
"Which member of the Stones most hit Peak Seinfeld with their look in the ""Mixed Emotions"" video? I'm thinking Wyman. https://t.co/Z2mwl5N2ut",2016-03-24 20:17:43,6,1,en
"Little too much iced tea in this 'lemonade iced tea', Snapple. I'm calling it 40/60 at best.",2016-03-24 17:48:51,3,0,en
"What kinda tweets do we have going this morning? Good ones, or what?",2016-03-24 15:02:33,2,0,en
Watching the last SHIELD...you don't see too many TV shows willingly write out their only interesting character. Probably with good reason.,2016-03-23 23:17:15,3,0,en
"Willing to vote for whichever democratic candidate adopts ""Enter Sandman"" as their campaign theme for the duration of the convention.",2016-03-23 19:08:27,7,0,en
"Patreon to fund actual, unemployed journalists to research and then write oral history of when they were all replaced by content providers.",2016-03-23 17:39:13,4,1,en
Anytime you get mad re: Trump remember we're getting a Celebrity Apprentice starring Arnold Schwarzenegger &amp; featuring Jon Lovitz outta this,2016-03-23 17:05:58,3,1,en
"I'm old, so concert festivals don't appeal to me anym--- wait. Hang on. OH SHIT! #Lolla #Lollapalooza #CHAPPIE https://t.co/SpOnprRaPR",2016-03-23 14:29:44,24,4,en
Was finally going to break an 11-year steak of never calling @bestshow4life but only losers are allowed to call tonight.,2016-03-23 01:09:55,12,1,en
"""But Master Wayne, you mustn't!""
""I'm sorry, Alfred, but I have to. I have to versus him.""
#BatmanvSuperman",2016-03-22 22:45:03,19,4,en
My first three followers were all run off the internet by me. They never should have gone against me.,2016-03-21 18:02:54,2,0,en
"Meanwhile, March also marks Ello's second birthday. https://t.co/fXNVlg4TEs",2016-03-21 17:22:05,11,1,en
