text,created_at,favorite_count,retweet_count,lang
it took me three years but i finally completed my last official rite of passage for living in la. i ran into moby,2016-03-26 04:14:53,718,21,en
"how many late night writer's room trash cans are currently full of crumpled post-its with ""BvS = my big fat geek wedding?""",2016-03-25 22:40:38,205,11,en
"really wanna track the 2000s phenomenon of getting into a band, pirating their work + way later discovering tracks the pirated copies lacked",2016-03-25 17:45:44,379,36,en
"if redoing a piece of art from your youth kills your childhood then the thousands of covers ""hey jude"" out there amount to cultural genocide",2016-03-24 20:00:26,235,33,en
people lose their entire jobs for less than this an elected official cannot be fucking serious with this shit https://t.co/LFYXQplQPd,2016-03-24 04:06:13,867,218,en
embarrassed to say i truly did not understand or remember why so many people sent me police dogs this morning but i loved it all the same,2016-03-23 15:49:28,179,6,en
"fond memories of driving around austin tx at the crack of dawn, bumping low end theory, windows open. rip phife dawg https://t.co/Gm7ICyPUpQ",2016-03-23 08:21:53,128,18,en
".@joshgondelman's new album PHYSICAL WHISPER is GREAT! especially if you have a test on otto von bismarck coming up
https://t.co/KKtJN022TI",2016-03-21 18:08:20,40,3,en
i like when twitter moments introduces a new meme by telling me to forget about an old meme. way ahead of you,2016-03-21 03:59:55,240,10,en
so cool of thom yorke to do a private show in la last night for those who didn't get radiohead tix. class act https://t.co/BcmU8uKzXL,2016-03-20 00:52:21,702,162,en
"miles, we heard about your terrible car crash. so sorry. anyhoo we updated your contract so every movie you ever do has a car crash in it",2016-03-19 18:50:23,214,21,en
Probably gonna regret this tweet but THE SPECTACULAR NOW is a VERY good allegory for Jess &amp; Rory and why Jess is a big ol' piece of trash,2016-03-19 18:31:32,408,22,en
"JAY Z: goblin, ghoul, a zombie
ME: that's not so scary
JAYZ: with no conscience
ME: turn the lights back on shawn ion wanna do this no more",2016-03-17 18:22:52,1288,446,en
congratulations to merrill garbus on her supreme court nomination never mind siri don't send that,2016-03-16 14:54:54,306,37,en
"in movies, you can always tell who had the strongest connection to a dead person by who's farthest from their grave at the funeral",2016-03-15 20:38:16,925,164,en
very relatable romance. you know how we all go out for a stroll on our catamarans when we have relationship turmoil #TheBachelor,2016-03-15 03:41:59,167,17,en
"feel like we didn't go far enough when deciding ""cool"" was slang. we could've settled on ""those shoes are celcius"" or something WAY cooler",2016-03-15 01:28:06,314,47,en
"get u a man who can do both 😂
[UPLOAD ERROR - CRANSTON_BREAKINGBAD_SHOWER.JPG - 
CRANSTON_TRUMBO_BATHTUB.JPG -- FILE LIMIT EXCEEDED]",2016-03-14 04:21:44,717,108,en
proud to be one of seven people that can confirm TRUMBO is a real movie and not some sort of argo operation,2016-03-13 17:14:51,265,18,en
"My ""critics are raving"" pull quote for 10 CLOVERFIELD LANE: hard to sleep through!",2016-03-13 04:59:39,163,8,en
no one to blame but myself for this https://t.co/RV1LmkX4Y0,2016-03-13 01:47:59,594,81,en
obama's final decree is dividing the US by how many times you saw hamilton. wild but true. anyone who hasn't seen it lives in district 9 now,2016-03-12 19:35:41,424,89,en
"boy they really rushed to market with the ""how to be single"" sequel huh https://t.co/jGE1XCP741",2016-03-12 03:31:25,1432,278,en
definitely need to show your work on this equation https://t.co/il2v2UgEfC,2016-03-11 22:28:16,699,165,en
"don't need you bandwagon 311ers bumping ""amber"" on today, the holiest of days. real fans found 311 from the top of a dropdown list of bands",2016-03-11 19:08:36,291,80,en
"kkk supports bad guy: you know it's fucked up because the kkk likes it
kkk supports good guy: wow, they're so good even the kkk likes it",2016-03-11 08:40:07,247,31,en
shooting something on iphones isn't a cool novelty anymore! it's like spelling 'blood' with your hands. spell a sentence or get off my lawn,2016-03-11 05:45:16,317,37,en
boy i'm glad i watched the civil war trailer but boy i'm upset i watched the civil war trailer,2016-03-10 18:00:03,220,67,en
https://t.co/c6CsiO6iVX,2016-03-07 19:37:48,96,20,und
"aw, the tsa confiscated my toothpaste before my flight. looks like i'm brushing my teeth with all these knives and gunpowder instead",2016-03-07 17:48:20,627,70,en
i think luke cage is on my flight right now but there's no way for me to be sure until the plane goes down,2016-03-07 10:53:19,254,8,en
"thank you to the wonderful and charismatic minneapolis guests of tonight's gilmore guys live show, @itsthebrandi, @ginuwine and @Prince3eg",2016-03-06 06:13:53,98,4,en
tomorrow i do the chicago polar plunge to support the special olympics but my real goal is to find and dunk al roker https://t.co/1S1iWjBATp,2016-03-05 19:35:44,127,8,en
"i just kicked a broken skeeball machine and it started working again, like some sort of ripoff fonzie. now i'm off to jump a minnow",2016-03-05 18:42:37,452,22,en
true hustlers shuttle out of the airport's no-uber-zone to an enterprise rent-a-car and uber to their final destination. let a cop try me,2016-03-05 12:45:00,243,18,en
"kendrick lamar just pulled the ""what this ratty ol' thing? nah it's just something i threw together from my closet"" of album releases",2016-03-05 08:15:16,648,161,en
men with extra bridal gowns have kleinfelder's syndrome,2016-03-04 20:15:14,69,7,en
would you grown ass manchildren like ghostbusters if i told you they make boring first-draft fourth wall jokes about ryan reynolds in it,2016-03-03 18:52:29,787,197,en
david duke looks like william h. macy and paul thomas anderson had an illegitimate child on the set of boogie nights https://t.co/jPMjiOTtwM,2016-03-02 00:38:12,400,68,en
i swore to @dantelfer i would fight and defeat him for the title of highlander. please don't let cancer steal my job https://t.co/TRUhkJC4ti,2016-03-01 18:01:51,48,8,en
"goddamn it @funnyordie. i did this joke yesterday. and worse, even. https://t.co/rGAhArNlJC / https://t.co/KcKxYNjQDx",2016-03-01 03:12:08,286,70,en
has there ever been a sharper rise to glory than tom mccarthy making THE COBBLER then immediately winning best picture for his next film,2016-02-29 22:06:49,231,36,en
"""Hillary Clinton's youth pandering is so embarrassing,"" he sighed, his fingers hitting 'send' on a ""politics is the real Hunger Games"" tweet",2016-02-29 20:52:56,339,54,en
"it's a good thing dicaprio won an oscar, because i don't know if the musical he made would win him a tony https://t.co/FyAKBVOqBT",2016-02-29 05:33:00,394,115,en
"Serious time: good show! Happy for all Mad Max's wins, and Spotlight's best picture. Back to goofing time: that Revenant bear got snubbed!!!",2016-02-29 05:12:46,255,22,en
congratulations to @danielstew for winning the biggest award of the night https://t.co/3BCCAP84Ia,2016-02-29 05:06:52,234,27,en
"EVERYONE: carol was probably boring, right
[clip shows CAROL pulling a gun]
EVERYONE: whoa. we should've seen carol",2016-02-29 04:47:38,1424,437,en
Eddie Redmayne? I'm more of a Methodmayne fan. You guys havin' a good night or what?,2016-02-29 04:44:37,512,115,en
"please welcome, olivia wilde and slim john travolta https://t.co/ZZEbnymV9X",2016-02-29 04:30:15,416,67,en
"everyone in this room is crying. this is this year's ""glory"" moment. fucking fantastic",2016-02-29 04:16:06,499,108,en
they're rebooting LOST already?! https://t.co/Et1ZV0h6o9,2016-02-29 03:46:22,557,96,en
"yes, play off the woman talking about foreign war crimes with the music they played as the helicopters came over the hill in APOCALYPSE NOW",2016-02-29 03:42:36,716,335,en
hey @louisck! great set tonight. wanted to share some notes before you tape the special. i think documentary jokes might not play on netflix,2016-02-29 03:39:41,212,14,en
"mark rylance deserves this oscar. not for bridge of spies, but for whatever wonderful magic toy store he runs https://t.co/FsjqKYuzsX",2016-02-29 03:33:49,693,167,en
having the weeknd perform seems like the academy trying to outdo the number of super bowl babies conceived this year,2016-02-29 03:17:31,153,16,en
let the minions host next year. #MinionsAreTheNewTinaAndAmy,2016-02-29 03:09:07,243,39,en
this is a wonderful bit but it does now look like the white men of the oscars are trying to buy black children https://t.co/B6kCb6hXHK,2016-02-29 03:08:20,898,289,en
How come no one's talking about BB-8 saying the n-word on stage,2016-02-29 03:02:10,882,298,en
