text,created_at,favorite_count,retweet_count,lang
My guy @ActionBronson needs to come work the line @TheOinkster next time he comes through LA. I bet he could hang.,2016-03-26 20:15:57,6,0,en
"Starks seems like the obvi choice for Joanna show especially with this new record, I just think Joanna would appreciate Olajuwon's game tho.",2016-03-26 20:03:33,2,0,en
Dear @juniorclemons should I wear the John Starks or the Olajuwon to Joanna?,2016-03-26 20:00:35,2,0,en
I'm sorry my reaction was so reactionary.,2016-03-26 19:53:05,6,0,en
"My demo is young women, single moms, and moms.",2016-03-26 17:55:10,13,0,en
Beyond excited to sit down for an entire concert tonight and weep. Thank you Joanna.,2016-03-26 17:53:46,9,0,en
I wish Allen was here...where I am. @TotallyAllen,2016-03-26 06:10:51,20,1,en
If Snape and Hillary had a baby it would be my mom. Ugh my mom is dope as fuuuuuuuck.,2016-03-26 04:07:32,45,3,en
Cry college boy. Please.,2016-03-26 01:25:45,14,1,en
They are...here.,2016-03-25 22:46:18,3,0,en
"Show me a picture of ""ugly crying"" and I will show you a picture...of growth.",2016-03-25 22:43:06,32,4,en
"There's no such thing as ""ugly"" crying. Crying is beautiful ass truth. Ugh I can't fucking wait to cry. Yes!",2016-03-25 22:34:39,22,3,en
And now a Divers Joanna finds me 33 with a dime a day skittles habit and one pair of pants....like wtf happened to mylife,2016-03-25 22:19:33,3,0,en
"Joanna's music has been along with me through all my phases...my Yerba Mate days in the SF, Wild Turkey in Pomona, a dick busting breakup...",2016-03-25 22:08:21,5,0,en
What basketball jersey do you wear to a Joanna Newsom concert? John Starks right? This tweet is probs only for my poetry guru.,2016-03-25 20:58:26,24,2,en
Gonna go see Joanna Newsom tomorrow night. Gonna cry dick off hard but should I also be on mushrooms or save that for Easter?,2016-03-25 20:54:45,15,0,en
The sun beats the back of my neck...hungry thirsty alone I wait on the asphalt for the people to bring me pants I ordered online...why me?,2016-03-25 20:30:19,14,1,en
Bare bottomed sitting cross cross applesauce eyes closed heart open to the world summoning the people to bring me my pants. I am powerful.,2016-03-25 20:15:35,16,1,en
Imagine being a tiny baby being born anew into a corrupt system that is set up to destroy you...I ordered pants online and they are not here,2016-03-25 20:06:48,48,9,en
Thank you to wizard King @lancebangs for keeping the fall I took. It's the only thing I've ever done that I'm proud of.,2016-03-25 06:36:35,15,1,en
Lil mama @JustAboutGlad is absolutely on fire all the time like on fire. Too good #floohouse,2016-03-25 03:00:39,10,0,en
The queen of Los Angeles Megan fucking Beth Koester. I can't. I love her so much. No one like her. #flophouse,2016-03-25 02:53:53,20,4,en
Dude @noredavis blew my mind. So funNy too funny And he's so cool. #flophouse.,2016-03-25 02:52:46,7,2,en
Hi @KyleMizono I think you are Such an exciting superstar #flophouse,2016-03-25 02:46:35,10,0,en
This Kyle Mizono joke is fucking perfect and perfect #flophouse,2016-03-25 02:45:10,5,0,en
This beautiful man @wesvanhorn is too beautiful of a life force #flophouse,2016-03-25 02:40:25,6,1,en
Oh my god @littleesther is so god damn funny and those are my overalls she's wearing,2016-03-25 02:38:10,13,1,en
I am so on acid #flophouse,2016-03-25 02:34:14,13,0,en
Ok watching #flophouse like nowish,2016-03-25 02:31:04,10,0,en
I wonder if Bloods have a special Facebook that's all red. Probably right?,2016-03-24 23:43:50,12,0,en
Johnny Carson blacklisted Joan Rivers for trying 2 get hers and because he didn't respect women. That's an old story that needs to change.,2016-03-24 20:56:16,12,2,en
I always forget about Jimmy Kimmel. #meantweet,2016-03-24 20:45:24,6,0,en
"Bernie is Letterman, Hillary is Joan Rivers, Ted Cruz is Jay Leno, Trump is a neo nazi.",2016-03-24 20:41:12,26,0,en
Remember when Joan Rivers didn't get the Tonight Show and it fucked everything up? Vote for Hillary.,2016-03-24 20:36:51,16,0,en
Homeless dude chilling on the patio at work nodding his head to Tribe rapping along with a big old smile on his face. Damn. #RIPPhifeDawg,2016-03-24 17:21:04,18,0,en
All Tribe all day @TheOinkster today. Wow it's gonna be a good day today. #RIPPhifeDawg,2016-03-24 17:16:50,7,1,en
Let me get this straight Eddie The Eagle did in fact NOT soar at the box office,2016-03-24 16:23:55,27,3,en
Patchouli and hummus are the two things I am most proud of. How far my two little ideas have come...wow.,2016-03-24 16:14:02,12,0,en
Good good good old Carmelo Anthony. Wow I love this guy. https://t.co/yj5TnWn3Dm,2016-03-24 02:12:13,2,0,en
Waiting for jeans in the mail...I could fly...or I could die...but....why? #butwhy,2016-03-23 22:20:06,4,0,en
Waiting for some jeans in the mail and there is a churning anxiety in me right now...I am capable of anything right now.,2016-03-23 22:15:34,13,0,en
It's super important everyone knows that @solomongeorgio is a pure genius of comedy. Like PURE.,2016-03-23 05:31:07,23,3,en
Improv Drama &gt; Improv Comedy,2016-03-23 05:00:47,22,0,pt
I wanna eat mushrooms at the staples center. So. Bad.,2016-03-23 01:45:19,20,3,en
TERRIFIED to ask my parents about Trump.,2016-03-23 01:07:00,22,3,en
I interacted with 4 strangers on the Internet today and they were all great.,2016-03-23 00:53:45,18,0,en
When I think something is cool I say damn that shit is minions.,2016-03-23 00:43:40,31,5,en
"Aggressively whining about something* like a baby is called Trumping. 

*does not apply to complaint about straight white males like trump.",2016-03-23 00:37:32,6,0,en
My case against tomatoes is air tight no question.,2016-03-22 20:30:32,10,0,en
My own cold brew has destroyed me. Et tu Brewte???????????????????wow,2016-03-22 19:17:30,35,4,en
Hell hath no doofus like a guy trying to be cool.,2016-03-22 19:15:55,3,0,en
I was never really interested in becoming the social justice warrior that I am but the audacity of straight white dudes made me this monster,2016-03-22 19:13:14,32,0,en
I really want a pet mule named Smuggles. How cute is that?!,2016-03-22 18:48:07,8,2,en
"Fucking good is so easy, it breaks my heart when I hear about people having bad sex. Like BREAKS my heart for real.",2016-03-22 18:45:40,20,0,en
What wow you call your bar a biergarten wow what? That is so cool.,2016-03-22 17:50:06,13,2,en
I don't lift weights but when I pick normal shit up I pick it up like a couple of times at least. Remembering 2 breathe. Gonna get BEEFY,2016-03-22 16:30:34,22,1,en
This movie shotgun stories is my favorite movie I've seen in forever and I'm tweeting through it like a hyena.,2016-03-22 04:57:55,7,0,en
Fuck good and be decent,2016-03-22 04:55:14,57,18,en
Call me peculiar but any movie hat has basketball in it is spectacular.,2016-03-22 04:49:58,13,5,en
This guy Jeff Nichols does good movies about good dude relationships. Wow I like this.,2016-03-22 04:27:22,14,1,en
Blocking hella straight white dudes. #TwitterIn5Words @midnight,2016-03-22 03:51:39,14,1,en
All your followers tolerate you #TwitterIn5Words @midnight,2016-03-22 03:47:44,17,0,en
One of the worst things that Trump has done is he has ruined the name Donald one of the most dynamic and sensual first names out there. FUCK,2016-03-22 03:25:12,43,3,en
Ugh I wanna gain like 200 lbs of perfect ripped muscle.,2016-03-22 01:34:40,9,0,en
"If I give you a water cup and you get iced tea, you deserve to die in prison.",2016-03-22 01:33:23,24,2,en
Drowning in my own poetry.,2016-03-21 20:28:12,18,4,en
Happy #WorldPoetryDay @ComfortInnCentr https://t.co/ClCdIgqkSv,2016-03-21 19:45:39,6,1,en
May I call u kiddo?,2016-03-21 19:31:11,13,0,en
I will eat your fucking heart if you think you are to good for poetry.,2016-03-21 19:30:37,21,1,en
So many people laugh at poetry.they mock it. They say get out of here we don't want you to be real...vulnerable...beautiful.,2016-03-21 19:27:10,23,1,en
"My dying grandmother asked me what I was gonna be when I was 18 and I said a poet, and she laughed. Later, she died.",2016-03-21 19:21:44,30,2,en
Went to a movie last night but was distracted by these two beefcakes also in theater.  How do I get beefy I wondered? Followed them home.,2016-03-21 18:29:09,14,0,en
Happy #poetryday everyone. Please keep fighting and bleeding and dying for poems please.,2016-03-21 18:15:44,15,0,en
We need @elizabethforma more than we need anyone else.,2016-03-21 18:00:52,7,0,en
Midnight Special was really good for a SAUSAGE FEST.,2016-03-21 17:35:16,8,0,en
The arclight bar is on fire right now.,2016-03-21 04:07:05,26,0,en
Woah now stuff being made videos on the internet wow.,2016-03-21 03:25:25,7,0,en
Spotlight was a splendid movie about a bunch of divas.,2016-03-21 01:59:42,4,0,en
Also her bf before me was a real piece of shit so it's like I get it bro.,2016-03-20 21:45:16,7,0,en
My ex gf's dad threatened me with a shotgun once but I was cool with it cuz he had a ponytail.,2016-03-20 21:44:03,22,2,en
Happy @girlsHBO day everyone. Very excited for this weeks episode.,2016-03-20 17:54:58,10,0,en
Obama has been in Cuba this whole time.,2016-03-20 16:24:41,9,1,en
The movie Falling Down is voting for Bernie.,2016-03-20 16:14:39,11,1,en
I'm having fun at a comedy show .,2016-03-20 06:00:07,37,2,en
Excuse you but when did Melrose become Vegas?! Like is literally nothing sacred?!,2016-03-20 05:48:03,13,0,en
Trump looks like he eats way too much cheese,2016-03-20 05:42:06,13,5,en
Ugh honey u should've seen Melrose when it was Melrose.,2016-03-20 05:04:13,23,1,en
If I don't get invited to a wedding before the month is out I am going to kill myself. Simple as that.,2016-03-19 21:52:47,22,0,en
It's crazy that every man who has ever lived has done or said something horrible to a woman.,2016-03-19 21:51:55,23,2,en
I haven't gotten a wedding invitation in over 2 yrs probably because I am not fun at weddings and I am shit and I eat too many skittles.,2016-03-19 18:00:49,20,2,en
I deserve every wedding invitation I don't get. I need to be a better man.,2016-03-19 17:56:11,13,0,en
When I don't get invited to hella weddings I tell myself...ok u r shit right now either be better or die u horrible shit.,2016-03-19 17:53:25,16,1,en
"In 2013 I was rich with wedding invitations, my heart was full. Now in 2016, no invites at all probably because I am a terrible person.",2016-03-19 17:49:40,12,1,en
Dear siz @BBW_BFF watching escape from LA for the first time happy birthday KR.,2016-03-19 05:11:15,8,0,en
A cashier just saved my life.,2016-03-19 04:44:04,7,0,en
I'm voting for my mom (Hillary) and for vice Draymond Green for Veep. Hilary is my mom. Draymond will get Bernie on board.,2016-03-19 03:42:30,6,0,en
Walkup is a war criminal.,2016-03-19 03:32:21,2,0,en
Stephen F. Austin just sounds so so racist.,2016-03-19 03:30:25,5,0,en
The US constitution is 100% garbage.,2016-03-19 02:04:37,30,1,en
Cool that racist ass hulk hogan gets to go on being racist trash but with HELLA more bandanas.,2016-03-19 01:30:55,11,1,en
If I don't go to a wedding soon I'm gonna rip my dick clean off I swear.,2016-03-19 00:41:44,15,1,en
It's kind of sweet that my career is ending just as Judd Apatow's is taking off.,2016-03-19 00:39:54,15,0,en
DOES ANYONE HAVE ANY CLIPS OR ANYTHING FROM THAT PUNCH DRUNK LOVE JON BRION JOANNA THING?! THIS IS ALL I HAVE PLEASE PLEASE,2016-03-19 00:36:15,7,0,en
Ugh crying thinking about all the rad women I know....AGAIN!,2016-03-18 22:57:24,17,2,en
Take your burger back to pizza town. This is burger town jake.,2016-03-18 22:49:59,10,1,en
Shake shack is like the 4265th best burger in LA. Not bad.,2016-03-18 22:42:03,21,0,en
A good way to juggle your relationships is to disappoint everyone. Super easy to do.,2016-03-18 19:39:03,19,6,en
I am terrible at my life but I don't let that get in the way of not doing anything about it.,2016-03-18 19:22:25,25,6,en
If I ever get shot in the leg I am going to be soooooo pissed.,2016-03-18 18:35:49,6,3,en
Broad City is voting for Hillary. Case closed.,2016-03-18 18:32:57,7,0,en
"Ok so Bernie is Zuckerberg, Trump is combo Winklevoss twins and Justin Timberlake and Hillary is Rashida Jones. This makes sense.",2016-03-18 18:31:13,12,1,en
"About to eat hella fried chicken and then play basketball. I love farting on the court, helps me rebound. #blessed #friday",2016-03-18 18:23:50,12,0,en
It's time to shed.,2016-03-18 17:49:36,3,0,en
Hillary has been waiting to destroy a trump her entire life.,2016-03-18 17:36:29,14,0,en
I can't wait to take everyone to the salad bar after we vote for Hillary. Then we'll hug each other when she destroys trump.,2016-03-18 17:35:08,27,2,en
I'm voting for trump over Hillary bros https://t.co/KKntV6j37m,2016-03-18 07:51:55,6,1,en
