text,created_at,favorite_count,retweet_count,lang
cmon man keep it together https://t.co/wpm1O1yyXc,2016-03-26 17:16:59,405,83,en
"CYBER TIP: if you see some bad #content online (priv parts, toilet humor, bad attitudes), just ""Click It Out!"" #ClickItOut",2016-03-26 00:56:58,225,27,en
dear @peteratmsr microsoft's naivete about the internet being awful is more embarrassing than your fucked up bot https://t.co/lPkamgRSat,2016-03-25 21:09:44,58,15,en
"heads up mother fucker, u've just been visited by doug the brownie hunter https://t.co/oPoMKHmU4X",2016-03-25 18:34:59,259,49,en
"on friday jesus was like ""im dead now"" then went back to his apartment and didnt come out until sunday. tbh i do this all the time",2016-03-25 17:33:24,666,253,en
new slogan for slim jim: The Snack That Looks Like E.T.'s Dick,2016-03-25 17:02:45,312,43,en
"part of me thinks some of these ""storm chaser"" guys just want an excuse to put battle armor on their station wagons",2016-03-25 16:20:46,245,23,en
share this tweet right now on your linkedin to prove to your coworkers and acquaintances that you aren't some kind of dip shit loser,2016-03-25 07:07:19,116,13,en
"heres my big joke on the movie news.

more like ""BADman v SUBPARman"" !!!!!!!

please post your comments but nothing rude (i will click off)",2016-03-25 06:59:42,526,104,en
Legal Help Discussion Forum &gt; Ask the Experts &gt; Hubby pooped 2x in copcar [CLOSED BY MODERATOR],2016-03-25 02:10:02,178,14,en
"you're tuned to 103.3 THE BEAST (mountain lion growl noise) keep it locked for a 55-minute GLAM JAM but first, traffic and weather together",2016-03-25 01:05:41,247,37,en
"david letterman never gave a fuck what you thought and you're just finding out now?? thats why he was great, fool",2016-03-24 06:24:49,409,56,en
"it is a shame that ""elvis"" is popularly taken to mean elvis presley and not elvis costello",2016-03-24 02:11:50,183,28,en
amazing: u can be critical of either hillary or bernie and still vote for them. u can question their platforms and histories. incredible,2016-03-24 01:52:16,567,116,en
#WednesdayWisdom roundhouse kick all the stall doors to make 100% sure you're the only one in the bathroom,2016-03-23 22:31:40,195,51,en
the easiest job in the world has to be one of those alt-lit writers who writes buster shit like ~*~our hearts r holding hands on the moon~*~,2016-03-23 19:46:35,169,17,en
when its time to review the holiday nog https://t.co/Vm0z9ok6Uk,2016-03-23 05:22:56,291,36,en
i think if you win the stanley cup you should have to face off against the zamboni,2016-03-22 21:50:50,274,74,en
horny cyber solutions. this is a company that exists. Horny Cyber Solutions. https://t.co/URAmOzv1Fb,2016-03-22 17:16:47,243,19,en
"Q: Jon, do you ever feel any guilt being the good boy of online, far beyond all other boys? Do you regret being so good?
A: No .",2016-03-22 06:24:49,380,36,en
"my primary ability in life is being able to just look at a dude and instantly tell whether or not his favorite genre of music is""video game""",2016-03-22 02:51:01,569,102,en
"hulk hogan posting vid of himself shitting: this video is good
hulk hogan seeing vid ofhimself plowing a hot babe: this video is bad somehow",2016-03-22 00:20:01,250,32,en
lets be honest here: nobody's 4 year old is saying astute shit about politics. especially not shit that exactly mirrors the parent's beliefs,2016-03-21 23:12:49,375,62,en
"apple: ""we went back to making the iphone 5 because it looks better and more people want""
everyone: no fucking shit",2016-03-21 17:56:04,264,68,en
"""bad news, everyone. i think i just invented diarrhea"" -the first person to have diarrhea",2016-03-21 06:43:23,635,142,en
when i show up late for the dinner party because i remembered i had to bring a side dish https://t.co/sO9V9pon8D,2016-03-21 06:33:20,630,141,en
the reason a lot of engineers need a powerful computer for coding is because all those stackoverflow tabs really add up,2016-03-21 00:02:30,410,153,en
on the equinox you can balance an egg on its end and guys with sunken chest cavity thing cap pop it out like the safety button on a snapple,2016-03-20 05:09:33,251,38,en
the equinox is for fools. i prefer solstice,2016-03-20 05:06:03,163,26,en
if john oliver's obliteration of trump hadn't worked we would've been totally fucked. thanks for defeating him with the drumpf thing guys,2016-03-20 00:58:43,988,241,en
"i can't believe it's now 15 years to the day i invented the famous saying, ""live, laugh, love."" i invented it. its my famous phrase.",2016-03-20 00:14:54,862,125,en
"i promise im not drunk or high but i just want to come on here and say that counnting crows fucking rocks. again, not drunk whatsoever",2016-03-19 02:06:14,329,48,en
st patrick's day is problematic to me because it celebrates my childhoood neighborhood scoundrel patrick who put a golf ball in his foreskin,2016-03-18 02:48:40,332,59,en
its infuriating to me when naive tech assholes yell at bart and caltrain. this is good article https://t.co/dFkgv7tRVD,2016-03-17 16:39:56,265,116,en
lol terrible game developer @DigitalHomcide is crowdfunding a lawsuit against someone who made fun of their bad game https://t.co/49oWQ2gxWQ,2016-03-16 22:20:05,138,61,en
just found a marble-sized wad of mashed potato that mustve fallen into my shirt pocket during #lunch,2016-03-16 21:05:01,161,14,en
Merrick Garland sounds like a fanfic steampunk professor who builds a time machine and meets sonic the hedgehog,2016-03-16 18:59:51,398,129,en
"https://t.co/k5bMo9Wcjl best web site i have ever made. the ""hell yeahs"" are ranbdomly generated. ""so check it out""",2016-03-16 18:17:28,140,33,en
"""we should get Paul Simon tickets""
""ok, where does he want to go?""

folks i am a delight to be around",2016-03-16 16:40:01,468,48,en
Pictured: a young Donald Trump and Bernie Sanders conspire to replace leadership with a Secretary of Partying Down https://t.co/A71GTCFYxO,2016-03-16 05:47:04,343,85,en
*gives car a knowing nod* https://t.co/fAJb7wviJo,2016-03-16 04:59:51,473,57,en
(in ridiculous dip shit Nerd voice) im interested in session ipas,2016-03-16 03:39:17,286,53,en
"dondald trump...... how about you knock it off, thats what i say on it. #JonSaysKnockItOff",2016-03-15 20:29:54,315,59,en
"me, seeing pics of nazi guys marching together in perfect lockstep: now that's what i call march madness. sorry if offense #nazis #sorry",2016-03-15 17:40:28,223,22,en
its time to face the facts: im wonderful,2016-03-14 21:20:07,178,56,en
