text,created_at,favorite_count,retweet_count,lang
"I apologize for the mess, but not the filth",2016-03-26 02:16:56,19,4,en
"If you find mushrooms in the forest and you don't eat them, you're an idiot",2016-03-25 09:55:04,20,3,en
https://t.co/9dfstfscSu,2016-03-25 05:35:08,23,3,und
My biggest fear is that I'll die before I find an online boyfriend and all my neko atsume kitties will eat my corpse,2016-03-23 18:55:48,26,8,en
"No dude, this is not a chill place to build your nest https://t.co/xGndqSYtdA",2016-03-22 19:43:14,33,4,en
Young men are only supporting Clinton so they can meet a rich sugar mama to buy them tiny shorts,2016-03-22 18:57:18,40,8,en
Why does the store have the baby food and the diapers in the same aisle. I don't eat baby food,2016-03-22 01:01:32,59,16,en
Cuba:,2016-03-21 19:17:49,4,3,es
"I feel sorry for rich people, because most of them will never know the simple joy of giving me all their money",2016-03-21 18:38:57,30,2,en
"If I want my Millennial employees to read their company emails I have to disguise them as Paypals from their parents haha, Millennials.",2016-03-19 19:39:09,31,7,en
"Woken up at sunrise by an overenthusiastic rooster. When I prayed for my life to become a cartoon I was talking about Anime, God damnit",2016-03-19 15:16:23,27,5,en
Every so often you should forgive the people you hate so you can clear up room on your shit list for new enemies,2016-03-19 05:45:26,31,10,en
"Who wants to Uber me a Chipotle? I don't know what that means, but I'm hoping it's something sexual",2016-03-19 04:38:27,26,3,en
Cat playing with a ball of yarn like it doesn't even care it's a walking stereotype,2016-03-18 20:31:35,269,106,en
"Being horny runs in my family. All my ancestors were horny, that's why I'm here",2016-03-18 04:09:13,72,15,en
"Searched Hillary's emails for ""Spongebob's dick"" but no results. Obviously she deleted those emails #Scandal #Dickgate #Spongedick",2016-03-18 01:08:07,27,5,en
"No one can say what the future will bring. Everyone knows, but it's too depressing to talk about",2016-03-17 22:23:47,23,5,en
My girlfriend doesn't let me go to magic shows anymore because I always get too excited and burn all her science books,2016-03-17 02:11:18,66,12,en
"Clinton is gaining ground with the ""holding their nose"" voters, and is already strong among the ""born with no sense of smell"" ones",2016-03-16 19:25:34,30,2,en
"Good news, I just got promoted to Vice President in Charge of Shitting My Pants",2016-03-16 18:43:46,18,2,en
"How do Paul Ryan and Ted Cruz each look like a melted wax statue of the other, how the fuck is that possible",2016-03-16 06:22:25,23,6,en
Rubio had to drop out of the race because his dad came home from work and yelled at him for wearing his suit,2016-03-16 00:29:26,44,6,en
"I just heard on the news that voting has ended in Florida. It's about time, this should have happened decades ago",2016-03-15 23:40:40,123,35,en
"I never vote. Not only is it pointless and illogical, but also they don't let me wear Google Glasses and samurai swords in the polling place",2016-03-15 19:08:51,34,4,en
Give me some of your second least dank nugs,2016-03-15 06:36:33,18,3,en
My 600 month old son is starting to get interested in politics,2016-03-14 19:40:29,23,5,en
People throw vegetables at me everywhere I go because they hate vegetables,2016-03-14 19:10:47,16,1,en
How do I know if I'm overeating enough,2016-03-14 06:09:44,23,3,en
I'm the one in the debate audience booing loudly every time they say children are the future,2016-03-10 03:39:24,388,120,en
"Shocking news: Hillary's emails reveal that she took a ""which Gilmore Girl are you"" quiz and she was whichever one you think is the worst",2016-03-07 19:36:03,102,24,en
So I guess it's illegal to punch a guy in the face? Seems like a weird law,2016-03-07 07:17:38,26,2,en
"I love monarch butterflies as much as the next guy, but there will be no place for them after the revolution",2016-03-06 00:29:51,25,5,en
Self-driving cars? That's scary. I'd rather trust my life to random people that might have opinions about Ghostbusters and vote for Trump,2016-03-05 22:42:56,33,13,en
"If you think no one should have to pay taxes, please stop having such cool opinions. You're making the rest of us look like fucken nerds",2016-03-05 01:25:40,28,8,en
"Ted Cruz is like a creepy vampire, except not cool",2016-03-04 03:40:36,19,3,en
"In my free time I like to go on Yahoo Answers and reply ""I don't know"" to every question",2016-03-03 22:36:17,99,33,en
The coalition between loudmouth idiot racists and clever sneaky racists is crumbling to the ground,2016-03-03 19:18:07,30,16,en
Judd Apatow learned everything he knows about the world from watching Judd Apatow movies,2016-03-03 04:37:14,23,4,en
"I had a beautiful dream where my fingers were hotdogs that grew back when I ate them, then Hillary woke me up to tell me it'll never happen",2016-03-02 19:04:06,32,7,en
It was a simpler time when you could just get on a boat and find some unexplored island to start a cult on,2016-03-02 04:45:21,40,8,en
I spent the whole day hassling people who don't vote and then I forgot to vote,2016-03-02 01:09:52,16,1,en
"No matter who wins or loses, I hope all the candidates have a bad time",2016-03-01 20:32:11,21,4,en
"Things are getting too PC. You can't even say things are getting too PC anymore without a million people cheering and one being like ""nope""",2016-02-29 20:53:30,26,11,en
"My dream is to go to Paris, France and get murdered by a mime",2016-02-27 09:14:10,28,4,en
Who wants to feed my sourdough yeast for me while I'm in prison,2016-02-25 02:08:32,46,7,en
America would be safe if all the terrorists upgraded to Windows 10. Why aren't they doing it,2016-02-24 05:21:22,33,8,en
Do you think OJ did it,2016-02-24 04:59:33,12,3,en
Obama wants to close Gitmo? Well I think we should git MO' illegal torture prisons for innocent people #GoodAssOpinions #HonkIfULoveTorture,2016-02-23 18:42:15,25,6,en
My only weakness is that I'm really bad at everything,2016-02-22 23:18:50,23,7,en
"But... Jeb and Donald are still going to kiss,  aren't they??",2016-02-22 19:35:46,20,2,en
"If protesters can be confined to free speech zones, maybe we should have a psycho murderer zone out in the desert where people can own guns",2016-02-21 19:38:59,33,7,en
"I just want a president that makes great deals. I don't care about anything else about them, for me it's all about the deal's",2016-02-21 02:47:15,30,8,en
This message sent from the Zodiac Killer to the police in 1976 remains unsolved to this day. Can you crack the code? https://t.co/QqmQunBh9O,2016-02-19 20:34:44,376,186,en
Instead of having this election can we just surrender to all of America's enemies,2016-02-18 20:01:43,87,21,en
If climate change isn't real then how come there hasn't been a 'guft of wind' since the 1800's,2016-02-17 21:37:35,36,12,en
I don't know who this Paul Mccartney guy is but he's really trying to milk his 15 minutes for all it's worth isn't he,2016-02-16 22:12:24,81,10,en
"Of all the human emotions, barfing is the most honest",2016-02-16 03:45:39,44,13,en
"When you're reading Yelp reviews of a landfill is it good or bad if they say ""this place is a dump""",2016-02-15 20:37:35,24,4,en
The slow descent into gladness,2016-02-15 05:43:30,20,3,en
I'm full of great ideas about what other people should be thinking and feeling,2016-02-14 23:17:09,28,5,en
"There's only 1 person I'd appoint to the supreme court. He's 3000 years old, lives in a manger, and has abs that make me wanna bang my gavel",2016-02-14 02:21:59,24,4,en
Remember that all lives have value. In Scalia's case it was a huge negative value,2016-02-13 22:19:11,48,9,en
Why can't someone invent a wearable smart device that will alert me when I'm eating too many cigarettes,2016-02-12 02:31:21,16,4,en
Who's the right candidate for you? https://t.co/2sESfxlUNr,2016-02-10 20:53:51,150,109,en
"I donated $54 to Bernie, so in the socialist utopia I'll get twice as much equality as the rest of you bozos",2016-02-10 02:54:07,39,7,en
"Free college for everyone is pretty unrealistic. But Hillary's plan to mail everyone a big dog shit, that sounds like it could really happen",2016-02-09 19:59:09,41,9,en
"There's a TV show of War and Peace? Great, now I have to read a like, 8000 page book just to feel superior to people",2016-02-08 18:15:06,17,3,en
I'm beginning to think some of you don't even want to destroy American culture,2016-02-08 02:21:23,48,8,en
[Smug guy voice] I'm not even watching the Puppy Bowl this year,2016-02-07 19:48:22,31,12,en
I just looked out the window and saw Hillary Clinton roll by on a hoverboard wearing a backwards hat,2016-02-06 21:18:42,30,3,en
Everyone please stop having negative thoughts for 3 hours while I eat my breakfast of dewdrops and spiderweb butter,2016-02-05 20:30:19,20,2,en
A few years ago I stole a wizard's parking spot and he cursed me to smell Chinese food everywhere I go but never be able to find it,2016-02-04 23:17:51,39,9,en
When you smell a flower you're really smelling thousands of bee farts,2016-02-02 22:13:18,32,8,en
I know that struggle that immigrants face. My Father moved here from Ohio so he could have the opportunity to buy better weed,2016-02-02 04:15:03,48,11,en
I don't know what caucuses are and they should be illegal,2016-02-02 01:17:56,16,2,en
"No I didn't step in dog shit. It was wolf shit, which is much cooler",2016-01-28 20:20:00,33,8,en
#NobodyLikesItWhen Jeb Bush,2016-01-26 00:32:11,24,4,en
Me and my hacker gang are going to a 90's techno-industrial nightclub with sparks falling from the ceiling,2016-01-23 03:17:49,140,47,en
Why even bother posting online when someone can just leave a Rude Comment on your post,2016-01-21 21:30:44,21,4,en
You know someone is a criminal if it's a nice day out but they're wearing a leather jacket,2016-01-20 02:31:36,26,9,en
Take a drink every time Martin O'Malley says something you agree with but you still don't give a shit,2016-01-18 02:11:48,50,18,en
I thought my date was here to pick me up but it was just a snowman in my front yard again,2016-01-17 02:02:57,34,8,en
"In Florida you're allowed to shoot someone for saying ""it will be a magical evening""",2016-01-15 23:25:12,23,4,en
Vote for me if you're afraid of everything and you poop your pants if you see an Arab,2016-01-15 03:52:46,32,7,en
This will be the first generation that watches less anime than their parents,2016-01-15 03:14:30,48,14,en
Let's see if any of the candidates has the courage to take a dump in the middle of the stage during the national anthem,2016-01-15 01:58:07,21,4,en
I'll vote for any candidate who claims to have had an erotic Bigfoot encounter but isn't Rand Paul,2016-01-13 20:10:18,20,3,en
"Look, it says it right there in his DNA. ""GT""... Guilty",2016-01-12 20:55:59,6,0,en
"My new invention is soup with caffeine in it, and I'm looking for venture capitalists to buy me a bowl of it please I'm so hungry and sleepy",2016-01-06 21:37:47,40,8,en
Sorry I'm late. I had to circle the block a few times because there were some tough looking birds in my parking spot,2016-01-04 21:31:52,33,6,en
White people's balls are filled with mayonnaise #FactsArentRacist,2016-01-03 03:43:41,42,4,en
"2016 is the year of the cat, again",2016-01-01 21:40:50,20,3,en
"Help! my hoverboard caught on fire and burned my dick and balls when I was trying to uhh, just use it normally",2015-12-31 20:11:04,43,11,en
"#OldWestPickupLines hey baby, do you want to help me pickup this horseshit that is all over the place",2015-12-29 23:40:08,22,6,en
"""We thought he was a full-grown black man, so we shot him"" -The Cops",2015-12-28 20:35:33,41,15,en
Merry christmas from a cat https://t.co/bnlNFzb7BW,2015-12-25 19:32:33,33,1,en
"I don't want to sound like a prick, but I love my family",2015-12-25 18:16:36,38,5,en
"Don't talk to me when I'm watching Spongebob, I'm trying to get immersed in the mise-en-scène",2015-12-22 20:22:14,17,9,en
Gimme a dimebag of scrambled eggs,2015-12-20 22:28:57,19,6,en
I predict the hot new thing of 2016 will be Gangnam style,2015-12-18 20:11:23,31,2,en
"Just checked the bathroom mirror to make sure I'm still cute, and guess what. I am",2015-12-16 01:23:51,25,6,en
"You have too much stress. You have to reduce your stress RIGHT NOW, or you'll DIE",2015-12-11 18:57:53,170,91,en
"Oh, so you assume I'm white just because I want to buy matching holiday pajamas for the whole family including dogs and cats?",2015-12-10 20:48:10,28,7,en
"Oh shit, people in other countries can see our beacon of hope and liberty, quick turn it off",2015-12-08 23:23:59,40,8,en
Those who fail to learn from history get a free do-over,2015-12-08 20:22:48,14,0,en
"After this thing that Donald Trump said today, I don't think I'm even going to vote for him anymore",2015-12-07 23:34:28,38,6,en
"I don't give money to panhandlers, but I always roll down my car window so they can listen to some sick drum 'n' bass for free",2015-12-07 21:23:48,25,3,en
My 1 year old just loves his iPad. His eyes glow red and he starts vomiting black sludge if you try to take it away from him,2015-12-06 22:59:32,80,19,en
"You had me at ""toxic brew""",2015-12-06 01:58:53,10,3,en
I'm going to take all your guns away and there's nothing you can do about it except cry like a little baby and shoot me,2015-12-04 00:39:15,19,2,en
Doctor there's something wrong with me. I get no pleasure from seeing bad things happen to bad people,2015-12-02 00:26:02,25,8,en
You ever get so happy that your mouth goes all weird and bendy?,2015-12-01 23:21:45,32,6,en
Wanting to own a gun should be classified as a mental illness that prohibits you from owning a gun,2015-11-30 20:12:34,63,11,en
"I'm sick of hearing my Racist Uncle say he wouldn't fuck one of those blue guys from Avatar. Yes you would, man, everyone would",2015-11-26 19:47:00,117,33,en
"Oops, I accidentally used kahlua instead of worcestershire sauce, and I accidentally poured it into my mouth instead of the food",2015-11-26 19:05:25,46,12,en
Do birds know how ridiculous they look when they fly? Everyone on the ground thinks they're idiots,2015-11-25 21:25:35,26,4,en
"I'm an equal opportunity offender, I go after everyone! [Spends months attacking the same Muslim kid]",2015-11-24 17:55:47,36,7,en
My only goal in life is to become small enough that I can fit through the cracks in the ground and explore Baby Lizard World,2015-11-22 20:20:58,51,17,en
"Sorry grandma, I can't come to church this week. I'm busy thinking about what all the Seinfeld characters dicks would look like",2015-11-22 18:48:38,25,0,en
If you let me be your boyfriend I promise to claw up your furniture less than or the same amount as a cat,2015-11-20 18:41:44,35,9,en
"Chad Newsworth, Bro Journalist here to tell you that ISIS is totally gay. I'm not though. Not even at all",2015-11-19 20:00:02,20,4,en
"I wish they made 6 ounce beers, I could drink 2 of those right now",2015-11-19 05:37:06,24,1,en
