text,created_at,favorite_count,retweet_count,lang
I'm back! gonna start tweeting every day again,2016-03-17 16:26:42,5,0,en
"1 year ago we had bob hope, steve jobs, and johnathan cash. now all we have is bill cosby and he rapes",2016-01-03 02:37:01,1,2,en
"Yo Gotti's ""Down In the DM"", another song that, just shouldnt be popular",2015-12-27 21:38:11,1,0,en
only certain girls give me bonor,2015-12-27 00:17:44,4,0,en
"we need 
1: more ottomans
2: more red bottoms",2015-12-12 02:39:13,1,0,en
"""I jerked off in a car before I took the ACT""",2015-12-09 03:05:41,1,0,en
"1. Professor mentions how to calculate y-axis offset
2. Realizes offset is free 
3. Tear rolls down cheek",2015-12-07 17:56:21,5,0,en
What happens at a T-Pain concert?,2015-12-06 02:32:46,2,0,en
I like girls but I only like like guys,2015-11-25 18:59:36,5,0,en
Radioactive by Imagine Dragons is my shit 👌,2015-11-23 22:58:44,3,0,en
"*MikeWILLMadeIt in ER*
 
Doctor: MikeMIGHTMakeIt",2015-11-22 01:37:50,2,1,en
First time I seen pee on the wide stall toilet seat. This dude doesn't give a shit about handicapped people,2015-11-18 23:25:59,0,0,en
[walking around with dick clearly threaded through fly] um my eyes are up here,2015-11-11 19:58:02,1,0,en
Poll?,2015-11-07 10:24:03,0,0,en
Metro Boomin want some goals nigga https://t.co/9KBMd4Djo6,2015-11-06 03:44:53,3,0,en
I completely forgot that guys spike their hair,2015-11-04 15:54:02,1,0,en
me: [taking J Cole's dick out of my mouth] wow it's like a foot is in my mouth,2015-10-16 01:20:03,6,1,en
"girl: is there a plug around here? 
me: this is him speaking",2015-10-14 16:50:07,5,0,en
When you ask her for head and you get 4 heads http://t.co/qKvX6n9pMS,2015-10-05 01:01:15,0,0,en
"We get it, you shoot up schools https://t.co/C4nYHUJanV",2015-10-01 20:51:16,8,0,en
http://t.co/YGRafipYw3,2015-09-28 22:58:19,15,2,und
Self deprecating yik yaks are too good. you suck haha!,2015-09-26 22:50:19,2,0,en
I don't want no liquor cuz I been drinking that dirty 💕💕💕,2015-09-21 23:48:58,3,0,en
Gonna be a good year http://t.co/epsAXMkU99,2015-09-18 15:42:19,3,0,en
Id fuck for nothing,2015-09-17 18:32:51,3,0,en
whoever invented the endocrine system was prolly faded af,2015-09-14 20:44:38,2,1,en
"If you mess up earlier in the day: This is going to be a long day!
If you mess up later in the day: It's been a long day!
Dope convo tips 👍",2015-09-10 17:40:34,6,0,en
I've cut down from swallowing 3 whole dicks a day to an agreeable 2 whole dicks a day,2015-09-03 20:15:47,1,0,en
for people that fuck with computer aided design and also the migos http://t.co/0uEKwnmSSD,2015-08-31 21:28:50,3,0,en
damn i need to find somewhere to jerk off,2015-08-29 20:24:35,3,0,en
"They: monty can you be my baby daddy?
monty: yea",2015-08-27 00:07:02,5,2,en
