text,created_at,favorite_count,retweet_count,lang
LIVE on #Periscope: candy https://t.co/QxKNp5dUdA,2016-03-25 02:47:42,67,16,en
Just drinking 4 ounces of bud light almost ruined my night but my bowels decided to let bygones be bygones and keep everything on point.,2016-03-20 06:51:41,1846,359,en
Party tonight.  Midnight.  Dj @TonyTrimm and me and some other shit.  Karma Lounge 105 e. 5th St.    #SXSW https://t.co/oVCjhIgJxY,2016-03-16 00:18:14,187,33,en
Getting loose on the keys last night. https://t.co/a7i2UT6beg,2016-03-15 16:43:02,706,223,en
Actually.  Keyboard.  I wanna play keyboard today in Austin tonight.  11 pm,2016-03-14 19:08:15,413,60,en
"If you have a band and your in Austin and you have a show around 11pm, I will come through and play drums or guitar horribly during your set",2016-03-14 19:03:55,1124,238,en
Daylight savings time got some women thinking that I'm really disrespectful by texting them now but actually I'm only slightly disrespectful,2016-03-13 09:33:43,2116,734,en
I talked to my boy @kevinbozeman Wednesday while we sat in a 3 star hotel in Rochester Minnesota. https://t.co/Sg68NIlLDE here it is.,2016-03-11 19:12:50,64,8,en
"We added a late show in Rochester tonight.   
 w/   @kevinbozeman 
https://t.co/3ygR7fhDAd",2016-03-09 18:25:28,30,4,en
it's twitter! https://t.co/mKvWe5FInN,2016-03-09 17:24:47,179,9,en
Man Seeking Woman is a dope show.  I didn't know @ericandre could be regular.,2016-03-09 17:20:18,1464,270,en
Uh oh.  Time for some hot takes.,2016-03-09 17:12:27,288,66,en
YOU WISH YOU HAD THE AUDACITY AND BRAVERY TO BITE A STRANGERS PHONE AT LIV ON SUNDAYS BUT YOU CAN'T EVEN GET INTO LIV.,2016-03-08 23:13:58,665,271,en
I think that Cuba Gooding Jr was having a good time and that the people filming him at the club were the real weirdos.,2016-03-08 23:13:13,645,309,en
I've been posting a lot about shows today.  I feel like I need to have a hot take on something insignificant to balance it out.,2016-03-08 22:57:46,364,31,en
Doing a last minute show tonight at Tonic Room.   https://t.co/kGKGW6hDa4    10pm    with @TonyTrimm  and special guest @MCTREEG,2016-03-07 00:05:52,77,20,en
"Definitely wasn't expecting @JayPharoah to impersonate me on SNL.  Thanks man. 

 https://t.co/NxZ61t7Ipe",2016-03-06 19:54:05,1847,458,en
I imagine that it's rough getting the shit beat out of you while you're in your underwear and then having to explain it in your underwear.,2016-03-06 06:35:36,1909,983,en
Me in 6 months https://t.co/lQgGSQMQeL,2016-03-05 10:20:49,310,34,en
So Kendrick dropped a surprise album while I was just at a bar in Chi absorbing the weird thoughts of strangers.,2016-03-04 07:40:18,2029,424,en
"Hey Grand Rapids.   It's a shitshow outside but I'm doing a show tonight at Pyramid Scheme.

https://t.co/ZGsehv6INF    8pm",2016-03-01 19:33:46,203,62,en
"I'm at a rap show with wayyyyy too many openers.   

The crowd is staring at the stage like live child birth or a murder is happening.",2016-02-21 05:01:25,1800,304,en
Only a few hours left for a chance to get a sandwich autographed by ME from @SamsungPayUS. #TweetsForEats Rules: https://t.co/0EmPyy91tX,2016-02-19 19:00:46,76,19,en
Have you seen the new spot for #SamsungPay? Something's going down. It involves pastrami and you. #TweetsForEats https://t.co/XHvJaqiNg9,2016-02-19 16:59:07,72,21,en
"Anybody have an app that auto loops ""father stretch my hands"" at the 1:08 mark?",2016-02-17 22:37:50,795,349,en
"Nailed it.   

I took Zimbio's 'Which Stand-Up Comedian Are You?' quiz and I'm Hannibal Buress. Who are you? https://t.co/rr10YHZMgX",2016-02-13 03:44:44,958,132,en
Feb 17th bitch what the fuck is this? https://t.co/Pef13Jcy3v,2016-02-09 08:36:45,4313,2075,en
LIVE on #Periscope: Lundy gras https://t.co/K2ojlv5IyU,2016-02-09 05:51:40,73,13,en
".@ELLEmagazine had me critique new fashion trends for some reason.

https://t.co/7W1ylKhDMC",2016-02-08 20:42:04,248,42,en
I've never seen a locksmith advertise in the sky.  That changed yesterday. https://t.co/2pszY0AOrR,2016-02-07 21:59:30,735,131,en
"In addition to #comedycamisado , my other two specials ""Animal Furnace"" and ""Live From Chicago"" are also available on Netflix now",2016-02-06 17:28:50,550,126,en
Walk on and walk off music for #comedycamisado @netflix  is Fkn Dead by @flyinglotus,2016-02-05 09:32:25,287,33,en
#comedycamisado  streaming live now on @netflix,2016-02-05 08:00:28,420,143,en
#comedycamisado in 67 minutes on @netflix,2016-02-05 06:53:24,243,63,en
"Thanks for having me on the show @Trevornoah      

Heads up, I cleared out the greenroom fridge so tell them to reset for the next guest.",2016-02-04 02:38:56,417,28,en
Had a good time on @TheDailyShow.  I did not expect the entire interview to be about gibberish rap.  11pm tonight. https://t.co/UbdVm3GpCj,2016-02-04 02:31:33,1033,139,en
"We're doing a screening of Comedy Camisado in Brooklyn tomorrow night.  @djyamez spinning after. 

https://t.co/atixgF06J3",2016-02-03 17:21:01,67,15,en
#comedycamisado  Friday. https://t.co/mhzgISMds7,2016-02-02 16:04:19,807,246,en
I talk about Japan and other things on Kimmel.  https://t.co/sOVnC9Q8ZE,2016-01-29 22:44:12,115,24,en
This Kanye album has an interesting rollout.,2016-01-29 18:04:38,981,301,en
"#tbt   press

https://t.co/9SgySyYcJF",2016-01-28 20:56:31,22,5,en
ok. https://t.co/4x4CiwSb4D,2016-01-26 22:20:05,240,56,und
"Neighbors 2 trailer.   

https://t.co/bQs296IeFt",2016-01-19 19:22:25,203,104,en
"Here's the trailer for Comedy Camisado.  Out February 5th on @netflix 

https://t.co/0HV8qBcYCK",2016-01-18 01:24:06,622,217,en
"If there's a hell its probably full of white girls that say ""bruh"".",2016-01-15 18:51:19,2678,1527,en
"Band of Robbers in theaters And on demand Friday.  Check out the trailer here

https://t.co/G4mOIiaxIc https://t.co/PSDSsc4Nj1",2016-01-13 19:21:31,63,20,en
Well that's settled.  Moving along. https://t.co/XIjiwL7Fuf,2016-01-11 03:46:58,1032,578,en
Yep.  Time to leave this city. https://t.co/uSpQout41r,2016-01-11 01:44:10,1941,947,en
One more Tokyo show tomorrow at Good Heavens Pub.  5pm doors.   6pm show. https://t.co/htqjfey7wC,2016-01-09 09:23:11,105,12,en
"We were finally able to nail this on the 33rd take.

https://t.co/PTuEWdIrWE",2016-01-07 00:43:01,113,25,en
I wrote an unnamed Tokyo comedy promoter about doing a last minute show and he said https://t.co/eCjMMT5KOx,2016-01-06 03:48:50,480,69,en
Good morning. https://t.co/WtbZna5f0Q,2016-01-05 11:14:26,1708,839,en
"Gonna do a set here in Tokyo tonight.

https://t.co/UNpbGjskrj

Double Tall Cafe.",2016-01-05 00:19:35,64,5,en
The crowd was pleased when the brief technical difficulties were handled.  #njwk10 https://t.co/5SM7N6C9pX,2016-01-04 11:31:10,155,68,en
They clapping to this track like it's hot.  #njwk10 https://t.co/jDs5IC10so,2016-01-04 11:26:19,177,73,en
Great match.  Nakamura's music sounds like a Street Fighter 2 throwaway track though.  #njwk10,2016-01-04 11:21:23,253,74,en
So far the wrestling is really good but ALL of their intro music is hot garbage.   #wrestlekingdom,2016-01-04 10:51:32,193,52,en
Haven't been to a live wrestling event as an adult until today.  #wrestlekingdom is pretty amazing.,2016-01-04 09:55:37,542,251,en
Tokyo!  What's happening tonight?,2016-01-03 08:27:07,181,15,en
"Good morning.   I'll be in Austin, TX tonight.   @CapCityComedy 

https://t.co/gdIXRYIi3F",2015-12-28 15:37:46,111,33,en
I'm pondering whether I should buy my niece and nephew this drum set and change my sister's life for the worse.,2015-12-22 19:35:39,1368,311,en
Just had a taxi driver tell me he can't take me to BK because he has a fear of bridges and highways. https://t.co/T8cqSvHOdJ,2015-12-21 21:26:48,1007,365,en
"Take a break from cracking Steve Harvey jokes and preorder Band of Robbers here.  

 https://t.co/K23DI5kHlJ",2015-12-21 19:55:38,86,10,en
"I'll be in Phoenix Wednesday at @standuplive    tickets still available for the 9:45 show.

https://t.co/OqxC7fA84u",2015-12-21 19:02:37,38,13,en
I just walked into my building the same time as my delivery food order got there in case you're wondering what feeling like God is like.,2015-12-14 07:40:39,1761,521,en
delete https://t.co/C2s8CCGlYd,2015-12-12 03:44:26,180,68,es
Rahm https://t.co/17RLk1POPz,2015-12-03 18:26:30,577,271,in
"I overheard a fast food employee getting dressed down by their manager at the airport. 

""at McDonald's the customer is always first!""",2015-12-03 01:42:44,293,47,en
"Kobe gives back to his hometown and lets the @Sixers win one on his farewell tour. 

#benevolentkobe #TrustTheProcess #lusttheprocess",2015-12-02 02:36:01,694,506,en
Hawaii living. https://t.co/nOVMA3KF2D,2015-12-02 00:49:21,885,336,en
"Happy Holidays from @PetsMovie 

https://t.co/BotXb5edmy",2015-12-01 23:14:45,25,4,en
"Meet the Hatchlings from Angry Birds

https://t.co/q7eAa5fqHa",2015-12-01 22:55:40,29,13,en
Wow Kobe. https://t.co/6EE9hr17qU,2015-12-01 03:52:03,452,191,ht
We're two weeks away from dabbing being in Walmart commercials.,2015-11-29 04:58:39,3587,2937,en
Honolulu tonight. https://t.co/n6MspN0AGy,2015-11-28 23:05:53,104,6,in
Journalism. https://t.co/Jilt2fze51,2015-11-28 14:33:48,715,192,fr
