text,created_at,favorite_count,retweet_count,lang
"“feminist art lover who appreciates TV productions &amp; making women google “histotechnician.” #MaleFeministsOfTinder
https://t.co/JCfb8qd2B2",2016-03-26 03:55:38,17,3,en
that thing where you put on yoga clothes with the intent to workout but then nope that's just your couch outfit now,2016-03-25 20:19:33,85,18,en
"dear kids I used to babysit, your parents are as insane as you think they are call me when you're 16 I have so much to tell you",2016-03-25 18:09:00,78,2,en
"queer/transgender friends! if you wanna talk to me about double-sided dildos, kindly email me right now LMoore@Hearst.com good day!",2016-03-25 15:43:28,8,2,en
urgent: if you're a guy in your 20s &amp; had your GF ask to use a sex toy in bed &amp; u wanna talk to me about it email me NOW LMoore@hearst.com,2016-03-24 19:43:48,9,4,en
why are girls so weird about meeting up with you IRL like it's just a date lol girls are crazy https://t.co/TtEs0uwnK1,2016-03-24 16:58:35,66,14,en
"“the only things i care about are football, feminism, and you. not this dog though he sucks.” #MaleFeministsOfTinder https://t.co/t8EkTp398q",2016-03-24 16:22:50,3,2,en
important announcement: this Sunday you can catch me on the latest ep of #GirlsHBO &amp; im so fucking excited about it my heart might explode!!,2016-03-24 01:28:58,111,10,en
"""the only Spanx I get are from my boyfriend"" is a joke I'd make if I were terrible",2016-03-23 20:16:54,300,46,en
"sexual orientation: a Sarah McLachlan song just came on shuffle and I whispered ""oh HELL yes""",2016-03-23 18:56:39,399,73,en
lol the challenge is his dick https://t.co/jQizGhGcmR,2016-03-23 17:00:46,61,1,en
"“i wanna marry annie baker &amp; have intersectional feminist kids. UR an ok backup plan though.” #MaleFeministsOfTinder
https://t.co/PTJYGfSKIQ",2016-03-22 16:17:39,17,8,en
scrolling thru people who recently followed u on twitter to see if you'd makeout with any of those avatars is one of the most fun sad things,2016-03-22 02:11:04,106,11,en
"11 Tinder Bios So Bad You'll Want To Throw Yourself Into The Sea
by. me, because of course it is 
https://t.co/5mznUuH3s3",2016-03-21 22:03:03,29,3,en
"just saw a guy on the train sneeze THE RIGHT WAY (vampire sneeze 😍)

he just did it again 😍

he just did it again I think he's dying nm",2016-03-21 19:35:18,60,8,en
Yay my #MaleFeministsOfTinder blog was mentioned on the always great @nprpolitics podcast last week!!! Thanks for mentioning it @SamSanders!,2016-03-21 17:13:24,41,0,en
"“fyi this is when new wave cinema happened just in case ur a girl&amp;dont know about that stuff”#MaleFeministsOfTinder
https://t.co/NEw6fbv5Iy",2016-03-21 16:03:40,10,2,en
*foolishly assumes that matching with someone on tinder means they'll actually want to talk to me*,2016-03-20 22:17:48,109,11,en
"“i'm a bit of a snob who has mismatched socks&amp;eats ice cream for dinner haha anyway feminism” #MaleFeministsOfTinder
https://t.co/ZVj3X5G38E",2016-03-20 20:54:52,23,7,en
"relationship status: knows the lyrics to not one but two songs by the guy who sang ""She's So High""",2016-03-20 02:19:38,66,8,en
those raffle tickets are not priced high enough this is the opportunity of a lifetime https://t.co/VmHsJZAZAQ,2016-03-19 15:59:59,53,3,en
"“things i love include: feminism and also goofing. please value self knowledge or else.” #MaleFeministsOfTinder
https://t.co/xiPbkSqDp6",2016-03-19 14:18:13,16,5,en
"18 Things Every Woman Thinks While Doing Yoga
by. me, who mostly just sits there feeling hungry &amp; inadequate
https://t.co/fHOWNvw4Fr",2016-03-18 18:57:14,27,4,en
happy 25th birthday here's your complimentary orgasm in a Williams-Sonoma,2016-03-18 18:27:48,46,2,en
"“i’m a feminist who eats ice cream at inappropriate times and is looking for a fuck buddy.” #MaleFeministsOfTinder 
https://t.co/mZBVmPA1oI",2016-03-18 18:13:33,25,10,en
are any of you wonderful LGBT internet friends going to this year's @dinahshore weekend because i super am &amp; i wanna hang with you!!~* HMU,2016-03-17 18:18:55,18,2,en
"""dislikes: racism, sexism, toxic masculinity. likes: drinking and being stoic about stuff."" #MaleFeministsOfTinder https://t.co/3U3B1cRjrZ",2016-03-17 16:12:44,16,3,en
"it'd be so cool if yoga was just ""sitting there doing nothing""",2016-03-16 21:24:58,155,80,en
watch me talk about meeting internet friends IRL &amp; being very relaxed while it happens (no)  https://t.co/lhm3gwLd6D https://t.co/4GfgFoHz9o,2016-03-16 18:30:20,25,4,en
"oh look i have done a patreon. feel free to read it, do what you want with it, tell it your darkest secrets, etc. https://t.co/tKTpZE2XhD",2016-03-16 18:02:18,16,7,en
oh hello here is a complete beginner's guide to strap-on sex that i wrote for Cosmo. enjoy. https://t.co/aTgtxxRjuA,2016-03-15 21:28:09,27,3,en
*has a baby just so I can dress it up like a little bear or a fox or something*,2016-03-15 17:48:21,67,8,en
“im a hedonist who’s also super anti-poverty &amp; anti-racist. also here’s a rhyming sentence..” #MaleFeministsOfTinder https://t.co/G3jWvUoKQ5,2016-03-15 15:33:29,18,7,en
if you've never been to my #tinderlive show this is a good snapshot of what it's like https://t.co/WOxZBhEXHR,2016-03-14 18:26:51,33,3,en
locking eyes with someone attractive who thinks you're attractive is horrible don't do it,2016-03-14 17:05:47,78,16,en
Christian Bale's greatest role was in a dream I had where we were starring in a romantic comedy together &amp; he was wearing a blue hoodie,2016-03-14 01:57:24,79,7,en
hello men if you are a man who can't orgasm email me at LMoore@hearst.com this is not creepy it is for Cosmo good day,2016-03-11 22:38:25,25,9,en
ok but what if what i love to do is to never work a day in my life,2016-03-11 18:02:06,209,101,en
"“nbd but i'm a thinking man who knows how to pleasure a woman, who is also made of radiation"" #MaleFeministsOfTinder https://t.co/5OrCUzaCYz",2016-03-11 16:06:16,21,2,en
"WHOA thanks for the FULL PAGE write-up, Time Out New York!! I love you to pieces for it. So hyped for Friday's show! https://t.co/wqRyq5retP",2016-03-10 18:03:22,54,3,en
hell yesss @TimeOutNewYork says Tinder Live With Lane Moore @BellHouseNY is one of the Best Comedy Shows this week!! https://t.co/zBTkFJfzeV,2016-03-10 04:47:10,56,2,en
"i want that thing in movies where someone breaks your heart &amp; then your soulmate comes along literally 20 mins later &amp; ur like ""oh ok cool""",2016-03-09 18:16:11,157,40,en
"here for girls w/eating disorders who r better but still struggle, girls who arent thin enough 4 people to see theyre not ok&amp;every1 in btwn",2016-03-08 20:54:20,74,24,en
Friday night Tinder Live has @jordancarlos @chasemit @mariskreizman @sallykohn I seriously cant wait for this show: https://t.co/QDkmpMNO2d,2016-03-08 18:04:13,9,0,en
"this #InternationalWomensDay im only going to talk about how ""messed up some guys can be"" for 75mins of every hour that a man talks about it",2016-03-08 15:36:13,67,7,en
"12 Types of Bad Sex Every Woman Has in Her Twenties
by. me, who has had too many of these don't ask which ones
https://t.co/AgD0oycr2R",2016-03-07 22:58:43,30,6,en
my ideal tv role is one where I can lose weight or gain weight and no one says shit,2016-03-07 21:03:10,58,4,en
not only is Tinder Live back at @BellHouseNY this Friday i'm also DJing the afterparty which = 90s hiphop for daaays https://t.co/02dToPHNNg,2016-03-07 18:53:02,17,2,en
"1. say goodnight to Lane Moore ✔️
2. tell Kathy Ireland I miss her ✔️ https://t.co/LC1wtAP8RA",2016-03-07 00:18:27,72,6,en
"This Friday has me @jordancarlos @chasemit @mariskreizman @sallykohn going on Tinder Live best Friday night possible
https://t.co/QDkmpMNO2d",2016-03-06 21:35:23,7,3,en
I've been on southern adventures the past few days if you wanna check out photos of them on The Instagram I'm @hellolanemoore there too 🌟💕👯,2016-03-05 19:59:30,8,1,en
my favorite comedian is any TSA guy giving instructions at any airport,2016-03-05 19:29:20,104,21,en
NEXT WEEK! Tinder Live has @jordancarlos @chasemit @mariskreizman @sallykohn and the most fun ever will be had https://t.co/QDkmpMNO2d,2016-03-03 18:35:37,3,0,en
"just saw a man who was 5'2"" and my first thought was ""damn i bet he eats pussy like a werewolf""",2016-03-01 23:18:55,116,13,en
"i've always suspected I was commitment-phobic, but i don't feel ready to use that term just yet",2016-03-01 18:40:51,129,31,en
the next Tinder Live on March 11 at @bellhouseny has @jordancarlos @chasemit @mariskreizman @sallykohn GET TIX OBVS https://t.co/QDkmpMNO2d,2016-02-29 18:03:43,10,1,en
"thanks @HEAPSMAG for interviewing me about #MaleFeministsOfTinder! it translates beautifully
https://t.co/pyOXRZlqdr https://t.co/bn7OPkhexn",2016-02-29 17:06:33,10,0,en
that time #Oscars2016 would rather spend a whole ceremony talking about racism than nominate 1 black person for a major award #OscarsSoWhite,2016-02-29 03:57:06,82,30,en
"kohl's is like ""ooo what if we put Oscar speeches from black actors into the mouths of little white kids? good idea Greg""  #Oscars2016",2016-02-29 03:37:30,24,13,en
congrats to my dad's weird friends #OscarsSoWhite https://t.co/gvaj4ut3AY,2016-02-29 02:51:38,103,22,en
#Oscars2016 seems like a work party you cant get out of and you wanna openly look bored while ur there but if you do your boss will get mad,2016-02-29 02:38:45,52,10,en
Benicio Del Toro has been asleep since 1999 it's weird no one has noticed yet #Oscars2016,2016-02-29 02:31:14,83,26,en
"this year's #Oscars2016 is sponsored in part by ""people who said one good thing, immediately followed by one whoa that was horrible thing""",2016-02-29 02:26:27,48,14,en
from last nights It Was Romance music video shoot that is going to be insanely cool-looking but also im so tired bye https://t.co/7UUAmkUJmc,2016-02-28 16:29:53,40,1,en
I wrote about how getting hair extensions turned me into a moon goddess from the sea (obvs)  https://t.co/aAwo8tfRoO https://t.co/kgHjLeU2jq,2016-02-27 02:55:03,46,13,en
"my roommate asked if i was going out tonight and i said ""no, i already went out during the daytime"" and then closed my door like a troll",2016-02-26 23:35:21,287,67,en
It's ok to break from dating once it starts feeling like opening doors in a public restroom where each stall is more repulsive than the last,2016-02-26 19:16:00,94,19,en
“how would i describe myself? tender babe who took one UCB class in 2009 &amp; hearts feminism” #MaleFeministsOfTinder https://t.co/XZylitJmDn,2016-02-25 16:00:54,17,4,en
There had to have been at least one serial killer who got bored hiding behind the shower curtain and just started reading shampoo bottles.,2016-02-24 18:40:50,696,301,en
talked about dating on tonights #cocktailswithcosmo &amp; now im home eating all the food &amp; watching iZombie. A+ tuesday https://t.co/iwaYP5RCKM,2016-02-24 03:48:27,71,5,en
"14 Signs You're in a Relationship
by. me, who will gladly DTR for you 
https://t.co/jq56SKCLl8 https://t.co/K9hlBMcDfl",2016-02-23 22:15:27,18,2,en
"if you have a minute, go ""like"" my band on Facebook bc we are probs gonna be ur new favorite band tbh https://t.co/pazYiHamZG",2016-02-23 18:04:36,11,3,en
just a cool chill group of people collectively ignoring the aggressive ramblings of a madman #nyc https://t.co/LDYOHhAPjx,2016-02-23 03:57:01,24,0,en
"dear anyone who ever asked a woman why she didn't report her rape, are you getting it now? #FreeKesha",2016-02-22 23:33:38,603,391,en
“i love feminists…when they’re buying me dinner.” #MaleFeministsOfTinder  https://t.co/78DTBWEPgx,2016-02-22 20:40:07,13,8,en
"I'm beyond proud to be on @bust_magazine's list of Funny Ladies You Need To Be Watching w/a bunch of my friends!!
https://t.co/cboW2rgKOZ",2016-02-22 18:03:40,23,5,en
i often wonder if any parent could ever love their child as much as i love Latin superstar singing sensation Selena,2016-02-22 16:49:36,54,8,en
"i can't get really serious about dating someone until they say the three magic words ""i'm moving soon""",2016-02-20 19:01:51,80,5,en
"""pro higher wages for chicks, dames, broads, and babes."" #MaleFeministsOfTinder https://t.co/NEJ5SHKwEt",2016-02-20 04:22:52,18,8,en
