text,created_at,favorite_count,retweet_count,lang
"After countless efforts, I am now finally going to jail. I killed a dog. Don't know when I'll get out. Good bye for now. I belong in jail",2016-03-08 03:55:53,114,61,en
If I don't have lungs then why do I scream,2016-02-29 05:18:30,218,230,en
It takes me hours of constant tugging and pulling on my dick to finally climax. It is always a relief when I'm done,2016-02-27 23:42:57,65,42,en
I'm trying to masturbate in this alleyway but I keep getting distracted by all these ambulances and fire trucks driving by...,2016-02-25 03:35:38,65,55,en
"My greatest wish is to one day go to jail forever , where I can't scare anybody and no one is mad at me",2016-02-23 03:28:44,224,176,en
A bunch of kids threw rocks at me as I was drinking water out of a garbage can,2016-02-16 02:50:58,183,187,en
I have nothing to say about current events. I hate myself,2016-02-15 19:02:06,95,112,en
Being horny is what happens when you think about fucking,2016-02-13 01:11:29,106,92,en
Today I got run over by a car and the driver backed over me a couple of times and then an ambulance ran over me,2016-02-11 05:32:40,121,126,en
Im going to masturbate in the woods now,2016-02-07 19:20:08,105,119,en
There was a shooting at The public library I masturbate in,2016-02-07 19:16:27,113,74,en
I'm too fat to take off my sash. I really want to take it off,2016-02-03 07:20:58,88,74,en
Time to make cum with my dick. I'll start by pulling on it until I cum,2016-02-01 01:28:28,95,83,en
"one time a man came up to me and said ""Christ loves all his children but you are no child of god""",2016-01-30 23:13:37,201,205,en
I walked inside a Shell gas station looking for medicine and was shot 18 times by the cashier,2016-01-28 02:33:32,173,140,en
I dont have a birthday,2016-01-27 01:43:42,96,83,en
That feeling when you take a piss after you just cum https://t.co/2SH9qjtD6N,2016-01-26 01:49:05,145,105,en
Why do I stink so bad all of the time?,2016-01-25 01:50:12,33,29,en
Some times when I'm masturbating I think about what it would be like to have sex,2016-01-24 23:43:05,78,71,en
I would love to know what food tastes like one day,2016-01-22 03:30:04,100,105,en
I am  afraid of hell. Will I go to hell when I die?,2016-01-20 22:04:26,175,227,en
I went inside a Pep Boys today and everyone screamed,2016-01-18 02:26:48,168,97,en
I once got horny on the bus,2016-01-16 03:57:58,98,87,en
Dogs piss on me,2016-01-14 03:55:32,101,110,en
any body know where I can get medicine? I'm sick,2016-01-13 02:37:40,75,40,en
I can't sit down,2016-01-12 05:33:45,62,66,en
This is the face I make when I forget to cum after masturbating https://t.co/JJohfePDNa,2016-01-12 05:26:26,134,94,en
I am 400 years old and weigh 750 pounds,2016-01-09 01:27:44,189,132,en
No one will give me a ride to the hospital,2016-01-08 07:07:37,120,70,en
Thinking about boob,2016-01-08 07:04:14,216,297,en
"Just realized I have human hands, which is how I'm able to jack off. Not sure how I got those",2016-01-04 20:34:55,86,71,en
I sleep outside,2016-01-04 00:20:57,95,64,en
I'm jerking off my big rubber dick that is a tire,2016-01-02 06:53:25,236,209,en
Another New years alone.,2016-01-01 05:17:42,56,50,en
do you want to know why I am smiling? It's because I'm thinking about a big ass to fuck https://t.co/02zpA5ygAw,2015-12-30 03:11:23,473,441,en
what kind of God would curse me with having a terrible dick but always wanting to fuck,2015-12-29 17:30:44,111,101,en
would love to fuck please,2015-12-27 18:33:16,38,46,en
My dick weighs 25 pounds it is the bane of my existence,2015-12-26 22:49:15,165,191,en
im so depressed,2015-12-25 17:16:02,216,283,en
I dont eat food. I cannot sleep. Yet I crave fuck. Why,2015-12-23 17:40:20,169,181,en
Meditating on pussy https://t.co/Up2QLST6OP,2015-12-22 17:54:58,148,152,en
"Happy Sunday. Instead of going to church, which I am banned from, I am going to clog up my toilet with my cum",2015-12-20 18:34:37,141,114,en
"are there any doctors on here? My dick stinks real bad and it hurts to piss. Googled 'fucked up dick stink, covered in sores' but no luck...",2015-12-18 19:22:56,33,31,en
Yuck my dick stinks. I think I need to see a doctor...,2015-12-18 06:55:28,25,15,en
"I don't like to get too political on here but I can't stay silent any longer. Folks, I love making cum",2015-12-16 20:38:23,134,116,en
What should I do today,2015-12-16 00:30:38,28,30,en
Ready for fuck to happen,2015-12-14 23:27:42,76,90,en
A nice picture of me smashing two long cuming dicks so they cum inside each other https://t.co/K7zNNqiOvF,2015-12-14 05:08:48,399,308,en
"Love eating ass with my rubber tongue, I have no organs",2015-12-13 23:53:49,226,210,en
Nothing like being horny on the weekend,2015-12-12 20:46:30,55,50,en
I love going down on you. I can't make any saliva because I am tires,2015-12-11 20:08:13,163,137,en
My addiction to Internet pornography has stunted me,2015-12-10 18:48:57,60,60,en
"A violent drifter masturbated onto a stack of tires and the tires were struck by lighting, that's how I was born. Cum is my dad mom is tires",2015-12-10 02:35:07,159,106,en
Accidentally came in my eye when I was jacking off but it's all good! https://t.co/dXqBqnmhUV,2015-12-09 23:56:06,233,194,en
"I love getting spanked on my rubber ass, oh yeah, I'm a bad man of tires",2015-12-09 04:05:19,327,330,en
Pic of my big filthy cock https://t.co/B0Oo15KFiw,2015-12-08 22:57:28,310,223,en
"Because I am always nude and have no skin, I can cum whenever I want and never make a mess",2015-12-07 17:59:50,59,45,en
I have no skin but I'm horny,2015-12-07 02:06:59,134,130,en
My dick is a tire and my pisshole is the tire hole. When I cum it dribbles out of the tire hole. It's hard to have sex so I masturbate a lot,2015-12-07 01:51:11,74,44,en
If it were illegal to fuck I would kill myself,2015-12-06 18:02:25,101,105,en
Just because I'm made of tires doesn't mean I can't cum,2015-12-05 18:00:50,382,224,en
They gave me my sash for having the most disgusting cum in the world,2015-12-04 19:16:39,71,62,en
My big cock is made of tires and I love when it gets sucked,2015-12-03 20:18:42,117,64,en
I want to fuck,2015-12-03 17:54:19,200,140,en
