text,created_at,favorite_count,retweet_count,lang
"My dads here this weekend, and it's great, but I refuse to cave to his demands that I enjoy Steely Dan.",2016-03-26 21:11:35,17,0,en
The Ian Karmel 2016 Spring/Summer Lookbook is here. https://t.co/YaLlQblyP8,2016-03-26 17:28:23,35,1,en
The time has come for you to follow my funny friend @AndrewMichaan on this website.,2016-03-26 17:15:45,10,0,en
"Somebody sent me a snapchat of a ""2005 themed"" party and I immediately tried to get ahold of Obama and his drones.",2016-03-26 16:04:18,36,8,en
My dad took this picture at the Venice Beach Skate Park. https://t.co/DYwrW2dH5X,2016-03-26 05:34:49,43,2,en
"If I was a serial killer, my target would be anyone who's ever driven a loud motorcycle past a place with a patio. No jury would convict me.",2016-03-25 18:42:23,79,12,en
WE STILL BEAT DUKE. FUCK YOU DUKE.,2016-03-25 05:09:21,69,4,en
DAME MOTHERFUCKING TIME,2016-03-25 05:04:43,37,4,en
"DUCKS ✅
BLAZERS◻️",2016-03-25 04:35:51,21,2,en
The best thing about LA is sometimes @mikerice6 and @blazermb visit. https://t.co/Yj5adpAclW,2016-03-25 01:57:07,135,9,en
This must be what cool people felt like when David Bowie died. #RIPGarryShandling,2016-03-24 22:52:06,134,28,en
Fuck. Fuck fuck fuck. Fuck. RIP Garry Shandling.,2016-03-24 22:49:37,36,4,en
The people next to me on this flight are like the before part of a NyQuil commercial. Pray for Karms.,2016-03-24 10:44:33,26,2,en
"Writing a song called ""Nobody Cares About Your Shitty Little Kid But You.""",2016-03-24 09:46:17,23,1,en
Sneaking out on New York at 5am like we hooked up at an office party.,2016-03-24 09:04:25,32,0,en
Can't believe it's been five years since I changed greeting card art forever.,2016-03-24 04:36:06,22,0,en
"Lots of fashionable people in New York, but I also just saw a guy dressed like Bebop from Teenage Mutant Ninja Turtles.",2016-03-24 04:03:20,44,2,en
I love New York so fucking much.,2016-03-24 03:15:51,24,2,en
"It's The @LateLateShow's first birthday tonight. What a joy it's been, hope you like some of the silly stuff we get up to.",2016-03-24 01:02:29,38,4,en
I've seen ONE Golden State Warriors hat since I've been in New York. This is the best city.,2016-03-23 18:51:32,38,3,en
Oscar Wilde looks like a handsome aunt. https://t.co/9bhU2tPxze,2016-03-23 12:58:45,40,2,en
I've only been in New York for four days and I'm already wearing a big'uh pizza pie'uh as a hat.,2016-03-23 12:49:02,37,1,en
Tribe Called Quest will still sound futuristic ten years from now.,2016-03-23 12:28:32,47,16,en
#RIPPhife,2016-03-23 11:55:41,14,2,und
"THIS UBER IS SURFING AN AMBULANCE WAKE THROUGH NEW YORK TRAFFIC WHILE ""SORRY"" BY BIEBER IS BLASTING AND IM GONNA LIVE FOREVER.",2016-03-23 01:00:11,108,7,en
"Jonah Keri on millennials. Nobody has to write about us ever again, now.  https://t.co/k3lTogHRxa",2016-03-22 22:12:51,5,1,en
"Hey New York! Come see me at @HotSoupShow at 8, @CakeshopComedy at 8:30 and Sweet at the Slipper Room at 9.",2016-03-22 22:04:21,6,0,en
Why... Why is the cab driver asking me what route I want to take?,2016-03-22 17:57:25,32,0,en
"Is ""Frances Ha"" about Juvenile becoming friends with a woman named Frances?",2016-03-22 15:21:17,24,8,en
"Belgium survived the Nazis, they'll survive these pigs.",2016-03-22 13:25:40,47,9,en
I've done nothing but standup for the last five days and I'm so happy.,2016-03-22 05:51:25,61,1,en
I haven't been tweeting because I'm in New York and I love it here so much.,2016-03-22 05:41:33,45,1,en
"Cmon, Ducks.",2016-03-21 03:48:08,28,1,en
"New York! Performing at If You Build It @ucbcomedy east and then at the @KnitFactoryBK, if you wanna see me.",2016-03-20 23:48:20,6,0,en
Just landed in New York. https://t.co/wlO7qwrTW0,2016-03-20 18:10:48,19,0,en
"I had a number of mixed drinks last evening in the haze of celebrating a number of enjoyable shows in Cleveland, Ohio.",2016-03-20 14:26:10,28,0,en
"You know who's an interesting pop culture figure? Pink. She came up during the tail end of the teeny-bop thing, but seemed outside of it.",2016-03-19 21:56:15,30,0,en
For lunch I had an important gyro.,2016-03-19 21:50:18,13,1,sv
AUSTIN  https://t.co/ambsfT6o1i,2016-03-18 22:55:57,5,1,en
We need to bring back Nu-Metal. I feel like these Trump votes could just channel their energy into Nu-Metal if it was still around.,2016-03-18 22:40:29,43,7,en
So a group of Trump Supporters are forming an independent security/watchdog force called the Lion Guard. https://t.co/2nYaMPIw6N,2016-03-18 22:36:15,19,24,en
My dumbass is walking around Cleveland if you wanna follow along. https://t.co/yYhZxqo428,2016-03-18 20:51:19,2,0,en
Oh... Oh hell yeah. https://t.co/ELSUNvnb7E,2016-03-18 20:45:17,6,0,en
"""How dare they open a Colonial British restaurant in Portland!?"" he tweeted from his phone in his house built on old Multnomah tribal land.",2016-03-17 21:05:02,45,5,en
"Cleveland! I'm at @Hilarities starting tonight and all weekend. Celebrate St. Paddy's with me, a loud Jew! https://t.co/XIjepuCTfW",2016-03-17 20:23:03,4,1,en
"CLEVELAND, SOON I DESCEND UPON THEE.",2016-03-17 15:39:52,7,0,en
"Dude next to me is trying to get off s phone call with Pam so hard, but Pam is unrelenting.",2016-03-17 15:09:17,9,0,en
FREE THE NIPPLE AND ALL POLITICAL PRISONERS,2016-03-17 14:47:44,12,0,en
Have a perfect bracket so far!!!,2016-03-17 14:01:47,2,2,en
🤔 https://t.co/5QqNpISEgi,2016-03-17 13:59:09,11,0,und
My Uber driver hasn't tried to talk to me once during this entire drive to the airport. Its like watching someone throw a perfect game.,2016-03-17 13:51:56,166,19,en
"Happy St. Patrick's day to Shaquille O'Neal, Antonio McDyess and Tracy McGrady!",2016-03-17 13:45:44,25,6,en
Somebody tell my ex-girlfriends that I crushed at Meltdown tonight.,2016-03-17 07:47:25,57,1,en
Another @LateLateShow Fun Fact: We were on the fence about doing a monologue until Jay Leno convinced us that it was vital to the show.,2016-03-17 07:21:06,21,0,en
Here's a @LateLateShow Fun Fact: Our first office was a trailer on the lot and a bunch of people tried to drop drug test pee off at it.,2016-03-17 07:15:38,40,0,en
"I'm one of like, four employees who's been at @LateLateShow since day one, and we just finished our first year. Here's to another year.",2016-03-17 07:08:09,80,3,en
West Coast! Tune into the @LateLateShow tonight. We filmed the entire show in some lady's living room. #NataliesHouse,2016-03-17 06:55:53,17,3,en
#NataliesHouse was even crazier than last year.,2016-03-17 05:52:30,11,1,en
"I have eaten Shake Shack in Los Angeles. 

The world is small and I am warm.",2016-03-16 21:47:30,25,0,en
This is fully fucked up.  https://t.co/qBAshPv33F,2016-03-16 19:45:05,3,0,en
"I'm going to New York next week. 

PLEASE HIT ME WITH YOUR RESTAURANTS + THINGS TO DO RECOMMENDATIONS.",2016-03-16 18:59:15,4,1,en
