text,created_at,favorite_count,retweet_count,lang
in 3rd grade church choir I had a gong solo &amp; sometimes I still get recognized from fans of the performance,2016-03-26 19:04:47,7,0,en
"there's a man in my apt talking about drinkin a FRICK ton of beers at a five finger death punch concert- can't talk, swooning!",2016-03-26 02:11:35,16,0,en
how to spot a true friend https://t.co/ukAzBUxIV7,2016-03-25 20:41:36,9,1,en
"love me a dude in a ""fluent in sarcasm"" graphic tee",2016-03-24 22:18:26,9,0,en
"""this will all be over soon. then we'll finally run away like we talked about, just you &amp; me"" https://t.co/tCFdBFwGGy",2016-03-24 04:15:48,53,9,en
"*listening to NPR*
Yo turn the bass up",2016-03-22 23:02:54,3,0,en
"when the fraud dept of ur credit card company calls and u have to verify that yes, that was you that spent $20 on burritos last Sunday",2016-03-22 15:50:03,15,0,en
actually bless being a townie bc nobody gets out those jungle juice stains like my mom for real,2016-03-21 19:52:27,27,3,en
excited to announce I've been accepted to work somewhere horrible/want to die in state college this summer! the adventure of a lifetime :),2016-03-21 19:04:36,23,1,en
same https://t.co/QadVQ9gxWe,2016-03-21 02:51:14,19,6,en
"when ur religious studies prof is like ""they recognize that God is probably a woman"" and ur just like ""duh?""",2016-03-20 16:38:02,3,1,en
when he knows about science 😍 https://t.co/w2LESyAjgA,2016-03-20 00:15:45,11,2,en
"*sees girl vaping on razor scooter*
*transfers*",2016-03-18 13:55:21,41,1,en
Can't wait to take the which GOP candidate is most likely to murder you Buzzfeed quiz,2016-03-17 18:52:39,12,1,en
did some soul searching and decided funky town is the best song ever written,2016-03-17 03:39:44,9,0,en
ugh I already know I'm going to have the worst fomo when I die,2016-03-15 18:55:12,23,7,en
if you walk 3 to a line on a narrow sidewalk &amp; don't even pretend to move out of the way fuck u &amp; ur fascist regime,2016-03-14 23:53:57,10,0,en
just one of those days where you wake up with dayman stuck in ur head ya know,2016-03-14 16:18:45,6,0,en
Sending a cease &amp; desist to this fraud https://t.co/0oKE7wiA0t,2016-03-13 19:05:54,9,1,en
cool armored monster truck are u preparing for the purge,2016-03-12 22:58:46,4,0,en
when u have coffee for the first time in 8 days and ur soul is exorcised of its demons,2016-03-12 01:04:08,16,0,en
all I remember from the cruise I went on at age 5 was the fear I had for drowning in The Bermuda Triangle; still that same carefree gal :),2016-03-11 14:36:09,0,0,en
Danny Phantom was hot and you know it,2016-03-10 22:43:40,13,0,en
of course I consider myself cultured I've been to Epcot,2016-03-09 21:00:09,29,2,en
"""every day above ground is a great day, remember that"" -Pitbull&lt;3",2016-03-09 00:37:55,7,0,en
is this how you use these? #replytweet https://t.co/GebVaTu6dy,2016-03-08 00:21:53,13,0,en
"*goes to Aruba*
*sits in the lobby and watches the news with 5 old men in fedoras*",2016-03-06 17:39:51,19,0,en
are you in love with me,2016-03-05 04:16:34,0,0,en
"things ive learned in class from the girl in front of me on Pinterest: 
1. 40 charming lavender wedding ideas
2.I am soul food not eye candy",2016-03-03 17:27:13,22,0,en
would you guys support me if I dabbled in street magic,2016-03-02 16:04:16,2,0,en
"cant wait for spring break with my parents, trying 2 drink too much &amp; embarrass my mom in front of fellow beach goers",2016-03-02 05:08:48,16,0,en
wwpjd (what would papa john do),2016-02-29 21:01:26,13,3,en
death to the minions,2016-02-29 03:07:38,6,0,en
I have never been so insulted https://t.co/e2XXxdVsST,2016-02-28 20:42:53,12,0,en
never do the snapchat face swap w/ ur roommates father! Please! https://t.co/KZaXGq5zCJ,2016-02-26 23:40:35,16,1,en
"whenever i go into the liberal arts building I like to play a fun game called ""count the man buns""",2016-02-26 20:00:23,10,1,en
"if i was in charge of making pandora stations i would hide Pony in all of them, ur chill wave indie playlist bout 2 get reaaallll sexy",2016-02-25 15:02:01,7,0,en
about to ask this girl next to me in the hub to turn her damn subtitles on so I can follow along in parks &amp; rec w/ her,2016-02-24 17:56:10,21,0,en
when u get grounded for keeping the starship out too late https://t.co/TzpyY1NYBx,2016-02-24 01:28:41,9,0,en
"passed two piles of vom on the way to fail an exam this morning, life imitates art",2016-02-19 15:13:45,14,0,en
fav if u and the willard preacher have sexual tension,2016-02-18 15:05:40,13,0,en
"""its not u, its digiorno"" -me breaking up w/ someone",2016-02-18 02:57:06,11,3,en
put my hair up to eat bc ya gurl means business,2016-02-16 19:27:54,8,1,en
should I start wearing cloaks,2016-02-15 16:07:29,4,0,en
"if Hoss's is allowed to call  themselves a ""steak &amp; sea house"" then I should be allowed to lie on my resume",2016-02-14 19:48:12,36,3,en
sometimes I wanna go into websters but I don't think I smoke enough cigarettes,2016-02-13 15:35:59,13,0,en
turn off your read receipts you monsters,2016-02-11 16:15:37,6,0,en
instead of being sad u have no valentine be sad about real issues like the fact that vape stores r being built downtown at an alarming rate,2016-02-10 15:39:16,40,5,en
all of junior year https://t.co/6YGDKsUeu8,2016-02-09 14:34:25,13,4,en
sometimes I look at my handwriting and am amazed that I'm neither a serial killer or 12 yr old boy,2016-02-08 17:26:24,13,0,en
went to target to pick up a prescription and left with a silk pajama set,2016-02-07 17:38:33,26,1,en
rob dyrdek seems like the kind of guy who thought it was funny to fuck with substitutes in high school,2016-02-06 21:11:24,8,0,en
dreamt about french onion soup last night &amp; it shook me to my core,2016-02-05 13:25:05,6,2,en
Donald Trump uses more exclamation points per tweet than when ur texting someone new &amp; trying not to seem like a total bitch,2016-02-04 05:32:34,29,3,en
im listening https://t.co/GBIX5sSjip,2016-02-01 15:20:03,16,0,en
honestly there is so much sexual tension between the T-birds &amp; the Scorpions #GreaseLive,2016-02-01 01:08:16,8,1,en
https://t.co/Rm3SpthO8s,2016-01-31 15:50:27,8,0,und
It's moving day. (Vine by @Rosie_Pig) https://t.co/oaA4At3sKT,2016-01-28 21:32:24,5,6,en
"Me @ cars while walking: ur out of fucking control 
Me @ pedestrians while driving: I will literally end u if you try to cross the street rn",2016-01-28 15:10:21,24,3,en
love spark noting my English lit homework https://t.co/Wi3wdgDsw5,2016-01-27 18:47:12,6,0,en
"im not like other girls 
*turns back into flock of crows as the clock strikes 12*",2016-01-26 14:44:18,10,1,en
"Man at the gym: do u like the Penguins?
Me: o sry I dont rly follow hockey
Him: then wut r u even good for
Me: idk I eat a lot of rice cakes",2016-01-26 01:14:43,11,0,en
the last names on mob wives all sound like rival pasta sauce companies,2016-01-24 18:37:52,4,0,en
When ur watching the food network &amp; they zoom in on Guy Fieri eating https://t.co/SoXPhVJ5mb,2016-01-23 14:45:12,6,0,en
my mom keeps calling me pal I think she's trying to friend zone me,2016-01-22 18:22:24,15,0,en
instead of lining up finished bottles of alcohol on my windowsill im gonna start lining up every container of easy mac I finish,2016-01-21 19:52:30,19,0,en
"Someone explain to me how in a small group of 4 within a class of 11 at a school with 40,000+ people 3 of them went to state high",2016-01-21 02:38:37,19,0,en
"Medieval era 20 yr old: wow cant believe I survived the Plague/childbirth/ just in general
Now: why TF cant I beat this level of candy crush",2016-01-20 15:04:06,13,1,en
Is there some sort of OrderUp customer confidentiality so they cant tell anyone how much I ordered &amp; that I was alone when I ordered it,2016-01-19 23:53:58,17,0,en
I ate the end loaf of bread today bc im a fuckin humanitarian,2016-01-19 18:07:11,9,0,en
"Les Holt: wuts ur relationship status w/ Putin?
Hillary: its complicated
Vlad:*drops bouquet of roses as a single tear rolls down his cheek*",2016-01-18 03:40:24,10,0,en
a dream is a wish ur heart makes https://t.co/HZBDoa6Hin,2016-01-17 21:05:39,14,2,en
I am crying watching a baking competition between 11 year olds on the food network someone save me from myself,2016-01-16 19:37:22,7,0,en
sometimes I think about this and feel v inspired https://t.co/CQ7NKyZTtm,2016-01-15 20:39:26,14,0,en
I only drink to Mozart trap remixes,2016-01-15 01:36:37,4,0,en
Do u ever think about that planet in Interstellar with the thousand foot tidal waves/rly slow time &amp; just get super stressed out,2016-01-14 15:36:21,2,0,en
Group message names must always reflect your truest sense of self https://t.co/d7sdXzKfL4,2016-01-13 17:21:24,10,3,en
I'll diet when im dead,2016-01-12 17:47:23,14,1,en
Someone rows behind me in class just said those three magic words: ~I'm a townie~,2016-01-11 17:51:06,12,0,en
this morning my car died in the cold then my phone died then my soul died happy semester it's gonna be a fun one!,2016-01-11 14:41:53,10,0,en
u know how whenever Voldemort is close Harry's scar hurts well whenever a blink 182 song comes on my nose ring starts 2 tingle,2016-01-09 19:24:10,8,0,en
Danny Devito is a genetically modified meatball &amp; the government can't hide it from us any longer,2016-01-09 01:31:48,8,0,en
If I let u in during traffic and u don't give me a courtesy wave I will put a god damn hex on u,2016-01-08 19:36:46,12,0,en
produce the movies u star in so u can dress like a dad on vacation but still co-star w/ beautiful women as ur wives https://t.co/GWzK3mMsvv,2016-01-07 03:49:29,27,2,en
If ur ever intimidated by someones looks just remember that they prbly have rly gross looking elbow skin just like everyone else,2016-01-06 16:16:51,15,0,en
"weather man on the news just described the LA El Niño as a ""conveyer belt of moisture"" but idk that sounds more like a personal problem 2 me",2016-01-05 23:47:27,2,0,en
dream man circa 2002 https://t.co/bJrk9Errcg,2016-01-05 21:51:03,16,0,en
if ur an ass to waiters/cashiers can u take a xanax or listen to a soothing sounds of the ocean soundtrack or somethin ur bumming every1 out,2016-01-04 15:45:15,5,0,en
want 2 sleep but cant stop looking at whoopi goldberg gifs,2016-01-04 08:16:49,3,0,en
Imagine if ghosts had a scheduling error &amp; you got double haunted I mean what a day that would be,2016-01-03 06:17:56,6,1,en
always wear a hat to the waffle shop in the likely chance u will need to actively hide from someone,2016-01-02 16:29:25,16,0,en
in 2016 i hope to sport at least 200% more denim on denim,2016-01-02 03:17:59,6,1,en
"my album ""Now That's What I Call Social Anxiety!"" is dropping&amp; its just 2 hrs of me trying to quietly open a Doritos bag in a movie theater",2015-12-30 21:28:32,30,2,en
It's 1952! https://t.co/FHPpQZhgXR,2015-12-30 19:12:19,14,3,und
all ive learned from any variation of cop show is DEF DO NOT marry one bc u will either end up getting divorced or brutally murdered,2015-12-29 23:33:24,7,0,en
tune in tonight for the premiere of disney channel original movie- Moms got a date with Krampus!™  😱,2015-12-29 16:37:54,9,0,en
hi 911 both my parents have glasses im being raised by a bunch of fckn nerds,2015-12-28 00:21:56,19,1,en
"stockings r the best-my dad slipped my moms engagement ring into one to propose&amp; last yr I got an ankle brace in mine, 2 life changing gifts",2015-12-26 16:34:36,13,0,en
Mom tried to follow me on Twitter GET BLOCKED SON *smashes liter of Mountain Dew*,2015-12-26 02:10:54,12,0,en
My Poppop hung this up himself at the front door of his new apartment feeling #blessed 2 have these genes https://t.co/4psAgC8eIt,2015-12-24 22:28:40,24,0,en
it is christmas eve and 70° where im going I am sweating egg nog,2015-12-24 15:13:56,2,0,en
Never trust a dude who's older than 14 but younger than 50 &amp; still has a car as their profile pic,2015-12-23 20:32:16,18,0,en
i found this last night &amp; im feeling very emotional https://t.co/lg7GSv4VNq,2015-12-23 16:06:09,7,1,en
I drank too much coffee and im all hyped up and is the FBI hiring bc im p positive I could find Joseph Kony right now,2015-12-22 21:54:36,13,2,en
thanks @starwars for perpetuating Hollywood's unrealistic beauty standards u should be ashamed https://t.co/wJmWLWM598,2015-12-22 05:46:12,12,1,en
regardless of who our next president is can we still appoint Bill Clinton as First Lady,2015-12-21 21:15:54,8,0,en
"listening to a John Mayer cover of a Beyoncé song, just in case you forgot i was white",2015-12-19 15:37:47,7,0,en
