text,created_at,favorite_count,retweet_count,lang
"""Daddy, the other girls are being mean about my name again""
""Ignore them sweetie. We will always protect you my dear Jillberthoid""",2016-03-25 05:58:22,120,30,en
"""We did sex ed in school today dad?""
""Cool!""
*long pause*
*nervously rubs forehead*
""Sooo...did you take any notes or..""",2016-03-25 04:09:30,138,26,en
"Mission accomplished!
*sells car and buys another new one* https://t.co/GjLbdsUQqR",2016-03-24 18:47:16,193,43,en
Batman vs Global warming,2016-03-23 22:04:48,90,33,en
Get you a man who can do both https://t.co/XOctwy46Iq,2016-03-23 21:14:27,88,17,en
Don't tell him I said so but @pixelatedboat is my 6th favourite account on here. Happy Birthday for yesterday homie🎈 #FF,2016-03-23 13:56:17,8,0,en
"One time while on a date I forgot the name of the TV show ""The Fresh Prince of Bel-Air"" and I called it ""The Cool Dude of Fresh Air""",2016-03-23 05:45:17,319,66,en
"Me: some nice weather we've been having huh?
Sexually horney guy: I'm sexually horney",2016-03-22 22:16:31,132,26,en
The latest Twitter update of exploding hearts is pretty insensitive tbh. My grandfather died from an exploding heart.,2016-03-22 05:21:16,281,23,en
"Lawyer: Relax you'll be fine. There's no way the judge will be a expert in vegetable theft
*judge walks in*
Me: Shit https://t.co/2M65kCBQub",2016-03-21 21:23:15,2911,1758,en
When you heard there's gonna be cake at the party but when you arrive you realize it's carrot cake https://t.co/9KSfERB8gd,2016-03-21 05:55:34,317,72,en
Wow! I lost 7 pounds in just ONE WEEK by simply cutting my toe nails!!,2016-03-21 05:10:53,351,77,en
In Soviet Russia a little lamb had Mary.,2016-03-20 04:34:55,124,34,en
"[prenatal visit]
""Any questions?""
""Is it true that if you do a headstand whilst pregnant the baby may slide out of your mouth?""
""Holy shit""",2016-03-19 22:02:13,182,55,en
"1) Dress up in drag
2) Place this sign on the door
3) Enjoy a completely peaceful and disturbance-free poop https://t.co/bm3CHxM1Ak",2016-03-19 05:33:07,77,10,en
On your first day in prison walk straight up to the toughest guy in there and ask him if he'd like to download Adobe updates.,2016-03-19 05:19:09,282,98,en
Follow y̶o̶u̶r̶ d̶r̶e̶a̶m̶s̶ me on twitter dot com™,2016-03-18 16:47:56,90,28,es
[son offers me a cookie that he made with his mum and her new boyfriend] No thanks son. Not a big fan of BETRAYAL cookies,2016-03-18 05:23:05,207,53,en
Is Irish awareness day over yet?,2016-03-18 05:17:33,124,40,en
"Sorry I'm late, boss. I got held up in some rush hour this job makes me want to kill myself",2016-03-17 08:36:01,117,45,en
"Who called it ""asking the waitress for the wifi code"" and not ""gathering data from server""",2016-03-17 05:08:52,517,160,en
"Hey #teens with your fAncy phone apps. This is teh only ""face"" yuo should ever want to ""swap"" withh 🙇🏼 https://t.co/nr1bNotNKD",2016-03-16 09:02:57,186,55,en
Can't wait till these darn elections are over so we can get back to discussing real issues like WHAT COLOUR IS THAT DRESS??!!,2016-03-16 05:00:55,122,22,en
Panic over guys. He's not actually running for the *republican* candidacy after all. Phew! https://t.co/3VFUcsDnmF,2016-03-15 10:27:25,641,239,en
I'd vote for Trump if he changed his name to Ronald Rump,2016-03-15 05:16:17,135,34,en
"ME: I know this goes against the ""rules"" but I've developed feelings for you
THERAPIST: We're literally 5 minutes into our first session",2016-03-14 17:00:42,284,88,en
"Choose password 
""Dadspenis""
Password is too short
""TheRevenantMovie""
Password is too long
""PasswordJoke""
Password is too common",2016-03-14 05:12:04,222,33,en
RT if your dad double clicks even when the cursor is like this https://t.co/B5qt6YA63Z,2016-03-12 22:00:29,113,22,en
"*sits at bar and loosens tie after a tough day at the office*
Bartender: Usual?
Me: Make it a large one
Bartender: One large milk coming up",2016-03-12 05:09:21,298,87,en
.@kfc Wow I just tried your fried chicken for the first time and it was delicious!! What's your recipe?,2016-03-11 10:36:46,77,9,en
"Overheard in my office:

""Has anyone got a spoon or do I have to eat my porridge with a pen again?""",2016-03-10 10:10:18,137,31,en
"[me after first day working at donut factory]
Arrhhgggghh I have 5 diabetes",2016-03-10 05:51:21,121,37,en
"[son shows me his first attempt at joined up handwriting]
""Holy shit he can write in Arabic""",2016-03-10 05:36:25,73,10,en
"Wife has insisted on hiring a professional to decorate the bathroom, despite my few tile attempts.",2016-03-09 19:52:18,187,50,en
No thank you https://t.co/N9MnlgrVt9,2016-03-09 05:14:32,127,5,en
"[job interview]
""..well we'd like to hire you. You got the job!""
""Oh wow thank you! This is so great! Should we kiss now?""
""What?""
""Nothing""",2016-03-09 05:07:57,147,38,en
Happy birthday to Twitter queen @Manda_like_wine she is very niiice #FF 🎈,2016-03-08 04:41:44,13,1,en
"I'll be honest, when I take a shit immediately before taking a shower I never wipe my ass properly. The other guys in my gym hate it.",2016-03-08 04:34:22,62,8,en
"Doctor: We suspect you may have acute Arrhythmogenic right ventricular cardiomyopathy
Me: Thanks nerd",2016-03-07 22:16:39,267,102,en
"If I ever appear on the ""who to follow"" section you should complain furiously to Twitter HQ.",2016-03-06 07:03:39,94,15,en
"ME: Hey I bought you that face swap app for your birthday!
IDENTICAL TWINS: Literally fuck off Dave",2016-03-05 05:09:42,207,51,en
Damn girl are you a snapchat? 'Cause you made me smile for a few seconds while I gently held you but now you're gone forever,2016-03-05 05:04:40,262,105,en
"[at therapist]
""How'd you hear about us?""
Word of mouse
""Ha, you mean word of MOUTH""
I literally hear animals talk dude, thats why I'm here",2016-03-04 15:04:14,340,139,en
"Canadians are polite

4557 retweets   6756 likes",2016-03-03 21:40:46,91,9,en
The name of this radio station sounds like if a person from the 90s was describing the 90s https://t.co/OU2Ax7zIjM,2016-03-03 16:56:44,123,22,en
Never trust a marsupial locksmith. Roo key mistake.,2016-03-03 09:53:34,107,46,en
"The best form of advertising for your cheese business is good, old fashioned word of mouse. Thank you.",2016-03-03 07:59:13,120,46,en
