text,created_at,favorite_count,retweet_count,lang
Scarves are handy because they catch the food that misses your mouth can I get an amen,2015-12-31 19:24:56,6,1,en
My professor is Kathy Bates,2015-08-27 18:51:25,2,0,en
"A guy just gave me a high five for being a redhead, I'll take it!",2015-07-17 17:13:10,3,0,en
Lima beans are so underrated,2015-07-06 21:25:04,1,0,en
Eating healthy is so unsatisfying,2015-06-25 16:31:53,4,0,en
Someone invite me to a wedding,2015-06-15 02:20:00,0,0,en
"My mom just called the Dorito church the ""potato chip church"" #closeenough",2015-06-11 17:23:56,0,0,en
My mom just asked me for a shot glass lol I gotchu,2015-05-08 22:31:31,3,0,en
Nothing says welcome home like Meyer Dairy milk,2015-05-06 14:42:56,6,1,en
He graduated today!!!!!!! https://t.co/i17cIQSzOT,2015-05-02 20:51:19,0,0,en
JUST SAID BYE TO LAURA AND IM FALLING APART.  @notlaurennn I love you!!!!!!!,2015-05-01 15:24:22,2,0,en
I had donut holes for lunch. Happy finals week!,2015-04-29 17:32:48,3,0,en
New girl is the worlds best and most quotable show,2015-04-28 02:42:37,2,1,en
What you fill your brain with is a testament to your character,2015-04-26 14:39:26,0,0,en
Love these ladies so much. Thanks for celebrating with me 💜 @ birthday bash https://t.co/vLsA5jl9wK,2015-04-25 01:07:30,0,0,en
Confused why doors with gaps on both sides are still the norm in public bathrooms. I feel like we are a more developed society than that.,2015-04-14 17:12:51,0,0,en
I love getting love advice from 70 year old patients 👌🏼,2015-04-13 15:01:29,0,0,en
I miss them https://t.co/DQdxAJEAlO,2015-04-12 17:57:25,0,0,en
Next time I see Alex he'll be graduating.... What whatttt @shlancaster39,2015-04-08 01:32:47,2,0,en
I wish I were on a plane to somewhere,2015-03-25 23:36:48,0,0,en
🎶 So let's run with reckless emotion. Let's find out if love is the size of the oceans. 🎶,2015-03-21 18:22:03,0,0,en
Happy 21st to my stud muffin. Have the most fantabulous day and I wish I could be there. I love… https://t.co/lDXzsm5nCR,2015-03-18 14:41:24,0,0,en
Misterwives speak to my soul,2015-03-15 23:33:36,4,0,en
Love this http://t.co/JsvqjHqNFr,2015-03-08 00:20:19,2,0,en
"Dear Florida, I miss you and your sunshine. Please don't forget me. Love, Jessalyn",2015-03-07 16:44:41,3,0,en
If you ever think it's okay to play Dora the Explorer out loud on a plane after we've been sitting on the Tarmac for 2.5 hours.... It's not.,2015-03-01 23:49:10,4,1,en
I can almost feel the Florida sunshine on my face,2015-02-26 19:42:02,2,1,en
Wait guys did anyone else realize that the names Olaf and Sven are from the titanic?!?!?!?! Mind blownnnnn,2015-02-14 15:34:28,1,0,en
I love taco Tuesday,2015-02-10 17:53:45,1,0,en
Professors can get away with whatever the heck they want,2015-02-04 16:36:53,0,1,en
I hope Adam Levine serenades me in heaven,2015-01-26 01:43:02,1,0,en
Brother dates are the best way to take a study break! Love you @RobHoldcroft,2015-01-25 21:37:13,4,0,en
Walking to class on crutches is the best workout I've ever done,2015-01-23 01:33:48,3,0,en
Working out is somehow therapeutic,2015-01-12 18:56:32,1,1,en
Tarzan has the best soundtrack of all time,2015-01-11 19:26:09,4,0,en
Never underestimate a Duquesne basketball halftime show,2015-01-10 19:01:09,6,2,en
If I don't move somewhere warm after I graduate then I will be doing life all wrong,2015-01-08 16:21:53,2,0,en
You done messed up A-a-ron,2014-12-26 05:39:25,2,0,en
There aren't many things cuter than my little British cousins and their precious accents.,2014-12-26 03:46:29,1,0,en
Still a little excited that I talked to Alec Baldwin today. Even though I was convincing myself it wasn't him the entire time. It was him.,2014-12-04 01:45:33,2,0,en
I think 50 days without seeing Alex calls for a 6 day vacation to Ann Arbor 😊😊😊😊😊😊😊😊😊😊,2014-11-21 18:57:26,1,1,en
My life is a waiting game,2014-11-17 02:46:35,0,0,en
Waiting for my chinese food is like watching a seed sprout from the dirt #1.5hourslater,2014-11-08 00:23:56,1,0,en
Feelin profesh http://t.co/2antRbON3t,2014-11-07 02:14:59,0,0,tl
😄😄😄😄😄,2014-11-03 18:23:17,3,0,und
Lol at nursing school I hate you,2014-10-18 20:47:22,1,0,en
Don't you hate when you get the feeling that you aren't wearing pants in public? I hate when that happens @ginger_snap015,2014-10-15 02:37:37,3,0,en
My dad just casually dropped the fact he hung out and had beers with Dan Bylsma last weekend... Okay dad.,2014-10-11 19:48:16,0,1,en
What I would give to go to another twenty pilots concert rn,2014-10-08 14:48:37,2,0,en
My mom found stray kittens and I'm not home to play with them why why whyyyy http://t.co/DTUwGgKqkM,2014-10-02 17:08:38,6,0,en
Technology is not my best friend. It may actually be my worst enemy.,2014-09-28 04:14:08,0,0,en
SCANDAL,2014-09-26 01:02:11,3,0,en
I should be studying but instead I'm instagramming http://t.co/rPJBLQ3o8q,2014-09-25 16:50:18,0,0,en
"I love laughing, smiling, adventures and just because flowers. And that is why I love @shlancaster39",2014-09-22 15:46:42,3,0,en
Being a nurse is exhausting,2014-09-05 19:17:27,0,1,en
I like fountains http://t.co/Wb2CrpsZ9P,2014-08-27 01:05:11,0,0,en
2 years with my best frand. I love you. http://t.co/BsbYGFVMwo,2014-08-19 02:11:19,1,1,en
My netflix game really suffers when Alex is on this side of the country,2014-08-16 15:46:35,3,1,en
3 BILLION DOLLAR REWARD TO ANYONE WHO CAN FIND MY MICHIGAN SWEATSHIRT,2014-08-10 23:46:15,1,0,en
A blueberry bagel with strawberry cream cheese counts as 2 servings of fruit right?,2014-08-09 16:14:03,2,0,en
"If I could choose how much I cared, I swear I would choose to care less.",2014-08-06 04:57:58,3,0,en
When a celebrity shows up at your family reunion and you realize you are kinda related to them #what,2014-08-02 22:46:11,2,0,en
http://t.co/tSo2O129lu,2014-08-01 00:50:02,2,1,und
"Surprisingly enough, golf can be fun sometimes",2014-07-29 19:33:25,3,1,en
Imagine if colleges put half the money they spent spoiling athletes toward helping students who can't afford an education.PRIORITIES PEOPLE.,2014-07-28 21:43:41,10,2,en
Lol,2014-07-27 23:14:11,0,0,und
HAPPY BIRTHDAY to this gem of a lady!!!!!!!! I can't wait to see you in a month!!! 😘🎈🎊🎁🎉😉 @ginger_snap015 http://t.co/vPjKcmbLMV,2014-07-25 11:44:19,3,1,en
These next 3 weeks cannot go by fast enough,2014-07-21 14:37:43,1,0,en
Had a great weekend with this girl! 💜Thanks for visiting me @LaLaBean8 !!!!!!! Missed you @ginger_snap015 😘 #34days http://t.co/uXMmPgRwI6,2014-07-20 17:57:59,2,0,en
Stay beautiful @Jilly_Christine,2014-07-19 00:55:12,0,2,en
"How long will I love you? As long as stars are above you, and longer if I may.",2014-07-07 04:23:24,2,1,en
All I want to do is travel,2014-07-06 21:14:12,1,0,en
Bye California 😘✌️,2014-07-03 19:24:02,1,0,en
In-N-Out is the bomb,2014-07-02 06:16:21,1,0,en
I like waking up in California,2014-06-30 18:10:39,3,0,en
I freaking love Alcatraz. http://t.co/hEIXKzyKGQ,2014-06-28 06:52:47,0,0,en
Can't tell if it's the time change or my excitement for San Fran but either way Alex is still sleeping &amp; I've been up for over an hour #help,2014-06-27 16:08:56,1,0,en
"Officially on my way to see @shlancaster39 !  If you never hear from me again, it's because I died trying to navigate an airport. LETS GO!!!",2014-06-26 16:37:05,4,1,en
Is there a game of thrones hate group I can join?,2014-06-09 18:17:20,3,0,en
You're the bee's knees,2014-06-07 02:59:56,2,0,en
PLANE TICKETS TO CALIFORNIA WERE JUST BOUGHT. IM GOING TO CALIFORNIA. YAAAAAAASSSS.,2014-06-05 04:13:18,5,1,en
Chelsea Lately is ending in August?!?!?!?! NOOOOOOOO,2014-05-28 23:04:56,1,0,en
Happy birthday to this doll! Here's a throwback pic to remind us how awkward we used to be. LOVE YOU!!! @JWils9043 http://t.co/QvSr0vExEc,2014-05-15 19:22:56,1,0,en
I want fried chicken all the time,2014-05-14 00:59:53,1,0,en
Happy graduation day to @meganmurtha !!!!!!! I will be you in 3 years :) have a fun day lovely lady!!!! &lt;3,2014-05-10 18:01:13,2,0,en
Talking to @ginger_snap015 after she got her wisdom teeth out was probably the funniest thing in the world. I love you   Hahahaha 😂😂😂,2014-05-08 19:20:27,1,0,en
My innate sense of direction is wrong 100% of the time,2014-05-07 16:51:30,1,0,en
First year = success http://t.co/Bcw8n07Nys,2014-05-07 01:41:53,1,0,en
"Watch out, I just official http://t.co/kIiE5enldg",2014-04-14 19:40:31,13,0,en
I JUST MET JORDYN WIEBER http://t.co/II9aPQIaBG,2014-04-11 22:24:20,8,0,en
On my last trip to Ann Arbor ever on the @megabus :( WHY ARE THEY CANCELING THIS ROUTE. NO. Do they realize what this does to me?!?!,2014-04-11 11:25:00,1,1,en
Jamie Watt says it's really nice out https://t.co/zgzDRJryOi,2014-04-10 17:30:07,2,0,en
HAPPY 19th BIRTHDAY TO @LaLaBean8 !!!!!!!!!! 😜🎈🎊🎉🎁💝 love ya gurllllll!,2014-04-08 04:06:08,2,1,en
"My diet today consisted of Poptarts, chipotle and a milkshake...",2014-04-02 02:53:59,4,0,en
I love accounting knowledge http://t.co/9XuNbPi0LR,2014-03-29 05:48:35,0,0,en
Happy 20th birthday Alex! I just wanted to let the world know how wonderful and amazing you are. I… http://t.co/j9YnDHUNde,2014-03-18 15:27:36,2,0,en
