text,created_at,favorite_count,retweet_count,lang
Batman wins all the way. Superman barely even wrote Good Will Hunting!,2016-03-26 07:09:37,86,13,en
"Affleck is the best Batman in history, yet the poor boy who played Superman has sadly died, his funeral is tomorrow.",2016-03-26 07:06:06,45,3,en
Batman is rich and mysterious and Supermans parents are poor dead eyed shit-farmers who almost drowned him when he first flew.,2016-03-26 07:02:05,53,6,en
"Why not ""Louise and Thelma"" instead of Thelma and Louise. Alphabetical, and rolls off ones tongue better ↘️👅",2016-03-26 06:51:55,34,2,en
#FLOTUS https://t.co/L5vRUQgcKs,2016-03-26 06:14:56,1,2,und
#Squad https://t.co/NJolJeYdQc,2016-03-26 01:32:42,6,3,und
"Would people take me more or less seriously if I was ""yoked out""?",2016-03-26 00:25:18,47,3,en
🍻🍺🍾🍹⛳️🏌#Weekend https://t.co/Tdn6Q0BKuG,2016-03-26 00:05:08,7,0,und
Jian Ghomeshi was never even all that good. Q was 'OK'. #NoFreshAir #choker #BoringCosby #CanadianFailure,2016-03-25 18:58:50,32,4,en
#LetoIsJoker https://t.co/BRkxhhjxeU,2016-03-25 18:46:41,4,3,und
Hey @tedcruz How big is your neck going to get you frog? 🐸🐸🐸,2016-03-25 18:30:36,30,5,en
#GRIPITANDRIPIT https://t.co/uCLyGzByyI,2016-03-25 18:18:18,4,1,und
You did it! Everyone knows how smart you are. https://t.co/RtPIaCColo,2016-03-25 17:10:09,27,0,en
Me shivering in the 18th century while lovebirds party by @brittanyzagoria https://t.co/w93DgSgxjy,2016-03-25 16:38:31,8,0,en
Adult Swim Golf Classic ⛳️April🌳🌲🌳🌲🌳🌲🌳🌲🌳8🏌 https://t.co/ZvKGAQGf1p,2016-03-24 23:53:33,11,1,en
RIP Garry Shandling! The best!,2016-03-24 21:06:27,77,11,en
#TBT back when I was sponsored https://t.co/S6cJZCpJyt,2016-03-24 18:33:44,14,1,en
"""ADULT SWIM GOLF CLASSIC APRIL 8 on adult swim"" #GRIPITANDRIPIT #WHUUUUUT https://t.co/zBCyEA7i2i",2016-03-24 17:07:57,6,1,en
