text,created_at,favorite_count,retweet_count,lang
love is finding someone to be lost in the vastness of eachothers universes with,2016-03-25 15:17:03,1635,595,en
"season (noun)
1. a three month period measuring each of the four divisions of the year
2. a one day period measuring time spent on netflix",2016-03-23 20:34:28,1616,495,en
"if ur playing duck duck goose and sombody yells ""BREAD!"" u all hav to run around quacking and the first persom to stop quacking becomes ""it""",2016-03-23 19:33:50,2438,844,en
"i saw a pigeon at the beach &amp; thougt ""haha u dont belong here!"" but then i saw somone lookin at me &amp; i knew they were thinkig the same thing",2016-03-22 16:44:09,2209,594,en
"i wonder wat time is
*looks at wrist only to realize i am not wearig a watch*
ah yes, i had forgoten that time is but a invisible everything",2016-03-21 16:56:19,2169,804,en
"ROOMMATE: i love veggies
ME: same
…
ME: wait did u say veggies or 'bed cheese'
ROOMMATE: veggies…why
ME: [hides plate behind back] no reason",2016-03-20 02:52:27,1451,349,en
"me: my eye is itchy
google: hmm…lets see. could be anything
web md: U COULD LOSE UR EYEBALL
google: literaly anything
web md: AND UR KIDNEYS",2016-03-19 22:04:39,1730,625,en
"as a child i asked my dad why the moon looks really really big sometimes and he said ""simulations always have bugs"" and i havent slept since",2016-03-19 19:22:09,9884,5095,en
"HISTORIAN: im a historian
ME: ah… so… wats ur favorite… uh… year
HISTORIAN: oh, 1901
ME: ah yes… the year they discobvered the… 19th century",2016-03-19 18:07:17,4585,1832,en
"u owe your sense of rhythm to your mothers heartbeat, and how loudly it rang in your ears when u called her womb your home",2016-03-19 00:28:39,1394,327,en
we internalize traits we observe in others as a way to honor and remember them. we are all walking memorials,2016-03-18 15:28:01,3488,1642,en
"*packs 12 books to read on vacation*
im gona read so much i cant wait
[1 wk later]
*opens suitcase*
*somhow has 16 unread books now*
wat the",2016-03-18 05:20:14,8347,3807,en
"wat if the spider who bit peter parker also at som point bit another spider
JUDGE: i meant do u hav questions for the witness but omg wat if",2016-03-17 21:43:48,2669,1025,en
"JOB INTERVIEWER: it says here ur a postmodern deconstructivist…?
ME: did ur parents realy name u 'Job'? especialy with a last name like urs?",2016-03-17 21:09:03,1453,410,en
i use my cheeks to see if the bite i take of a burger is too big much like how cats use their whiskres to see if they can fit thru spaces,2016-03-17 17:02:26,534,90,en
"grampa: i was sent to war when ur mother was a baby. i didnt kno if i'd see her again

me: noo my uber stopped on the other side of the road",2016-03-17 15:29:23,4736,1521,en
"2016: will internet destroy societey
1950: will tv destroy familys
1445: will printig press destroy writing
10000BC: will fire destroy tribe",2016-03-17 05:14:25,4310,2266,en
sombody 👏 please 👏 help 👏 me 👏 i 👏 hav 👏 not 👏 figured 👏 out 👏 the 👏 rhythm 👏 for 👏 how 👏 to 👏 clap 👏 properly 👏,2016-03-16 22:19:27,1105,249,en
"CATERPILAR: hey
TADPOLE: helo
CATERPILAR: checke this out *turns into buterfly*
TADPOLE: o dam *turns into frog* O DAM",2016-03-16 20:07:33,1673,545,en
"*full moon emerges from behimd clouds*
nno--nonono it cant be…RUN. FAR AWAY FROM ME. NOW. IM A-- IM A--
*turns into bungalow*
IM A WAREHOUSE",2016-03-16 19:23:34,1324,492,en
"DENTIST: how often do u brush ur teeth
ME: twice a day. 
DENTIST: and floss?
ME: tw--ttwice. 
…
DENTIST: a day?
…
ME: i stand by wat i said.",2016-03-15 22:10:34,2637,755,en
"why woud i trust a burger king. a king does not kno best for his subjects. a king of burgers is bad for burbers

CASHIER: ple--pplease order",2016-03-15 18:11:23,1547,480,en
"if ur at a party and there are two dogs there, make sure the dogs dont start hangin out with each other or else u'll hav nobodey to talk to",2016-03-15 02:08:41,3477,1620,en
"q: how maney vegans dose it take to screw in a light bulb

a: me i did it. me. im a vegan. the vegan did it. that,s me. the vegab. it is i,",2016-03-14 23:12:34,2069,642,en
"ME: is that for here or to go
CUSTOMER: to go
[5 min later, seeing customer eatig at table in the restaraunt]
ME: (under breath) i trusted u",2016-03-14 17:56:37,2384,729,en
"the first pi day was celebrated on march 14, 1592",2016-03-14 16:17:15,1321,366,en
i just droped my phone and cracked the screen while i was looking up cake stores so this is oficialy the sadest most hilarious birthday ever,2016-03-12 22:01:44,1283,109,en
thamk u for the birthday wishes evrybody i love u!!! thamk u for givig me the hour of ur life u r losing tonigt this is how i becom immortal,2016-03-12 16:24:47,1078,97,en
if it is saturday it is my birthday i lov u evreybody hapy birthday to u,2016-03-12 05:06:48,1047,64,en
"YOU ARE the last page of a book i dont want to end, i rest my hand over ur final line bc i fear my eyes will skip to it before i am meant to",2016-03-11 22:19:55,6650,2657,en
"DENTIST: how often do u brush
ME: twice a day
DENTIST: and floss?
ME: same
DENTIST: and tell ur dentist u love them?
ME: oh. [looks away] um",2016-03-11 20:42:06,1943,594,en
pupy or bageb ? https://t.co/9tprppD8mS,2016-03-11 06:07:30,1181,242,en
"ANT-MAN: i got iron man
SCARLET WITCH: i got vision
CAPT AMERICA: [makes eye contact w/ black panther] o geez [sees american flag] o geeeeze",2016-03-10 22:33:51,1631,616,en
*face swaps with a dog* all mmy-- all mmy dreams are finaly comig true,2016-03-09 17:27:39,913,305,en
"INTERVIEWER: where do u see urself in 5 years
ME: right. here.
ME, 5 YEARS OLDER: (enters) hi
INTERVIEWER: ..wwel--welcom to time travel inc",2016-03-09 05:30:29,1995,541,en
when u show up to the party and find out u are wearing the same thimg as ur best friemd https://t.co/qqgjghxwdC,2016-03-08 20:14:49,1571,446,en
"""so do u hav any plans in the evening"" - me
""uh, i think u mean in the STEVENING"" - mens rights activist",2016-03-08 20:13:22,1715,602,en
"zootopia was perfebct until all the snakes took control of office, creatig a utilitarian dictatorship regime. it turned hisstopian real fast",2016-03-08 05:17:55,1159,216,en
"my amazon wishlist:
the copy of ur favorite book which u carried with u &amp; read on the train &amp; underlined all the passages which made u pause",2016-03-08 02:40:55,3074,1128,en
#amram500k folow @meganamram,2016-03-08 02:07:27,82,7,en
it feels like an empty hug when sombody says u remind them of sombody else bc it implies the warmth of closeness without actual closeness,2016-03-08 00:17:30,1781,603,en
"""IM DYING"" and ""DEAD"" and ""IM CRYING"" are out.. the new way to react to somthing hilarious is ""I FEEL VEREY SAD AND AM GONA DIE ALONE 😂😂😂😂""",2016-03-07 18:28:38,1793,751,en
"nothing realer than scroling thru ur twiter feed, seeing a tweet &amp; thinkig ""ugh why do i folow this person"" then realizing its ur own tweet",2016-03-06 19:21:22,1657,578,en
"amazing (adj.)
/əˈmāziNG/

1. startlingly or greatly wonderful
""the pyramids are amazing""

2. unsurprising
""what hapened next was AMAZING""",2016-03-06 18:04:51,1258,424,en
"DYING SOLDIER: tell.. tell ur wife.. u love her
ME: dont u mean--
DYING SOLDIER: no.. i never found love. but u did.
…
ME: can i tweet this",2016-03-05 04:40:19,3836,1093,en
remimder to respectfully understand sombody's rejection in the same manner you hope sombody would respectfully understand yours,2016-03-04 21:52:54,1808,579,en
"*sees my own reflection in the store window*
excubse me, yes how much for the sad ghost",2016-03-04 20:02:34,2697,1316,en
it always looks like the waves are crashing onto the shore when realy they are trying to pull the earth back into the sea,2016-03-04 18:20:19,1752,639,en
imagine sombody who consistently ruins all their meals by thinkig they like hot sauce and then just adding waay too much hot sauce. thats me,2016-03-04 03:08:23,1205,328,en
suround urself with peopel who are so important to ur life that they make u believe in fate,2016-03-04 02:41:52,3725,2194,en
"ME: IF HUMANS COUNT IN BASE-10 BC WE HAV 10 FINGERS, DO SLOTHS COUNT IN BINARY
JUDGE: i meant do u have any more questions for the witness",2016-03-04 01:55:53,1798,708,en
&lt;3 ☺️ https://t.co/2KNcE9Xqwt,2016-03-03 21:23:03,1154,536,und
"""wat realy are cups, if not just tall bowls"" - me, after not having done my dishes for the past two weeks",2016-03-03 18:45:45,2872,1141,en
"do you see urself in all the peopel u meet, or do u see all the peopel u meet within urself. are u the definition or what is being defined",2016-03-03 06:48:20,1935,777,en
"its amazimg how much u learn when studyig for exams. for example today i learned wat my credit card limit is, &amp; that u can buy donuts online",2016-03-03 02:34:41,1963,696,en
wait what https://t.co/9Xr8rWSAmM,2016-03-02 22:14:03,1521,432,en
sarah kay's new book THE TYPE is out now! so nice i bought it twice! @kaysarahsera https://t.co/GZCT7kWwMu https://t.co/aqdeTrpc7R,2016-03-02 20:38:22,95,13,en
wwhat if.. wwhat if the walls are actually meant to keep people from fleeing https://t.co/vqbtsnPWOY,2016-03-02 04:05:24,12106,7441,en
IF ANY TIME TRAVELERS ARE READIG THIS YES U MADE IT BACK IN TIME YES THIS IS THE RIGHT YEAR BUT HURRY U MAY ALREDY BE TOO LATE,2016-03-02 03:05:26,2995,1877,en
"i once saw a pigeon on the subway &amp; it got off at the financial distribct &amp; all i coud think was ""cool. that bird makes more money than me""",2016-03-01 22:49:26,3681,1060,en
making art is one of the only ways we can tell ourselves who we once were,2016-03-01 02:53:23,2345,1168,en
being inspired by others helps u see what the world can let u do &amp; being inspired by urself helps u see what u are willing to let urself do,2016-03-01 02:38:43,787,300,en
leap day's not bad BUT if we ignored 365 leap days then evry calendar day woud get to see evry season and we'd eventualy roll back to normal,2016-02-29 17:26:43,604,128,en
"if it werent for humans, the universe woud never have known pizza",2016-02-29 16:35:33,625,189,en
every reason hapens for a person,2016-02-29 07:33:02,763,288,en
MARK RUFFLO IN THE BACKGROUND IM CRYING,2016-02-29 05:02:03,676,89,en
please stop making jokes at the expense of asian people come on,2016-02-29 04:34:49,2414,756,en
"just realized this means chris rock, louis ck, and dave chappelle are all hanging out backstage at the oscars can we just watch that instead",2016-02-29 03:41:04,1969,843,en
i gained a lot of folowers from that canadian tweet so im taking this chance to share a story from @AcevedoWrites bc i think shes wonderful,2016-02-28 22:51:27,360,2,en
"CANADIAN: im a canadian
DATE: cool i've never met a comedian befor
CANADIAN: [is too polite to corect them, dedicates entire life to comedy]",2016-02-28 02:15:55,35207,16166,en
"PREACHER: do u beleive in god
ME: yes god u can do it!
GOD: thanks pal! *tries to end famine but acidentaly sets a forest on fire* oh nonono",2016-02-28 01:48:44,1973,770,en
"ME：u are 1 yrs old
DOG：actualy i am 7 yrs old
ME：dont chase the mailman
DOG：actualy it was 7 mailmans
ME：u are a dog
DOG：actualy i am 7 dogs",2016-02-27 22:14:30,4497,1850,en
"*refuses to acknowlege my problems thereby makig me unable to change or grow as a person*
damn denial, back at it again with the spite dance",2016-02-27 21:06:54,1430,593,en
"me: hi
sloth: HELL!!!!
me: ..umm [walks away]
sloth: ..oh :(",2016-02-27 00:09:13,1136,312,en
the diference between being awake and asleep is that when ur awake u get to share your dreams,2016-02-26 18:29:00,836,279,en
wat if the next facebook reactions update is to remove all butons completely &amp; to express how u feel u have to talk to a person in real life,2016-02-26 04:51:02,2095,748,en
if u like one thing too intensely u cant relate to anybody. also if u like way too many things its the same. only like 3-4 things moderately,2016-02-26 02:53:30,1005,220,en
be careful when u talk baby talk to a baby becuase if u dont understand what ur saying u may acidentaly be declaring war in baby langauge,2016-02-25 22:18:30,2080,825,en
a bad dream can ruin ur day but a unchased dream can ruin ur life,2016-02-25 16:50:48,3987,2402,en
2nd phase of imposter syndrome isnt to stop being a imposter. its to realize evryone feels like a imposter then protecting their secret in u,2016-02-25 06:56:47,557,107,en
