text,created_at,favorite_count,retweet_count,lang
The new @Mike_Eagle and Paul White album is verrrrrrry good rap music.,2016-03-27 16:40:40,20,6,en
"Being awake before 7:30 on a Sunday feels like having an application in your brain you can't ""force quit.""",2016-03-27 11:23:36,140,18,en
The most culturally Jewish thing about me is I start worrying about the hangover the second I feel buzzed.,2016-03-27 03:48:45,177,19,en
The extra toilet paper in our hotel looks like it's at a funeral for another roll that got flushed down the toilet. https://t.co/Fpe1S5g6PN,2016-03-27 03:07:42,752,137,en
ZILLION DOLLAR APP IDEA: Pizza all the time everywhere.,2016-03-26 18:40:22,87,9,en
"I carry a backpack because my general vibe is ""busy yet unimportant.""",2016-03-26 17:54:18,328,114,en
"I can't act too smug about not wanting to see ""Batman v. Superman"" because I'd absolutely pay money for ""Barton Fink v. Jeffrey Lebowski.""",2016-03-26 15:00:31,135,34,en
"I still think that because of all his complicated emotions and relationships, Drake should change his name to ""The Fleetwood Mack.""",2016-03-26 14:18:57,99,14,en
"I don't know why everyone is so surprised. Bernie Sanders's whole vibe is ""guy who is friends with birds.""",2016-03-26 03:39:38,431,138,en
I think most people would have sex with Ted Cruz if they knew it might destroy his chance at being president.,2016-03-26 03:24:06,566,153,en
I know I've been doing these a lot but if anyone needs a pep talk I'm here for 12-ish minutes!,2016-03-26 03:08:15,47,2,en
Well-deserved recognition for the historically talented and generous @withreservation!!! https://t.co/KIM2h20U6z,2016-03-26 02:51:36,15,6,en
"To everyone in my building, my pug is a celebrity and I'm her dogtourage.",2016-03-26 02:33:53,66,1,en
Sincere tweet: @birbigs is very good at comedy. https://t.co/KNX5Wb0s4j,2016-03-26 01:40:34,77,1,en
"Everything I need to know about you can be discerned by what your favorite song about rain is.
- Purple?
- November?
- I Can't Stand The?",2016-03-25 23:24:52,107,22,en
"Every night at 12 I text ""Goodnight, sweet Prince"" to a different random number in hopes that eventually I'll reach Prince.",2016-03-25 21:35:36,168,22,en
Showering at 5pm always feels like a last ditch effort to pull your life together.,2016-03-25 21:01:19,278,59,en
The passing of Phife Dawg was sad and too soon. I (and better people) got to tell @pitchfork why I loved him. https://t.co/2NZwFQKdDL,2016-03-25 20:39:01,20,2,en
It's sad how we let our phones be smaller or bigger but not our bodies. (Very inspirational if printed in cursive over someone doing yoga.),2016-03-25 19:38:58,185,51,en
"For real, @DanWilbur's new book is hilarious and Bizzy endorses its main message. https://t.co/waKNqfvzn6",2016-03-25 18:11:52,44,6,en
Literally every public space should only be playing A Tribe Called Quest on their stereos until the end of the weekend at least.,2016-03-25 17:13:35,164,61,en
Hi I am going to do a bunch of tweets in a row in praise of the comedians who generously lent their talents to my album release shows...,2016-03-25 15:34:04,74,0,en
