text,created_at,favorite_count,retweet_count,lang
I feel like people are wealth-shaming and misogyny-shaming and being a huge asshole-shaming Donald Trump :(,2016-03-26 17:07:10,86,18,en
#BernieBird sez #TheDress is white and gold,2016-03-25 23:45:07,46,5,en
#BernieLanders just won a golden globe,2016-03-25 23:32:49,23,1,en
#Berniebird just got an Amazon show,2016-03-25 23:32:17,49,2,en
"Can somebody sneak into @Tribeca and make it so that instead of the anti-vaccine doc, BAD GRANDPA starts playing?",2016-03-25 22:54:53,183,34,en
#Berniebird,2016-03-25 22:43:03,45,5,und
Larry Sanders is my favorite TV Show and I am so sad about Garry Shandling.,2016-03-24 21:19:02,245,27,en
"I didn't ""@"" any of those people's names bc I want them to work for their on-line compliments.",2016-03-24 16:27:40,37,1,en
"I know it's not a competition but please spin off The Characters into sketch shows starring John Early, Tim Robinson and Kate Berlant.",2016-03-24 16:27:04,84,6,en
HASHTAG PURIM,2016-03-24 02:35:43,51,11,hi
Quick reminder - a ghost's parents are murder.,2016-03-23 22:18:06,54,8,en
"🙀 Nathan Lane Fists a Toilet, and 9 More Things That’ll Happen in S. 2 of &lt;em&gt;Difficult People&lt;/em&gt; https://t.co/W1W244cSpE 🙀",2016-03-23 19:36:06,38,7,en
My king my queen my idol @RuPaul https://t.co/iUOVtNftdu,2016-03-23 16:04:51,96,27,en
"First thing tomorrow AM: check email to make sure I am not cast as The Tick somewhere. If am, go to set.",2016-03-23 04:46:42,89,0,en
Craig Kilborn can revamp MY mac and cheese 😉,2016-03-23 04:44:53,42,3,en
"RIP Rob Ford. You and Divine are finally in the same place at the same time, so no more guessing. 👼🏼",2016-03-22 23:53:42,236,50,en
Happy Purim. Vashti was reverse #slutshamed.,2016-03-22 14:51:03,53,11,en
Noooooooooooooooooo @RuPaul,2016-03-22 01:59:00,30,1,und
I absolutely loved the new @peeweeherman movie. Mazel Tov @paulrust @juddapatow et al. 😎😎😎,2016-03-22 01:08:24,72,4,en
And introducing Chris Christie as Andrew Jarecki,2016-03-22 00:46:26,35,4,en
"Hillary as Elaine Friedman
Bernie as Arnold Friedman
Trump as Silly Billy Friedman
Jeb as Jesse Friedman
Cruz as ""guy w/the Leapfrog story""",2016-03-22 00:46:07,60,12,en
I'm here. RT @HannahCruicksha: @julieklausner come back 😿,2016-03-19 04:45:38,20,1,en
Happiest of all possible birthdays to beautiful young @jakefogelnest 🎉🎉🎉🎉🚽🚽🚽,2016-03-14 13:54:09,62,1,en
Losing my goddamn mind. https://t.co/TtalGQ4Mi9,2016-03-14 00:05:31,149,14,en
"Time for ""The @scharpling episode of #TheSimpsons"" !!!",2016-03-14 00:02:46,91,15,en
Now I am going to get ready to watch #TheSimpsons. Peace and love. - Ringo.,2016-03-13 22:43:53,90,4,en
"...I won't apologize, non-apologize, delete tweets, backpedal or refuse to own my shit. BUT- I will be more thoughtful going forward. /end",2016-03-13 22:27:48,183,15,en
For those who have spoken to me respectfully about post-racialist bias....,2016-03-13 22:26:34,42,2,en
I wish Joan Rivers weren't dead.,2016-03-13 19:15:47,414,74,en
I'm thinkin' Arby's (this commercial has an ostrich in it) https://t.co/xBDE9rFTm4 https://t.co/StRZYEiF6o,2016-03-13 16:05:20,26,0,en
Let's not fight. Here is my olive branch to Zendaya fans- can we just all agree that 1) all women are beautiful and 2) Zendaya hates Jews?,2016-03-13 15:58:22,251,29,en
Sticking up 4 AIDS is rad. It gets such a bad rap! Love that Zendaya goes so far as 2 have Nancy Reagan's body type! https://t.co/2qMLZr0jzA,2016-03-13 15:47:37,110,1,en
I would like to use this opportunity to educate Zendaya fans that the Reagans ignored AIDS,2016-03-13 15:39:49,245,17,en
Zendaya's threat to write another paragraph is more dread inducing than Kim Jong Un's fronting about the bomb he has https://t.co/GK6Qc0ePPJ,2016-03-13 15:28:17,110,11,en
I'm concerned with the generation of girls who aspire to look like Zendaya.  I do not worry about Zendaya's health or care whether she eats.,2016-03-13 15:26:09,176,18,en
"And you know those public fat shamers who fake ""concern"" for Melissa McCarthy's health? Consider me your fire with fire.",2016-03-13 15:25:02,191,13,en
I will never stop criticizing celebs who perpetuate dangerous beauty standards for a generation of girls who grow up thinking they're fat.,2016-03-13 15:23:42,394,54,en
You don't have to have an eating disorder to attend the Kids' Choice Awards....but it helps!,2016-03-13 03:52:36,222,35,en
Zendaya's ultimate retort to Giuliana Rancic is starving herself down to the size of one of her elbowz,2016-03-13 03:51:01,199,39,en
"Nancy Reagan inspired AIDS activism, she did not participate in it. The blood of a generation of gay men is on her and Ron's hands.",2016-03-11 21:28:36,328,98,en
This is what I call my B.H. https://t.co/rf47gR59PX,2016-03-11 21:14:18,49,5,en
"We're gonna screen 15 min of new scenes &amp; clips from Season 2 of @difficultppl at Paley Fest next week, so buy tix! https://t.co/WuoH6ssQU8",2016-03-11 18:43:41,26,5,en
"Sarah Paulson told Terry Gross she would only watch herself on the OJ show once the ""hoopla doopla doo"" died down. Anyway have a great day.",2016-03-11 15:19:50,164,14,en
That's from the schmoo wiki. I didn't make this up.,2016-03-09 20:55:40,26,3,en
"Schmoos love being eaten. They will throw themselves into frying pans &amp; ""if a human looks at one hungrily, it will happily immolate itself.""",2016-03-09 20:55:25,45,4,en
Grimace was a Schmoo.,2016-03-09 20:53:28,31,8,en
Why isn't there more Schmoo roleplay/cosplay? Why isn't tumblr abuzz with young people pretending to be Schmoos?,2016-03-09 20:53:20,31,6,en
Do millennials know what a schmoo is?,2016-03-09 20:41:06,47,6,en
What if Lady Gaga play Hulk HOgan when Ryan Murphy turn his trial into American Crime Story,2016-03-09 17:14:59,96,18,en
Go ahead and run Trump so @HillaryClinton can hold up his scalp the way his sociopath piece of shit son held up his hunting trophies.,2016-03-09 16:05:07,173,18,en
Is me rn https://t.co/rQ4XMsGCjV,2016-03-09 01:48:57,12,0,en
#MTVMovieAwardsSoWhite,2016-03-08 15:35:55,62,6,und
Set RuPaul's Drag Race and Better Call Saul as priority recordings and now my DVR thinks I'm a straight couple :(,2016-03-08 12:52:39,184,13,en
#PattonPaleyPeople https://t.co/74KZeVP7qL,2016-03-07 20:53:27,3,0,und
OMG! @pattonoswalt will be moderating the @difficultppl panel at the Paley Festival in LA on 3/18! Tix: https://t.co/74KZeVP7qL,2016-03-07 20:51:45,19,3,en
by @jacquelinenovak!!! &gt;&gt; How to Flake Out on Plans If You're Depressed https://t.co/o5RoptB8jx,2016-03-07 19:04:04,41,7,en
Protein Bistro Box Slut,2016-03-07 16:43:28,45,8,de
What kind of psychopath sells me a laser pointer without batteries included?????? #sadcatstory,2016-03-07 00:49:53,100,4,en
"So grateful to breathe the same air as a living Larry Kramer on the day Nancy Reagan died. Ding the fuck Dong, Friends of Dorothy.",2016-03-06 18:00:07,330,60,en
"The foresight of the Reagans! Coining the term ""Welfare Queens"" knowing that racist, victim-blaming misogyny would define the GOP one day?",2016-03-06 17:58:54,285,71,en
"Losing some followers today, but the right followers.",2016-03-06 17:52:32,386,4,en
"I'm awful, right? It's almost as tho' I let a generation of gay men perish while my husband and I turned our heads! https://t.co/4vAG4f8ein",2016-03-06 17:50:01,365,61,en
"Lady Macbeth whispering ""don't fund AIDS research. Amp up the racist drug war. Deregulate Wall Street criminals"" to a Spitting Image puppet",2016-03-06 17:33:45,252,73,en
"Kinda fucked up The Blowjob Queen of Hollywood didn't lend a scaly hand to her fellow deep throating queens during the AIDS crisis, no?",2016-03-06 17:30:10,314,64,en
Now republicans gonna compete to see who loved Nancy more. Throwing themselves at a skinny bitch like some f'ed up SABRINA,2016-03-06 17:24:02,136,18,en
Billy Wilder's suicide jokes were the opposite of sweaty bc he knew the struggle of living was as ridiculous as arrogant escape misfires,2016-03-06 03:21:44,47,3,en
I have a very complex mental relationship with Stacy London.,2016-03-06 02:29:26,180,13,en
"Rest in peace, wonderful @QuiltingMuriel. My heart breaks. xxxx",2016-03-05 20:35:09,46,6,en
Click here to witness the chemistry between Gwyneth Paltrow and Jimmy Fallon AKA the comedy version of ammonia and bleach!,2016-03-05 16:23:45,131,13,en
My queendom for a pretzel croissant.,2016-03-05 16:22:41,76,4,en
I'm not picking on Bernadette Peters. I've ALWAYS #FeltTheBern. Lookit my BG! I just think she should let herself eat a non-dog potato!,2016-03-04 21:25:58,119,8,en
"Fav if you think Bernadette's ""Dove Bar Friend"" is Donna Murphy. RT if you think it's Elaine Paige. https://t.co/bqUFVh2Afz",2016-03-04 18:28:58,85,9,en
"ICYMI: Bernadette Peters blames Sunday in the Park with George for her exercise bulimia, doesn't need a cheat day. https://t.co/bqUFVh2Afz",2016-03-04 18:18:27,101,15,en
Was enjoying my croissant until I remembered that Bernadette Peters was horrified at a family dinner when her dad brought out a watermelon.,2016-03-04 17:26:04,165,13,en
"That's a picture wrap on Julie Klausner and a wrap on #DifficultPeopleSeason2, coming to a @hulu near you this summer. ❤️",2016-03-04 02:09:02,164,3,en
Bernadette Peters doesn't keep crackers in her house.,2016-03-03 23:48:34,100,14,en
Last day of PRINCIPLE PHOTGRAPHY on #DifficultPeopleSeason2 and I'm already verklempt… https://t.co/qhGvzl7mf0,2016-03-03 16:09:02,21,2,en
Terry Baskmas!!!! Louie Anderson on Fresh Air???! 🙌🏼🙌🏼🙌🏼,2016-03-03 01:44:31,25,1,en
Me and samstunts doing some crazy physical comedy for #DifficultPeopleSeason2! 🏅🏅🏅 https://t.co/Rrfg5yRenV,2016-03-02 18:24:06,23,2,en
Trump/ Christie: Bully Nation.,2016-03-02 02:41:56,132,32,en
"The Nina Simone doc is so much better than AMY, FYI. Must watch if you haven't already. NOT TO WOMANSPLAIN",2016-02-29 17:30:26,133,7,en
"When @MichaelKeaton came onstage at the end of the ceremony and he was chewing gum, it made me #horny. Good night.",2016-02-29 05:34:57,299,33,en
Neil Patrick Harris Oscars 2015 Opening ceremony Moving pictures Opening Musical Oscars 2015 - YouTube https://t.co/04MMH7eO14,2016-02-29 05:18:48,17,0,en
"That was awful. You are all insane. Signed, your cranky mom.",2016-02-29 04:19:42,196,23,en
👀,2016-02-29 04:17:56,34,0,und
Has anybody seen my puka shell necklace with the skull and crossbones on it?,2016-02-29 02:50:44,203,32,en
I have logged on to express my extreme rage twd Rachel McAdams's dress. It look like a robe and the 90s neckline &amp; everything else I hate it,2016-02-29 02:38:20,82,6,en
Pity that the Rooney sisters died of consumption 200 years ago in that dusty mansion. They would've loved watching their ghost selves thrive,2016-02-29 00:25:20,452,134,en
Rooney Mara is clearly a ghost no longer interested in concealing the fact that she is a ghost.,2016-02-29 00:21:41,426,165,en
Let's see some fucking dresses.,2016-02-29 00:09:35,147,55,en
Peeps bullying me about my having never seen Breakfast at Tiffany's til now- I was too busy watching The Beaver Trilogy &amp; Nick Zedd's oeuvre,2016-02-28 19:23:17,42,2,en
BITCH STOLE MY LOOK #Scamilton https://t.co/Gdjo2Kpjqp,2016-02-28 19:10:46,50,3,en
WHY DID NONE OF YOU TELL ME ABOUT THE CAT STUFF AT THE END OF BREAKFAST AT TIFFANY'S? Now I'm in tears like some basic white bitch,2016-02-28 18:46:59,148,13,en
"Also, Mickey Rooney was offensive in EVERY ROLE. He stunk.",2016-02-28 17:59:03,71,4,en
"Breakfast at Tiffany's is to me what Rushmore is to @scharpling-spawned so much crap &amp; so many basic bitches, I can't judge on its own merit",2016-02-28 17:58:45,71,5,en
Baby's first transphobic Instagram comment!!!!!!,2016-02-28 17:56:20,95,10,en
So Bernie Sanders gets a visit from Pussy Riot. I bet Hillary can get all 3 of these OG's on the phone in minutes. https://t.co/mVuU6oK6yj,2016-02-27 20:28:02,168,25,en
"#NotAllWhiteFeministsOfAllHairColors""",2016-02-27 17:19:22,30,2,und
