text,created_at,favorite_count,retweet_count,lang
"Melania Trump follows the glowing green smoke down the stairs. Rasputin's voice echoes ""Are you happy now?""
""No""
""This is what you wanted""",2016-03-26 15:18:16,18,1,en
"""Did You Get My Email?™"" a new fragrance",2016-03-25 19:32:28,37,10,en
"at first, my colleagues in the senate doubted me when i arrived to my first hearing wearing a tiny, clear back pack. now they fear me.",2016-03-25 18:51:54,20,2,en
Not pulling my own weight is especially embarrassing given how little I weigh~*,2016-03-24 20:21:42,10,0,en
"I dare you to walk a mile in my shoes. You'll love it, they'll comfortable yet stylish.",2016-03-24 15:32:20,13,0,en
If my aggressor's source of strength isn't in a talisman I can rip off from his neck then no idk how to defend myself,2016-03-24 14:53:16,27,5,en
wow who knew you could deliver a toast without subtly suggesting to your enemy in the room that you have information that could destroy them,2016-03-22 20:16:05,23,3,en
imagining the little golden dagger Melania Trump contemplates every night while Donald's asleep,2016-03-22 18:46:04,20,0,en
that awkward moment when you use your telepathy to remotely kiss your lover goodbye by temporarily using some rando as a vessel,2016-03-22 16:24:38,29,3,en
So as a kid I had the bouncy castle but then there was also the bouncy chateau and the bouncy property on the Hudson valley.,2016-03-21 20:27:29,21,6,en
"Isabella Rossellini then urged me to open the skylight above the bed, claiming that ""nightmares need to rise and escape, or they'll linger.""",2016-03-21 18:23:39,12,1,en
"An archeologist examines a wall of hieroglyphs. ""Here she is again. Different century. Different civilization. Same name... Shakira.""",2016-03-20 21:28:06,42,7,en
A webseries chronicling my slow and gorgeous descent down a long marble staircase.,2016-03-19 21:36:41,61,12,en
"A devastating part about being immortal is watching all of your loved ones age and having to be like ""no no you look fine!""",2016-03-17 14:05:51,54,8,en
"ppl at my funeral will have to sit on cold, heavy marble benches, which my closest friends and fam will be asked to stack after the service",2016-03-16 17:52:56,21,0,en
"My favorite hobbies are: shopping,",2016-03-16 17:13:10,10,0,en
"Even if I were in charge of the Time Magazine or National Geographic Instagram my selfie to ""other thing"" ratio  would still be lopsided",2016-03-16 03:31:08,18,0,en
"If I say ""my door's always open!"" I really mean my door is always open slightly ajar, with foreboding, glowing white smoke billowing out.",2016-03-14 19:35:47,17,1,en
"as an immigrant the whole ""If Trump wins I'm moving to-"" thing feels like FINALLY getting to the party and you being like um idk might leave",2016-03-14 00:19:40,44,12,en
"My lab results came back, and just as the doctors suspected: I'm simply too much!",2016-03-12 18:32:00,128,34,en
"It's so nice out. I wonder if at the Pentagon they were like ""guys lets go outside!"" and now they're brainstorming drone strikes at the park",2016-03-09 18:19:16,307,123,en
"Archaeologists will dig up my tomb and find my skeleton clutching an iPhone. 

Jk I'm never gonna die.",2016-03-09 13:58:16,12,1,en
was late to a show because a meeting ran way long and then i went shopping true story,2016-03-07 04:27:07,9,0,en
One Ring to wow them all,2016-03-06 22:18:11,10,0,en
It didn't help that I kept accusing the jury of being jealous of me,2016-03-06 01:55:34,24,3,en
"have been practicing saying ""dude!"" in front of a mirror",2016-03-06 00:22:55,21,0,en
it's inconceivable to imagine my biopic starting any way other than a scattering of pigeons and closeup of nun's shoes rushing over marble,2016-03-05 21:35:28,213,68,en
"wow, who knew a horse could gallop in not-slow motion",2016-03-03 04:16:22,12,0,en
I'm freezing out here but I need to make an entrance,2016-03-01 17:00:29,8,0,en
sorry is it tacky that i bought ad space in the in memoriam?,2016-02-29 04:48:34,13,1,en
"i mean, i was never stuffed in a locker but one time i WAS trapped in a sapphire for 200 years until released in 2013",2016-02-29 04:41:52,24,3,en
🎼 When the moon hits the sky like a big pizza pie that's a nightmare 🎶,2016-02-29 01:19:43,13,4,en
I thought about grabbing the camera from the photographer and playfully turning the tables on him but then I thought NO its me time,2016-02-28 20:37:03,13,1,en
Rooney Mara is relaxing before her big night by looking at videos of wildfires,2016-02-28 19:50:59,15,2,en
exhausted from awakening the titans,2016-02-28 01:04:15,9,0,en
Excited to announce that after a lot of therapy I finally stopped smelling that green apple body lotion from a freshman  girl years ago.,2016-02-26 15:14:23,21,2,en
really don't mind people finding the skeletons in my closet mostly because all the skeletons are wearing Dior,2016-02-25 19:50:51,40,5,en
"Why do they call it ""petty cash""? Money has never been anything but extremely kind to me.",2016-02-25 17:13:58,22,1,en
"i have no idea how to end a conversation unless i ferociously scribble on a check, tear it out and go ""i trust this will suffice.""",2016-02-23 18:11:52,369,152,en
"Sometimes I like wondering into a toy store, going to the board game isle and loudly declaring to an employee that ""I don't play games.""",2016-02-22 22:27:08,18,1,en
"Oh noooo I just learned about ""shepherd's pie"" and I'll never recover",2016-02-22 20:48:42,5,0,en
COME 2 FUTURE FORMS (muchmore's 8:30) Hosted by me @2tonbug @maryhoulie @samttaggart and ft. many great acts including dis bitch ---&gt;♦️,2016-02-22 20:37:38,4,2,en
i bet they have at least one chez lounge in the Pentagon because how do you even plan for a war unless you're lounging,2016-02-22 04:20:02,6,0,en
you won't believe the star-spangled crop top i'll wear when taking the oath of office,2016-02-22 03:07:03,13,1,en
"You say ""potato,"" I say ""oh, actually I already ate--but thank you though!""",2016-02-20 23:26:22,23,1,en
"when I run for president I'll make the interviewer humanize me by asking ""we hear you love chopping veggies!"" then I will straight to camera",2016-02-19 22:37:19,8,0,en
"I often forget that the main function of a vase is to hold flowers, and NOT to serve as an item to break just to make a point",2016-02-19 00:00:50,14,2,en
little did you know Area 51 is just my walk-in closet,2016-02-18 23:07:00,5,0,en
"When the bill came, Helena Bonham Carter cut herself with a knife. The blood spelled out a number on the table cloth. ""ok tip should be $12""",2016-02-16 20:50:58,13,3,en
what if i told you i was sent here from the future on a mission but forgot what it was and got distracted with the whole comedian thing,2016-02-16 20:37:03,13,4,en
does anyone have access to a horse? people would enjoy watching me ride one; it's not for me it's for the people,2016-02-14 17:14:00,159,52,en
Shakira first entered the world stage when a meek archeologist released her by reading out loud the glowing hieroglyphs on a slab of granite,2016-02-14 16:28:18,13,4,en
If elected Pope my Papal Inauguration would be low key/ very word of mouth and the location would drop day of,2016-02-13 00:47:16,109,30,en
"turning down ""brownie points"" since age 9",2016-02-12 23:59:31,8,1,en
if my iPhone were a person he'd SHOUT the stocks at me if I even so much as touched him,2016-02-12 21:40:11,10,1,en
Keira Knightley still trying to decide between picture of a broken window or a vase with wilted flowers as Facebook cover photo,2016-02-10 18:55:58,21,3,en
"When looking at gifts ppl are always like ""get the little one maybe it's a diamond!"" but I go for the big one bc what if it's a HUGE diamond",2016-02-10 15:46:45,19,3,en
the studio just green lit a remake of cruel intentions with me playing every single role ! ! ! !,2016-02-09 02:22:20,20,1,en
"""hi excuse me we're gonna make two stops"" -be being a real bitch in an ambulance",2016-02-08 22:40:29,59,5,en
when i was born the doctors had to fill out a special form to explain the mysterious sapphire in my mouth,2016-02-08 21:55:45,17,1,en
"and so God spoke to Noah and said ""mmmm idk let's get two of each? sry is that too much???""",2016-02-08 21:34:16,14,3,en
"[holding trophy] ""...it's so much heavier than I imagined. Wow, I don' know what to say, I wasn't expecting this"" -me winning the Super Bowl",2016-02-08 20:08:08,10,1,en
"casting directors are always telling me ""can we try that again but less... immortal?""",2016-02-08 19:44:41,20,1,en
"Lol k cute Windows Vista commercial, Coldplay",2016-02-08 01:47:29,12,1,en
The whole country (myself included) is like uuuuuugh bring out cold play already I wanna say bitchy things NOW,2016-02-08 01:20:08,19,2,en
if these football players have any class they'll pretend to be SHOCKED and cover their mouths when their victory is announced,2016-02-07 23:05:56,17,3,en
gonna take pics wearing beer helmet in full appropriation of your culture,2016-02-07 17:11:04,18,2,en
"sometimes I feel like most people in Brooklyn secretly have a tattoo that reads ""Uuuuugh do u hate me??""",2016-02-07 17:00:12,16,1,en
"O'Malley wondered if his name was even on the list. Iowa was the place to be that night and they didn't take reservations

*SATC: Election*",2016-02-06 20:38:51,6,0,en
"""Perhaps a rose by any other name would smell just as sweet. But sadly for Jeb, the name wasn't Rose. It was Bush.""

*SATC: Election Year*",2016-02-06 20:19:04,6,2,en
i'm scared of climbing ladders but i'm no stranger to climbing on top of a piano so i have to stack a few pianos to change that light bulb,2016-02-06 20:11:17,9,1,en
"rest assured i've been wearing a tiny, glittery uncle sam hat tilted to the side when writing all of today's political tweets",2016-02-06 01:13:48,8,0,en
If crowned president of the United States my first order of business would be visiting America outside of NY and see what that's all about,2016-02-05 22:21:03,20,1,en
"""Bernie couldn't tell his Fendi from his Prada. Idealist and Socialist--now those were his kind of label.""

*SATC: Election*",2016-02-05 16:52:20,7,2,en
"As Hillary's emails came up again, I couldn't help but wonder: is our past a nasty stain on a dress that never goes away?

*SATC: Election*",2016-02-05 16:40:01,8,2,en
"""Meanwhile on 5th, Trump had lots of 'election,' but not enough 'erection.' The only thing 'up' were the polls.""

**SATC: Election Year**",2016-02-05 16:34:41,6,4,en
"""Did it hurt when you fell from heaven?"" is part of the FAQ's on my website (the answer is YES--a lot!)",2016-02-05 16:03:22,6,1,en
"""He wasn't Jeb, period. He was Jeb: exclamation point. Sadly for him, excitement in NH was more of a question mark.""

*SATC: Election Year*",2016-02-05 13:50:58,22,4,en
I always remove my mask AFTER being defeated at a fencing match. My opponent then realizes it's me and weeps. Who's the loser now?,2016-02-04 23:46:37,118,21,en
"As a kid I'd fantasize about rearranging the interior of the bottle in ""I Dream of Jeanie"" and getting rid of 80% of those awful pillows",2016-02-04 23:31:23,24,1,en
"I thought this emoji ---&gt; 💸 meant ""expensive angel"" so I've been signing all my emails wit it!",2016-02-04 22:55:21,27,1,en
plz come watch @kingfirestorm  and i ! hosted by @bowenyang  at @UCBTheatreEast  ! https://t.co/BhAzoyXusV https://t.co/JP6JQiEe9L,2016-02-04 17:43:56,12,4,en
"""Oh, hi Ello... I'm sorry things have just been crazy haha. How are you?""",2016-02-04 16:36:34,5,1,en
i know it sounds like a joke but i feel like people would enjoy a show that's just me receiving and opening presents. should i pitch it???,2016-02-02 23:30:08,30,8,en
"A girl breaks a glass while talking to Rooney Mara. She apologizes and tries to pick it up. 
""Don't!"" yells someone. 
""LET HER"" begs Rooney.",2016-02-01 16:08:37,17,2,en
"Rooney Mara and her friend sit at a table outside. A little boy trips, scrapping his knee. Rooney stares at the blood. ""I'm suddenly hungry""",2016-01-31 18:23:26,12,0,en
wondering what MY numbers in Iowa are like,2016-01-31 18:09:24,36,7,en
"i've mastered a cute little shrug for when i show up to hair and makeup and the stylist tells me ""oh wow, no, you're good to go!""",2016-01-31 04:36:55,31,2,en
"how do i call god i have a few questions about my ""character""",2016-01-31 04:12:41,263,133,en
had kombucha explode on me like it's 2011,2016-01-30 07:10:36,18,1,en
"I hope there's a mom out there with a Tinder bio that reads ""Help me take the centerpieces!""",2016-01-29 21:56:03,7,1,en
people are always remarking on how soft my hands are by saying I've never worked a day in my life as if I didn't tweet gold 24/7,2016-01-29 21:10:49,16,1,en
As a child I was rushed to the ER with a bad burn. I told the doctor I loved him bc I knew that if he bought it he'd do a much better job.,2016-01-29 01:50:42,5,2,en
"!!! @kingfirestorm + I are doing half hours on feb 9, 6:30 UCB East ! Hosted by @bowenyang ✨ https://t.co/BhAzoyXusV",2016-01-27 17:42:41,9,1,en
Hate not wearing couture because I get phantom train syndrome,2016-01-26 22:01:43,6,1,en
FRESH PERSPECTIVES is 2nite 8:30 / muchmores (2 havemeyer st) !! https://t.co/HTudvDbbGc,2016-01-25 20:26:17,8,2,en
"""Free as pie!""
""Taking the sauce by the pan""
""Jumpin' the jacks""
-just a few things i was convinced were popular American sayings",2016-01-24 20:40:55,14,1,en
"can't tell if i'm the dark horse or the sacrificial lamb of the ""latino revolution""",2016-01-24 20:05:01,10,1,en
i always look straight into camera because i can't bear not reciprocating its unconditional love,2016-01-24 19:56:09,9,0,en
"I bet that new planet was like ""uuugh what do you mean SINCE WHEN??? I've been here the whole tiiiiiiiimeee.""",2016-01-24 19:47:28,7,1,en
MONDAY: FRESH PERSPECTIVES @ Muchmore's (2 Havemeyer st) 8:30. FREE . sry about the blizzard i'm just feeling frosty https://t.co/VsWZtG5Obp,2016-01-23 21:05:53,8,0,en
will start the blizzard in a few busy rn,2016-01-23 00:41:41,17,1,en
The first five rows of my funeral will be reserved for industry I'm sorry,2016-01-22 17:14:20,30,3,en
"I've only ever seen my husband through a mirror, when he's leaning to slowly put a new diamond necklace around my neck.",2016-01-20 17:32:27,193,61,en
"Rooney Mara asks an assistant to get chap stick from her bag. She opens the bag and sees it's filled with shards of glass.
""well...go ahead""",2016-01-20 15:22:14,38,4,en
lol if you think i sound foreign in english you should hear me in spanish,2016-01-19 23:25:41,8,1,en
"""Han Solo"" prequel casting options leaked:
Taron Egerton
Grant Gustin
Tub of Philadelphia Cream Cheese 
Ansel Elgort
Bag of Marshmallows",2016-01-19 20:13:02,8,1,en
New School lit professors must be getting a TON of essays that ignore the prompt and isntead compare/contrast Brokeback Mountain and Carol,2016-01-19 14:12:42,14,1,en
"i can only ""make a splash"" metaphorically bc i'm so tinyyyyy",2016-01-19 01:33:37,11,0,en
"Does your Google Maps also label ""West Village"" as just ""Big CVS""?",2016-01-18 23:03:25,10,1,en
"This doesn't really apply to me but at some point in my biography I will definitely say  ""...all I had was my voice""",2016-01-18 21:39:16,3,0,en
i've never washed a car but when i do i know it will be the greatest performance the world has ever seen,2016-01-18 17:35:01,16,0,en
my first daughters will be named Ambulette and Credenza,2016-01-16 00:57:24,18,4,en
had that recurring dream in which a white haired me and a black haired me sword fight atop a skyscraper and comes inches away from kissing,2016-01-14 21:41:52,240,67,en
doctor looks at the screen during Trump's colonoscopy and is astounded to find a dangerous tumor that looks like and is Ann Coulter,2016-01-14 20:05:50,188,61,en
I bet Andy Cohen's assistant has to replace the i's in every document for little martini glasses and lipsticks to make them legible for him.,2016-01-11 22:44:30,12,0,en
That stray cat by apt won't stop meowing but I'll ignore it or it'll turn into Helena Bonham Carter again with a prophecy I ZERO time for.,2016-01-10 03:17:59,110,28,en
"As a kid I never pretended the floor was lava but I WOULD go ""the floor is italian marble!"" And just like that, recess was tolerable.",2016-01-10 02:54:28,27,1,en
"Editor and fellow writers awkwardly sit in silence after reporter offers to infiltrate high school as a student ""yeah... or like a teacher!""",2016-01-07 04:02:46,6,0,en
"LA is not running out of INFUSED water, I'll tell you that.",2016-01-07 00:26:23,20,2,en
"I hear Eskimos have like 100 words for that slight, brief moment of shame you feel right after taking an Instagram pic in public",2016-01-06 17:15:39,19,3,en
Hahaha you'd think that by the third time I faked my death they WOULDN'T include me in the Oscars In Memoriam,2016-01-06 16:18:45,14,1,en
"Naomi Campbell gazed down at the swans. In a rare moment of empathy, she found herself pitying their short, graceless necks.",2016-01-05 19:21:57,13,0,en
The master of the uncanny aka @anafabregagood  will have an incredible show THIS FRIDAY. I'll b there hope 2 c u https://t.co/PlkCh49dsx,2016-01-05 14:55:47,2,1,en
"every time i see a clear shot of an extra in a music video i think wow, that's someone's profile picture",2016-01-05 00:23:15,27,1,en
"Sofia Vergara realizes she doesn't know how to say ""truth,"" ""freedom,"" or ""origin"" in Spanish. Her publicist tells her she's being silly.",2016-01-04 23:48:57,3,0,en
but like... how DID my mom know that i'm a super special little boy?,2016-01-04 00:17:22,10,2,en
"One time my optometrist stood up abruptly and began to cry, claiming that in my eyes he saw the pain and devastating beauty of the future.",2015-12-30 16:39:10,16,1,en
i've never once NOT been the bride,2015-12-30 04:25:07,10,1,en
"just when we thought it was over, the body suddenly grabs my hand and exclaims ""I'd like to add you to my professional network on LinkedIn""",2015-12-28 02:27:33,10,1,en
facebook during christmas is my only window into fully carpeted homes,2015-12-25 18:07:41,25,4,en
"Uuuuuuuuuuugh. Google maps describes it as ""cute and straight""",2015-12-25 04:24:15,5,0,en
"Today I just stayed in and practiced marching down the grand staircase while pointing out the window and declaring ""BRING. ME. THE GIRL.""",2015-12-24 05:58:41,150,55,en
"can't imagine I'll ever give ""mad props"" to someone",2015-12-23 20:23:45,11,1,en
"I made labels for every compartment in my utensil drawer--""forks,"" ""knives,"" and under a single little silver spoon: ""dis bitch.""",2015-12-23 15:25:15,11,0,en
If there's a heaven I hope God asks if I'll have any tech needs,2015-12-22 06:15:10,15,2,en
"Amidst the chaos, a scientist gets the device to work, translating Godzilla's cries into words: ""...UGH I feel HUGE and in everyone's way""",2015-12-21 23:45:29,17,1,en
