text,created_at,favorite_count,retweet_count,lang
Sext: Watching MAGIC'S BIGGEST SECRETS FINALLY REVEALED on YouTube and waiting for death,2016-03-27 07:08:14,20,0,en
I would NEVER date a magician but...got a lot of respect for that craft...just bein honest,2016-03-27 06:50:40,28,3,en
drove 20 miles to a candle factory to find out they only sell wholesale &amp; instead tell me to go to their store located a mile away from me,2016-03-26 19:07:28,31,1,en
Just watched a video of Penn and Teller performing a trick where they  put a guy's iPhone inside a dead fish. Good night y'all.,2016-03-26 07:51:12,23,0,en
I like how I tell myself I need to sleep but instead I Instagram stalk the brother of a guy I dated for two weeks,2016-03-26 07:41:21,51,0,en
"If anyone knows who this man is, can you give him my number? https://t.co/Q9wO9JLlZa",2016-03-26 00:04:57,68,21,en
all good questions https://t.co/URfrwwwrKh,2016-03-25 20:54:28,16,2,en
Did any industry see me on Flophouse last night? Is my face-sitting bit marketable?,2016-03-25 17:25:57,20,1,en
Further evidence that I am an impeccable comedian https://t.co/USkyTMYL6F,2016-03-24 20:57:39,37,0,en
ATTN H8RS: I'll be on tonight's FLOP HOUSE (@VICELAND). Watch my special brand of female comedy. It looks like this  https://t.co/JeN58Hdl7w,2016-03-24 19:28:04,14,2,en
ATTN: There's a chance you'll see me vaping on Viceland's Flop House tomorrow night.,2016-03-23 21:26:41,24,1,en
I am refraining from liking tweets until confetti stops jumping out of the heart. Sorry.,2016-03-21 21:45:32,66,1,en
I just got a parking ticket. Please come to Blessed tomorrow. https://t.co/KhpbLhXzc2,2016-03-21 20:01:36,13,1,en
On my to-do list: shave other leg,2016-03-20 00:51:15,43,12,en
Porsche cut me off as I was about to take a picture of a PT Cruiser w/the license plate BAD DOG in case you're wonderin why my day is ruined,2016-03-19 22:11:08,50,1,en
Last night: Watched a series of Richard Kern's most iconic underground films. Tonight: Catchin a sneak preview of My Big Fat Greek Wedding 2,2016-03-18 00:01:56,11,0,en
Taking a break from dating to focus more on becoming a witch,2016-03-16 19:32:20,85,37,en
It's the start of my birthday and all I want is for JoJo to be happy,2016-03-15 09:35:17,17,0,en
FULLER HOUSE IS NOT BAD,2016-03-14 06:05:25,8,0,en
You know you've reached a new level of adulthood when you want your place to look clean even though no one is coming over,2016-03-13 21:41:41,70,13,en
Do you ever wonder how different the world would be if Divine got to be on Married With Children?,2016-03-13 20:31:54,23,2,en
"Haiku about Tinder: 

Your super like means
nothing. I know that's not your
kid in the picture.",2016-03-13 19:24:09,27,6,en
I don't understand why people are mad at me for sharing this photo https://t.co/62nWIunHMF,2016-03-12 19:37:04,55,4,en
My makeup tonight is focused on highlighting this dope pimple https://t.co/f4CIcWfzzt,2016-03-12 05:41:14,50,0,en
sext: most of the world's problems would be solved if we got rid of come,2016-03-12 01:18:35,12,2,en
My audition to be the new face of HPV https://t.co/z75iGmmezh,2016-03-11 19:03:25,24,3,en
The waiting room of Planned Parenthood is a great place to catch up on the Instagram accounts of all your exes,2016-03-11 18:52:12,35,5,en
Inside Planned Parenthood waitin to be handed a bag of birth control &amp; wonderin which celeb who died at 27 I'm gonna go as for my bday party,2016-03-11 17:53:28,16,0,en
Listening in on a coffee date and the girl just revealed that she lives with her ex-boyfriend and his new girlfriend. Good luck mama.,2016-03-09 20:55:25,57,1,en
#RelationshipGoals https://t.co/BswEc5Hzrw,2016-03-09 07:30:44,11,3,und
.@realDonaldTrump Happy International Women's Day,2016-03-08 20:17:05,32,5,en
My International Women's Day resolution is to SMILE MORE,2016-03-08 17:40:28,23,9,en
LIFE UPDATE: My new neighbor who I overheard learning to play seven nation army on his guitar a few days ago brought a girl home tonight,2016-03-08 07:48:54,89,4,en
When you're like I have nothing to wear LOL https://t.co/sThZvxHRvb,2016-03-08 05:54:06,65,5,en
You haven't lived until you've untangled a knot in your eyebrow,2016-03-07 21:59:35,20,3,en
Finally SOMEONE is saying it! https://t.co/5SB8K740yA,2016-03-05 19:16:19,45,5,en
Wow you guys...I think OJ might've done it...,2016-03-04 17:03:11,26,5,en
Tfw you feel under-appreciated but no one gives a fuck because they don't appreciate you,2016-03-04 09:07:21,28,3,en
Viagra commercial says to ask ur Doctor if ur heart is healthy enough to have sex but honestly I think that's a question u should ask urself,2016-03-04 03:27:44,31,1,en
"FYI Just described my vagina as ""soggy"" in case anyone here had an ounce of romantic attraction to me and needed something to get rid of it",2016-03-04 02:31:15,33,0,en
Strangers are gettin catty w/me over a scrabble-like word game that can't be called scrabble for copyright reasons https://t.co/LdImiblSjO,2016-03-03 20:48:14,13,0,en
Can anyone relate to how angry I am that 2 people at this coffee shop left me alone with their laptop assuming I would watch it for them,2016-03-02 19:47:52,23,1,en
I hope I die never knowing what an acai bowl is,2016-03-02 00:48:58,20,5,en
"Clearly, I have a ""type"" and it's men who are terrified of me",2016-03-01 21:30:43,29,7,en
LIFE UPDATE: Reconnecting on okcupid with a guy who bailed on a date we had scheduled months ago bc my Instagram scared him,2016-03-01 21:24:41,17,0,en
Okcupid knows me too well https://t.co/1jW0alHAAT,2016-03-01 07:14:44,12,1,en
FACT: I mostly like my crystals because it makes me feel closer to being an actual witch,2016-03-01 02:18:12,18,0,en
I'm not watching the Oscars but people are starting to talk shit about Minions and this is NOT OKAY,2016-02-29 03:10:40,9,2,en
Can't watch the rich people win their fun little trophies because the antenna on my tv is broken ;(,2016-02-29 02:54:10,19,2,en
"How many times can you tell a guy who dumped you that he ""fucked up"" before it gets weird?",2016-02-28 10:42:29,14,0,en
Ok so I realize I maybe have a problem connecting to people or at least taking them seriously,2016-02-28 10:12:40,17,1,en
Turns out I hate fun even if I'm drunk,2016-02-28 09:51:08,32,7,en
Can't decide if I want to be in love or have a harem of fuckboys,2016-02-27 20:04:15,52,6,en
Squad goals https://t.co/aHGMsvc1Dx,2016-02-27 19:44:47,57,20,en
Wish someone loved me the way Oprah loves bread,2016-02-26 20:43:21,34,14,en
Stop voting for Trump PLEASE I AM BEGGING,2016-02-26 09:48:45,30,4,en
At that perfect level of drunk where I want to angrily text all them men who've wronged me but I'll only text three,2016-02-26 08:09:23,46,5,en
"My sister keeps telling me she hates Justin Bieber and I keep wanting to say ""I bet he doesn't eat pussy"" but she's 11",2016-02-26 04:18:04,55,7,en
YES I hold grudges against people who unfollow me,2016-02-26 04:16:49,15,0,en
"You know a restaurant you're eating at is ""hip"" if, as soon as you walk in, it feels like you crashed a party you were not invited to",2016-02-25 18:30:48,48,7,en
Deleted my tinder account. My career is over.,2016-02-25 06:11:08,34,0,en
"If anyone wants to photoshop me in a hot tub with a generic man, I am accepting submissions",2016-02-24 22:01:15,11,0,en
Went to a psychic this morning who told me to print a picture of a couple in a hot tub then glue my face over the woman,2016-02-24 20:30:03,22,2,en
got dumped for the 3rd time this year already &amp; my 16 yr old cousin just posted pictures on FB of her licking her boyfriend's ear in a pool,2016-02-24 04:10:51,42,0,en
"Rejected by an LA creative (waiter) who's supposedly ""too busy"" playing in bands to make time for a relationship. Just another Tuesday!",2016-02-23 23:44:49,30,1,en
Be a DIVA on a BUDGET: Let yourself free bleed into one of those 5 for $25 pairs of underwear from Target.,2016-02-23 22:25:51,23,2,en
"""Please don't write about this"" - Every guy who dumps me",2016-02-23 21:11:24,48,7,en
need views &amp; more importantly more men to tell me I'm an unfunny cunt so here is a link to an older set I re-edited https://t.co/W9vAYWgHKw,2016-02-23 01:06:48,12,3,en
Did not shower for my big Hollywood meeting. On brand no matter WHAT.,2016-02-22 22:35:30,23,0,en
This restaurant is blasting an entire Sublime album and now I know why it has a B rating,2016-02-22 21:36:07,29,2,en
Quick read I regret not giving a title for. Trying to write something new every day. Here's this. https://t.co/6HWG7vuuWR,2016-02-22 20:54:53,8,0,en
This needs to be said regardless of character limits https://t.co/FE33NntDnr,2016-02-22 20:05:37,63,3,en
I watched every episode of Real Rob AMA,2016-02-21 08:18:03,8,0,en
"My socks are mismatched and I'm wearing oversized ""grandma"" underwear with a period stain on it. Is this what it means to be QUIRKY???",2016-02-20 01:07:43,32,2,en
¯\_(ツ)_/¯ https://t.co/g7s6FJDajo,2016-02-20 00:33:17,13,0,und
"Often, when I sense that I'm about  to have an existential crisis, I remind myself that I have a tattoo of a witch hat &amp; feel at peace again",2016-02-19 07:24:02,35,4,en
Sext: I think the yeast infection under my boob is back,2016-02-19 01:47:40,23,0,en
Not tryna start a conspiracy but the cutoff age for birthright is the same as for the HPV vaccine. Coincidence? (ok so I am tryna start one),2016-02-18 21:46:07,14,0,en
"Palm reading, but with stretch marks",2016-02-18 19:03:23,35,11,en
"Somethin I wrote for all my fellow single ladies out there ;) ;) ;) 

https://t.co/EFZ2uNXKmy",2016-02-18 17:17:01,7,1,en
Fun fact: A lot of celebs are just as shitty as Kanye.,2016-02-18 17:03:56,37,5,en
I finally give some good advice for once. How to REALLY get yourself a man. https://t.co/xcLOY4ziJ8,2016-02-18 00:24:36,9,0,en
Life hack: Attain nirvana by subsisting on a diet of meatballs and bread,2016-02-17 23:21:45,19,4,en
Fun fact: I own more maternity shirts than two women I know who are pregnant,2016-02-17 22:26:37,20,0,en
