text,created_at,favorite_count,retweet_count,lang
"Headed to NJ to shoot guns, plan a hunting trip and still somehow have to fend off arguments accusing me of being too liberal.",2016-03-26 17:03:11,18,0,en
"I'm obviously cool, handsome, well adjusted and get ladies but it's important that you know The Punisher would beat the piss out of Batman.",2016-03-26 01:55:06,37,4,en
Yeah! That newspaper my dad hates loves the show I work on! https://t.co/FkkuM6HyoJ,2016-03-25 22:54:10,18,1,en
I was getting a pretty good haircut but then Creedence Clearwater Revival came on and for two minutes I was the coolest man in the world.,2016-03-25 17:02:26,31,2,en
"Why hasn't the Mona Lisa changed? Or roses. Or hey, let's try to make sunsets better... C'mon man, use your head. https://t.co/89ySEFWKcR",2016-03-24 16:47:22,36,1,en
Los Angeles Rams is okay I guess but it's no Los Angeles Rambos.,2016-03-24 16:35:56,23,5,en
Ted Cruz looks like someone removed all the bones from his face.,2016-03-24 16:04:22,28,2,en
"Seriously though, at some point every voting person should get to knock Trump's and Cruz's heads together teen bully style.",2016-03-24 04:47:28,28,3,en
"Hey thanks for sending me that link about the thing we discussed, unfortunately I will never ever watch it. Ever. I kind of want to? But no.",2016-03-24 03:43:19,31,8,en
"At some point we'll be allowed to dislike Hillary as a candidate based on the decisions she's made and actions she's taken, right?",2016-03-24 00:49:35,68,15,en
The guy who works at my local pizza place saw my attempt at a mustache and asked if I was undercover. Not cool. (I still bought 3 slices.),2016-03-23 22:56:02,36,2,en
Every Batman V Superman review I read adds a shot to what I plan on drinking before walking into the theater.,2016-03-23 15:50:17,31,2,en
"The legalization of MMA in New York is huge news, for people who make a living writing about MMA, apparently.",2016-03-22 16:03:12,17,1,en
"Nobody wants stoic dad from the 50s but we might be overdoing it with our ""feelings."" Let's pull it back a LITTLE.",2016-03-22 15:12:10,47,5,en
"I mean, there's no way we're all supposed to be talking and checking in and sharing this much, nonstop, all day long, right? It's dumb.",2016-03-22 03:54:04,77,16,en
"Hey, if Columbo has doubts about an iffy scenario, maybe don't jump all over yourself convincing him it's plausible if you're the murderer.",2016-03-22 02:43:20,20,3,en
"My favorite show is the one about the damaged, white guy man-child who's trying to figure it all out but until then he fucks a lot.",2016-03-21 23:30:59,64,9,en
