text,created_at,favorite_count,retweet_count,lang
All of season 2 of Daredevil is about the decision to take a life. I just saw a *Batman* movie where he shoots dozens of people dead.,2016-03-27 01:48:11,133,39,en
My cartoonist friend @tonybreed's #Kickstarter is INCREDIBLY close. A great comic to cure your superhero fatigue: https://t.co/516PaGhtNZ,2016-03-27 01:15:27,14,7,en
"Just made a protest sign reading ""Why Does It MATTER If Vaccinations Made Your Baby Gay?""

Your move, rest of world.",2016-03-27 00:51:03,44,5,en
#HappyEaster https://t.co/F9tDuYzgl4,2016-03-27 00:44:28,20,5,und
Vaccinations gave my baby sass-mouth,2016-03-26 21:27:21,25,3,en
Flan Fliction,2016-03-26 21:00:33,14,1,en
#SpeedDatingPickupLines You probably think Batman and Superman are friends right? Well you'd be dead fucking wrong.,2016-03-26 20:17:01,16,5,en
#SpeedDatingPickupLines Do you remember Home Improvement? Ok remember the youngest kid? He'd be about your age by now right? Well guess what,2016-03-26 20:13:31,35,2,en
"#SpeedDatingPickupLines ""It's from the Greek 'Neo'—meaning new—and 'Nazi,' the German pronunciation of ""Nati""—as in National Socialist.""",2016-03-26 20:10:18,11,1,en
"#SpeedDatingPickupLines ""I bet I could spit a Skittle into your mouth from here""",2016-03-26 20:02:39,84,23,en
Caught #BatmanvSuperman couple more times this morning but got super inspired to squeeze in a lift — then back to AMC for 2-3 more showings,2016-03-26 18:07:23,57,2,en
Did anyone else catch that three-hour-long Super Bowl commercial for  #BatmanvSuperman,2016-03-25 22:27:33,33,3,en
Even though Zootopia was a city of animals I felt that there were many lessons to be learned there for humans as well,2016-03-25 18:23:33,59,14,en
Oh shit did we ever save that cheerleader,2016-03-25 15:27:54,95,23,en
This seems like not a great sign. https://t.co/mJUYVp9tNa,2016-03-25 04:47:24,36,10,en
#BatmanvsSuperman was great! The fox and the bunny learned how to get along! 🐰🐺🏙,2016-03-25 04:04:37,40,12,en
Actually Ctopus and Octopus are *both* acceptable.,2016-03-25 01:29:23,7,0,en
Fuck yeah I'm voting for trump aka the snakes on a plane of presidents,2016-03-24 22:13:43,44,8,en
Have you tried telling them to smile https://t.co/JeK8aDzYDM,2016-03-24 20:39:53,34,6,en
I watched a Law &amp; Order: SVU Marathon and wrote them all down for @NewYorker's @tnyshouts: https://t.co/gfqIbmEkIV https://t.co/WmIjC0bM7i,2016-03-24 18:22:17,39,11,en
#IfIWerePresident https://t.co/pm1zEzvDwB,2016-03-24 04:50:27,417,205,und
⛄️🍸 https://t.co/AofmzXTPTT,2016-03-24 03:20:10,2,0,und
"Superman: Sup bro
Batman: You got a problem bro
S: Maybe you're my problem bro
B: Then you got a BIG problem bro
S: It don't look so big bro",2016-03-24 02:10:54,138,39,en
Where can I sign up for this secret money you get from not liking Zack Snyder movies,2016-03-23 20:36:49,48,17,en
"Guys do not fuck around with @JenAshleyWright she just called Admiral Ackbar ""a Martian"" and you might be next",2016-03-23 20:20:18,17,0,en
[swipes right] https://t.co/W6QciLXhUG,2016-03-23 19:24:46,46,7,en
tfw u the only one of your friends to take tactical urban crime fighting srsly https://t.co/0N8AJUNlHk,2016-03-23 18:18:38,33,9,en
Hahaha @mleinart how dare you take me seriously,2016-03-23 18:08:53,1,0,en
Retroactively declaring my Twitter an ebook everyone please PayPal me 99 cents.,2016-03-23 18:02:36,29,3,en
"If I'm not mistaken, the only modern Disney character who isn't the shame of their community is Tarzan.",2016-03-23 16:10:07,29,3,en
Martin *was* better than Seinfeld.,2016-03-23 03:44:54,33,9,en
Batman and Superman only kiss twice,2016-03-22 23:50:23,89,25,en
.@AdvilRelief Can you send an intern over to rub my sinuses since the ground up hamster bones you sold me aren't cutting it right now,2016-03-22 21:40:22,16,2,en
"The world is a dangerous place, but I'm undecided between the woman who was in the room when Bin Laden was killed or the guy who met Grimace",2016-03-22 15:26:57,20,6,en
"Goodbye Chicago, I love you very much, sorry I coughed and sneezed all over you.",2016-03-22 14:32:41,20,1,en
I have now seen Batman V Superman and this time I am telling the truth when I say Batman dies,2016-03-22 02:44:43,61,26,en
Mitt Romney endorsing Ted Cruz is like seeing a proud mother camel nursing an orphaned fiddler crab.,2016-03-21 23:13:00,106,29,en
Some superheroes @ C2E2 https://t.co/j5m8rdl8sZ,2016-03-21 04:43:58,6,0,en
A situation @ C2E2 https://t.co/MCy0onNFBq,2016-03-20 22:26:31,2,0,fr
Began and ended last day of #C2E2 bumping into an in-character Rick and Morty and I doubt they dropped character in the intervening hours.,2016-03-20 21:32:42,12,1,en
"If you see two, e 2. #C2E2 @ C2E2 https://t.co/ItcmFRW8Jf",2016-03-20 21:26:09,6,0,en
#C2E2 Come see my face at the Hefty Metal boof # 612 @ C2E2 https://t.co/EaoXJPd2fZ,2016-03-20 15:33:39,4,1,en
Thank you to everyone who came out for comedy and comics at our DOORMAN release party at… https://t.co/cWtXoa1POk,2016-03-20 13:44:14,5,0,en
"""Look at me!"" @ C2E2 https://t.co/1avbyQfF08",2016-03-19 22:56:50,4,0,en
"Comedy and signing at @Challengers 7:30 tonight, back at @HeavyMetalInk booth at @C2E2 tomorrow. You are invited. https://t.co/DXCsbFC0hy",2016-03-19 22:55:52,2,4,en
Beethoven @ C2E2 https://t.co/Db7WvDCl30,2016-03-19 16:04:20,1,0,en
"Brokered GOP convention good idea, Trump supporters seem like real party-line types who I'm sure will step up in November no hard feelings.",2016-03-19 14:21:58,38,2,en
"[To the tune of the Super Mario Bros, underground music]

Pretty Little Liars
Pretty Little Liars
Pretty Little Liars
Pretty Little Liars",2016-03-19 14:17:13,62,17,en
When did every hotel agree that what the human body craves most is a six-ounce glass of warm bathroom water,2016-03-19 04:50:41,97,9,en
"If you gaze long into an abyss, the abyss also gazes into you. https://t.co/12HhRYMDeF",2016-03-19 03:00:20,60,22,en
"Met my hero, Batman! #C2E2 https://t.co/cQRgWTAhLy",2016-03-19 00:10:30,29,1,en
Okay hello @C2E2 I am here who else is here hello #C2E2,2016-03-18 23:14:08,5,0,en
Muting your hot takes like https://t.co/WclLts1aux,2016-03-18 21:52:43,31,3,en
So much fun bumping into @joemcadam at the airport! https://t.co/Ma1A7lY1nw,2016-03-18 18:40:01,9,0,en
Went to sleep early and -- sure enough -- the man in the red suit landed on my rooftop and left me some presents! https://t.co/gl81Tg7aME,2016-03-18 13:28:01,31,4,en
Unfollow the evil man monster known as @HelloCullen before he eats your sons,2016-03-18 01:16:45,12,0,en
https://t.co/Sls6YVjuaH,2016-03-17 23:12:27,42,8,und
Very flattered to be the cover interview for this month's issue of PATRIARCHY pg. 22 right after double-page ad of the girl licking a Rolex,2016-03-17 21:45:14,40,3,en
Some co-workers were sick &amp; I probably caught it but secretly I think my immune system literally weakened from weeks of thinking about Trump,2016-03-17 20:57:43,35,5,en
