text,created_at,favorite_count,retweet_count,lang
"I talked to the Bush did 9/11 waitress but she seemed worried about getting in trouble, so never mind.",2016-03-26 19:08:59,9,0,en
Watch Bernie Sanders Transform Into a Disney Princess https://t.co/cSjhRenulS via @BULLETTMedia,2016-03-26 15:19:14,0,1,en
Whom is good Sanders or Clinton hard to say but I know,2016-03-26 03:57:02,3,0,en
This is my friend Freddy https://t.co/A8HRzny91u,2016-03-26 00:58:00,28,0,en
Some https://t.co/gMEMUfMIyT,2016-03-25 19:33:34,15,2,en
[politic's voice]  issue a statement denouncing it,2016-03-25 19:27:21,7,2,en
Turns Out VR Porn Makes It Harder to Get Hard - ​​I tried it out. For business purposes. https://t.co/6tZhZipMlj via @Esquire,2016-03-25 19:03:17,11,2,en
"OK ,this has been free reviews of American cities. I gotta go.",2016-03-25 18:29:51,1,0,en
Free review of any city you live in available for a short time exclusively on here on Twitter,2016-03-25 18:13:04,7,0,en
Boston. Beantown. Provincial and parochial. Sometimes it's the ties that bind the tightest that threaten to pull us apart from within.,2016-03-25 18:12:21,9,0,en
Chicago baby. The hard-scrabble city with blue collar charm. Sometimes midwestern values aren't always as wholesome as they appear.,2016-03-25 18:10:05,6,1,en
New York City? Bustling capital of wealth and power. But if you look closer it's the smaller neighborhoods that give it its unique character,2016-03-25 18:07:29,5,0,en
"The thing about Los Angeles is, to me, you think it's sunny and beaches and glamour, but underneath it, there's a dark underbelly.",2016-03-25 18:03:23,13,1,en
Finally watched Ex Machina last night and here's my review: I want too kiss the nice robot lady also.,2016-03-25 14:57:44,38,2,en
"Today is the day we celebrate Good Friday, also known for young Christians everywhere as their first introduction to irony.",2016-03-25 14:36:36,23,4,en
"ISIS boss: Congrats you're being promoted to my second in command.
Me: Uh.",2016-03-25 14:31:18,6,2,en
Ted Cooze,2016-03-25 14:25:55,10,1,en
RIP in peace https://t.co/vklEi8x5KI,2016-03-25 00:41:26,12,0,en
Booooooo. https://t.co/3X77sMIMYW,2016-03-25 00:38:39,5,0,und
"""What's your name, son?""
""Uhhhh..."" [looks at cop's shirt pocket] https://t.co/uTZQqpa1wv",2016-03-25 00:31:52,14,1,en
Call me crazy but to me you can't beat a pretty good day. Best kind to have.,2016-03-25 00:21:46,11,0,en
4 years ago today. No beard. Same dipshit. https://t.co/1XMrX0X07h,2016-03-24 22:56:32,9,0,en
It's not often you read an idea that has never occurred to you before. https://t.co/YnYwkUShph,2016-03-24 21:19:34,15,4,en
Someone check on Duchovny,2016-03-24 21:03:34,11,3,en
"As per custom, let me now make this celebrity death about me personally.",2016-03-24 20:44:43,28,3,en
Ah shit Gary Shandling ah hell,2016-03-24 20:42:14,1,1,en
Of Course Internet Trolls Instantly Made Microsoft's Twitter Robot Racist and Sexist  https://t.co/XHJyi5Mbz7 via @Esquire,2016-03-24 20:03:03,8,4,en
The only way I'm voting for Cruz is if he throws a knuckle duster at Trump in the next debate.,2016-03-24 20:02:28,8,1,en
This email is formatted... good. https://t.co/Ar4wea94Bf,2016-03-24 16:26:18,7,0,en
Twitter teaching an AI robot teen to love Hitler and hate feminists within hours is the most succinct metaphor for the internet ever.,2016-03-24 15:30:11,70,15,en
"In N.F.L., Deeply Flawed Concussion Research and Ties to Big Tobacco https://t.co/T8Ycs7fBcZ",2016-03-24 14:57:15,1,3,en
Look I'm not judging but maybe obsessing over what the 6-7 clearly unwell politics people on here are wrong about daily is a waste o,2016-03-24 04:30:42,18,1,en
"[goes to grad school] 
I'm the first person to do this",2016-03-24 03:36:51,19,0,en
Look I'm not judging but maybe obsessing over what the 6-7 clearly unwell politics people on here are wrong about daily is a waste of t,2016-03-24 02:56:25,16,0,en
Look I'm not judging but maybe obsessing over what the 6-7 clearly unwell politics people on here are wrong about daily is a waste of ti,2016-03-24 02:44:29,15,0,en
Look I'm not judging but maybe obsessing over what the 6-7 clearly unwell politics people on here are wrong about daily is a waste of tim,2016-03-24 02:39:47,12,2,en
Look I'm not judging but maybe obsessing over what the 6-7 clearly unwell politics people on here are wrong about daily is a waste of time,2016-03-24 02:25:00,31,0,en
Look I'm not judging but maybe obsessing over what the 6-7 clearly unwell politics people on here are wrong about daily is a waste of time.,2016-03-24 01:50:31,39,1,en
Sneakers politics,2016-03-24 01:45:47,0,0,en
Love to enjoy whisky with steak and lobster @JohnnieWalkerUS @HarborHotel https://t.co/Ik8ZfqPafI,2016-03-24 00:22:15,8,1,en
"I'm a TCOT MRA now.
Emory Students Terrified By Trump 2016 Campus Chalkings https://t.co/NNVqIqbDoR via @FoxSports",2016-03-23 18:47:08,2,1,en
synth-driven,2016-03-23 18:35:52,4,0,da
"me looking at Trump: Nazi
Ted Cruz: Look at this Nazi
Bus drives by: Nazi motherfucker bus
nice doggie in the park: nazi",2016-03-23 18:07:13,12,2,en
Hell yeah my new head shots came in. https://t.co/3eM7l4cii7,2016-03-23 16:56:36,56,8,en
Not worth the tradeoff imo https://t.co/gWQNIqNutc https://t.co/jbqIOB4Mxq,2016-03-23 16:34:28,33,11,en
I invented cigarettes but used to have a subscription to Sassy when it was good.  #putmeinprogressivejail,2016-03-23 15:38:40,7,0,en
I killed Praskovya Zarnitsyna with an axe and spent the next 300 pages convincing myself I could use her $ for good. #putmeinprogressivejail,2016-03-23 14:57:22,23,1,en
I was sent back in time to kill baby Hitler but forgot due to being a lazy millennial   #putmeinprogressivejail,2016-03-23 14:51:33,46,6,en
Look at this old-timey prospector Krampus-loooking ass. https://t.co/VQtCR1byBi,2016-03-23 14:45:42,8,0,en
As a white suburban dumbass teen in the 90s I had no idea what Tribe were talking about half the time but damn it sounded right.,2016-03-23 14:18:02,39,0,en
Don't ever use a hashtag you huge dorks.,2016-03-23 02:50:40,19,1,en
The creepiest thing about Trump is that he doesn't drink.,2016-03-23 02:49:31,23,4,en
Lyin' Ted is actually kind of a badass nickname.,2016-03-23 02:46:29,28,4,en
Accidentally just wandered into a beer event and my beard grew two inches and my hairline receded even further.,2016-03-23 00:55:15,21,2,en
Mormon missionary wounded in Brussels was also at Boston bombing https://t.co/gfP9YZMqhl via @BostonGlobe,2016-03-22 23:34:37,0,1,en
NYPD: Teacher Killed by Cop in Crosswalk “Assumed Risk” by Crossing Street https://t.co/siHyMU0mRc via @StreetsblogNYC,2016-03-22 20:57:54,2,8,en
"Who called it therapy and not Who did this, fam?",2016-03-22 17:48:57,7,3,en
lol I'm on the way to therapy like a normie. Ironically though.,2016-03-22 17:40:10,25,0,en
Attractive 20-something women do not all of a sudden join Facebook in 2016 and add you as a friend randomly dumbasses.,2016-03-22 17:09:48,96,19,en
"In some actual good news, Piebald are reuniting.",2016-03-22 15:14:07,27,6,en
Why is Obama in Cuba and not doing burpees in the situation room while Machinehead rips over the speakers?,2016-03-22 15:00:01,42,7,en
This book is not about what I thought it would be https://t.co/ALww7MO5Cj,2016-03-22 14:40:19,26,0,en
I didn't know who Daou was until he started talking about suing people. Don't signal boost your own trolls.,2016-03-22 14:30:06,4,1,en
Think today is the day we're finally going to figure out if Islam is bad or not.,2016-03-22 14:23:19,27,1,en
"-There's a blind guy who punches the heck out of everyone at night 
- Ok. Who else?
- Magic ninjas
- Go on
- And the least funny dork ever",2016-03-22 02:46:11,7,1,en
CALL IT HELL'S KITCHEN ONE MORE TIME,2016-03-22 02:26:45,14,0,en
"Staying on the bleeding, razor edge of the irony spectrum has sent me in for three bypass surgeries. Was it worth it? No. And yet? Also yes.",2016-03-22 00:15:51,7,0,en
My 3 year old just stood inside of the toilet pissing onto the floor and said Daddy why are all the irony lads doing the same joke premise?,2016-03-21 23:36:55,51,2,en
Remember the good old days pre-Deadspin when we got our sports takes from Rick Reillys exclusively?,2016-03-21 22:46:39,2,0,en
"For all their flaws, you dummies know Gawker basically invented how we talk and write and act on the internet now right?",2016-03-21 22:30:29,39,4,en
"Computer, search for Gawker, minus anything anyone with an anime avatar is saying about it.",2016-03-21 22:22:39,18,2,en
Looks like Gawker will be tabulating a different kind of uniques per month where they're going.,2016-03-21 22:20:10,21,0,en
This sends a strong message indeed. Don't become a media villain and face off against a beloved celebrity and con judge gone court shopping,2016-03-21 22:08:44,6,0,en
"&gt;@mishkafrances and I went to a pop-up dinner in an old church Saturday, and we spilled 2 full glasses of wine all over the table and left.",2016-03-21 20:26:12,8,0,en
"Obama, man. He actually pulled off the ol' fake-arm-up-the-suit-sleeve trick so the handshake doesn't count. Respect https://t.co/oC0EylgHNx",2016-03-21 19:50:14,22,4,en
"[Computer phone get bigger] This is fucked
[Computer phone gets smaller] Jesus Christ",2016-03-21 17:52:35,19,0,en
Most of my top favstar is care lord politic's tweets https://t.co/OqzluDVcCo,2016-03-21 17:00:33,1,0,en
Sharing funny tweets as an avoidance tactic to push down crippling emotional distress lol,2016-03-21 16:50:51,20,8,en
"Happy 10th Birthday Twitter, Here Are Your 30 Best Tweets https://t.co/iRRYi943a6 via @BULLETTMedia",2016-03-21 15:19:04,70,41,en
So much this https://t.co/uLadJtHyKn,2016-03-21 13:46:22,29,3,en
Attn: Brian McGrory: https://t.co/ev3zGJVQBE,2016-03-21 05:11:31,8,0,en
"Apatow: How could we remake Girls but make the characters 50% more unlikable?
Rust: Set it in LA.",2016-03-21 04:41:07,22,2,en
What the hell @McLeemz ? https://t.co/OmnAKENLKs,2016-03-21 04:31:12,5,0,en
What the shit is this verified account? https://t.co/ubJA35sVcx,2016-03-21 04:29:05,15,1,en
"[shares an anti-Trump meme]
I did what I could.",2016-03-21 04:25:22,45,13,en
Dennis Algiers,2016-03-21 04:01:06,7,0,fr
Please remark upon this fine dinner @mishkafrances has decided for us https://t.co/CXyKlcoarD,2016-03-21 01:10:42,13,0,en
The celebs out in Hollyweird up to thier old tricks again looks like https://t.co/oFYQeD7sGS,2016-03-21 00:25:40,10,0,en
Own me online like one of your French girls.,2016-03-21 00:17:34,18,6,en
"[me holding up my finger to indicate 'one more hold on']
Bunny: Do not use Valencia on this one again bitch",2016-03-21 00:11:44,6,0,en
Please show me some good tweets. Here is a picture of a nice bunny in my yard as advance compensation https://t.co/v2ahARaXCL,2016-03-21 00:10:06,33,1,en
I'm the guy who sends back the cold cuts at the deli because the butcher didn't slice them my preferred meat width.,2016-03-20 22:29:08,14,0,en
"Day after SXSW ends is the best time to hit Austin, they discount all the brand interactions.",2016-03-20 21:26:22,23,2,en
I'm the 260 lb cargo shorts guy doing tricep pushdowns for 45 minutes and calling it a day.,2016-03-20 21:24:17,22,0,en
Democrats should run Megyn Kelly against Trump.,2016-03-20 20:53:57,23,1,en
S*dy D*yle is just some person on Twitter right? What am I missing here?,2016-03-20 18:41:07,11,0,en
Nice https://t.co/qSXEKziqlG,2016-03-20 03:23:53,9,0,en
Me irl https://t.co/rtokuD3nKF,2016-03-20 00:21:30,5,0,en
"Oh, *Gawk*-er. I see it now.",2016-03-19 22:20:09,4,1,en
A MLB franchise being ripped apart by a booger teen playing too much Xbox in their faces or whatever is the funniest scandal ever.,2016-03-19 21:42:33,8,1,en
I'm from Generation X. We invented self awareness and irony and completely losing touch with both of those things at 37. Bitch.,2016-03-19 21:26:18,29,4,en
I'm the hair stylist sweeping the same pile of hair around in circles for ten minutes while 14 people wait for their cut.,2016-03-19 19:28:23,12,0,en
"Donald Trump spiking a volleyball, popping into the drink to cool off after, then showering all in his business suit.",2016-03-19 19:24:04,1,0,en
