text,created_at,favorite_count,retweet_count,lang
"""I love Bernie! Wait, he's raising taxes?!"" - dudes who don't get how Socialism works",2016-03-27 15:10:09,15,1,en
Refusing to consider the fact that you might be sexist is sexist,2016-03-26 20:50:54,12,2,en
"A while back I made the dumbest thing I've ever made about fucking hot dogs (vegan don't worry)

https://t.co/ZAn5LeRRQU",2016-03-26 19:33:44,1,0,en
I'm a Millennial with nothing to hide. My life is an open letter,2016-03-26 13:53:37,9,1,en
Brainstorming fresh ways to avoid intimacy,2016-03-26 13:01:39,9,1,en
What's the best tooth to brush?,2016-03-26 06:47:08,5,1,en
I hope @SkinnygirlBrand makes their own version of My Big Fat Greek Wedding 2,2016-03-26 06:24:04,5,0,en
The last episode of Bates Motel where two people get married but still aren't sure if the other one likes them is how I imagine my wedding,2016-03-26 05:59:55,9,0,en
"Fuck my life; into Jesus
This was my last resort 

- Heavenly Father Roach",2016-03-26 05:53:26,8,0,en
Faveing a person's RT but not their own is like asking them out for a drink to tell them to hook you up with their friend,2016-03-26 05:52:00,10,3,en
Tonya Harding vs Nancy Softing,2016-03-26 05:48:07,3,2,in
All you idiots who just go around hugging act like arms can't just go and turn into giant sharp knives any second and lop off your skins,2016-03-26 05:47:21,4,0,en
"Bored with talk of Ted Cruz's sex life, waiting for his sex death",2016-03-26 04:39:47,21,4,en
"COOL HEADLINE IDEA:
In Batman v Superman, it's the viewer who really loses",2016-03-25 11:56:44,15,1,en
"More like Better Than Ezra - ""Good"" Friday",2016-03-25 11:56:00,5,1,en
A band like T-Rex but T-Rump have a great day,2016-03-25 11:40:55,3,1,en
This tweet is secretly about my ex,2016-03-25 09:27:06,11,1,en
Don't let life swipe u by,2016-03-25 07:44:50,6,0,en
I'd like to emotionally connect with your butt,2016-03-24 15:32:22,10,1,en
Fuck frenemies. I prefer Ends.,2016-03-24 09:14:46,9,0,en
"I'm fart!
(funny and smart)",2016-03-24 08:31:36,20,1,en
Omg this https://t.co/cDxE0dTa8O,2016-03-23 14:43:12,38,12,en
I Found Out I Was a Sentient Thinkpiece--Here's What I Did Next,2016-03-23 08:12:58,13,0,en
Sometimes I think about people who smell kinda weird to me and if they smell that way to their friends too or,2016-03-23 07:55:17,8,0,en
Am I a thinkpiece?,2016-03-23 07:52:43,5,0,en
"Remember: there are tons of people out there, but in actuality you will only truly connect very few of them",2016-03-23 07:33:44,13,3,en
"Never thought ""not being @TigNotaro on Twitter"" would ever be a thing to make myself feel bad about",2016-03-23 07:21:26,12,2,en
"""Hey, I don't actually want to have sex with you. I just want to text about it and know I can"" - men in 2016",2016-03-23 06:22:51,8,0,en
Adopt a bruised fruit,2016-03-23 06:05:48,7,3,en
I am not a Millennial but I have learned to walk amongst them wearing their Snapchat moustaches to avoid discovery,2016-03-23 05:57:55,20,1,en
"My friend's coworker said ""I love Hamilton cause it's the first thing that just feels so....so...GENERATIONALLY OURS"" so now I can't see it",2016-03-22 05:31:42,9,1,en
"Remember: if someone makes you feel bad, act differently until they don't make you feel bad",2016-03-22 05:29:51,13,0,en
"Tweet and Retweet sat in a boat. Tweet fell out, oh no! Who's left?",2016-03-22 04:54:36,15,3,en
Love 2 b a womyn in comedy trying 2 make friends https://t.co/JFaZr9AsOQ,2016-03-22 04:38:49,18,0,en
.@hideyourfarts thank you for following me but I need to #FreetheFart,2016-03-22 03:22:12,3,0,en
Honestly I won't respect Trump until he does a more low-key acoustic side project,2016-03-22 03:14:22,8,1,en
Almost went out with a guy and then found out he identifies as sapiosexual,2016-03-22 03:07:54,14,1,en
Everyone acts like God is doing shitty at his job but imagine you were the only person in that position for billions of years you'd suck too,2016-03-22 02:37:57,10,2,en
Get a man who can do both https://t.co/kF1RaNmFZy,2016-03-22 02:18:29,5,1,en
"Why has no one responded to the ""Hey guys, I'm Poly now!"" announcements I sent out in the mail last week? TOO MIRED IN THEIR TRAD BS WAYS?",2016-03-21 19:29:51,10,0,en
"I went to my new job today and they said ""hey, nice to see you, you start next week,"" so",2016-03-21 18:25:52,15,2,en
"This is a pic of me and my boys 
;p",2016-03-21 18:11:01,1,0,en
Can God create a meme so dank he can't even?,2016-03-21 03:44:28,10,2,en
They say don't go to bed mad so I've been awake for 33 years,2016-03-21 02:16:23,58,15,en
"Once I went on a karaoke date with a man who signed his emails ""Papa Paparazzi""",2016-03-20 12:39:58,11,1,en
I identify as an Adult Teen,2016-03-20 09:19:03,20,2,en
What's yr favorite paradigm?,2016-03-19 13:26:59,1,0,en
How to Secede in Comedy,2016-03-19 13:04:47,11,0,en
"Please, think of the Sheeple",2016-03-19 12:58:06,4,0,en
Sheeple are an underrepresented group in Today's Society.,2016-03-19 12:32:18,13,0,en
Two men who courted me told me I remind them of their dead sisters,2016-03-19 05:06:38,19,0,en
RT if you're not horny,2016-03-19 04:50:03,10,0,en
"How to Make A Person Who Can't Love in Like, Some Easy Steps:
https://t.co/SMZcgntdNp",2016-03-19 04:37:37,9,1,en
Remember to tell your ugly friend she's beautiful,2016-03-19 03:32:51,8,1,en
This guy seems pretty into me https://t.co/s2jUdGqXoL,2016-03-19 02:02:37,32,1,en
"More like groan up :) 
This is about me",2016-03-19 01:35:49,11,1,en
Face swap your vision of your face vs reality,2016-03-18 21:24:11,5,0,en
https://t.co/n4kHNzNPAW,2016-03-17 16:15:10,6,0,und
I'm not Irish,2016-03-17 15:53:43,4,1,en
I'm a pretty good lover but a fantastic hater,2016-03-17 05:42:04,19,1,en
Crowdfund my abortion,2016-03-17 05:10:33,19,1,en
"I wrote this about self-care it's super important:

https://t.co/dPDQt5EHpO",2016-03-17 04:38:35,8,2,en
I'm having trouble finding The One even though I would settle for the One-Fifteenth of what I want,2016-03-17 03:58:31,14,0,en
"Internet Man asked me to make fun of him &amp; when I said I know nothing about him said ""I'm Italian, shy, and own a black cat and white car""",2016-03-17 03:34:10,10,1,en
Just tried self-care but it was boring,2016-03-17 03:32:34,13,1,en
"If Trump wins, I'm moving to his house",2016-03-17 03:04:28,12,0,en
"This is a little cocktail I like to call ""Poopoo Floating in Peepee"" https://t.co/iAwmA4jGMn",2016-03-16 15:48:16,17,0,en
Do you guys know who does Bohemian Rhapsody? #yesqueen,2016-03-16 14:27:35,7,2,en
Is Hillary too Hillary to woman shout the way a girl should smile angry bark corporate interest?: we ask no one but our own shadows,2016-03-16 13:56:31,8,1,en
You are what you eat which explains why my entire body is composed of food,2016-03-16 13:21:43,8,2,en
You either call Trump fans Trumpeters or you get the funk outta hea!!!!!!!!!!!,2016-03-16 13:12:56,3,0,en
Imagine Obama makes Trump a Justice so he can't do a Presidency wow nice one Barry,2016-03-16 13:10:44,24,5,en
"Some men have a soul patch
Some have a patchy soul",2016-03-16 13:09:16,4,1,en
"Some people claim women are only voting for Trump cause he's sexy
That's completely ignoring the gay male Trumpeters",2016-03-16 13:00:38,3,1,en
How do I get on a Meme Team at UCB?,2016-03-16 12:59:38,4,0,en
"*beautiful feminist truthful Goddess voice*
Uh, why are there no GIRL bands nowadays",2016-03-16 12:58:03,3,1,en
"Let's get #TrumpTrending trending!
Then, let's get #HashtagTrumpTrending trending!
After that, let's get #LookHashtagTrumpTrending is tren",2016-03-16 12:56:29,3,0,en
"I do feel bad when people are depressed and selfish but when I'm depressed I'm not a selfish doodyhead, so",2016-03-15 05:23:02,10,1,en
You lit scholars think you know Tom Sawyer but have you even noticed that what you say about his company is what you say about society,2016-03-15 03:05:10,13,2,en
You guys are acting like Donald Trump isn't a ventriloquist dummy powered by the ancient evil found in the burial ground smdh,2016-03-15 02:33:35,530,230,en
A convention where you can meet all your favorite tweeters and have your photo taken with their avatar irl for a nominal fee,2016-03-14 20:07:19,5,0,en
"Did u know:
Chun Li is Harper Lee's daughter?",2016-03-14 20:03:26,9,3,en
"Korn Bizkit
Please RT if yr a 90s kid",2016-03-14 19:58:42,9,2,en
"Call me crazy, but I hate mental hospitals cause of my fear of commitment",2016-03-14 19:57:26,2,1,en
"Please, just call me Roach. Papa is my fath",2016-03-14 19:56:08,9,2,en
I'm a Pisces but my pussy is a Clit-Taurus,2016-03-14 19:52:42,11,0,en
I can't emotionally afford my own boyfriend so looks like I have to split one for now,2016-03-14 19:51:16,7,1,en
"#@ctivism

Am I doing this right

Also bcc @midnight",2016-03-14 19:49:23,2,0,en
Thinking about opening up my monogamous relationship with myself,2016-03-14 13:21:31,11,1,en
"I kissed a boy ;p

(not saying when, could have been several years ago)",2016-03-14 03:34:15,16,1,en
Why are we freaking out about Trump but not the fact that THE GOVERNMENT CONTROLS TIME,2016-03-13 11:07:07,27,1,en
"Thank you to the man on OkCupid who upon finding out it was my birthday party said ""if you need a party favor, don't be a stranger""",2016-03-13 02:34:43,10,1,en
Stunning but sensible https://t.co/gZ1VzTRlrz,2016-03-13 01:24:56,163,42,en
I would like to have a destination wedding in my bedroom,2016-03-13 00:17:00,9,0,en
"""Well, my therapist said you're avoidant""
""Oh, well my therapist said you shouldn't be diagnosing me""
- conversation with my ex",2016-03-12 06:27:20,22,0,en
It's Relationshit! Tonight 930 @QEDAstoria w @SelenaCoppock @elbeeNYC @dtlawson @MarcAGerber @WilsonMcD https://t.co/lOz82LrwFO,2016-03-11 18:48:13,5,3,en
"Spent my birthday the way God intended:
Slept til 5 and then my ex took me to fancy chaste dinner",2016-03-11 06:07:40,12,1,en
Thank you to whoever got me my period for my birthday,2016-03-11 06:05:14,283,39,en
"My birthday is nearly over, last chance to RT me (for my bday)",2016-03-11 04:54:26,6,4,en
Not to brag but a strange man just messaged me happy birthday on LinkedIn,2016-03-11 00:24:39,14,0,en
"Been a whole day of telling people I'm 37 and not one media outlet has written a feature about me calling me ""brave"" wtf",2016-03-10 23:42:53,25,2,en
