text,created_at,favorite_count,retweet_count,lang
Your favorite presidential candidate has no idea who you are and would murder you for $5.,2016-03-26 20:17:09,32,5,en
"If the FBI ever comes for me I'm def getting shot because when they say ""FEDERAL AGENTS"" there's no way I don't yell ""MAD CUZ I'M FLAGRANT""",2016-03-26 18:56:15,36,10,en
The hardest part of fucking Ted Cruz is not laughing when you see he wears those things that hold men's socks up. https://t.co/SZGU9FLr2M,2016-03-26 16:01:49,31,7,en
Maybe Ted Cruz is so grating to listen to when he talks that people just fuck him out of desperation for silence? That's got to be it.,2016-03-26 15:55:35,14,0,en
"CAN I KICK IT=comedy+hiphop
4/2 @NerdMelt
Phife tribute, egregiously stolen samples &amp; the thirstiest R&amp;B of all time https://t.co/wkxFNsScXS",2016-03-26 01:09:54,13,5,en
"Of course birds like Bernie, there's 100% chance he has crumbs all over his suit",2016-03-26 00:38:06,86,18,en
Inquirer hinting one of Cruz's mistresses was Trump spokeswoman Katrina Pierson (used to run a Cruz PAC) is such a perfect Trump troll move,2016-03-25 19:10:04,15,1,en
The strongest I've ever been is not also pushing this crosswalk button after I saw this other dude already push it.,2016-03-25 04:51:51,59,9,en
"""WOMEN BE SHOOOPPIIIIIN"" https://t.co/U01uS4n0ga",2016-03-25 04:08:23,36,5,en
"Why do we have to see Bruce Wayne's parents die? He's a billionaire, I'd get a fighter jet and be a ninja, too, no origin story required.",2016-03-25 02:57:13,86,27,en
"The next CAN I KICK IT is next Sat, 4/2 w @aljackson @toneBell and @LLQJ206. Phife tribute, samples and thirsty R&amp;B. https://t.co/OyDIvhlIzl",2016-03-25 02:43:31,8,2,en
The tech for hanging on the rim after a dunk is one of the dumbest penalties in sports. 1) It's anti-fun.,2016-03-25 02:29:46,21,2,en
Iggy Azalea has a new album out. I am giving you this information because I don't like you.,2016-03-25 00:28:47,37,14,en
"J.F..K.: ""Ask not what your country can do for you, but if Nixon's wife is a total 3. Check out the ass on Jackie!""",2016-03-24 20:52:51,20,4,en
"The worst thing Cruz and Trump have ever done is make us feel bad for their wives, who are probably awful.",2016-03-24 20:29:08,48,10,en
Please stop making robots https://t.co/zY66SUnGqF,2016-03-24 17:07:46,31,7,en
Can't wait for the government to announce there is no more Social Security and our national retirement plan is to play McDonald's Monopoly,2016-03-23 22:22:22,49,4,en
"You on point, Phife?

All the time, Tip.",2016-03-23 21:18:55,48,15,en
"EXCLUSIVE leaked footage of ""Batman vs Superman"" https://t.co/qn6JLjCrDF",2016-03-23 16:51:22,28,7,en
A woman's mentions when she tweets something remotely sexual https://t.co/sNXCzlzvM1,2016-03-23 15:40:04,64,11,en
"Please an OJ spinoff titled ""COCHRAN""",2016-03-23 05:41:52,12,0,en
"""Speaking of Batman v Superman, Ben Affleck hasn't been in something this overwrought since Gwyneth Paltrow""

*Bill Maher krumps to his desk",2016-03-23 05:23:37,36,2,en
The GOP primary has been full of guys who think it's dumb that all our kids get trophies but are all competing for second place,2016-03-23 04:03:59,65,21,en
Imagine being so craven a'la Rubio/Cruz that you still faithfully support a party that lets all this happen. Just to climb. I don't get it.,2016-03-23 03:08:49,18,4,en
"I remember when Stephen Douglas called Mary Todd Lincoln a slut and then Abraham was like ""AT LEAST SHE'S NOT FAT"" and then Stephen was all",2016-03-23 03:02:59,89,26,en
I know I'm a simpleton but that Cookie Monster commercial is the best show on T.V. right now.,2016-03-23 01:47:26,40,8,en
Build a giant wall around everything. Turn the world into a maze. ISIS will get confused and go home.,2016-03-22 17:33:10,31,6,en
"Terrorism is easy to do, that's why it's appealing as a tactic. Anyone who promises you safety from it is treating you like a child.",2016-03-22 16:04:09,84,41,en
.@realDonaldTrump point to Belgium on a map,2016-03-22 15:20:32,137,47,en
"A fun thing when you hear your neighbors having sex is to bang on the door and slide a note under it reading ""SHE'S FAKING IT""",2016-03-22 06:42:19,28,4,en
We should def keep arguing politics like we aren't a country of dumbasses who just vote for the taller candidate https://t.co/qeUXvJbbQY,2016-03-22 03:49:09,15,3,en
