text,created_at,favorite_count,retweet_count,lang
so spooky how so many rockstar interns have died at 27,2016-03-25 17:56:51,30,3,en
https://t.co/4KGsKZJjZk,2016-03-24 15:46:44,93,13,und
"the film that perhaps best captured post-hippie era disillusionment was ""vroom vroom! motorcycle guy havin a bad time - ahh!! a gun!"" (1972)",2016-03-21 16:34:20,33,7,en
"Cartoon Monsoon has a ~*new regular time*~
first fridays at 9:30pm! starting april 1

https://t.co/IsngqBEdY5 https://t.co/jUsk9TDNdF",2016-03-18 16:12:24,16,0,en
one of my haters just died 😔,2016-03-17 17:32:28,56,5,en
"keep an ear out today for the phrase ""Erin go Bragh,"" derived from the irish word ""Erin"" for ""Ireland,"" and ""go Bragh,"" which means ""rules""",2016-03-17 14:49:32,17,3,en
"(on stage, sets up vocal mic, angles down boom mic, readjusts height of boom mic for 5 min, sits down in chair)

*tummy rumbles*
""thank you""",2016-03-17 14:00:48,22,0,en
dude nice https://t.co/KRpgJzUMOw,2016-03-14 13:46:14,221,30,en
"(whispering)

zoom zoom",2016-03-13 17:35:21,32,2,en
fuck https://t.co/QpUkEizVp9,2016-03-13 15:10:30,22,5,en
if u do improv when ur pregnant can the baby feel it,2016-03-13 05:20:58,279,65,en
"(giving middle finger)

parents SUCK",2016-03-11 22:06:25,17,0,en
"(walks into modell's)

u got any like cool slutty bejeweled yankee stuff",2016-03-10 16:05:14,35,2,en
:\ https://t.co/jZkYUclEGx,2016-03-09 21:04:01,19,1,und
"🎶we're an american baaaand
WE'RE COMIN TO UR TOWN! WE'LL HELP U PARTY IT DOWN! WE'RE RIDIN' TINY DOGS! WE'RE GOIN TO THE MALL! we're an amer",2016-03-08 23:27:48,34,6,en
"🌟🐖🌟
these deals r in$ane !

next 4 ppl to buy a $20 pig print get a FREE sparkle star frame

https://t.co/mbRHHxL9bc https://t.co/IlxhFudhtt",2016-03-08 15:32:58,9,2,en
imagine how alarmed and extremely concerned about ur mental health all ur friends would be if u posted a naked bathroom selfie on instagram,2016-03-07 23:28:11,26,2,en
"👋 @JeffLynnesELO 

🙂",2016-03-07 22:18:34,14,1,und
good businessman? what about trump university? trump steaks? or worst of all: firing aubrey o'day of danity kane from celebrity apprentice😤😤,2016-03-06 19:05:16,20,4,en
"🎶i don't practice SANTERIAAA, hold on let me look up taaabs🎶",2016-03-05 15:37:43,61,16,en
Nick Cannon &amp; Billy Joel Present: Wildin' Out (Anthony's Song),2016-03-05 04:45:09,16,3,en
"🎷if u want a painting🎨
but are strapped for ca$h

u can buy a cheap print at my new store!

💅https://t.co/bAp0EKMkiU https://t.co/fRugYABnp5",2016-03-04 14:26:59,24,8,en
yummy !! 😊 https://t.co/jnOKT9mRrd,2016-03-04 03:49:19,23,5,en
"megyn kelly is like, rly pretty",2016-03-04 02:30:48,10,1,en
i only cum once every four years too but u don't see me making a big deal about it,2016-02-29 23:30:34,31,1,en
"Academy Unanimously Rolls Eyes, Folds Arms And Gives Award To Katie, Who ""Deserves An Oscar For Her Performance At Janet's Birthday Party""",2016-02-29 04:33:37,15,0,en
"SURE some ppl say USA_Cat.jpg is ""just a clipart cat"" &amp; ""isn't real"" but we are TIRED of establishment candidates !! https://t.co/TiSeeZXcP0",2016-02-28 12:48:19,65,13,en
"(tries to fit into conversation with sophisticates)

ah yes, agreed, very caca-esque",2016-02-25 03:39:43,89,15,en
i hate indoor recess 😤,2016-02-24 01:05:51,13,0,en
"heh
yea
u can say i'm a sapiosexual 😎 https://t.co/E3T7ozRsRb",2016-02-23 04:25:48,164,47,en
when they open the john hughes vault we'll finally see that cut scene from the breakfast club where they eat all those yuuummy flapjacks,2016-02-22 18:42:22,8,2,en
"tonite!
🔵🔶Future Forms🔷🔴
new comedy show hosted by @samttaggart @juliothesquare @2tonbug +me
https://t.co/34JfdDXxx7 https://t.co/HF539kPqCz",2016-02-22 14:52:13,12,7,en
"(cosmo cover lines)

Thirty, Flirty, &amp; Forty!

Zendaya: Is 19 The New 9?

Get Railed",2016-02-22 12:11:43,38,5,en
"I'm attaching my screenplay, ""Fat Fuck &amp; The Nag,"" &amp; pilot, ""Shitty Dumbass &amp; His Shrew Wife""

Thank you in advance for reading!

Best,
Mary",2016-02-21 12:46:34,56,5,en
"""when we were casting the show, it was super important to me to get, you know, *real* looking people, so that i'd look really hot""",2016-02-18 00:21:03,21,1,en
lmk if u want a painting of ur fav wrestler https://t.co/04K9voMvik,2016-02-16 23:36:38,58,15,en
"i asked for a creed cd once

fight me",2016-02-16 02:22:08,18,2,en
i swear to god if we get one of these knuckleheads from the whig party as our next president 😤,2016-02-14 19:43:32,19,1,en
"got a preeetty good feelin about this valentines day after ""accidentally"" sending all those sandals jamaica brochures to my boyfriends house",2016-02-14 14:50:40,122,9,en
"""mare why r u so tired""

""sorry, was up all night reading this awesome, super captivating page-turner"" https://t.co/BCvLqChv3d",2016-02-14 09:14:19,26,1,en
"❤️happy valentines❤️

u can watch me speed date in this @ComedyCentral vid until it expires in 24hrs💅💚

https://t.co/a3uUTvMgz7",2016-02-13 02:34:07,9,0,en
"download periscope n watch a funny li'l thing at 7pm est on the @ComedyCentral p-scope channel

c'mon do it https://t.co/OPjxCheRTl",2016-02-12 22:46:05,18,4,en
"⚡💡USE UR BRAIN💡⚡
buy tix to Cartoon Monsoon tomorrow @ 9pm @AnnoyanceNy
rite b4 @holyfuckny

https://t.co/IsngqBmCzv https://t.co/4iUsGX7gHj",2016-02-10 23:11:09,14,5,en
".@kanyewest

if u think u r still invited to after-prom fucking think again",2016-02-10 01:20:46,29,0,en
"( ◑‿◑)ɔ
u deserve it~* https://t.co/x3GCwC3YVM",2016-02-09 15:03:22,4,1,en
i'm voting for bernie AND hillary idgaf,2016-02-09 02:03:00,48,8,en
rooting for the only nfl team i ever wrote a book report for https://t.co/qfDUOLZYM8,2016-02-08 00:47:18,10,1,en
😇 https://t.co/e9D6sCsAKZ,2016-02-07 18:32:35,7,0,und
"i like rancid 

tbh",2016-02-07 12:23:37,15,0,en
"(at comedy show, audience member reflecting)

f*ck... dating IS weird in new york",2016-02-06 14:52:59,299,48,en
"ok... the first couples songs i was *pretty* sure, but now i'm REALLY sure this pussycat dolls concert is just POD and not PCD 😠😤😤😤",2016-02-05 13:39:15,14,1,en
"i cant believe its been 2 years since the super bowl

https://t.co/CD1jzXwPRK
(super bowl vid from mary sam +keaton) https://t.co/OcJiOlslre",2016-02-04 17:43:12,6,0,en
has rod stewart been mentioned yet????? can't think of a single song of his that isn't about taking advantage of a woman #TheBigQuestions,2016-02-03 04:58:37,17,1,en
"🍿watch🍿
""Mary Houlihan: Live 'N' Good""
a play about love, valor, and betrayal

https://t.co/FHFbp3kEd3 https://t.co/G0mWBZxxMq",2016-02-02 01:42:13,14,4,en
"😎 hey guys check out this trailer i made for the upcoming rock doc, ""Stevie Nicks: Winsome Dove"" 💅

enjoy!
https://t.co/8GOZgfSRPe",2016-01-31 16:21:45,20,4,en
"💀
r.i.p. ""yaasss""

2013-2016 https://t.co/Y3P8THu7wv",2016-01-31 05:21:01,40,5,et
"2nite ! @AnnoyanceNy 9:30pm

get ur lil butt there !!! https://t.co/Pr052rNVnD",2016-01-30 21:28:46,13,2,en
"today is my last day in la

cc: @JuddApatow @michaelbay frank capra",2016-01-29 19:07:52,25,1,en
awe !!! cute :) https://t.co/pNktgQmfbV,2016-01-29 17:01:28,30,2,en
watching this thread with the intensity of an after school brawl in the parking lot with no teachers around https://t.co/2y1FH66gfK,2016-01-28 20:33:58,23,2,en
"*comments ""this was my wedding song :)"" on literally every single music video that exists on youtube*",2016-01-27 18:22:18,36,3,en
"(really british accent)

innit",2016-01-27 15:43:38,41,8,en
"💅💖💅tonite💅💖💅
🌴 a show in los angeles 🌴 https://t.co/2M0zha3Uae",2016-01-26 16:05:33,9,1,en
oh my god https://t.co/mHUSHZp7YJ,2016-01-25 00:17:45,140,74,en
patties https://t.co/VVZmFBHtQq,2016-01-24 17:58:29,14,2,lv
"~*tonite !*~

hot mary throws her li'l hat in the ring to be like, legit president, like for real tho

@SFSketchfest https://t.co/5DWL8FTwYv",2016-01-22 15:31:46,22,3,en
hire @mikeabrusci https://t.co/EanYMtXUH5,2016-01-21 19:28:08,10,0,en
just got my teeth professionally woodened ☺️,2016-01-21 02:15:18,16,2,en
"so excited to perform @SFSketchfest!!

thank u @LamarkMedia for designing my poster! ""If it's not Lamark™, Get Out!"" https://t.co/PDxylhoZAi",2016-01-20 17:04:26,8,1,en
".@Wikipedia
can u write more info about ""goodbye stranger"" by supertramp",2016-01-20 05:42:31,30,5,en
"2NITE !
❤️💛💙

Comedy Central Corporate Retreat &amp; Mary Houlihan Present: Live 'N' Good

tix: https://t.co/kwdYYwhwKy https://t.co/GZFGPe0ZuS",2016-01-19 16:49:37,15,4,en
damn https://t.co/tFEJVu7QHp,2016-01-19 13:47:52,11,0,en
"*starts telling people i went to harvard because f*ck it, they're not gonna check*",2016-01-19 04:58:23,43,2,en
"took tanya to the movies with her friends, so embarrassing when my name came up on the screen !! 😂😂 #ActressMom https://t.co/0PFYC7Afwe",2016-01-18 14:37:24,24,0,en
"🎷im gonna b in la jan 24-29💅

c ya there",2016-01-17 23:41:17,4,0,en
"this tuesday ! @UCBTheatreEast

get li'l tix: https://t.co/kwdYYvZVT0 https://t.co/h7SMYV9Amz",2016-01-17 17:47:26,16,1,en
"(to the tune of ""dude looks like a lady"")

♪♫ STEWIE IS A BABY♫♪",2016-01-16 23:24:23,42,3,en
.@tedcruz ny rules,2016-01-15 16:05:59,23,3,en
"omg you got Lasik?? where'd you get it done??

thx i actually did it myself ☺️",2016-01-14 13:35:12,56,3,en
"~*OVERHEARD*~

lady: woof woof, let's go
dog: omg where did u learn to speak dog? ur accent is exquisite",2016-01-13 21:58:08,26,1,en
can't talk rn https://t.co/BElVSqkb7d,2016-01-13 14:52:40,23,3,en
"to think, as education becomes more &amp; more computer-based, children will lose the simple joy of a stinging slow-healing, days-long paper cut",2016-01-12 15:45:29,25,3,en
"li'l tickies to ""Mary Houlihan: Live 'N' Good"" are only five li'l buckies: https://t.co/2NSlYUmWCK https://t.co/f9jHRdr3Zy",2016-01-11 20:39:27,7,1,en
"*jumps up &amp; down, holding hands with best friend, both squealing*

we're going to state nationals !!!!",2016-01-10 22:15:48,17,1,en
"i made a vid about my dad

https://t.co/AuCJHzlzib https://t.co/lTGKFmg0d3",2016-01-09 00:47:54,14,1,en
"i made a rock doc:

https://t.co/Aq5wtvngrd https://t.co/GxlNngeji0",2016-01-08 00:04:45,19,2,en
"i made a vid 💁
check it out pls ! 
https://t.co/P54R3kD0EI https://t.co/MUfxGXL0RH",2016-01-06 22:16:30,35,3,en
"it is ABHORRENT that there are so many ""best of"" lists on the web YET SO FEW have the GUTS to use ""east of the Mississipi"" in their titles",2016-01-05 20:28:50,9,0,en
hey hey !! come to this cool show @UCBTheatreEast next-next tuesday. it is @ComedyCentral-certified https://t.co/dRu4xeBTH1,2016-01-05 16:39:18,18,3,en
i love this stuff ! https://t.co/2Hh9KnOHoP,2016-01-04 02:03:04,418,158,en
i love improv i actually studied with glenn close,2016-01-03 21:01:10,33,0,en
"all i need in life is pussy, weed, and single-origin ethically sourced pour-over coffee",2016-01-03 15:10:22,51,4,en
"did u kno van gogh didn't rly cut his ear off? scholars claim he made up an excuse to get out of ""checking out that cool pole dancing class""",2016-01-02 15:33:38,33,5,en
i have to gain 600 pounds for a role,2015-12-28 17:07:13,26,1,en
my spotify year in music 😊 https://t.co/APTOdHgORq,2015-12-27 23:07:02,40,3,en
"christmas is about joy, giving, and listening to one million men with bronx accents tell u how many pages of a mike lupica book they've read",2015-12-26 00:01:06,20,1,en
"🎶toniiii-iii-iiight, we aaaare fun.🎶",2015-12-25 20:16:45,9,0,en
"bruce: u been rehearsin real hard so santa'll bring u a new saxophone??

clarence: ...
...
name one f*ckin thing i like that isnt saxophones",2015-12-25 19:50:17,124,49,en
"merry christmas
to the flag
of the united states of america",2015-12-25 17:15:53,54,6,en
#BestShow2015 @bestshow4life @scharpling https://t.co/wnjB07XdbX,2015-12-23 13:55:09,61,6,und
"📼 WATCH 📺
a brand new homemade christmas cartoon: https://t.co/IFGA8P9EIH https://t.co/g7z7lgQkif",2015-12-21 14:59:49,12,1,en
"these li'l guys don't have homes. 2moro's the last day i can mail 'em to arrive by xmas.
let me kno if u want one ! https://t.co/IzZRtsMuBy",2015-12-21 01:49:52,6,0,en
ugh sorry i'm late the train was being crazy https://t.co/h9fHuJFwh5,2015-12-18 23:38:34,29,3,en
Scientists Use Archaeological Clues To Discover What Jesus Really Looked Like https://t.co/drHyXfIF1f,2015-12-16 16:47:21,55,24,en
Man Behind AIDS Drug Price Hike Revealed To Have Written All Those 'Cards Against Humanity' Cards,2015-12-14 00:24:27,98,21,en
"🎅🎁🎅
tix are still available for 🎄A Cartoon Monsoon Christmas🎄 at @UnionHallNY !
https://t.co/ajgFKNSb74 https://t.co/fzBu7MSOR5",2015-12-10 22:40:55,8,7,en
"ugh i just feel like i'm always in this loop of refreshing twitter, facebook, &amp; goop",2015-12-09 22:19:27,10,0,en
"CAN'T check facebook rn, i do NOT want anyone to spoil the finale of rob schneider's netflix series",2015-12-07 22:52:39,59,6,en
"Band Knew Something Was Up When They Realized They Had Never Met A ""Jimmy The Backstreet Boys"" https://t.co/nPC7Iey0zX",2015-12-07 15:08:46,13,1,en
wish those f*ckers in that monsters inc blooper reel would take their craft more seriously,2015-12-06 00:13:59,49,3,en
drenny in brooklyn !!!!!!! @six_dffrnt_wys  #MakeTomLaugh,2015-12-02 04:07:48,5,0,en
"lynyrd skynyrd rules
https://t.co/epVqSUSkXN
#MakeTomLaugh #newbridge4life",2015-12-02 03:26:42,5,0,fi
"tickies for cartoon monsoon xmas special at @UnionHallNY!:
https://t.co/ajgFKNSb74 https://t.co/G1b7BIh8tp",2015-12-01 20:26:36,12,5,en
i did bridgegate,2015-11-30 19:01:17,3,0,en
sh*t my dad sh*ts,2015-11-29 23:15:29,24,3,en
me getting changed in the 24 hour fitness locker room https://t.co/KHBtQqEgVO,2015-11-29 18:41:08,27,1,en
all the coaches are talking to each other on those headsets.. hope they're planning a surprise party for all the players ☺️,2015-11-28 23:41:29,31,2,en
🎸🕶🎶cuuuz every girl crazy 'bout a small trash caaaan🎶🕶🎸,2015-11-28 14:35:00,30,1,en
i will NOT stop FLIPPING OUT until SOMEONE gets me a CADILLAC WITH A BIG RED BOW TIED AROUND IT !!!!!!!!!!!!!!!,2015-11-27 22:26:22,8,0,en
my mom gets me ANYTHING i want for xmas so long as it's sold at that modell's by her work 😎,2015-11-27 15:08:00,20,0,en
a good #HolidayTip for getting along with your family: find a common enemy to destroy,2015-11-27 14:39:02,24,4,en
i'm thankful for models 😊,2015-11-27 03:00:47,12,2,en
"are you f*cking kidding me
@bestshow4life https://t.co/YGqcp7QJTH",2015-11-25 03:07:42,90,15,en
ok which one of you f*ckers hacked my xanga,2015-11-24 20:24:24,21,1,en
whoa! https://t.co/ecx2WV1lMa,2015-11-21 00:43:07,13,1,en
🎉2moro! saturday! 11/21! 10:30! @2tonbug @TimothyPlatt @sdesiena @christichiello @catccohen&amp;MANY MORE 🐝🏈@AnnoyanceNy https://t.co/WCIIFWrXkZ,2015-11-20 17:27:10,9,7,en
i was discovered by acclaimed film director david o russell tripping up some steps in a westfield shopping mall,2015-11-20 15:04:04,18,0,en
EW f*ck off!!! NO! i've never eaten a turd inside of a duck inside of a chicken !!!!! wtf,2015-11-19 16:41:48,21,1,en
#NameThatMovie https://t.co/XRiHo1epZB,2015-11-18 23:20:56,19,6,und
